3151874197	2020-03-23T23:49:04.000Z	1242236954399342592	I’m grateful to have a job that still allows me to go to work.	{'place_id': '5e80ee08ea361155'}
27514420	2020-03-23T23:46:53.000Z	1242236405553782784	By do guys from Texas like to go out of their ways to say that everything is bigger in Texas when it’s only setting us up for disappointment? It’s a lie!	{'place_id': '1d9a5370a355ab0c'}
1126537088885776384	2020-03-23T23:46:46.000Z	1242236377363877895	it’s day 0 ? 0? idek, but i haven’t been wanting to go to school & hang out with my friends as much as i do now 😩 	{'place_id': '04c8468a6a194252'}
758747329767714819	2020-03-23T23:19:04.000Z	1242229403716931588	0/x How are parents going to work with students out of school? Next tangent  They were just getting going again....Cites he was on the phone with  who had terse words for  “Get off  and do your job.” 	{'place_id': '1d9a5370a355ab0c'}
758747329767714819	2020-03-23T23:10:24.000Z	1242227223878385664	0/x  does not give effort grades. It exploits weaknesses in infrastructure, & kills. How are we going to ease the restrictions when they are not fully executed?  in many states are not going back to school in 0 days? “There are many trade offs.”  ー0	{'place_id': '1d9a5370a355ab0c'}
1147672020265689088	2020-03-23T23:02:21.000Z	1242225200571301895	 No. You should stay inside. Lol i have to go out for work.	{'place_id': '1d9a5370a355ab0c'}
2159193462	2020-03-23T23:00:05.000Z	1242224629340688384	Just wanna say if your going out with friends or seeing people your not social distancing. It’s not going to stop unless everyone STAYS HOME.🤷🏻‍♂️	{'place_id': 'a3c3c2f3573eacf7'}
2746571940	2020-03-23T22:54:32.000Z	1242223233790889984	 THIS IS TRUMPS CODED MESSAGE TO HIS WHITE SUPREMACIST FOLLOWERS. AND ALL OF HIS RACIST TRUMPTER CULT FOLLOWERS TO GO OUT AND  BEAT THE HELL OUT OF ANY ASIAN THAT THEY SEE! YOUNG OR OLD!	{'place_id': '8b351eeb91372dc7'}
339154395	2020-03-23T22:42:25.000Z	1242220183051292672	These are difficult times!While we try to understand what is going on in this world, our hearts go out to all who have been impacted by the CoronaVirus. As a small business with an amazing team who is like family,… 	{'place_id': 'd77ed7c9521c898d', 'coordinates': {'type': 'Point', 'coordinates': [-88.04670107, 41.84252306]}}
823127535651323904	2020-03-23T22:36:05.000Z	1242218587261153285	I’m going out for drinks, food,& hookah SOON as this over. I can’t wait! 	{'place_id': '1d9a5370a355ab0c'}
39422144	2020-03-23T21:21:15.000Z	1242199757373747200	I remember when...I used to get out of my workout clothes, put on real pants and shoes, and make model faces before going out to dinner with friends 🤣What do you remember?! Side note - realize this minor change in… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
1567165010	2020-03-23T20:48:41.000Z	1242191559417892864	I miss going out w  😢😢😢 	{'place_id': '1d9a5370a355ab0c'}
60776286	2020-03-23T19:53:35.000Z	1242177694063886338	Is it safe to take the trains? Apparently I have to go to work Wednesday.	{'place_id': '1d9a5370a355ab0c'}
81265134	2020-03-23T19:44:31.000Z	1242175412727353345	The internet was going out and I was just thinking Lord you know I can’t handle no more bad news 😩🤧	{'place_id': '1d9a5370a355ab0c'}
851749426980933632	2020-03-23T19:22:29.000Z	1242169866506899456	   Sen. Schumer & Speaker Pelosi are in Congress for 0 years. Nothing to show for people except for themselves. Blocking every move President makes for the working people. 0 days Marshall law & by executive order checks can go out for people & struggling families. Can be done.	{'place_id': '6af99a29bfae42a2'}
14328397	2020-03-23T19:21:42.000Z	1242169668506464256	Pro tip: if your local supermarket, pharmacy, and Amazon are out of Tylenol, try your local liquor, bodega, or corner shop. I’m not encouraging people to go out, but if medicine is needed it’s needed.	{'place_id': '1d9a5370a355ab0c'}
271225949	2020-03-23T19:19:18.000Z	1242169067315871749	I go to work and home DATS IT	{'place_id': '1d9a5370a355ab0c'}
1156016133197221888	2020-03-23T18:55:31.000Z	1242163080810938373	first she didnt even wanna stock up on foodbc she didnt believe in the lockdown now she keeps wanting to go out & pick up fast food / go to target for little cravings food we forgot buy before	{'place_id': '1d9a5370a355ab0c'}
56168587	2020-03-23T18:40:12.000Z	1242159225129897987	When I lived in Philly and seen all the kids I went to college with go home. Lmao 	{'place_id': '1d9a5370a355ab0c'}
44780722	2020-03-23T18:38:22.000Z	1242158764977000450	This quarantine makes me feel a bit nostalgic. It feels like summer as a kid: at home doing whatever I wanted, and I was only allowed to go out once a week 😂	{'place_id': 'f16f37294392e394'}
310094229	2020-03-23T17:54:22.000Z	1242147693339820032	my kid has a Nintendo switch, PlayStation 0, her laptop & a cellphone & still has the audacity to text me shes bored ... OVER IT send their asses back to school please	{'place_id': '50f296a1bd4198b6'}
426402737	2020-03-23T17:50:42.000Z	1242146768445411328	just bc you have one of those jobs doesn’t mean you didn’t go to college 	{'place_id': '1d9a5370a355ab0c'}
33342988	2020-03-23T17:39:20.000Z	1242143909125525508	This whole  is a good reminder what matters most, people still going out & complaining that they can’t go out. Remember what matters........	{'place_id': '1d9a5370a355ab0c'}
182224892	2020-03-23T17:35:30.000Z	1242142945668710401	Lol! You got a great since of humor “Muscles” but stop play’n Bro, stats in your face don’t lie! I would tell you to go out and rest that shit, but you’re an important motivator to me and countless others!! P.S. I saw the 0 incline drop set you did!! That shit was insane!!  	{'place_id': '1d9a5370a355ab0c'}
62396081	2020-03-23T17:27:16.000Z	1242140873833492481	I don’t think I’m ready to go to work tma 🥺🥴	{'place_id': '1d9a5370a355ab0c'}
62657173	2020-03-23T17:20:55.000Z	1242139273849188365	I know what stress is. When you have to go to work with  the day after the  beat my  in the playoffs 	{'place_id': '1d9a5370a355ab0c'}
209907266	2020-03-23T17:00:44.000Z	1242134195889213441	Late night patrolling our hood  or face  (we have to go out because that’s our duty 0X a day 😝)      @… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6197, 41.8938]}}
3521273117	2020-03-23T16:53:19.000Z	1242132328614371334	STAY HOME! That doesn’t mean invite people over or go over peoples houses!! Get what you need at the store & stop going out. 	{'place_id': '41bc24e82dfe5a2c'}
720280515278811136	2020-03-23T16:15:27.000Z	1242122797838733315	 You can go out for essentials	{'place_id': '1d9a5370a355ab0c'}
1151255917	2020-03-23T16:15:17.000Z	1242122757246238727	 I've been thinking about that a lot. Why not just give everyone the test. One that we can even take at home. No one wants to get sick. People want to go to work, spend time with their lover(s). Let people be great.	{'place_id': '1d9a5370a355ab0c'}
4627423155	2020-03-23T15:28:39.000Z	1242111019524161537	So is it safe to go out or what??	{'place_id': '1d9a5370a355ab0c'}
119512960	2020-03-23T14:14:09.000Z	1242092275045408775	so what about the people who still have to go to work? Fuck them huh.'This week, it's going to get bad': U.S. Surgeon General says people need to take coronavirus seriously  via 	{'place_id': '8b351eeb91372dc7'}
453332373	2020-03-23T13:35:15.000Z	1242082482549334022	0/ Let us do that b/c it's why you should come to college, to learn how to turn things over & see them in a new way. To think.But last. Now is the time to recognize we all were in this together before ー0 & now there's no avoiding how we all are in this together.	{'place_id': '9458deb79984da4e'}
3388071358	2020-03-23T12:27:21.000Z	1242065394149531652	 We are allowed to go out to walk and exercise.	{'place_id': '1d9a5370a355ab0c'}
44743452	2020-03-23T12:07:01.000Z	1242060278545764352	Really having to wrap my mind around not going to work today :(	{'place_id': '5e4243758a966b81'}
479173913	2020-03-23T12:02:00.000Z	1242059017465344001	That fucker has been there before how he know what door to go out of!!!💀🤣 	{'place_id': '1d9a5370a355ab0c'}
