17124524	2020-04-06T23:59:23.000Z	1247312982171742208	Yeah I do not go out much @ Hermosa, Chicago 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.73, 41.92]}}
702299609792536576	2020-04-06T23:19:00.000Z	1247302820589682688	I have been working out, then going to work, and my arms are pain. Just pain	{'place_id': '99700cd6fc455c13'}
2886474513	2020-04-06T23:16:44.000Z	1247302247010250754	I really wonder why people go out of their way to say a quarter after ___ or a quarter til ___ like ?????	{'place_id': 'e363b61fbd793d7d'}
3234098054	2020-04-06T22:41:15.000Z	1247293318385610754	So I have been counting people who are wearing masks when I go out and about.... Have to stop counting after 0 but definitely saw it progress over the last few days	{'place_id': '1d9a5370a355ab0c'}
45676562	2020-04-06T22:28:22.000Z	1247290076146663425	 You’re a real life super hero, Becca! I just started a new job as a caretaker for an elderly woman and now I’m even more scared to go out because I don’t want to pass anything to her	{'place_id': '572b2bb5c161e847'}
753235315523936256	2020-04-06T21:48:36.000Z	1247280067463561217	  I’m calling every one of my almost 0 high school students and their families to give them a connection to school, to be sure they know the essentials that are expected of them in the coming weeks; to reassure them that they can reach out to me if needed	{'place_id': '1d9a5370a355ab0c'}
1549329410	2020-04-06T21:21:23.000Z	1247273219121393664	  Save lives. If you must go out, every bunny knows, cover your nose.  	{'place_id': '1d9a5370a355ab0c'}
291510956	2020-04-06T20:48:06.000Z	1247264843637366785	Hopefully the PM recovers soon but how about you take your own advice  from this  , you're literally known for going out of your way to say negative things about anything & spreading hate. One just needs to scroll through your feed to see that. 	{'place_id': '1d9a5370a355ab0c'}
1319201438	2020-04-06T20:04:33.000Z	1247253884743159815	    We’re in Chicago. If it’s nice out we go out for a walk too in the afternoon. Everyone does. We see cops all over and they don’t do anything. You’re fine.	{'place_id': '1d9a5370a355ab0c'}
265038357	2020-04-06T18:31:06.000Z	1247230367645523968	Shipments go out in about 0 minutes!  Get some gundam, paints, action figures and more!  Illinois folks get 0 day delivery. We tagged some awesome for you! @ Nakama Toys 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6976536, 41.9268522]}}
124759119	2020-04-06T18:19:56.000Z	1247227554601349126	IMORTANT MESSAGE!! GRAPHIC!! This is NOT a video anyone should want to watch.. Our prayers go out to the families of each personal tragedy! 	{'place_id': '1d9a5370a355ab0c'}
1671872826	2020-04-06T17:48:09.000Z	1247219556374007809	Very successful volleyball zoom today!  So awesome to see you all and hear about where seniors are going to college!!  Let’s meet again soon! 💙🏐🧡	{'place_id': '5b0b1baf24cf0a6a'}
1231715548326703107	2020-04-06T17:36:07.000Z	1247216528447221760	I am not a teacher. These kids need to go back to school. I hate this shit.	{'place_id': '1d9a5370a355ab0c'}
1120387322640510976	2020-04-06T17:30:23.000Z	1247215088790011906	Sorry for the rant, but seriously,  . Stay home even when you think it's probably okay to go out. Stay home even though you want to grab that one ingredient for a recipe. Stay home even when it's 0 and sunny. Stay home. Stay home. Stay home.	{'place_id': '1d9a5370a355ab0c'}
4263625454	2020-04-06T17:13:26.000Z	1247210819957465088	No respect for any of you that continue to go out as my mother and many others are fighting on the front lines risking their health everyday. Fuck you if you still go out like nothing is happening 	{'place_id': '99700cd6fc455c13'}
69204390	2020-04-06T15:47:53.000Z	1247189291119390723	 Damn...that said not sure what we're gonna do. The government still doesn't have this under control but people want to get back to being able to go out.I'm afraid between the two we aren't gonna be able to stop a massive outbreak.	{'place_id': '0335b0e33f0fb9cf'}
19560898	2020-04-06T14:12:06.000Z	1247165186886094848	This song is about going out during shelter in place; and if you have to, not wearing a face mask   	{'place_id': '8b351eeb91372dc7'}
3855140355	2020-04-06T13:56:33.000Z	1247161272568893440	   We passed the house with llamas and emus on the bus to school every day.	{'place_id': '5b217454f4bd5f04'}
265038357	2020-04-06T13:45:18.000Z	1247158444391571456	You are all the wind beneath our wings. Look at us fly (this is an old picture.  We’re being good boys and girls!). Thank you all for your continued support. Orders go out at 0pm cst. If you can please support us by… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6976536, 41.9268522]}}
1010938751596531712	2020-04-06T12:52:50.000Z	1247145238809862148	I’m so happy that I moved on from a lot of shit. Too many people were trying to bring me down and I can’t go out like that 💯	{'place_id': '1d9a5370a355ab0c'}
119993898	2020-04-06T11:47:30.000Z	1247128798220488704	I do not feel like going to work	{'place_id': '1d9a5370a355ab0c'}
2430071909	2020-04-06T07:44:19.000Z	1247067598199705602	Just preparing for when it’s time to actually go out	{'place_id': '0fc32dae2354d000'}
225956298	2020-04-06T02:30:14.000Z	1246988557241253896	You have to go out of your way to purposely make the graph this way…… oh boy… 	{'place_id': '1d9a5370a355ab0c'}
32814873	2020-04-06T00:41:57.000Z	1246961306248400898	I think I tweet this every Sunday/Monday now... but I don’t want to go to work tomorrow... 😩	{'place_id': '1d9a5370a355ab0c'}
19739355	2020-04-06T00:34:34.000Z	1246959448490496000	Can my employer force me to go to work during the pandemic?  via 	{'place_id': 'cdf74b55fc0d4600'}
2855057344	2020-04-06T00:32:45.000Z	1246958990682206209	You hoes going out sad.	{'place_id': '1d9a5370a355ab0c'}
960558556591411200	2020-04-06T00:25:09.000Z	1246957077882437632	Why is he going out like this ?? 😭😭 	{'place_id': '28b3b040d7b2ace7'}
426402737	2020-04-07T23:47:05.000Z	1247672273269600257	 whenever we all go out again we gotta do this but with our monacos 😂😂😂💯	{'place_id': '1d9a5370a355ab0c'}
616871457	2020-04-07T23:09:07.000Z	1247662718561202178	Maybe if people stopped going out and stopped being so fucking stupid 	{'place_id': '1d9a5370a355ab0c'}
1062176233	2020-04-07T22:38:21.000Z	1247654978115731462	Yesterday was being your pet to school for virtual spirit week & I refused to be cooperative. Today is Chalk the Walk & mom didn’t even want a pic of this beef cake and I even posed for her!     	{'place_id': '1d9a5370a355ab0c'}
373055112	2020-04-07T22:29:03.000Z	1247652638604345344	 I just had to go out to my front porch this air just hit like the first pull off the loud after a month break 😂	{'place_id': '1d9a5370a355ab0c'}
455238908	2020-04-07T21:44:49.000Z	1247641504648224770	 If he not for his relationship with the owner, he would have been canned many years ago. He is/was very inept at his job, he should be grateful that he even has the ability to go out by choice (not a Bulls fan)	{'place_id': 'ecbe21c16e88f161'}
2833282007	2020-04-07T21:08:07.000Z	1247632267880599553	I can’t do shit. I’m ready to go back to school.	{'place_id': '1d9a5370a355ab0c'}
358352064	2020-04-07T20:55:55.000Z	1247629198027563011	"I find I'm speaking to myself in response to seeing people on TV touching each other, going out or not wearing gloves and masks, saying in my head, ""Back when we could leave the house..."" We'll get through  it's just strange and tragic to be living it."	{'place_id': '1d9a5370a355ab0c'}
25588979	2020-04-07T20:53:15.000Z	1247628528436293638	I feel like the Mayor and Mother Nature are in cahoots and testing us with this weather. If we behave, quarantine will end faster and if we all go out today, we won’t get to see the summer. I’m just going to stay home and eat cake.	{'place_id': '1d9a5370a355ab0c'}
18268285	2020-04-07T20:08:06.000Z	1247617164883963905	       We listened to the scientists and medical community WHO Said not to worry. Dr Fuchi said on January 0 it doesn't look to be an issue. He disagreed with Trump as did all dems on Jan 0 when he stopped travel to China. As of MidMarch NY was told to go out rest, bars, theater	{'place_id': '1d9a5370a355ab0c'}
