119512960	2020-05-18T23:59:23.000Z	1262533271155507200	And niggas be going out they way to date/marry white people LMAOOOOO 	{'place_id': '003cc2276dfcaca4'}
31288677	2020-05-18T23:58:52.000Z	1262533142000304133	I’m still trying to go back to school this fall. I never cared.	{'place_id': '1d9a5370a355ab0c'}
14111219	2020-05-18T23:55:35.000Z	1262532314640326656	🚨 visited Chicago coronavirus testing site with  &  delivered meals to school & hospital with  &  yet took time to talk, my latest at   🚨 	{'place_id': '0fc292af77d46000'}
1596786523	2020-05-18T22:06:31.000Z	1262504869946163200	I don’t think he’s taking the pill, he’s financially invested in this and is trying to get ppl to go out and get this pill to increase his wealth. That’s criminal 	{'place_id': '08695e38fe9e7edf'}
407988095	2020-05-18T21:00:46.000Z	1262488322594746370	More and more people are going out when I'm commuting to and from work thus more crowds and I just.... :/ 	{'place_id': '1d9a5370a355ab0c'}
835930077879750657	2020-05-18T20:11:05.000Z	1262475820074962946	 No reason to apologize u said nothing wrong ...it's a time that none of us has ever imagined we would actually live in...the economy...job loss...kids back to school ....our everyday norm not any type of norm now...the new normal all because of a virus that came one day....	{'place_id': 'a3c3c2f3573eacf7'}
78965979	2020-05-18T19:53:29.000Z	1262471388616679424	And he was off to school to get suspended!—————————          … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.69149, 41.92519]}}
758747329767714819	2020-05-18T19:49:01.000Z	1262470263561748482	0/x  reminds us on  may resemble  She discusses the statistics, importantance of  and general health, because, “ is not going anywhere anytime soon.”  When you go out,  	{'place_id': '1d9a5370a355ab0c'}
21681939	2020-05-18T19:13:04.000Z	1262461219534966786	     If you’re ever in Chicago or me in Denver, we are going out* and I will show you the side of gay life that will NOT shame you for lack of a six pack. And we will have fun, my brother. WE. WILL. HAVE. FUN. 🖤🖤🖤*After this pesky apocalypse is over, of course	{'place_id': '1d9a5370a355ab0c'}
1319758248	2020-05-18T18:57:20.000Z	1262457257754796037	i really just be going out to get food now i can’t cause my side mirror gone 💀 and i can’t see	{'place_id': '1d9a5370a355ab0c'}
822068106059284480	2020-05-18T18:51:56.000Z	1262455898242453513	  i timed my drive to school just so i could listen to the strawberry letter segments😂	{'place_id': '08695e38fe9e7edf'}
2727176184	2020-05-18T17:38:08.000Z	1262437326724182016	Quarantine is cool but then it’s like okay bitch I wanna go out eventually 😭🥴	{'place_id': '1d9a5370a355ab0c'}
24490183	2020-05-18T17:27:09.000Z	1262434563852324864	  The problem is that when people go out and get sick they then spread it at the grocery store and at home and anywhere else they go. It puts their families at risk and essential workers at risk and increases the length of the lockdown.	{'place_id': '1d9a5370a355ab0c'}
885261916779761664	2020-05-18T14:48:32.000Z	1262394644882763776	I wouldn’t trust Eric to bring my son to school. Dumb fuck, dipshit. 	{'place_id': '1d9a5370a355ab0c'}
52585436	2020-05-18T14:46:33.000Z	1262394148864344064	Uh oh. This could further complicate things for    I am going out on a limb here - he definitely won’t be running for KS Senate this year. 	{'place_id': '1d9a5370a355ab0c'}
69449982	2020-05-18T14:43:48.000Z	1262393455755636741	It is with great sadness that I announce the passing of Cubby.  He was a sweet and loving dog and will be missed immensely here at Wiggly Tails.  Our thoughts and hearts go out to his family during this most… 	{'place_id': 'ecbe21c16e88f161', 'coordinates': {'type': 'Point', 'coordinates': [-87.82759, 42.1005]}}
69986816	2020-05-18T13:11:31.000Z	1262370229851697152	Tom Joyner was always blasting on the way to school 	{'place_id': 'c8b021ffd0c94ffc'}
117422473	2020-05-18T11:01:10.000Z	1262337427236102145	"Go out to the forest, listen to the music in your soul. My new cover of ""Listen to the Music"" a song with great positive energy - from a request on the Sunday livestream. Original: Tom Johnston  0      "	{'place_id': 'fae2b07ae098ffde'}
