37670053	2021-03-22T23:48:56.000Z	1374146106758664192	These two went back to school today! 0 down, all of us back to school! @ Villa Park, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.9778, 41.8886]}, 'place_id': '088c56ad174b8e80'}
2986303310	2021-03-22T23:25:20.000Z	1374140165996867586	I went to college in Boulder and know exactly where that supermarket is. My heart breaks for all the victims. We need to do better as a species. 😢	{'place_id': '1d9a5370a355ab0c'}
2237701754	2021-03-22T23:13:06.000Z	1374137086199144449	Prayers go out to all those involved and affected by this event. 	{'place_id': '1d9a5370a355ab0c'}
1095399957467676673	2021-03-22T19:40:54.000Z	1374083686828740619	Huuuuu i hate that i have to go to work and it feels nice asf outside	{'place_id': '1d9a5370a355ab0c'}
1095182215418429440	2021-03-22T18:38:31.000Z	1374067984575107073	Y’all I am tired of this. Why do these parents only bring their kids to school when they need a babysitter. I am not your babysitter. Also, don’t get mad at me when your kid doesn’t know anything.... where you been boo?!?!   	{'place_id': '1d9a5370a355ab0c'}
24319840	2021-03-22T16:59:02.000Z	1374042950477484035	Your point ! Why disgrace our bodies ! Students now are so overboard with clothes , tattoos  , ear plugs they wear to school ! No fear no respect for authority ! We are in a crisis. ! 	{'place_id': '918c943e88cc3e5d'}
14345294	2021-03-22T16:37:02.000Z	1374037415300628484	TONIGHT there is a new TV episode that looks at the unsolved Tammy Zywicki killing.Several ppl on the Tribune FB page said this case inspired their parents to get them a cellphone. Zywicki died after her car broke down in Illinois while she drove to college in 0. 	{'place_id': '1d9a5370a355ab0c'}
147364680	2021-03-22T14:42:26.000Z	1374008574628745219	   So why did she lie about going to work?	{'place_id': '1d9a5370a355ab0c'}
2334656288	2021-03-22T14:14:01.000Z	1374001422052773896	I go out of town in 0 days and it’s SO needed	{'place_id': 'bcc6dcc930424146'}
3184401930	2021-03-22T12:35:31.000Z	1373976634517291011	If we date your not a prisoner, go out and do what you want , just be loyal.	{'place_id': '1d9a5370a355ab0c'}
1052343611948507136	2021-03-22T02:12:31.000Z	1373819852331311107	Devin Booker going to work early	{'place_id': '1d9a5370a355ab0c'}
1330669934158942208	2021-03-24T22:40:31.000Z	1374853662145720324	  In mans terms call me when he go to work or out of town.	{'place_id': '1d9a5370a355ab0c'}
1002915910041194499	2021-03-24T22:35:27.000Z	1374852389585453059	“Get me out of this house and get me out of my headGet me a drink and cigaretteI just need to go out 'cause I can sleep when I'm dead”MGK - Kiss Kiss 	{'place_id': '1d9a5370a355ab0c'}
486428420	2021-03-24T22:06:56.000Z	1374845209587159042	Air bnb must be going out of business	{'place_id': '1d9a5370a355ab0c'}
117284361	2021-03-24T21:28:56.000Z	1374835648348192776	Whether you're boxing 🥊, going out, or just want your hair braided, we braid hair for any occasion!Braids done by Selena. 	{'place_id': '1d9a5370a355ab0c'}
