2975437630	2021-07-12T21:48:31.000Z	1414703241829421057	I hope everybody know I’m not going out in Houston. I will not be the turn up queen this trip	{'place_id': '0da8a6c990f02eed'}
1363342153246789632	2021-07-12T21:46:30.000Z	1414702734541037577	having to go to school during the summer should be illegal	{'place_id': '1d9a5370a355ab0c'}
117879582	2021-07-12T21:45:11.000Z	1414702402884800521	    Nice. I graduated HS in 0. Went to college for a year then joined in 0. Spent 0 and a half years in Hawaii.	{'place_id': 'b23478d3162b126e'}
1147698356132691968	2021-07-12T19:57:56.000Z	1414675414224670727	So I want to go back to school and I really don’t know how to do it.. and it’s stopping me from reaching the goals I have set.. but it’s like, me stopping me.. I need answers God	{'place_id': '1d9a5370a355ab0c'}
1081385130407677953	2021-07-12T19:35:24.000Z	1414669740145053697	Democracies usually do not go out with a bang. They just cease exist…	{'place_id': '1d9a5370a355ab0c'}
1220563522502959104	2021-07-12T19:31:21.000Z	1414668721495412744	    Wait what? What's wrong with that? 🤦🏽‍♂️There are folks working(With No Pay)for years to land a job like that go to school for years to studie for a job like that & cuz she practiced for 0months she gets it, & u see nothing wrong with that? Wow!	{'place_id': '1d9a5370a355ab0c'}
960237640372154369	2021-07-12T18:51:38.000Z	1414658728884834308	Letting y’all know my bank account said I can’t go out this weekend. Please don’t hit me up 😌	{'place_id': '1d9a5370a355ab0c'}
826495641983528960	2021-07-12T17:57:38.000Z	1414645137368616965	 When we going out for a beer	{'place_id': '1d9a5370a355ab0c'}
256551411	2021-07-12T14:54:40.000Z	1414599091833737216	Well, time to go to work	{'place_id': '1d9a5370a355ab0c'}
1357093711495184385	2021-07-12T13:22:54.000Z	1414575998423781377	 One of my favorite memories with my father was him taking me to breakfast at this place that looked like it was from the 0s. It was attached to a bowling alley so we would bowl afterwards. Maybe spend time with him in the morning and you can still go out for the dinner shift?	{'place_id': '7ca9cc3e813b1534'}
826495641983528960	2021-07-12T04:01:09.000Z	1414434628505587716	This is how I wanna go out 	{'place_id': '1d9a5370a355ab0c'}
451190884	2021-07-12T01:04:41.000Z	1414390220003422235	Just woke up from a post brunch/shopping nap and im trying to go out again lol	{'place_id': '1d9a5370a355ab0c'}
841458343	2021-07-12T00:44:26.000Z	1414385125664636930	 It’s getting harder and harder to go out anywhere without fearing for your safety.	{'place_id': '1d9a5370a355ab0c'}
340703781	2021-07-12T00:25:54.000Z	1414380459547635717	also tourists ya pls come visit the beautiful city of chicago but does all common sense go out the door as soon as you’re here???	{'place_id': '1d9a5370a355ab0c'}
312860270	2021-07-12T00:02:50.000Z	1414374656245698563	 Went to school with his lil bro & sister. The Walker's always been solid	{'place_id': '1d9a5370a355ab0c'}
1572821	2021-07-13T21:49:08.000Z	1415065785396043783	 It’s one of the reasons I’m excited to go back to my office. It’s a few blocks away.	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.70844567, 41.92385864]}}
22706582	2021-07-13T17:24:12.000Z	1414999111410008065	 I love sunflowers! I went to college in the sunflower state! 🌻	{'place_id': '1d9a5370a355ab0c'}
1082427779583541248	2021-07-13T16:35:37.000Z	1414986884820967432	DID YOU KNOW👀 monthly payments will help lift 0.0 million Latino children out of poverty.Payments will begin going out on July 0! 	{'place_id': '1d9a5370a355ab0c'}
35488742	2021-07-13T16:23:52.000Z	1414983929195597827	dating profile update: going out tonight so I just want to thank the mosquito that got me very visibly on the neck this morning for not selecting literally any other day	{'place_id': '31afdbc173c17f0c'}
742016846744985600	2021-07-13T16:23:09.000Z	1414983750430113801	It be a Kee when people go out of their way to use big words and use them wrong as fuck. 	{'place_id': '1d9a5370a355ab0c'}
44949247	2021-07-13T16:03:38.000Z	1414978835972558854	 Who are you thinking clearly a couple of the top high schoolers are going to college that are left	{'place_id': '9458deb79984da4e'}
67148100	2021-07-13T15:52:46.000Z	1414976102297186305	Pangzai should be a motivational speaker for all the Americans who would rather sit at home and cry about their trump/Biden bucks going away, instead of going out and getting a job to support their family. Man of the people. 	{'place_id': '1d9a5370a355ab0c'}
625013878	2021-07-13T15:30:40.000Z	1414970542575194113	This is an “I don’t want to go to work” kind of day 🥱 	{'place_id': '1d9a5370a355ab0c'}
703259852030742533	2021-07-13T14:53:42.000Z	1414961237109190660	Resident approaches me about their power going out and we find out ComEd turned their shit off He’s gagging 😂😂	{'place_id': '1d9a5370a355ab0c'}
404365570	2021-07-13T13:59:50.000Z	1414947682871820301	Pluto I really have to go to work 🐾🐾      	{'place_id': '1d9a5370a355ab0c'}
1053939120	2021-07-13T13:30:47.000Z	1414940370077634567	" ""hotting up""sounds like something young women do before going out to the club..."	{'place_id': '1d9a5370a355ab0c'}
1385056042497757184	2021-07-13T04:12:35.000Z	1414799896239091714	I really hope the next person I find loves watching baseball and football… otherwise it’s just not going to work out.	{'place_id': '1d9a5370a355ab0c'}
22674294	2021-07-13T03:36:25.000Z	1414790793613778944	When will Johnson & Johnson go out of business?	{'place_id': '24d27a430ae5569f'}
147364680	2021-07-13T02:37:29.000Z	1414775964693893130	TL sleep? Prob not, but my fleeting after dark is definitely at a halt rn. I prob go out with a big ass throwback and retire it for good.	{'place_id': '1d9a5370a355ab0c'}
795467461843746816	2021-07-13T01:55:43.000Z	1414765452690079750	The Olympics are hilarious cause ppl go out there & get SUPERPOWERS.-Pavy	{'place_id': '1d9a5370a355ab0c'}
1213872720523354112	2021-07-13T01:52:46.000Z	1414764710482923520	the most meaningless award i received in high school tbh. still remembering scamming the system and coming in to school senior year for the last period of the day and still getting the perfect attendance award  😌 	{'place_id': '1d9a5370a355ab0c'}
248980407	2021-07-13T01:46:31.000Z	1414763134762602498	0: underpaid staffers or volunteers on a heavy scholarship and we were splitting one Airbnb 0 ways. We spent the time that the conference organizers had for the blood drive going out dancing and making the straight people have fun with drag queens 0 hours after Pulse, and it	{'place_id': '1d9a5370a355ab0c'}
31345164	2021-07-13T01:37:52.000Z	1414760959055384576	My hips look fucking WILD in this new dress. Imma have to go out soon.	{'place_id': '1d9a5370a355ab0c'}
490609252	2021-07-13T01:08:01.000Z	1414753447010873348	Thinking About Going Back To School To Add To My Major .	{'place_id': '1d9a5370a355ab0c'}
