2367377490	2021-11-29T23:28:26.000Z	1465462687043919873	crying screaming throwing up ripping my hair off my head I don’t wanna go back to school	{'place_id': '0fc7e0a406d55000'}
22416481	2021-11-29T23:16:01.000Z	1465459561964396544	 And then you are asking why the shot when they are outside the restaurant/bar looks cheap and out of place when Vick arrives seeing everyone run out. I was EXPECTING  to school ya and say that was ONE of the added scenes to the Director's Cut. That's why. 	{'place_id': '1d9a5370a355ab0c'}
620363261	2021-11-29T21:17:02.000Z	1465429620006731790	Lose weight, go to work!	{'place_id': 'f8834b23cf9ae9f3'}
906415765464797184	2021-11-29T19:15:19.000Z	1465398990065881095	  My question is, I miss the good fog every single time I go out, but you come to Chicago once or twice and get fog banger after banger! Wtf 😉	{'place_id': '8b351eeb91372dc7'}
946849627	2021-11-29T16:20:45.000Z	1465355058837659663	Clark Jolley going out real sad 😂😂 	{'place_id': '1d9a5370a355ab0c'}
33719221	2021-11-29T14:57:15.000Z	1465334044498046990	Met the love of my life on the train today going to work but he got off at Morgan and I get off at Clinton. I can only hope we pass each other in the Pilsen streets.	{'place_id': '1d9a5370a355ab0c'}
262359741	2021-11-29T14:04:38.000Z	1465320802526580739	 Yes I rethought that with my kids too. Gave one a car. Amtrak for another. Previously, I have had others who are traveling back to school with them who had transportation to have my kid hitch a ride.	{'place_id': '1d9a5370a355ab0c'}
2367924576	2021-11-29T13:32:56.000Z	1465312824360591365	Not excited about going to work today.I predict I get a million phone calls and hundreds of people coming in for advance tickets 😭😭😭😭😭😭 	{'place_id': '1d9a5370a355ab0c'}
3079891912	2021-11-29T12:07:59.000Z	1465291448677548036	Y’all should go out there and find love and be happy,if you cant/haven’t found love let people who have love and have found love be,yours will come,no need to stress any body on this app.Stop projecting your insecurities on others.If you want rich,poor,black,white,red.Go at it!!!	{'place_id': '1d9a5370a355ab0c'}
59250561	2021-11-29T06:06:44.000Z	1465200535817043968	Me realizing I really gotta go to work tomorrow 	{'place_id': '1d9a5370a355ab0c'}
2579503212	2021-11-29T05:12:54.000Z	1465186988714307584	I wanted to go out tonight too😪😪	{'place_id': '1d9a5370a355ab0c'}
815693510141767680	2021-11-29T04:29:45.000Z	1465176130277847040	Why did I think it was okay to get a flight at 0:0 am and go straight to school right after?🥴	{'place_id': '1d9a5370a355ab0c'}
992222259757633536	2021-11-29T02:32:51.000Z	1465146711899316226	Being Middle Eastern but growing up American means always going out of your way to blast Wiz Khalifa’s Roll Up every time your parents/grandparents are preparing warak dawali	{'place_id': '0da8a6c990f02eed'}
310720240	2021-11-30T18:40:00.000Z	1465752488527777798	 Just get older. Go to work. Feel the pain on your knees. Celebrate death that’s closer to your door. Get right with Jesus. There you have it.	{'place_id': '1d9a5370a355ab0c'}
265090480	2021-11-30T16:02:12.000Z	1465712775708254210	$0 to apply to school lmfao this wild. I better get in.	{'place_id': '5cba3a162965b0e2'}
634080765	2021-11-30T14:38:05.000Z	1465691610176495616	 You didn’t go to college????? How didn’t I know dis	{'place_id': '1d9a5370a355ab0c'}
1227285698023231489	2021-11-30T14:36:52.000Z	1465691302901825547	I have no student debt bc I didn't go to college. I want that shit canceled. 	{'place_id': '1d9a5370a355ab0c'}
18037969	2021-11-30T13:21:17.000Z	1465672282869800966	One coworker out for 0 months recovering from a hernia. Another is going out in February for knee reconstruction. He’ll be gone for quite a while. A third is going on paternity leave in May. And I just get to keep going to work.Anyone want to run over my foot with their car?	{'place_id': '1d9a5370a355ab0c'}
1365484091588632580	2021-11-30T10:02:56.000Z	1465622363345768451	 That’s awesome. I’m always amazed by train people and the info you all have	{'place_id': '1d9a5370a355ab0c'}
349335643	2021-11-30T06:30:15.000Z	1465568843280097282	I wanna go out to brunch tomorrow	{'place_id': '1d9a5370a355ab0c'}
2363320976	2021-11-30T05:02:48.000Z	1465546834093477890	Awww man back to school tomorrow 🥴	{'place_id': '1d9a5370a355ab0c'}
3079891912	2021-11-30T03:15:22.000Z	1465519796460601347	Finished school at 0,went ahead & got my 0st job & when I got up to go to work my aunties called me into the room Monday morning telling me tht all I needed was marriage & tht I shouldn’t work cos any man that finds out I’m making government money would automatically run from me 	{'place_id': '1d9a5370a355ab0c'}
61537047	2021-11-30T02:56:02.000Z	1465514931323822089	cant wait to be non-committal next month when NYE invites from all 0(seven) of my friend groups start going out	{'place_id': '1d9a5370a355ab0c'}
22944802	2021-11-30T02:51:49.000Z	1465513870462791681	My little baby cousin who did not want to go to college because he didn’t wanna take out loans, has a 0.0 GPA, varsity football, baseball, AND basketball, has now received scholarship offers from almost 0 schools across the country. So proud!👏🏽	{'place_id': '1d9a5370a355ab0c'}
132868021	2021-11-30T01:35:56.000Z	1465494773347856390	Decided to go out IRL tonight📍United Center 	{'place_id': '07d9c927a2c80002'}
426402737	2021-11-30T01:02:17.000Z	1465486307484962822	lowkey miss getting drunk & going out with christa 😭😭	{'place_id': '1d9a5370a355ab0c'}
424556600	2021-12-01T23:58:34.000Z	1466195045179088896	Now if they go out and get Correa or snag KB back…..that ought to silence the angsteteers of cubs Twitter for at least a little bit.	{'place_id': '1d9a5370a355ab0c'}
2505171786	2021-12-01T23:03:25.000Z	1466181167888187402	all my friends are homebodies, so I need more going out friends 😭😭 but I love my friends but i love going out. AGGGHHH	{'place_id': '1d9a5370a355ab0c'}
380049683	2021-12-01T19:46:35.000Z	1466131634814656512	My friends been going out getting drinks with other bitches & I ain’t found the patience to curse them bitches out yet	{'place_id': '13d0994d4df436f8'}
1289186688	2021-12-01T16:29:16.000Z	1466081976994222086	   I went to school with one while the movie was popular.	{'place_id': '1d9a5370a355ab0c'}
161694696	2021-12-01T14:45:51.000Z	1466055952881401868	The Bears, inspired by the story of Christmas, had to go out and sign Dee Virgin didn't they?	{'place_id': '4b3758bc32868265'}
589445510	2021-12-01T13:52:45.000Z	1466042587895275522	Walked the youngest to school today. Said good morning to 0 people. It's like Mayberry up in this muthafucka. 	{'place_id': '1d9a5370a355ab0c'}
