24252447	2020-02-24T23:21:25.000Z	1232083138601504769	Best decision I made today was not wearing underwear to the gym.	{'place_id': '5cba3a162965b0e2'}
1131406823444176896	2020-02-24T23:07:49.000Z	1232079714661126144	Gotta go to the gym in a bit, I’m hyped	{'place_id': '1cf51d4fa867b58a'}
954851906479849474	2020-02-24T23:05:06.000Z	1232079032663072768	You wear all white ones with a all white linen fit to a wedding, birthday party or any kind of bbq event 	{'place_id': '7c9d51a2fd0a7552'}
323104031	2020-02-24T22:06:29.000Z	1232064277508509698	How many meals per week do you eat out / order in?	{'place_id': '1d9a5370a355ab0c'}
246050341	2020-02-24T21:36:33.000Z	1232056746815950849	I wanna go on a date in the spring time with weed, drinks, a canvas to paint and fruit..	{'place_id': '1d9a5370a355ab0c'}
53895999	2020-02-24T20:55:03.000Z	1232046303976312832	my wedding 	{'place_id': '1d9a5370a355ab0c'}
4644880353	2020-02-24T20:21:34.000Z	1232037874121498629	Good wedding!! 	{'place_id': 'f2da3efc48696715'}
2735856989	2020-02-24T20:18:30.000Z	1232037102990299137	PERIOD MY FUTURE WEDDING 	{'place_id': '1d9a5370a355ab0c'}
3159888878	2020-02-24T20:13:40.000Z	1232035889926242305	the only thing someone needs to go on a date with me is a Criterion streaming subscription and a fat pussy.	{'place_id': '1d9a5370a355ab0c'}
27514420	2020-02-24T19:00:41.000Z	1232017519264911361	someone go to the gym with me 	{'place_id': '1d9a5370a355ab0c'}
726169069611827200	2020-02-24T18:06:40.000Z	1232003927161344000	I ain’t been to church in a while but I remember he singing having a lil mo YESAHHH type of funk to it. 	{'place_id': 'c5be6cc8c8fd4263'}
860943615589330944	2020-02-24T17:02:54.000Z	1231987880115015682	We cannot tell you how psyched we are for our END TIMES series. It starts this Sunday. Trust us, you won’t want to miss a single week in this 0 week mini-series. Get everyone you know to church. This will change… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.69, 41.97]}}
1088979622916702209	2020-02-24T16:13:56.000Z	1231975555702181889	Last night I went on a date with my co worker cause he has a huge crush on me and wOW I need a new job cause I don’t have it in me to let him down and say I don’t like him in that way.	{'place_id': '1d9a5370a355ab0c'}
3818870717	2020-02-24T15:58:44.000Z	1231971733198049280	I don’t go to the gym cuz all I listen to is sad music and how tf are u supposed to be in physical pain AND mental pain at the same time?!?!?!!?!?!!?	{'place_id': '1d9a5370a355ab0c'}
1857966799	2020-02-24T15:54:59.000Z	1231970790091952129	you know how there are those christians that only go to church on easter and christmas.... that’s the easiest way to explain my relationship to my father	{'place_id': '1d9a5370a355ab0c'}
335410704	2020-02-24T15:44:20.000Z	1231968109067722753	Had a great time working at  for Niko and Heather   celebration! From the rappin' matron of honor to the song written by her dad, tears of joy from all!        	{'place_id': '000a381c49091836'}
2895951177	2020-02-24T12:28:36.000Z	1231918849752211457	It’s a better feeling to actually wake up and eat breakfast etc first instead of rushing to get to the gig.	{'place_id': 'f1dfa58974449052'}
21940403	2020-02-24T11:20:54.000Z	1231901810950012930	Look who came to church yesterday! It’s  dondonwoodsiii We did a  play instead of service yesterday. It was called “I AM” it was pretty cool!  kept saying Don Don did a good job… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6216, 41.8671]}}
2287950722	2020-02-24T09:14:19.000Z	1231869955790049281	 Mr. Wheat! I was having snacks cause mom was out on a date and I got the crib to myself, so moms house, I was at my moms house	{'place_id': '1d9a5370a355ab0c'}
3328383574	2020-02-24T05:24:51.000Z	1231812211074641920	Had a wonderful time seeing Stephanie and Chrissy get married yesterday!!! Congratulations to you both!! ❤️❤️❤️   @ Michelle's Ballroom 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6981, 41.93962]}}
790886306	2020-02-24T04:00:00.000Z	1231790857164132352	I’m gonna take myself out on a date I miss me maybe catch a movie and go to a cute sushi spot then come home and play with my vibrator 🥰 	{'place_id': '1d9a5370a355ab0c'}
16560853	2020-02-24T03:57:41.000Z	1231790275061829634	I kind of miss the rush of mentally planning a wedding after someone would poke you on Facebook.	{'place_id': '1d9a5370a355ab0c'}
327736079	2020-02-24T01:12:56.000Z	1231748814161268736	 Damn lol. I’m on a date here rn and I really wanna use the pool in the summer lol	{'place_id': '1d9a5370a355ab0c'}
426402737	2020-02-24T01:04:15.000Z	1231746628329050112	like mfs really be telling me “oh i thought you were married bc of your ring!” bitch hoooooow when it’s on my right hand?! 🤦🏾‍♀️ like, do you just not know your left from your right or do you not know that (typically) wedding rings are on the left hand??	{'place_id': '1d9a5370a355ab0c'}
43701053	2020-02-24T00:04:07.000Z	1231731492906262529	Since I’m not eating out for a while I’ll be cooking a lot more on my IG	{'place_id': '1d9a5370a355ab0c'}
37323138	2020-02-25T23:54:07.000Z	1232453755901071360	Do they get some extra $ for making it to the wedding day? I’d like to understand.	{'place_id': '1d9a5370a355ab0c'}
19346693	2020-02-25T23:09:06.000Z	1232442425584472065	I know I’m late to the party but I finished Cheer last night and loved that show so much. Emotional rollercoaster & I was totally totally team Jerry- we should all strive to be more like him. So positive and unselfish	{'place_id': '1d9a5370a355ab0c'}
496173030	2020-02-25T23:00:27.000Z	1232440248581287936	         I’d be down to grab a drink (or attend a meetup) anytime! Just dm me :)	{'place_id': '1d9a5370a355ab0c'}
352118465	2020-02-25T23:00:23.000Z	1232440229509750785	Going to the gym just to tan makes me feel like the biggest piece of shit ever. Am I still going to do it? 0% yes.	{'place_id': '1d9a5370a355ab0c'}
30878301	2020-02-25T21:59:31.000Z	1232424912305913861	More wedding photo goodness...    @ Lacuna Lofts 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.65048507, 41.85326382]}}
1134152518064320512	2020-02-25T21:48:49.000Z	1232422221286604800	; ima start going to the gym as this weekend is ovr .. i really am gonna go everyday . lol . like frfr , binge type of situation	{'place_id': '04c0488a01ad05ce'}
734080478	2020-02-25T20:19:13.000Z	1232399673702350848	My wedding is this Saturday, I’m 0 weeks pregnant and I’m very emotional 😭 if y’all see my crying at my wedding just be happy for me and don’t think I’m sad it’s the hormones	{'place_id': '1d9a5370a355ab0c'}
1138943431873613824	2020-02-25T19:51:24.000Z	1232392670636584961	  lmaoooooo that mf chillin. We never going to the movies again 	{'place_id': '92e012db736d72c5'}
132352072	2020-02-25T19:48:03.000Z	1232391828940480519	Just got to the gym 💪🏽	{'place_id': '1d9a5370a355ab0c'}
945871020	2020-02-25T19:38:39.000Z	1232389464409956353	We’ll always love thoughtful, romantic vintage details...rootsoflife ...          … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62763609, 41.8996911]}}
52350849	2020-02-25T19:27:45.000Z	1232386722320846850	Ooh ooh I’m fenna take myself to the movies...I’d like to see “The Photograph “ and that Harley Quinn movie.	{'place_id': '1d9a5370a355ab0c'}
4434104495	2020-02-25T19:09:36.000Z	1232382153314459651	I really wanna start going to the gym 😩😩 i wanna gym buddy mfs be playing	{'place_id': '99700cd6fc455c13'}
102128822	2020-02-25T18:25:15.000Z	1232370992464433155	💙 Did you know our Intro to Yoga series is limited to just 0 students (in a workshop-style environment) so students get more individual attention? 💜💜💜Did you know that when you enroll you also receive unlimited… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6647299, 41.9980051]}}
600519023	2020-02-25T16:36:08.000Z	1232343530569453575	Last night we took our friend out for a unique experience to celebrate her upcoming wedding. Friends and proprietors of Sideshow Gallery, Anne and Cheri, took us through a magical experience that delighted us all.… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.68723, 41.9223]}}
1103853906977792000	2020-02-25T14:08:40.000Z	1232306421175406592	Squats and push ups cuz I didn’t feel like going to the gym gym	{'place_id': '1d9a5370a355ab0c'}
451933426	2020-02-25T12:44:24.000Z	1232285213159514112	My day started at midnight today.... I been up since. Went to the gym at 0 and now I’m pulling up to work.... who tf am I ?? 🥴🥴	{'place_id': '7c9d51a2fd0a7552'}
162519957	2020-02-25T06:39:40.000Z	1232193427137323009	"Summer Slam 0. Probably the video I rented most from blockbuster as a kid, and the ""Match mMade In Heaven"" was a HUGE influence on my wedding.. whole relationship for that matter.  ooOOOOOOh YEAH! "	{'place_id': 'e363b61fbd793d7d'}
1062556456392769536	2020-02-25T05:49:31.000Z	1232180803964153856	Surprised at how much my  membership is actually going to cost me this month. Apparently the ‘intro to the gym lifestyle’ doesn’t come with an intro-to-gym price	{'place_id': '1d9a5370a355ab0c'}
2431069741	2020-02-25T03:21:19.000Z	1232143509056081921	lil uzi will be performing at emily’s disney fairytale wedding	{'place_id': '5e80ee08ea361155'}
22993639	2020-02-25T03:03:24.000Z	1232139002876223488	I’m not 0% but I might be on a date. Also, I just ordered a cappuccino and it’s 0:0pm. I’ve obviously been dating the wrong producers this whole time, so. genuinejoao @ Soho House Chicago 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.64830682, 41.88374]}}
1963829299	2020-02-25T02:55:51.000Z	1232137100222353408	Awww, Nacho and Lalo are on a date 	{'place_id': '1d9a5370a355ab0c'}
172457004	2020-02-25T01:26:39.000Z	1232114650839384064	 Let’s go on a date	{'place_id': '1d9a5370a355ab0c'}
386573370	2020-02-25T01:26:24.000Z	1232114589824929793	Oh my god. Now I want this as our wedding invitation.  	{'place_id': '1d9a5370a355ab0c'}
3749641	2020-02-25T00:47:24.000Z	1232104774838968320	I had my first Mac too...a grey apple iMac with dial up. I went on a date with someone I met on the saddle creek message board. 0 was the FUTURE, I tell you.	{'place_id': '1d9a5370a355ab0c'}
