2020-05-05T23:54:27.000Z	1257820986898026497	Daydreaming of destiination weddings. Happy Cinco de Mayo and wedding planning dreams! 🌵☀️ 🇲🇽     … 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6461792, 41.90023277]}, 'place_id': '1d9a5370a355ab0c'}
2020-05-05T22:26:45.000Z	1257798917057589249	   Toyin the wrecker of zils. Chop zils till dem.turn the place to church. I watch free match sha but no be still free coz na our place e dey collect tv. Wale b like e ur gen sef	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T21:26:55.000Z	1257783858965155840	i wanna go on a DATE	{'place_id': '9f3d755fe1a081a4'}
2020-05-05T21:09:48.000Z	1257779551347912706	Love is in the air ..... it’s way more contagious than Any other virus and we are here for it! This wedding at the mortonarb was stunning.    … 	{'coordinates': {'type': 'Point', 'coordinates': [-88.06898117, 41.81316275]}, 'place_id': '6af99a29bfae42a2'}
2020-05-05T20:31:16.000Z	1257769856356757506	Hey I might get a haircut in June!   Pritzker Reveals Five-Phased Plan to Reopen Illinois 	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T16:01:02.000Z	1257701850016632834	  My friend in South Korea showed a similar picture of people eating out and separated by glass partitions.	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T15:05:08.000Z	1257687781477888001	  I’m posting concerts I’ve enjoyed on my ThrowbackThursday posts as a coping mechanism. I know you miss live music too, but eating out too! You could post photos of meals you’ve enjoyed at your favorite restaurants.    🍕🍷🍜🥘🥟	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T12:35:03.000Z	1257650010910490625	 Other is a choice. Can’t list the all. But Tom Cruise is welcome to the party. 	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T12:31:26.000Z	1257649099790303233	So  falls on Taco Tuesday and we can’t go to a restaurant or bar to celebrate because of a virus called Corona	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T12:00:31.000Z	1257641319847034881	I haven’t been on a date in so long😭 	{'place_id': 'a831a12094517a15'}
2020-05-05T11:25:19.000Z	1257632464413040640	Mother and son dance. Always so fun and emotional. Probably one of the favorite parts of the wedding are the parent dances. I always like to see what songs are picked for these too. @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
2020-05-05T09:39:46.000Z	1257605898375217153	Watching this girl cry about she came all the way to the US and her nigga can’t afford the wedding is so sad.	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T08:47:50.000Z	1257592832703037440	If I tell you it makes me uncomfortable to eat in front of people and all you do is force me to eat out I’m going back to my home country.	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T05:33:32.000Z	1257543931992182784	I know I’m late to the party but  made this new  album DIRTY. I need to take a shower after listening to this. God damn. 🔥🔥🔥	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T04:22:06.000Z	1257525954907385857	do i wanna go to the gym rn 🧐	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T03:11:14.000Z	1257508122291326979	i had a dude take me on a date to a place like this specifically so we could play all the hot shot arcade games. we played for legit 0 mins and he didnt win 0 game. safe to say there was no 0nd date 	{'place_id': '1d9a5370a355ab0c'}
2020-05-05T02:44:37.000Z	1257501424570847235	 Mark- You have the platform, call out the 0 companies who lawyered through the loopholes to screw small business. Would you call a wedding with 0 guests “a small wedding?” This is so repulsive on so many levels💰. 	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T23:09:10.000Z	1258171982102892545	 You need to go to church	{'place_id': 'b23478d3162b126e'}
2020-05-06T22:34:26.000Z	1258163240087040000	I've accepted the fact that if I don't get a haircut within the next month my hair will be in a ponytail 🤷🏽‍♂️	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T20:41:12.000Z	1258134742991593472	  Why do you feel okay sending her back to the gym?	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T19:38:32.000Z	1258118971993268225	A very thoughtful review from this last Fall. We always look forward to your words of appreciation. Check is out on  and if you had your ceremony give us a review and we will share your quote.       	{'place_id': '07d9e1fb52885001'}
2020-05-06T17:37:38.000Z	1258088547493597187	Not supposed to be spending my money but going to a restaurant just sounds so lovely	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T17:30:06.000Z	1258086651911442432	I miss going to the gym. This close to shopping for weights 🙄	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T17:27:55.000Z	1258086103350939649	I’ll have the wedding on 0th and King Drive. 	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T16:52:52.000Z	1258077282406670337	I LOVED this cover. This was the first issue I read every time I went to the salon. 	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T16:33:08.000Z	1258072317038559232	I hate all of this virtual bs. No i don’t want to have a party with u through zoom 🙄🙄🙄	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T14:01:13.000Z	1258034085089480705	How does facebook with its oculus headset , feed concept and all our friends - reinvent the social shopping experience like going to the mall as a high schooler in the 0’s - all the pieces are there for experience??	{'place_id': '222efb7ee8b98c58'}
2020-05-06T03:59:10.000Z	1257882572547375105	As coronavirus forces wedding cancellations, how much do couples, vendors stand to lose?    	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T03:42:56.000Z	1257878488394104832	May ACM Chicago meeting will be online on Wednesday, May 0 at 0 PM CST.  Topic is Microsoft's AI for Good Programs and our speaker is Adam Hecktman from Microsoft.  More details and registration at:  	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T03:33:58.000Z	1257876233725054977	No one should let me get drunk, watch wedding videos, and have access to Twitter.	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T02:48:49.000Z	1257864868692201472	It did. Wedding videos have begun!	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T01:51:56.000Z	1257850552328880130	Trisha’s telling Rosie she needs two bands for her wedding ring AND I ONLY HAVE ONE BAND GEORGE, WHO DOESNT WANT TO BUY ME ICE CREAM, AND MOST LIKELY WONT WANT TO BUY ME A SECOND BAND.	{'place_id': '0e0b9a037618a313'}
2020-05-06T00:51:53.000Z	1257835442701062145	I have a feeling that drinking margaritas at dinner is going to end in me watching wedding videos on YouTube.	{'place_id': '1d9a5370a355ab0c'}
2020-05-06T00:05:34.000Z	1257823787854299136	I just wanna go to Dave&Buster’s, then to the movies, get a bottle, then go bowling or to TopGolf! 🤍🥺	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T23:47:56.000Z	1258544122253545472	      I use MeetUp (PreRona) and find things of my interest to meet people, and it has worked both platonically and romantically.	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T23:28:46.000Z	1258539302721478657	I miss going to the gym with my coworkers for group training they helped to motivate me! Our trainer offered to do one on one training via zoom but it’s not the same 	{'place_id': '97ae6559498bd23d'}
2020-05-07T23:24:05.000Z	1258538123383828481	things that i have seen on wedding reality shows today that i Will Not allow at my wedding:•a goddamn FLASH MOB. with dozens of people doing CHOREOGRAPHED. DANCING!	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T22:02:25.000Z	1258517568748310528	Getting ready for pizza, Riesling and my astrology meetup happy hour🙌🏾🍷🍕  	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T21:57:28.000Z	1258516324218572801	   So what you want me to lose hope on not being able to go to a concert or sporting event until 0? Fuck that. I’ll remain optimistic until they tell me not to be	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T19:34:45.000Z	1258480407508647937	We’ll be excited when couples can sit in our chairs again!..            … 	{'coordinates': {'type': 'Point', 'coordinates': [-87.66646, 41.85442]}, 'place_id': '1d9a5370a355ab0c'}
2020-05-07T14:27:09.000Z	1258402998998441994	it's so sick when the one bride on Four Weddings that takes a big stinky dump on everyone else's wedding has her wedding and then it's the WORST. ONE.	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T14:21:18.000Z	1258401527527505920	I’d go to. I had a sub invite me to his cousins wedding. I sat behind him and his wife 😈 	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T13:48:12.000Z	1258393198164049921	-We went up to church the other day just to pick something up, and we we blessed to see some new life. A member planted flowers bulbs months ago and those are now blooming and gorgeous. Something… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.78462857, 41.9111931]}, 'place_id': '1d9a5370a355ab0c'}
2020-05-07T13:16:37.000Z	1258385246820728834	   The zoom wedding where you just need your fancy bathrobe to be considered dressed up. 😉	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T10:51:14.000Z	1258348661957935104	Super jealous of my friend who has been slowly befriending a squirrel during this lockdown and now has the squirrel eating out of his hand outside his window 🐿	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T04:58:57.000Z	1258260006417371136	Oh god. I went on a date (and/or hooked up??) with this guy around 0. 	{'place_id': '1d9a5370a355ab0c'}
2020-05-07T01:20:29.000Z	1258205025626492928	Things that will get you shot as a black male in America........... Walking to the store to get candy, shopping in a store, jogging, walking, cooking, flirting, eating ice cream in your home, going to church, driving… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
2020-05-07T00:58:49.000Z	1258199574902190082	TONIGHT @ 0PM CST—Sooo if we are going to be home for another month, I’m going to need to get these words outta of my head! (🤷🏾‍♀️🤣 Life of a poet!)📝💌I’m even bringing a lil Merlot to the party! Join me on… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
2020-05-08T23:51:45.000Z	1258907474205249536	 Should probably go on a date first before asking me about your condo renovation haha	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T22:58:03.000Z	1258893959578951682	*correction* Walking back to the car . Because I’m having an outside wedding by water ; No church wedding for me	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T22:05:39.000Z	1258880770975948805	I was planning my wedding in New Orleans on Halloween but Covid had other plans. But now my hometown  will be there playing the  that weekend. Looks like im still headed to the bayou. Maybe we can get married at the game!?    help me out	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T17:45:55.000Z	1258815408259444738	Just got a call that Madison & I’s venue for the Wedding won’t open for the month even after the stay at home order. Meaning we probably won’t have a wedding this year, which is probably one the biggest fucking bummers I’ve ever felt. And I have no one to directly yell at...	{'place_id': 'b8fcb766f3f544fe'}
2020-05-08T16:28:18.000Z	1258795873745678349	Robby and I never get to travel. My cousin just got engaged and is having the wedding in TWO YEARS in Costa Rica. Robby and I hyped and have made plans already. 	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T16:01:11.000Z	1258789052527960065	 first pic is prom 0 (Sheesh) and second pic is from my sister wedding in Jamaica 🇯🇲 a couple years ago. I’ll say two things, 0- THANK GOD I GREW FACIAL HAIR (🤣🤣🤣🤣) and 0- OLD MAN LOGAN CLEAN UP… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
2020-05-08T15:06:02.000Z	1258775172552802307	I owe about 0 people a bottle of whatever. The next twitter tech meetup im buyin everyone a shot. Thank you all seriously. I cant wait to meet a few of you	{'place_id': '422cf154312cd404'}
2020-05-08T14:37:01.000Z	1258767870022094849	Told babe that I’m going on a health journey and that I’m not allowed to eat out anymore. I can already feel the support	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T13:52:26.000Z	1258756647830290432	 What wow city gets it right? Or most right? This is a neat perspective to see the game world!	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T08:43:24.000Z	1258678878349832192	 YES!! And I saw a post on Facebook that said “if you’re mad about businesses reopening then don’t go to them” like that isn’t the point sis. Me not going to the salon, mall etc. doesn’t change the fact that others will STILL be spreading the virus	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T05:45:44.000Z	1258634169220988928	Cant forget I had   and   at our wedding.. 🔥🔥🔥 	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T05:02:19.000Z	1258623242945863681	The way Stuck With U is about to be one of my wedding songs 	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T03:39:22.000Z	1258602364954652672	Please forgive me. I am late to the party, but *goddamn* can  write some songs. Oh my goodness!	{'place_id': '608f41abb00f3c66'}
2020-05-08T03:01:25.000Z	1258592815128424449	Star Trek:DS0The wedding of Commander Worf and Jadzia Dax.How much shit is a person supposed to take 🤔😡?	{'place_id': 'b98acb4e130f102d'}
2020-05-08T03:00:52.000Z	1258592675713953793	QAPLA'The Mistress of the House of Martok finally accepted Jadzia.Their wedding was powerful 🖖🏾	{'place_id': 'b98acb4e130f102d'}
2020-05-08T02:32:42.000Z	1258585587659014145	I really like Making the Cut but I think I’d rather watch an entire show centered around Naomi Campbell and Heidi Klum going shopping.	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T01:17:11.000Z	1258566582843908097	Hey   my fiancé and I decided to have a small Andy Reid themed wedding ceremony in July. Any ideas on decor or vows?	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T01:14:52.000Z	1258565999663685640	  My friend had plenty of Metallica at his wedding. 	{'place_id': '1d9a5370a355ab0c'}
2020-05-08T00:42:58.000Z	1258557974861221890	I remember my cousin taking me to the arcade to play this. 	{'place_id': '08695e38fe9e7edf'}
2020-05-09T23:08:07.000Z	1259258880300855301	 The earliest I’ve been to a concert	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T20:51:34.000Z	1259224517634859009	 I was totally embarrassed at the Jewish wedding on the north side. No different than the parties held in different areas. Just defiance either way.	{'place_id': 'f16f37294392e394'}
2020-05-09T19:52:59.000Z	1259209773972631552	At least one of us can get a haircut!  @ Wheaton, Illinois 	{'place_id': '57ac88aefcd20988', 'coordinates': {'type': 'Point', 'coordinates': [-88.1066, 41.8655]}}
2020-05-09T17:17:57.000Z	1259170758707773443	    if theres ever a lagoon alumni meetup ill be there 😈	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T16:22:11.000Z	1259156722461011968	  I’m just curious, why is it legendary. I started watching MLB with Cal’s game so I was a bit late to the party. First time I’ve heard it was legendary.	{'place_id': '389e765d4de59bd2'}
2020-05-09T14:15:53.000Z	1259124939782852608	Shauna & Austin’s original wedding date is here! We are excited to announce the winners of the Bariano Prosecco x Marquette Avenue Events  for Illinois  💜 First things first, the… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
2020-05-09T13:44:33.000Z	1259117051865694209	Update: I told her we should go on a date before I dispense with free design advice and she unmatched me.	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T12:31:31.000Z	1259098676028473344	Kinda hard to get a haircut when you’re on a ventilator. 	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T06:26:16.000Z	1259006755658498053	I'm engaged and you're all invited to our Zoom wedding 	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T05:52:36.000Z	1258998281704820737	Our babies are getting engaged. 👰 We know that the wedding is going to be amazing. 🥰   	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T04:18:24.000Z	1258974578728206336	This is sooooo  🔥🙌🏽 The  we’re making it rain lol!  Bay Area Groomsmen dance! epic ending. Best wedding performance by black...  via 	{'place_id': '1d9a5370a355ab0c'}
2020-05-04T15:41:17.000Z	1257334491665833985	   They were gathering in groups that was the issue what were you watching usually when you play basketball it’s two teams five against five this wasn’t horse like the NBA played recently	{'place_id': 'f16f37294392e394'}
2020-05-04T12:58:33.000Z	1257293538653544453	As I thought it would get interesting as the weather broke and we approached summer. It’s going to be tough to keep people in the US from going out and gathering. I’m seeing it. And our Chicago order has 0 days left. I believe people have been gathering all along unfortunately	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T19:41:10.000Z	1259206798067871746	The health department didn't ask which large gathering they attended?? 	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T16:55:27.000Z	1259165096481361920	after this quarantine I promise I’ll never Irish Goodbye any social gathering event ever again	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T16:39:47.000Z	1259161151335731202	Gathering of the simps nowin progress | EU/PC |     Dead by Daylight 🧟‍♂️🔫Watch Rawific with me on Twitch! 	{'place_id': '1d9a5370a355ab0c'}
2020-05-09T14:40:48.000Z	1259131208795140097	Irresponsibly gathering in a big crowd to protest stay at home orders mostly without masks and social distancing…gee, what could possibly go wrong? 	{'place_id': '9a02ce6ca066fcdc'}
2020-05-10T23:50:13.000Z	1259631862701490178	My mom just told me how she was scouted by an Eastern Star. She isn't the type to look to deeply into things but she perceived how ol girl was moving. After leaving a gathering she was invited to a temple and claims she saw demonic figures circling the building	{'place_id': '1d9a5370a355ab0c'}
2020-05-10T15:28:28.000Z	1259505591925518336	To all who birth/ed dreams, people and realities -  Mother’s Day blessings!  multiplied today and in these days!      @ The Gathering Chicago 	{'coordinates': {'type': 'Point', 'coordinates': [-87.58504, 41.79788]}, 'place_id': '1d9a5370a355ab0c'}
2020-05-10T03:01:10.000Z	1259317528062500866	 Absolutely!! As fun as a social gathering is, even on a computer, it is so draining being on a computer all day and night!	{'place_id': 'f04813ea26f51186'}
