269110631	2020-08-03T23:02:08.000Z	1290422731498954752	Flower girls!          @ Stan Mansion 	{'coordinates': {'type': 'Point', 'coordinates': [-87.70789, 41.92514]}, 'place_id': '1d9a5370a355ab0c'}
1283766950	2020-08-03T20:07:39.000Z	1290378819401064448	SF restaurant that hosted   party speaks out My question: Why are ANY  not complying with orders? 0 people with  = unnecessary. via 	{'place_id': 'ed888f00de07aa3a'}
132352072	2020-08-03T18:30:29.000Z	1290354366122266625	Just got off work .... time to head to the gym 🏋🏽‍♂️	{'place_id': 'da64cd6b4a6e157c'}
47767817	2020-08-03T18:28:31.000Z	1290353871546724352	When I can wear a shirt with no bra 🥺 I need someone to take me on a date 😂😂😂 or save it to take pics for the gram	{'place_id': '1d9a5370a355ab0c'}
486428420	2020-08-03T17:28:46.000Z	1290338836984274945	Love her ... welcome to the party 	{'place_id': '1d9a5370a355ab0c'}
319978898	2020-08-03T16:46:31.000Z	1290328202783657986	i want to go on a date	{'place_id': '1d9a5370a355ab0c'}
19737940	2020-08-03T16:20:16.000Z	1290321595400163328	It’s so Chicago to never show up to a party empty handed😍  and the  are really handling grown folx business in the  and you love to see it 💙💎💛 	{'place_id': '1d9a5370a355ab0c'}
218294727	2020-08-03T16:06:00.000Z	1290318005277274125	gotta get to the gym today	{'place_id': '1d9a5370a355ab0c'}
933159951911944193	2020-08-03T15:47:34.000Z	1290313366926430208	Soo who wants an invite to my wedding because I know for sure it’s gonna happen and I have a clear picture of who it is with 👀	{'place_id': '1d9a5370a355ab0c'}
2990412197	2020-08-03T15:47:06.000Z	1290313249255297024	"""The secret of a happy marriage is finding the right person. You know they’re right if you love to be with them all the time."" Julia Child While I was on the dance floor for another wedding, my 0nd planner was… "	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
45777919	2020-08-03T14:58:15.000Z	1290300959042617346	 Seriously. I keep trying to go on a date with a nice older woman, only to show up and find a young woman who doesn't even have the basic decency to face me!	{'place_id': '1d9a5370a355ab0c'}
323002038	2020-08-03T13:42:12.000Z	1290281818801897473	Started my day getting a speeding ticket while I was headed to the gym. Nice way to start the week 😭	{'place_id': '92e012db736d72c5'}
1132881972	2020-08-03T13:14:25.000Z	1290274828188971008	🔻WATCH🔻I absolutely Despise nasty people like this! So glad you called her out!She probably calls herself a Christian too? Just because you go to Church on Sunday doesn’t make you a Christian the other 0 days a week. You can’t treat people like that!   	{'place_id': '1d9a5370a355ab0c'}
3245664593	2020-08-03T12:29:56.000Z	1290263630458564614	A college acquaintance just had a full in-person wedding this last weekend and shamelessly posted photos of large groups of people hanging out without masks. I'm blown away. How could you enjoy yourself? I'd be too nervous my event could cause an outbreak. 	{'place_id': '1d9a5370a355ab0c'}
1270340190	2020-08-03T10:50:21.000Z	1290238573044670464	We'll just postpone our wedding to October and everything will be fine 😞 	{'place_id': '4b3758bc32868265'}
34610758	2020-08-03T05:08:47.000Z	1290152612692520961	I went to a restaurant today and got mad when the waitress screwed up my order. But she told me that the waitress who worked there 0 yrs ago was an awful waitress. So I immediately understood  and wasn’t mad at her any more for screwing up my order.	{'place_id': '0fb8d7b7e21d86a5'}
3058111143	2020-08-03T04:08:11.000Z	1290137362031247360	I love wedding planning so much.	{'place_id': '1d9a5370a355ab0c'}
784111323277852672	2020-08-03T04:06:17.000Z	1290136885470179328	Watching Moesha just confirmed exactly what I said yesterday lol Dating was so much easier as a teen lol Maybe because we had a lack in responsibilites? Like going to the movies were super easy to plan	{'place_id': '6db05c8d8e092528'}
186955508	2020-08-03T03:01:33.000Z	1290120595187757056	The closest thing I’ll get to a concert these days is watching all of my old shitty concert videos that I absolutely haven’t cherished until now	{'place_id': '24d27a430ae5569f'}
2827211946	2020-08-03T01:16:35.000Z	1290094179264020481	On a date, kinda nervous	{'place_id': '1d9a5370a355ab0c'}
3058111143	2020-08-03T00:53:32.000Z	1290088378851966977	A girl drove an hour and a half just to go on a date with me who had previously only met me once. The answer is yes. 	{'place_id': '1d9a5370a355ab0c'}
827050596591083520	2020-08-03T00:23:32.000Z	1290080826378448896	our wedding gon be MAJOR but... small. we dont like yall 😂😂😂 	{'place_id': '1d9a5370a355ab0c'}
1373129683	2020-08-04T23:18:42.000Z	1290789289366888453	I def. want to take  on a date. That’s the tweet!	{'place_id': '1d9a5370a355ab0c'}
37805557	2020-08-04T22:37:50.000Z	1290779003599695872	I haven’t went to the movies and spent over $0 individually in years 🤧 	{'place_id': '1d9a5370a355ab0c'}
33643638	2020-08-04T20:51:16.000Z	1290752184779444225	I hate being the center of attention, I don’t know how I’m going to handle that in my wedding day Lol	{'place_id': '1d9a5370a355ab0c'}
227175570	2020-08-04T20:22:32.000Z	1290744954659250176	 Everytime I ask a dude if we can go on a date and get to know each other, they disappear. 😂 I thought I was ugly for longest time.	{'place_id': '1d9a5370a355ab0c'}
1271745008	2020-08-04T20:07:47.000Z	1290741243039887362	  You take  on a date	{'place_id': '1d9a5370a355ab0c'}
3159888878	2020-08-04T19:57:49.000Z	1290738732610592775	getting married next month. going to have the for real wedding ceremony as soon as you people start wearing your fucking masks!!!	{'place_id': '1d9a5370a355ab0c'}
22812100	2020-08-04T19:50:39.000Z	1290736930863419394	This summer ➡️ last summer. ♥️ Welcome to the world, little Charlie! ☺️.Wedding vendors:  at clementinechicagoexqdesignsuniversityclubofchicago @ University Club of Chicago 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62486472, 41.88096815]}}
