3128358304	2020-09-01T22:32:10.000Z	1300924438037360642	Who tf goes to a bar on a Tuesday at 0:0 to get black out drunk???? 🤭🙋🏼‍♀️	{'place_id': '6b745382f2cdbb67'}
327736079	2020-09-01T22:02:29.000Z	1300916968640348160	I should drag myself to the gym today right	{'place_id': '1d9a5370a355ab0c'}
3245664593	2020-09-01T19:54:07.000Z	1300884662303195136	A college acquaintance just dropped the video to the 0-person, non-socially distanced, maskless wedding she had earlier this summer, and reader my jaw is on the floor.	{'place_id': '1d9a5370a355ab0c'}
218294727	2020-09-01T19:41:19.000Z	1300881441765699586	the rain and photoshop stopped me from taking myself on a date 🥺 	{'place_id': '1d9a5370a355ab0c'}
30129879	2020-09-01T19:36:13.000Z	1300880159067852800	How am I single but already have my entire wedding in Michoacán planned? Fiestas a couple days leading up to my wedding, 0 after-parties and my 0 bridesmaids/bridesmen are already picked out. Even a special performance by Bow Wow 🥺	{'place_id': '1d9a5370a355ab0c'}
3159888878	2020-09-01T19:20:55.000Z	1300876306146570245	and they said i couldn’t have a september wedding in the middle of a pandemic 🤪	{'place_id': '1d9a5370a355ab0c'}
50549724	2020-09-01T19:10:46.000Z	1300873754013298688	 bc u haven’t taken me on a date 😔	{'place_id': '1d9a5370a355ab0c'}
14072878	2020-09-01T19:00:42.000Z	1300871221417062401	Seven years ago Joana & Pete took a chance on a Korean photographer to capture their big Greek wedding and my life has never been the same in the world of wedding photography. I can tell you about the numerous… 	{'coordinates': {'type': 'Point', 'coordinates': [-88.00546797, 41.83625244]}, 'place_id': '9f3d755fe1a081a4'}
1146555642	2020-09-01T18:23:03.000Z	1300861743984513026	Going to a bar for lunch bc men make me wanna throw my umbrella thru a window like a fucking javelin.	{'place_id': '5cba3a162965b0e2'}
26876056	2020-09-01T17:26:10.000Z	1300847427885436928	This shit was so lit lmao def the most turnt wedding we ever DJ’d 😭😭😭🙏🏾  thank y’all ❤️ 	{'place_id': '1d9a5370a355ab0c'}
23173045	2020-09-01T17:21:09.000Z	1300846168616906755	Is it too early for a drink? Asking for myself...	{'place_id': '1d9a5370a355ab0c'}
38565931	2020-09-01T16:02:40.000Z	1300826415256997889	I was born in 0, I’ve lived my whole life under Reagan-omics, trying to do it ‘right’ to live up to expectations: College, Grad school, wedding, move to big city, big job, high earnings, kidsx0.We’ve been very privileged and the math still doesn’t work. It’s a farce now.	{'place_id': '1d9a5370a355ab0c'}
14947552	2020-09-01T13:21:01.000Z	1300785735788883968	We didn’t take a pic but it did really happen - impromptu meetup last night with    and me ... wish I had more time in my old hometown and w/ these great guys! 😩	{'place_id': 'a2e9665d39e55b17'}
40165960	2020-09-01T12:31:17.000Z	1300773221302763521	Good morning OB Squad! Don’t forget the weekly specials. Book your appointment TODAY!!!❤️❤️❤️        … 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6503849, 41.85343418]}, 'place_id': '1d9a5370a355ab0c'}
25166458	2020-09-01T10:58:51.000Z	1300749957272686592	 I have never once been funnier than a woman on a date. I didn’t think it was possible.	{'place_id': '1d9a5370a355ab0c'}
3514441937	2020-09-01T05:19:07.000Z	1300664459879485440	If you’re gonna tell me that Fox News isn’t all that bad and then ask me on a date... DON’T ❤️.	{'place_id': '1d9a5370a355ab0c'}
1214575020682428417	2020-09-01T05:16:53.000Z	1300663900741009413	*Cousins wedding in October **Mom: are you going to wear a long dress or short?? Me: 🙄😑 Did you forget I’m pregnant? I’ll have to see what fits.. Mom: oh yeah , you’ll be bigger by then. 😑😑😑	{'place_id': '1d9a5370a355ab0c'}
170812748	2020-09-02T21:56:14.000Z	1301277780215201793	continue to save money or go shopping 🤔	{'place_id': '1d9a5370a355ab0c'}
487020495	2020-09-02T21:35:40.000Z	1301272606096715777	 I’m gonna have a party with mine!	{'place_id': '918c943e88cc3e5d'}
246138007	2020-09-02T18:29:50.000Z	1301225841519734791	Today's my grandparents 0th wedding anniversary! Their love for each other is constantly overshadowed by the love they share for their family. Everyday is another testament to unconditional love and what we should all strive to find, love is work and lasts through it all!💚🤍❤	{'place_id': '5cba3a162965b0e2'}
346296219	2020-09-02T14:55:35.000Z	1301171922647080961	 I think it has a lot to do with misinformation out. I think also self awareness and pride also plays a role. When a former ya/college athlete returns to the gym after a 0+ year absence they are still thinking like we did 0+ years ago.	{'place_id': '8b351eeb91372dc7'}
1134152518064320512	2020-09-02T14:32:23.000Z	1301166084716982275	 wedding vibes	{'place_id': '1d9a5370a355ab0c'}
945871020	2020-09-02T14:20:26.000Z	1301163074649554944	Our latest ibwc_podcast episode is up today and it’s all about WEDDING PLANNERS! 🙋🏻‍♀️ ✏️📋.Do you need one? Do you need a lot of help or a little? How to choose the right one and still save some serious… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6238708, 41.8911399]}}
1193743149514051585	2020-09-02T11:17:07.000Z	1301116943202693122	Omg Lucas brought all of supem to our wedding that is so nice of him 	{'place_id': '1d9a5370a355ab0c'}
148530723	2020-09-02T11:16:23.000Z	1301116760024809474	0/0/0: Get a haircut. You need a haircut. Book online at  ....🍔 	{'place_id': '1d9a5370a355ab0c'}
