2020-09-14T23:16:59.000Z	1305646759134277633	get a haircut u hippie	{'place_id': '8b351eeb91372dc7'}
2020-09-14T23:12:39.000Z	1305645669194125312	 Good ole backyard wedding dm me more details and the date!  If I can’t I got homies who do this	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T22:39:26.000Z	1305637308989870087	I have to go to the gym today but I’d rather not and just drink	{'place_id': 'f1dfa58974449052'}
2020-09-14T22:36:53.000Z	1305636666351194113	My favorite part of Angela and Michael’s wedding was her teal bra showing through her white wedding dress. 	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T20:35:15.000Z	1305606057901907976	 Will you be going to the museum? The African American one?	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T20:34:30.000Z	1305605867471998976	Let's celebrate your love at Stan Mansion!....             @ Stan Mansion 	{'coordinates': {'type': 'Point', 'coordinates': [-87.70789, 41.92514]}, 'place_id': '1d9a5370a355ab0c'}
2020-09-14T19:26:54.000Z	1305588854880120833	i hope Lucie and Roman don’t let me give a speech at their wedding because i am 0% going to bring up the time we got so high we had a fake birthday party	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T19:26:48.000Z	1305588830033063936	Heading home after a beautiful wedding for my niece and her husband (and Lincoln🐕 ) and time with family and friends. @ Chicago O'Hare International Airport 	{'coordinates': {'type': 'Point', 'coordinates': [-87.885934, 41.980642]}, 'place_id': '1d9a5370a355ab0c'}
2020-09-14T17:19:47.000Z	1305556864457936898	Went to the gym for the first time in months. Lasted 0 minutes. 	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T17:05:00.000Z	1305553143598637056	want to go to the gym, but i have no energy to get out of my bed and drive 😭	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T17:02:53.000Z	1305552613618913280	Yesterday at church I celebrate my 0 year come to church in Hammond Indiana God been so good to me	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T16:27:18.000Z	1305543659463626753	You’ll never Catch me venting😭I’ll just go to the gym	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T14:22:48.000Z	1305512327672926212	When I look into your eyes it’s like watching the night sky - Jason Marz Congrats on your One Year Wedding Anniversary Dan & Maggie!📸:  @ Lacuna Lofts 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6503849, 41.85343418]}, 'place_id': '1d9a5370a355ab0c'}
2020-09-14T11:02:17.000Z	1305461862834864128	I hope my girlfriend is ready to have hella polish music at our wedding because if my cousins half accept who I am then the wedding is gonna be poppin	{'place_id': '653aabd8c2d3e4d2'}
2020-09-14T05:08:54.000Z	1305372934874300416	 The last one was half of my wedding cards	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T04:39:42.000Z	1305365584910192642	Ferguson, Missouri, cop Darren Wilson killed Michael Brown. Brown had a funeral. Wilson had a wedding. Most police officers just continue to live their lives after filling the streets with blood and bone.	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T04:20:18.000Z	1305360703218479104	should i start going to the gym	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T04:09:51.000Z	1305358070403522560	 Brah. I’m probably gonna go to the mall and grab em next weekend	{'place_id': '5cba3a162965b0e2'}
