2021-01-23T23:41:09.000Z	1353125649859420163	WEDDING DRESS IS SECURED🤍✅ 	{'place_id': '0da8a6c990f02eed'}
2021-01-23T22:45:39.000Z	1353111683829522432	“Hey google, how do I find motivation to go to the gym?”	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T21:58:53.000Z	1353099914457337856	“it’s going to suck but you should do it” actual advice i got today regarding going on a date with a guy lmao	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T21:11:48.000Z	1353088066416734209	Views from our garden path on a snowy day. We can't wait to take you on a tour of our grounds and get you ready for your big day. We can't wait to see all the people to join us for the happiest of days.Become a part of our tradition     	{'place_id': '8b351eeb91372dc7'}
2021-01-23T18:24:42.000Z	1353046013347573760	 If  ends up ruining up the wedding and somehow kayfabe wed Ford it will be EPIC. The inside man.  🤣🤣🤣	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T18:10:42.000Z	1353042488567746560	Today is a perfect day for a bike ride to Church Street! Mike Chambers came from Lombard to grab himself a  on this beautiful Saturday. We are just as eager to open for indoor dining but our zone has not gotten clearance yet.. 	{'place_id': '0a1066f231fd366d'}
2021-01-23T17:57:24.000Z	1353039144533057537	Hahaha!!I just texted 0 LP’s/high net worth indiv in my network that I haven’t talked to in yrs & invited them to Clubhouse😂I think I might have asked if they’d be interested in investing in a fund or startup?!😂One guy said,”When r we ever going to get back to yoga?”😂	{'place_id': '8b351eeb91372dc7'}
2021-01-23T17:21:34.000Z	1353030126699753473	All I want is to go to the movies 🍿	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T17:16:47.000Z	1353028919344074758	Sweet Saturday shower blooms for our beautiful bride Jackie. Cheers to small, intimate celebrations to mark our major life moments.   @ DL Loft 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.66551, 41.93704]}}
2021-01-23T17:16:38.000Z	1353028883906519040	Got to the gym and my headphones dead 😭 I should take my ass back home	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T15:51:28.000Z	1353007452036472833	Every Saturday morning on my ride thru the south loop to the spa, I think about Shrine 🥺 	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T15:42:32.000Z	1353005203830792193	Ah yes magical covid-fighting meals just have to be available at bars, like how you can go to a restaurant and not order food.Good luck to everyone opening indoors. I’ll take the patio. 	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T14:45:43.000Z	1352990902185320450	I know it’s been four days and I’m late to the party. But when has that ever stopped me?  	{'place_id': '5e80ee08ea361155'}
2021-01-23T08:07:32.000Z	1352890699369369601	 This font and placement but with “Caleb” would be wedding perfect ¯\_(ツ)_/¯ 	{'place_id': '47fe07f1c6b38dbd'}
2021-01-23T06:40:34.000Z	1352868812614475776	Me and my friend are going shopping tomorrow! Can’t wait to step foot into home goods. Hopefully I can find a new rug and floor mirror.	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T05:04:28.000Z	1352844627053867008	I went to the gym on a Friday. Wow	{'place_id': '08695e38fe9e7edf'}
2021-01-23T04:26:46.000Z	1352835139357843456	Late to the party here, but this affects 0 workers at a Mariano’s in Skokie. This is an awful look. 	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T01:52:19.000Z	1352796272923713537	Happy for myself I actually went to the gym all week now to relax this weekend	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T23:03:01.000Z	1353478439421009920	I only wear tuxedos or occasionally a wedding dress if I’m feeling extra. 	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T22:58:27.000Z	1353477292287270912	Graphic Lit Get-together January's pick - Zit! By Scott McCloud Thanks all for coming to celebrate a book that's very important to me!        	{'coordinates': {'type': 'Point', 'coordinates': [-87.65543, 41.97751]}, 'place_id': '1d9a5370a355ab0c'}
2021-01-24T22:13:31.000Z	1353465983487369222	I miss going to the movies.	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T21:43:52.000Z	1353458524198744064	watching a healthcare worker have a wedding rn on IG 	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T20:33:05.000Z	1353440708221394944	/have a party of more than 0 people. Parties of more than 0 are allowed but must be outside. Time limit for seating is still 0 hours. Masks are required to be worn at all times except when actively eating or drinking. Grateful to be moving forward and still working.	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T20:30:30.000Z	1353440061191282695	 Yesterday we had no indoor dining. You could have a party of up to 0 people. Your table would be outside on the patio or within 0 feet from an open window & the window must be open 0 inches.Today we’re back to 0% capacity (0 people per room) BUT you cant/	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T18:47:28.000Z	1353414129894223873	 Shouldn’t said “HAVENT’T been to the gym”. Dammit.	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T18:44:08.000Z	1353413292451049473	 Full disclosure: I have been to the gym in the year. 😋	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T18:33:52.000Z	1353410708688482305	Every Sunday I put on my silly little outfit for my silly little walk to church just to FEEL SOMETHING 	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T18:30:15.000Z	1353409797744324608	 Wait you just reminded me of us leaving Jazz wedding and going to get those frozen drinks 😂🤣	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T15:52:19.000Z	1353370053589098498	 Yeah I’m hitting that shit at my wedding too 🤣 idc who or where I marry.	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T15:42:04.000Z	1353367472628502529	I really miss going to church on Sundays! 🙄	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T13:15:10.000Z	1353330504955785217	On my way to church ⛪️	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T09:19:51.000Z	1353271284168339456	That party was just bussin ofn, Ian been to a party where ian kno the majority of the mfs in there inna min	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T04:30:52.000Z	1353198559861088256	he’s single yall :) who wants to take him on a date ? 	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T04:15:18.000Z	1353194642347589632	i love my wedding dress🥺🥺🥺 sorry just having a moment🥲🥲	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T01:37:20.000Z	1353154889715769344	come to the gym with me bro 	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T01:00:55.000Z	1353145722158383110	  Open bar at my wedding  You can drink whatever you desire, judgment free.	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T00:27:05.000Z	1353137208614662151	A bit late to the party, but I'm finally watching  on 	{'place_id': '1d9a5370a355ab0c'}
2021-01-19T16:48:28.000Z	1351572244871467013	 Same here, every call from employees on COVID this month has been related to a holiday gathering. I can’t think of one that wasn’t, shocked at how many NYE gatherings there were this year.	{'place_id': 'b8fcb766f3f544fe'}
2021-01-19T00:39:05.000Z	1351328290582253569	 Black cap-toes with the matching laces and socks. I bow to you, sir... (also, lamenting that my good shoes are gathering dust while I work from home)	{'place_id': '1d9a5370a355ab0c'}
2021-01-20T20:30:13.000Z	1351990437591056386	Gathering the courage to walk to the grocery store down the block.	{'place_id': '1d9a5370a355ab0c'}
2021-01-20T15:30:39.000Z	1351915048801853440	It's so nice to watch adults gathering for an event and watch them ALL have masks on. This is what we all should have been seeing at all times since March. Think about how different things could have been!!! 	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T21:46:54.000Z	1353096899054739457	You can’t wait.  We can’t wait.  Coming soon!!! @ Mom's Place - A Chicago Gathering Spot 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6298449, 41.8938357]}}
2021-01-23T18:04:54.000Z	1353041030388609026	No  she is gathering her thoughts on truthful responses with reading from teleprompters.... READ UP on it Sir. 	{'place_id': '1d9a5370a355ab0c'}
2021-01-23T12:44:36.000Z	1352960422152990720	Space station detectors spot the source of weird ‘blue jet’ lightning | Science News Blue Jets Sprites and Lightning's are the results of atmospheric gas clouds at quantum atomic levels BONDING together, thus looses it's electrons to a gathering of light	{'place_id': 'f1dfa58974449052'}
2021-01-23T02:33:50.000Z	1352806718372253696	Get ready, friends!!! @ Mom's Place - A Chicago Gathering Spot 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6298449, 41.8938357]}}
2021-01-24T19:15:13.000Z	1353421112516947968	    I wouldn’t believe them for a heartbeat, and I’d regard it as signing up for an indefinite span of heavy restrictions on human gathering. So, no. Unless the vaccines showed themselves to be way worse at preventing severe disease than we think.	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T17:03:33.000Z	1353387979163594754	  Don't think it was a protest. Just a large gathering of individuals having fun if I'm not mistaken.	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T05:25:51.000Z	1353212398119907329	 glad I called tonight and was told to “go to sleep”.  Way to go! Glad that 0 people are gathering and it’s no big deal. Tax payer dollars at work!	{'place_id': '1d9a5370a355ab0c'}
2021-01-24T04:49:28.000Z	1353203239836119040	 I called 0 tonight to report a large private gathering and your “professional” told me to “go to sleep”. I wonder why COVID is an issue for Chicago. I’m so sad that there is zero support to the right thing. Please help!	{'place_id': '1d9a5370a355ab0c'}
