1260640215028379648	2021-01-25T23:50:43.000Z	1353852834228428800	 Gnoll wedding interrupted by advenurers	{'place_id': 'ed888f00de07aa3a'}
461715957	2021-01-25T23:04:08.000Z	1353841109605244928	Any of my Twitter family have leads on Super Bowl tickets? Flying down to party and would love to see the game.	{'place_id': '57ac88aefcd20988'}
2658553242	2021-01-25T21:27:56.000Z	1353816899738505216	i really want to go shopping but where am i gonna go after that?????	{'place_id': '1d9a5370a355ab0c'}
335071121	2021-01-25T20:01:18.000Z	1353795097490501633	 Big time Will Ferrell in wedding crashers vibe 	{'place_id': '1d9a5370a355ab0c'}
119221453	2021-01-25T18:13:19.000Z	1353767923450572800	I can go to the movies, to a museum, and indoor dining. Lord, I thank you.	{'place_id': '1d9a5370a355ab0c'}
22674294	2021-01-25T17:19:47.000Z	1353754452038189064	 Damn I'm late to the party. Guess I can't repeat this year. 😕🤷🏾	{'place_id': '24d27a430ae5569f'}
846376694349021184	2021-01-25T15:28:11.000Z	1353726366676561922	 is back this year!  This week, CKUG reunites with  to look at some Advent of Kotlin code. Hope to see you there ☺️  	{'place_id': '1d9a5370a355ab0c'}
16369413	2021-01-25T13:37:04.000Z	1353698403444797440	In 0, the city described Buckingham Fountain as “an Italian wedding cake meets a seahorse water scuffle” in its advertising. I still chortle at the memory of seeing the ads. The fountain “remains off” the seahorses have retreated, it remains a beautiful sight. 	{'place_id': '1d9a5370a355ab0c'}
265090480	2021-01-25T05:31:02.000Z	1353576088035880960	I love the first of the year cuz everyone be on their healthy living kick. Come April we all eating out again, skipping the meal prep and cooking at the crib 💀	{'place_id': '4f798ddf05f97f68'}
332911748	2021-01-25T05:13:11.000Z	1353571597735624709	Back to the gym tomorrow	{'place_id': '1d9a5370a355ab0c'}
132352072	2021-01-25T04:17:35.000Z	1353557606078550017	Snow storm gon hit tomorrow & Tuesday from what the forecast show ..... good thing I’m off for a whole week , if I don’t go to the gym I’m gon be right here in my crib binging shows & playing video games 😌	{'place_id': '1d9a5370a355ab0c'}
265090480	2021-01-25T03:45:37.000Z	1353549561231503360	Folks always asking for a drink “neat”. What they gone give me if I say I want the drink “sloppy” 😂	{'place_id': '4f798ddf05f97f68'}
19715734	2021-01-25T02:13:02.000Z	1353526261080059905	I hope Mike doesn’t want cake at the wedding! Because Natalie ain’t having it! 	{'place_id': '1d9a5370a355ab0c'}
39878124	2021-01-25T01:00:47.000Z	1353508078185029633	I am 0 years old and have never been asked on a date and yes that IS sad, but also metal as fuck because I can say with confidence that no man has wasted my time	{'place_id': '1d9a5370a355ab0c'}
1939185618	2021-01-26T23:35:26.000Z	1354211373937532933	   y’all trying to go bowling Monday?	{'place_id': '1d9a5370a355ab0c'}
161694696	2021-01-26T22:57:47.000Z	1354201901664006144	Would you rather go to the movies alone or eat dinner out alone? I find both highly acceptable and rewarding. Just curious....	{'place_id': '1d9a5370a355ab0c'}
1865682643	2021-01-26T18:52:42.000Z	1354140223224111104	 I still remember you’re running joke on  where your wife would die her wedding dress orange when you get inducted into the WWE Hall of Fame. good times 🧡🖤	{'place_id': '1d9a5370a355ab0c'}
371111585	2021-01-26T18:39:27.000Z	1354136889775808512	  No I’m not I’m gonna cheer and go find something to wear to the wedding 😚	{'place_id': '1d9a5370a355ab0c'}
45262078	2021-01-26T17:45:42.000Z	1354123362868600835	I love when clients comeback. I catered a couple of office parties for her a couple of years ago and she just text me asking if I could cater her wedding. Love to see it! 	{'place_id': '1d9a5370a355ab0c'}
862014226679967745	2021-01-26T16:13:12.000Z	1354100084946960384	 It’s only right .. I mean you wouldn’t pregame before going to the party would you ?	{'place_id': '003cc2276dfcaca4'}
291394110	2021-01-26T16:06:33.000Z	1354098407841935362	I feel like a scumbag when I go to the gym at this hour.	{'place_id': '1d9a5370a355ab0c'}
45262078	2021-01-26T14:00:21.000Z	1354066650614685696	*whispers* I’m going on a date today. 	{'place_id': '1d9a5370a355ab0c'}
132352072	2021-01-26T13:54:37.000Z	1354065207681818626	Think imma go to the gym around 0ish if it ain’t bad outside	{'place_id': '1d9a5370a355ab0c'}
440388047	2021-01-26T12:59:32.000Z	1354051345632948226	 You may need to burn more energy during the day try going to the gym more often	{'place_id': 'c226bc3c790795d8'}
358444007	2021-01-26T10:30:10.000Z	1354013756611817472	Did you make it to the gym today? The snow is not an excuse!!!!Tag Tag Tag 👇🏾Your gym buddy to make sure they get to the gym today @ Strong hands gym & Personal Training 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6497137, 41.95388195]}, 'place_id': '1d9a5370a355ab0c'}
1426173042	2021-01-26T04:48:32.000Z	1353927781114122240	 I was curious if I chose to do a Disney cruise 🚢 wedding instead at Disney World wedding. Could I still do a portrait session?	{'place_id': '1d9a5370a355ab0c'}
2284485344	2021-01-26T04:03:44.000Z	1353916505835130881	 Thank you! That dress deserves a much bigger wedding audience, so at least it gets to live on social media.	{'place_id': '1d9a5370a355ab0c'}
2284485344	2021-01-26T03:51:24.000Z	1353913401613955072	In July when the the positivity rate was 0.0% this is how many people could safely attend my my non-permitted, 0-min, outdoor Pandemic Wedding. LL wants to put 0 kids in an enclosed space for 0 hrs in Feb. at 0.0% ???  	{'place_id': '1d9a5370a355ab0c'}
28232449	2021-01-26T03:47:22.000Z	1353912386554638336	Last year she sold enough to get a personalized hoodie and she got to pick out what to write on the back instead of her name (safety) so she went with Mrs. Shrek. She has been married to Shrek for almost 0 years now. Here she is throwing the bouquet at her wedding to Shrek. 	{'place_id': '1d9a5370a355ab0c'}
19715734	2021-01-26T02:53:49.000Z	1353898911098937346	 I went to the gym twice today! Goal 0. Bend down to tie my shoe without getting tired! Goal 0. Stunt on my ex’s! Gotta be fine fine fine summer 0!	{'place_id': '1d9a5370a355ab0c'}
21965790	2021-01-26T02:31:56.000Z	1353893404225245184	 I went on a date once and she treated the Uber driver like a personal chauffeur, yelling about temperature, ect.  Biggest turn off ever	{'place_id': '1d9a5370a355ab0c'}
389694559	2021-01-26T00:52:01.000Z	1353868259536363525	I got my Wedding Planner in the mail today & im so excited for manny & I to start jotting down every idea we have🥲	{'place_id': 'd64afac908bf795d'}
1350690750	2021-01-26T00:50:17.000Z	1353867824033390593	I want to tone and lose enough weight that I can feel confident wearing shorts to the gym next summer	{'place_id': '1d9a5370a355ab0c'}
1270110124078702597	2021-01-26T00:23:08.000Z	1353860991281487873	What’s up Chicago which one of you tops can fuck like this raise ur hand 👀👀👀 u might get a dm and a free meetup 	{'place_id': '1d9a5370a355ab0c'}
97613792	2021-01-26T00:11:51.000Z	1353858152962338818	i got home from work and spent 0 hrs on the couch tryna convince myself to go to the gym... 0 days off is already too many.. 0 days is just unacceptable	{'place_id': '1d9a5370a355ab0c'}
