252270990	2021-02-10T21:46:12.000Z	1359619705250729987	Its looking like another solo mission to the gym with me.	{'place_id': '08695e38fe9e7edf'}
2920952565	2021-02-10T21:29:24.000Z	1359615477102882816	I swear I love going to the mall by myself I get some peace in me in my own world Fr ❤️	{'place_id': '1d9a5370a355ab0c'}
380011962	2021-02-10T21:11:46.000Z	1359611036983320583	I was today years old when I learned the little pig is, in fact, not going shopping 	{'place_id': '1d9a5370a355ab0c'}
242130571	2021-02-10T19:46:36.000Z	1359589604702175237	Forgetting airpods if you're going to the gym or on any sort of public transit has gotta be a Top 0 day ruiner	{'place_id': '1d9a5370a355ab0c'}
174744395	2021-02-10T18:08:06.000Z	1359564818886311942	Watching this  doc. I think I maybe a lil late to the party!	{'place_id': '1d9a5370a355ab0c'}
486428420	2021-02-10T16:02:13.000Z	1359533136313483272	Let me get my ass to the gym ...😩	{'place_id': '1d9a5370a355ab0c'}
54260899	2021-02-10T14:06:31.000Z	1359504021397139460	    It’s $0 I’m sitting on is my point. I piss away $0 on one meal I eat out w the family.Or maybe I sell when it hits a $0Or maybe I forget I even own it bc some other investment takes off. $0 isn’t that serious & it’s dumb to waste time on an argument or chastise others.	{'place_id': '1d9a5370a355ab0c'}
19715734	2021-02-10T13:21:50.000Z	1359492773573984260	And good morning... let me get my tail to the gym!	{'place_id': '1d9a5370a355ab0c'}
31853596	2021-02-10T06:34:17.000Z	1359390211587866629	 when I performed a wedding ceremony at Pepe’s in Crestwood. 	{'place_id': 'fb0971608411ae20'}
846376694349021184	2021-02-11T19:35:32.000Z	1359949207050874892	Next Wednesday Feb. 0 is the next  meetup 0pm CST.  shares his experience on Kotlin multiplatform and  introduces  new deep-learning framework KotlinDL. Hope to see you there 🤩 	{'place_id': '1d9a5370a355ab0c'}
1344301960195932160	2021-02-11T19:18:42.000Z	1359944970157887494	How come every time I try to go shopping all the Smalls are sold out . You bitches know you not no small 😒	{'place_id': '1d9a5370a355ab0c'}
797886046684008448	2021-02-11T19:16:53.000Z	1359944514962673670	  I love the wedding singer but happy Gilmore is one of my favorite.	{'place_id': '222efb7ee8b98c58'}
764671561399873538	2021-02-11T18:43:49.000Z	1359936191328620549	slept like 0 hours, currently pulling a 0 hr shift at work & I’m still going to the gym right after😂🥴 brb gonna go get a shot of espresso	{'place_id': '1d9a5370a355ab0c'}
54260899	2021-02-11T18:03:17.000Z	1359925993704685568	 With the mistakes I’ve made I’m happy I don’t have enough to buy in big. But my $0/less losses here & there suck when I’ve obviously come to the party way too late. I was so scared you were gonna smash that bottle... I’m thinking that’s some valuable soothing juice. 🤣😂🤣	{'place_id': '1d9a5370a355ab0c'}
21109318	2021-02-11T16:35:14.000Z	1359903832151580676	  Exactly, when people vote loyal to a party and not look at the candidate.	{'place_id': '1d9a5370a355ab0c'}
1107258537208619009	2021-02-11T16:10:41.000Z	1359897657691488259	I so need to go shopping	{'place_id': '1d9a5370a355ab0c'}
14999626	2021-02-11T16:02:10.000Z	1359895512900599817	C’mon, y’all. At least  didn’t decide not to bake a cake for a same-sex wedding ceremony. 	{'place_id': '8b351eeb91372dc7'}
1101620228209950720	2021-02-11T14:37:45.000Z	1359874266750140416	Congratulations to this wonderful couple Jessica & Ryan 0/0/0. Married in a a snow covered field and gardens here at Chapel in the Pines. We are here for you all year round.Become a part of our tradition. Chapel in the pines is a destination wedding venue.  	{'place_id': '8b351eeb91372dc7'}
905298500740673537	2021-02-12T15:25:57.000Z	1360248784710688769	" My ex-partner used to tell traders when they'd get engaged: ""congrats - you're short a house."" No one knew he meant. Until  0 months after the wedding when the new wife would invariably announce: ""we're moving to the suburbs."" When you're not long something you need, you're short"	{'place_id': '1d9a5370a355ab0c'}
528014444	2021-02-12T15:18:59.000Z	1360247033873981443	It’s cold asf but I still need to go to the mall	{'place_id': '1d9a5370a355ab0c'}
1198788918658961408	2021-02-12T15:14:03.000Z	1360245789835026432	going back to the gym 😈	{'place_id': '1d9a5370a355ab0c'}
189179069	2021-02-12T13:02:06.000Z	1360212585291931650	My sister said I have a party every year 😂😭 she right. I’m partied out. No party this year🤣	{'place_id': '1d9a5370a355ab0c'}
148530723	2021-02-12T11:17:11.000Z	1360186180231430144	0/0/0: Valentine’s Day weekend is upon us and YOU should really get a haircut. Book online at  ..🚧 	{'place_id': '1d9a5370a355ab0c'}
528014444	2021-02-12T05:23:56.000Z	1360097283384180743	Might as well go shopping toma	{'place_id': '1d9a5370a355ab0c'}
