141101733	2021-04-19T23:25:32.000Z	1384287074803535878	So glad I can finally start going back to church 💖🙏👽 	{'place_id': '07d9f5ce72482001'}
65510600	2021-04-19T19:19:32.000Z	1384225168952729610	Take a nap or go to the gym 🤔	{'place_id': '1d9a5370a355ab0c'}
220813859	2021-04-19T18:40:24.000Z	1384215321075060737	My Fashion Nova Stuff Come The Day We Come Back Imma Wear One Of Them Outfits To The Party 😌	{'place_id': '9458deb79984da4e'}
15388455	2021-04-19T15:58:32.000Z	1384174584165912583	Look at the Double Door lit up for a wedding! 	{'place_id': '1d9a5370a355ab0c'}
30869634	2021-04-19T14:44:57.000Z	1384156069044256776	Daniel and i are officially saving for our wedding and future house..	{'place_id': '50f296a1bd4198b6'}
15853413	2021-04-19T14:36:18.000Z	1384153888798822401	 Aw yay! Can’t wait for you to finally see it picked at my wedding!! .... one day LMAOIt is def forgotten about a lot, I think.  But it’s so sweet!	{'place_id': '1d9a5370a355ab0c'}
1308096553966620673	2021-04-19T12:33:41.000Z	1384123034458492933	Yoooo Change dot org! A little late to the party but glad to see some familiarly useless faces :) 	{'place_id': '1d9a5370a355ab0c'}
486428420	2021-04-19T12:24:29.000Z	1384120716765716480	Taking my ass to the gym in a few and back home	{'place_id': '1d9a5370a355ab0c'}
1047046265123610624	2021-04-19T11:38:42.000Z	1384109194727415815	I haven’t been to the gym in 0 days...	{'place_id': '1d9a5370a355ab0c'}
620363261	2021-04-19T11:36:28.000Z	1384108632418050050	Do people actually not hear the F-bomb at least once a week that goes to the movies?	{'place_id': 'f8834b23cf9ae9f3'}
27019756	2021-04-19T04:12:14.000Z	1383996840182353926	I want to go to the Museum of Illusions	{'place_id': '1d9a5370a355ab0c'}
751275228	2021-04-19T03:22:48.000Z	1383984398970736640	And then the wedding photos look like this  	{'place_id': '1d9a5370a355ab0c'}
15853413	2021-04-19T02:39:10.000Z	1383973418089914369	The more I think about it, the more I want Crazy For You by Madonna to be my wedding song	{'place_id': '1d9a5370a355ab0c'}
4785903657	2021-04-19T01:48:39.000Z	1383960703275442180	Another successful and fun Chicagoland EM Pharmacist Meetup! Thank you     for organizing it!   	{'place_id': '0f7da5417dd6e000'}
120229326	2021-04-19T01:32:50.000Z	1383956726504853504	Sorry I’m late to the party. Catching up on all of your tweets!  	{'place_id': '1d9a5370a355ab0c'}
360188566	2021-04-20T22:51:02.000Z	1384640781600833540	At least the  man came with my supplement re-up. and I can't wait to get to the gym tomorrow morning! 	{'place_id': '1d9a5370a355ab0c'}
61461297	2021-04-20T22:48:48.000Z	1384640219983622145	  Verdict came in & got teary eyed...pulled myself together for a zoom wedding..tears are all over the place now for a whole lotta reasons...	{'place_id': '1d9a5370a355ab0c'}
434274824	2021-04-20T19:50:52.000Z	1384595442978246666	   Litterally yes, Welcome to the party pal. Our infrastructure is crumbling, investing in rebuilding/replacing/updating it creates lots and lots of good paying jobs, which in turn puts money in people's pockets and spurs the economy overall.	{'place_id': '9f3d755fe1a081a4'}
3078128292	2021-04-20T19:19:19.000Z	1384587502913269760	 Best head high, wedding sherb or king crasher? Thanks	{'place_id': '1d9a5370a355ab0c'}
512724268	2021-04-20T17:18:02.000Z	1384556978790338563	 Miss girl if you don’t take yourself on a date there!! Once I’m Gucci I’ll take you	{'place_id': '1d9a5370a355ab0c'}
2587937208	2021-04-20T16:36:24.000Z	1384546502018797571	It’s a really sad day when you forget your water bottle at home when you go to the gym during COVID times because all the drinking fountains are turned off for obvious health reasons. 😭😭	{'place_id': '1d9a5370a355ab0c'}
124835698	2021-04-20T16:04:30.000Z	1384538476264271872	This one time I was on a date and the guy i was with said to me “I’ve noticed you jokingly call yourself a dumb bitch a lot, your brain doesn’t know you’re joking, be nicer to yourself” and i was like 🤭🤔🥺 	{'place_id': '1d9a5370a355ab0c'}
1073778409	2021-04-20T15:40:35.000Z	1384532456615858176	When you’re doing your best to write clinic notes, catch up on emails and watch the  it’s snowing in April and our wedding photos just came in! ...busy reliving the best day ever! 🥲☺️ sorry  I’ll be back tomorrow!  	{'place_id': '1d9a5370a355ab0c'}
