335410704	2021-09-29T23:44:48.000Z	1443361146166198272	Ideas and snapshots from  wedding!     	{'place_id': '6db05c8d8e092528'}
339154395	2021-09-29T23:44:12.000Z	1443360996370825216	Congratulations  ❣️ We are so honored to be a part of this wedding!!! ❤️❤️❤️❤️ @ Veiled By ChaCha 	{'place_id': 'd77ed7c9521c898d', 'coordinates': {'type': 'Point', 'coordinates': [-88.06774, 41.87668]}}
360210603	2021-09-29T22:56:34.000Z	1443349007774978049	Really loved our field trip to the Museum of Mexican Art today!!  	{'place_id': '0fc2e8bc70d4c000'}
1035257563	2021-09-29T21:57:58.000Z	1443334260983730177	losing weight is always a good thing, until you don’t fit in your wedding dress and have no time for alterations. 	{'place_id': '13d0994d4df436f8'}
790886306	2021-09-29T19:36:33.000Z	1443298672826064901	Women feel the sexiest when they’re at peace so fellas if your girl ain’t been in the mood lately ask yourselves , has she been stressed at work ? Do you let her vent about it ? Have you made her feel special lately ? Bought her flowers ? Took her on a date (that you paid) ?	{'place_id': '1d9a5370a355ab0c'}
21833337	2021-09-30T23:06:17.000Z	1443713842106753028	Going on a date and had to decide which mask gives the best first impression. We truly are blessed.	{'place_id': '1d9a5370a355ab0c'}
163558578	2021-09-30T22:15:08.000Z	1443700971692085251	 Wow humble brag you go to the gym	{'place_id': '1d9a5370a355ab0c'}
1101620228209950720	2021-09-30T22:13:55.000Z	1443700665608511492	Chapel in the Pines framed in trees. Our lush gardens make for an ideal frame to all your wedding day photographs. Schedule a tour to see what makes Chapel in the Pines the ideal wedding day venue.Become a part of our tradition.    	{'place_id': '8b351eeb91372dc7'}
174913128	2021-09-30T22:12:43.000Z	1443700362448457734	White Sox are off tonight, now I really have no excuse to not go to the gym.	{'place_id': 'e2c96cf8c0a43c1d'}
1154779165	2021-09-30T21:24:03.000Z	1443688113386229760	 It’s my wedding anniversary that day, awfully sweet of you	{'place_id': '1d9a5370a355ab0c'}
334964271	2021-09-30T19:57:39.000Z	1443666370575671299	do i go to the gym everyday? mostly yes. have i learned to love it? no i actually really hate it still it’s the worst part of my day.	{'place_id': '1d9a5370a355ab0c'}
354340990	2021-09-30T19:43:58.000Z	1443662926284562442	 Omggg YES. They weren’t allowed to reach out to us but we could walk up to him and they’d set up right outside the lunch room where we’d line up to go back to class. I took a bible once bc it was my fav color & I went to church anyway and I got in trouble at home bc the Gideon’s-	{'place_id': '1d9a5370a355ab0c'}
443004726	2021-09-30T18:44:25.000Z	1443647943152738304	Me at  and  wedding last weekend 	{'place_id': '1d9a5370a355ab0c'}
271195750	2021-09-30T17:28:24.000Z	1443628809325092870	*one negative emotion*Me: Guess it’s time to go shopping!	{'place_id': '1d9a5370a355ab0c'}
471519703	2021-09-30T16:50:49.000Z	1443619352427831304	my coworker going on a date during her break is truly girl boss moves I will  say	{'place_id': '1d9a5370a355ab0c'}
331140802	2021-09-30T14:04:22.000Z	1443577465503322121	I wanna go shopping	{'place_id': 'd73cbce54317ffaa'}
316698745	2021-09-30T10:10:59.000Z	1443518730269495296	That feeling when…unbeknownst to you, your wedding photographer from 0 yrs ago, Diane Alexander White (who has been taking family and work event pics for you ever since), was the  summit event photographer! ❤️ cc:  	{'place_id': '1d9a5370a355ab0c'}
316698745	2021-09-30T09:57:27.000Z	1443515324868046850	Diane Alexander White was my wedding photographer 0 years ago. She has taken many wonderful family and professional photos for me in the years since. ❤️ cc:   	{'place_id': '1d9a5370a355ab0c'}
1001813137	2021-09-30T09:43:09.000Z	1443511728264863745	I swear I was going to the gym at 0 AM, but the way these gun shots in the hood sounds ✌🏽✌🏽 I’m going back to sleep. Shiiiiiiii	{'place_id': '1d9a5370a355ab0c'}
144268735	2021-09-30T02:33:31.000Z	1443403604652658692	  R&B Only was that Friday. Saturday afternoon hung out with one of my bros for his birthday bar/club crawling. That night went to a party at a spot at the McCormick. Now that was kinda eeehhh. Sunday I tapped out 😩	{'place_id': '1d9a5370a355ab0c'}
894279020	2021-09-30T02:28:45.000Z	1443402406260322305	I’m begging for the day people stop posting about going to the gym People = Gays	{'place_id': '1aa7803ca6707875'}
728077746635603968	2021-09-30T02:22:41.000Z	1443400880397725698	Excited to share this item from my  shop: 0 Chicago Cubs REGULAR SEASON game used baseball cufflinks World Series Champion Wrigley Field wedding mens dad father mlb gift       	{'place_id': '1d9a5370a355ab0c'}
1258184918443732998	2021-09-30T02:12:50.000Z	1443398401924767752	going on a date with a 0 year old rn 	{'place_id': '1d9a5370a355ab0c'}
712444625546383360	2021-09-30T01:49:09.000Z	1443392441827069953	Going to the gym at 0 pm at this age should be illegal 😭	{'place_id': '1d9a5370a355ab0c'}
1435221306396618752	2021-10-01T21:42:22.000Z	1444055110183759874	"  I doubt if the only place people have visited is a school. Do people still go shopping? Do people have ""air purifier systems"" in their home? Miss me with the propaganda. You can't prove it"	{'place_id': '1d9a5370a355ab0c'}
1042635493	2021-10-01T19:29:47.000Z	1444021745288163333	 Today because I get wedding business from it hehe	{'place_id': '5b0b1baf24cf0a6a'}
1700262326	2021-10-01T17:12:14.000Z	1443987129596616710	Technically I have not been able to ask anyone on a date because I never left. 	{'place_id': '1d9a5370a355ab0c'}
2568384055	2021-10-01T16:31:34.000Z	1443976898170822678	BAPS!!! I guess I’m not going to the gym yet. 	{'place_id': '1d9a5370a355ab0c'}
2367924576	2021-10-01T14:44:41.000Z	1443949997112836113	 I paid retail 💅🏽 Not my fault you're all late to the party 😂	{'place_id': '1d9a5370a355ab0c'}
1076713315102089217	2021-10-01T14:30:04.000Z	1443946320050405403	 I have no clue what the beer selection at this wedding is going to be so if GTLFs aren’t on the menu we are absolutely saucing vodka lems	{'place_id': '1d9a5370a355ab0c'}
1076713315102089217	2021-10-01T14:27:00.000Z	1443945547610693632	Pray for the Miller Lites. Boston wedding bender is coming in hot 	{'place_id': '1d9a5370a355ab0c'}
1076713315102089217	2021-10-01T13:13:55.000Z	1443927153968619521	 Gotta warm up the liver for a Boston wedding bender somehow	{'place_id': 'f73e32e0ec3fcc45'}
555462157	2021-10-01T12:37:20.000Z	1443917950759710726	DJing a Wedding today, a wedding tomorrow, and I work on Sunday… Injecting coffee straight into my veins 😤	{'place_id': '1d9a5370a355ab0c'}
108811654	2021-10-01T11:20:47.000Z	1443898685063053312	I would get an enormous zit right before I have to take a shit ton of photos for my brothers wedding…right in the middle of my nose too. 💀🙃	{'place_id': '1d9a5370a355ab0c'}
60375552	2021-10-01T10:45:32.000Z	1443889813657096202	To the gym…	{'place_id': '1d9a5370a355ab0c'}
1316827915737337856	2021-10-01T09:58:27.000Z	1443877963930521622	  Forsure will check it out .here's our new ep 	{'place_id': '1d9a5370a355ab0c'}
1316827915737337856	2021-10-01T09:51:05.000Z	1443876111516160022	 Check us out	{'place_id': '1d9a5370a355ab0c'}
794330748	2021-10-01T02:10:21.000Z	1443760162087620608	 In 0 I joined an online student community for new Emory freshman. That server allowed groups for and run by students. Our music conference led to friendships so strong I'm seeing like 0 of those people this weekend for a wedding 0 years later.	{'place_id': '1d9a5370a355ab0c'}
323698526	2021-10-01T00:46:43.000Z	1443739117968310275	walking violet and just got invited to church by a woman on the street she said i’m welcome always and the church would love to have me ,  should i?	{'place_id': '1d9a5370a355ab0c'}
385041183	2021-10-01T00:38:37.000Z	1443737079272386569	When your husband tells your waiter that it’s your first date and she looks down at both your wedding rings mortified🤣 	{'place_id': '1d9a5370a355ab0c'}
238241159	2021-10-02T23:22:32.000Z	1444442706298671107	The best wedding date. 🥰  	{'place_id': 'eaaf978cf85d1347'}
2269419355	2021-10-02T22:37:48.000Z	1444431451307618308	Yesterday I went on a date and the guy hold my hair up for like 0 minutes while I throw up non stop… he must like me lol	{'place_id': '1d9a5370a355ab0c'}
1176565629635256320	2021-10-02T22:37:22.000Z	1444431342385696774	  Invite me to the gym I’ll show up… but mfs just Twitter talking 🌚	{'place_id': '1d9a5370a355ab0c'}
1260640215028379648	2021-10-02T22:24:32.000Z	1444428109692948483	 I've never had a player wedding, but an npc wedding was centerpiece of a story arc	{'place_id': 'ed888f00de07aa3a'}
867439412166230017	2021-10-02T22:05:25.000Z	1444423298947895304	Solve This Riddle...There were three bitches name Doe, Rae, & Mee...This one Playa decided he was gonna take them all out on a date. After the Date, Doe gave Playa a Kiss...Rae kissed his neck...Which Bitch sucked Playa's dick?	{'place_id': '1d9a5370a355ab0c'}
2568384055	2021-10-02T21:43:26.000Z	1444417769060057092	I’m so embarrassed by my weight gain I don’t even want to go to the gym. How fucked up is that.	{'place_id': '1d9a5370a355ab0c'}
807250600719187968	2021-10-02T21:11:49.000Z	1444409812050223122	We were so honored to have Lt Gov Juliana Stratton come by the  meetup before the Abortion Access March today. We need more pro-choice champions like  and  to keep abortion care accessible in IL.   	{'place_id': '1d9a5370a355ab0c'}
34509966	2021-10-02T20:50:08.000Z	1444404356145717248	I hate having to use an iron cause I really dont know how lol but cant be at this wedding bogus	{'place_id': '1d9a5370a355ab0c'}
954220297	2021-10-02T20:28:25.000Z	1444398890896306178	I got off work and was headed straight home to get ready cause I got free tickets to Spring Awakening, but now I see they’re evacuating everyone because of this rain, so I guess I’m just going to the gym for a long workout 🏋🏻‍♂️	{'place_id': '1d9a5370a355ab0c'}
304804041	2021-10-02T20:23:29.000Z	1444397647901732868	Me waking up after going to bed at 0 getting ready for wedding 0 of the weekend like 	{'place_id': '4b3758bc32868265'}
14328397	2021-10-02T20:01:05.000Z	1444392009033306117	And he’s just looking for friends right now blah blah. It’s been three years since I’ve been on a date, it’s been longer than that since I actually dare to ask somebody out. Oh well, whatevs.	{'place_id': '1d9a5370a355ab0c'}
284870903	2021-10-02T19:22:12.000Z	1444382224049221634	Anyway let's get this wedding bread 	{'place_id': '1d9a5370a355ab0c'}
357936020	2021-10-02T18:37:11.000Z	1444370896534360068	 They just held their first Royal wedding yesterday since the Red October revolution of 0. They’re returning to being a monarchist/oligarch society with currently a mixed economic system	{'place_id': '1d9a5370a355ab0c'}
1101620228209950720	2021-10-02T18:26:13.000Z	1444368135847563264	A happy crowd of friends and family gathering around the fire just outside our reception hall. They spent hours having great conversations and loads if laughs.Become a part of our tradition. Chapel in the pines is a destination wedding venue.    	{'place_id': '8b351eeb91372dc7'}
2481540306	2021-10-02T13:21:31.000Z	1444291456382947335	Let me get my ass dressed to go to the gym	{'place_id': '1d9a5370a355ab0c'}
18197350	2021-10-02T13:21:26.000Z	1444291435554037764	Covid wedding redo today.Good thing my mom likes Prince.	{'place_id': '1d9a5370a355ab0c'}
901469397381992449	2021-10-02T06:05:44.000Z	1444181790009270278	Wedding are no joke! So funny how I manifested to plan a wedding because I never did one and now I’m planning mine. So crazy.	{'place_id': '1d9a5370a355ab0c'}
901469397381992449	2021-10-02T06:05:04.000Z	1444181619171024897	Planning my wedding 💒 anddddd let the stress begin! 🤩🤩	{'place_id': '1d9a5370a355ab0c'}
32451782	2021-10-02T05:46:14.000Z	1444176880006045697	Their wedding invite was so beautiful btw 😭	{'place_id': '1d9a5370a355ab0c'}
32451782	2021-10-02T05:45:59.000Z	1444176816319746049	Devon and Imani’s wedding is coming up and I’m legit thinking about staying at the host hotel 😂😂😂 The wedding is in Chicago	{'place_id': '1d9a5370a355ab0c'}
418940558	2021-10-02T04:58:32.000Z	1444164875622748169	 Jewish wedding somewhere?	{'place_id': 'fae2b07ae098ffde'}
473291314	2021-10-02T00:54:10.000Z	1444103379060396032	On my way to Denver for my cousin Paul’s wedding. I’m excited to see what horror movie options you get on a plane during  🎥🎃AMovieGhoul 	{'place_id': '1d9a5370a355ab0c'}
345813549	2021-10-02T00:25:31.000Z	1444096171518087169	Quick trip to Chi-town for a dear friend’s wedding tomorrow. No better way to prepare for General Conference this weekend than attending a Temple session & then meeting some wonderful missionaries for dinner. I didn’t serve a mission. I very much admire those who do. 💙  	{'place_id': '07d9e4a84e486002'}
826296241	2021-10-03T22:09:24.000Z	1444786690313408516	Need one of my LB’s to get married so i can be in a wedding😂	{'place_id': '1d9a5370a355ab0c'}
