2021-11-09T23:56:05.000Z	1458221889415942152	That poms/cheer squad is NOT messing around! Bringing the energy to the gym! 	{'place_id': '5ededd7234419286'}
2021-11-09T23:31:49.000Z	1458215781829947392	I like how Adam looks like he’s attending a wedding of a person he has never met. 	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T22:59:40.000Z	1458207692946878469	I don’t feel like going to the gym, but I’m going 😭😢	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T22:29:49.000Z	1458200177844621314	 Like. You know they’ve gotta have an annual meetup where they trade decorating tips, recipes, and loads.	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T21:44:25.000Z	1458188753135153158	I think there’s a possibility I could start being attracted to other people if guys did not always tell me how they are at the gym or going to the gym or coming home form the gym or they are tired from the gym.	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T16:23:28.000Z	1458107983100059655	did you really go to a concert if you don’t wear the merch you bought immediately the day after?	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T15:49:11.000Z	1458099357257973761	made a girl laugh in physics today now im just trying to figure out when the wedding is gonna be	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T12:07:32.000Z	1458043575799894022	I wanna go on a date it’s been a min	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T05:18:54.000Z	1457940740093497352	I’m just glad I made it to the gym tonight	{'place_id': '6db05c8d8e092528'}
2021-11-09T05:02:52.000Z	1457936705521127427	  Late to the Party	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T02:41:16.000Z	1457901070143868932	My fav wedding date/ dancer 	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T23:27:09.000Z	1458576994422173699	I’m just so pissed that  did not invite me to her wedding bc I thought we were homies fr?? wow 😩😫😐	{'place_id': '8b351eeb91372dc7'}
2021-11-10T21:27:38.000Z	1458546920239030276	A place in our gardens to sit and wait and rest before the ceremony to begins. Some couples spread out treats or cucumber water on the hot days of summer. Some couples take photos here framed in our vine covered trellis.Become a part of our tradition.    	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T20:49:51.000Z	1458537411210792965	Thinking about wedding dress shopping for the first time next weekend 	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T19:01:55.000Z	1458510248457682946	I absolutely love going to the movies and rarely have a bad experience.Y’all should try going on Wednesday night or Thursday afternoon. 	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T16:52:55.000Z	1458477783236087816	  Let’s go to the gym, cardio day😇	{'place_id': '109342af5712414e'}
2021-11-10T15:39:39.000Z	1458459343578406918	Thanks  Wedding on Saturday. 😉🥰 	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T15:22:21.000Z	1458454990616502274	it literally does not matter what you are doing, you should NOT be scared for your life at ANY point in time. that is victim blaming. you are literally blaming a victim (the father) for bringing his son (another victim) to a concert to make him happy. 	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T14:59:21.000Z	1458449203944988673	If I don’t get my ass to the gym today…..	{'place_id': 'f2da3efc48696715'}
2021-11-10T08:36:25.000Z	1458352835171475459	Customer loved they custom vans      @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
2021-11-10T05:36:45.000Z	1458307621941882882	Why do people make going to the movies by yourself an odd or a weird thing to do, biiiiiitch ima enjoy my muthafucken life and laugh awkwardly as fuck to myself when I think of a funny joke that has to do with the movie too. 	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T04:51:27.000Z	1458296222377205763	But getting back to this. Can you imagine being so impacted by The Princess Diaries that a song that was in the movie had to be played at your wedding (a very memorable moment in most people's lives) by the person that probably isn't performing anymore over a decade later?? 	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T03:47:56.000Z	1458280234919284736	 For sure! Nov 0, 0 - all things willing, I’ll get to finally do my Las Vegas wedding! I’ll remind you if you’re around.	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T03:42:08.000Z	1458278775230242821	Hi  i’m 0 and have been a fan since i heard ‘Our Song’ in 0. I’m a second grade teacher and love disney. My first dance wedding song was ‘Lover.’ Let’s be friends and get excited for 	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T01:43:04.000Z	1458248814310137857	These grown men on a date with themselves and not even paying her attention 😭😭😭 	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T01:31:38.000Z	1458245933976760321	Can’t wait to get a haircut. I be feeling like a can do any fucking thing.	{'place_id': '1d9a5370a355ab0c'}
2021-11-10T00:20:05.000Z	1458227929087938561	I knew this Getty wedding looked familiar 	{'place_id': '1d9a5370a355ab0c'}
2021-11-11T23:08:51.000Z	1458934776832876545	Billionaire heiress Ivy Getty gets married in a gown covered in mirror shards  via 	{'place_id': '1d9a5370a355ab0c'}
