2021-12-06T21:36:48.000Z	1467971309703413761	  Looking forward to the concert  You do such an amazing job running  😁	{'place_id': '001dfcdd3eb26fdb'}
2021-12-06T19:55:12.000Z	1467945741981306885	One of the most festive invitation suites! All the custom components were in sync - rehearsal dinner to church programs to cocktail bars, escort card seating & even at the grand reception table numbers & personalized menus.  Impressive! 💃🎄💯  	{'place_id': '07d9ec8d7b080003'}
2021-12-06T18:31:31.000Z	1467924681693011979	 Aw thanks! Hubby and I are pretty much the same height, so I live a comfy existence exclusively in flats. Wore a fancy pair at our own wedding, too!	{'place_id': '1d9a5370a355ab0c'}
2021-12-06T18:19:57.000Z	1467921769130610692	  😂 I have a buddy who got invited to a wedding where the attire was all flannel.	{'place_id': '1d9a5370a355ab0c'}
2021-12-06T18:04:13.000Z	1467917813172031488	Went to a wedding last night. Dance moves were had. Wine was consumed. 💃 🍷 🥰 	{'place_id': '1d9a5370a355ab0c'}
2021-12-06T16:36:47.000Z	1467895807726731266	I went to the movies by myself for the first time in a long time. I’m definitely back on that.	{'place_id': '6db05c8d8e092528'}
2021-12-06T15:22:24.000Z	1467877089999310851	The most festive invitation suite ever! 🎄🎄🎄 Throwback to a favorite wedding Christmas 0   |  and I had way too much fun styling these after thr fact 🥰🥰🥰 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
2021-12-06T15:21:24.000Z	1467876837955100673	 She's acting like she's going to a spa!  Yoga?  On those floors with no mat?  Protein shakes?  She's in for a rude awakening.	{'place_id': '003cc2276dfcaca4'}
2021-12-06T15:17:49.000Z	1467875935902965760	Straight to the gym to fuck up chest & triceps after work😤	{'place_id': 'c8b021ffd0c94ffc'}
2021-12-06T15:05:04.000Z	1467872727935733769	 Agreed. Wild Swann is a great spot for a drink.	{'place_id': '1d9a5370a355ab0c'}
2021-12-08T20:55:14.000Z	1468685626836926464	the feminine urge to go shopping 😻	{'place_id': '1d9a5370a355ab0c'}
2021-12-08T20:45:23.000Z	1468683146904412170	 yeah i REALLY need to go shopping on devon.	{'place_id': '1d9a5370a355ab0c'}
2021-12-08T19:01:58.000Z	1468657119989796874	I don’t normally post pictures of myself, but I think sometimes that pictures are only as good as the day they are taken, so here it is. Thanks for a cheerful week and do something nice for yourself. Today I got a haircut… what will you do?  	{'place_id': '1d9a5370a355ab0c'}
