2021-12-20T21:55:14.000Z	1473049379590352897	I thought I was ready to go back to the gym. My body is not ready.	{'place_id': '5cba3a162965b0e2'}
2021-12-20T20:11:49.000Z	1473023354827378701	Y’all they had two pups + one (0) IG account dedicated to said pups. No new posts on it since ~0 month after the wedding. I need to know who for custody of these animals.	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T18:36:50.000Z	1472999449475616772	 There was so much garbage on tv when I was visiting armland, but Malena really did that. Send me an invite to the wedding	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T17:47:15.000Z	1472986971626741760	Happy 0years Wedding Anniversary👩🏻‍❤️‍👨🏻💍I hope nextyear 💒💍0-0-0	{'place_id': '9f3d755fe1a081a4'}
2021-12-20T16:10:56.000Z	1472962731586187271	I just got set up on a date by a Jewish momma 😂😂.	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T14:35:41.000Z	1472938763340951553	AM I A TWUNK OR OTTER? Someone at Cell Block said I was an otter, I was thoroughly shock’d 🙈. I have some body hair, I have thick thighs & built tall & I go to the gym. 	{'place_id': '07d9db6c9b882002'}
2021-12-20T14:23:01.000Z	1472935575095103489	I love Love 💕 Let us help you make your special day even more memorable ~ 0-0-0...       @ Move the Beat 	{'coordinates': {'type': 'Point', 'coordinates': [-87.8880168, 42.0406687]}, 'place_id': 'f04813ea26f51186'}
2021-12-20T12:47:48.000Z	1472911613644533766	                Late to the party but IMO taking patient to surgery and diagnosing +/- CBD stones with IOC is the best option. I'd advocate this even if surgeon doesn't do CBDE, as pt needs lap chole regardless so IOC avoids unnecessary MRCP/EUS... No risk in doing ERCP postop, if needed	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T11:14:33.000Z	1472888146836742149	I haven’t been since before the pandemic (last movie I saw in  theaters was  but back then I often went to the movies alone (I saw Endgame alone). Sometimes because no one else wanted to see what I wanted. And hubs & I would take turns going when son was little 	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T07:10:12.000Z	1472826654124818432	Take em to church Faiyaz-San	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T04:35:27.000Z	1472787707961225216	Thanks to  for a great mid-day meetup! Nice to meet everyone! …   with         / PC:  	{'place_id': '07d9e383e4881001'}
2021-12-20T04:16:14.000Z	1472782872318783494	Man after the bulls game I rushed from the bar to the theater to see Spider-Man  was playing Selena  album	{'place_id': '04c0488a01ad05ce'}
2021-12-20T03:09:22.000Z	1472766045219954688	man in this book: these are our wedding rings…which are made of human bone from one of my deceased patientsheroine: how romantic 😍me: what the fuck	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T02:56:18.000Z	1472762755975417859	Paid $0 for two, to watch a movie at a  and remembered that it wasn't covid stopping me from going to the movies.	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T01:47:17.000Z	1472745386746032128	I Suck At Dating . 0 Date in and I’m planning our wedding and where we getting buried at together . 🥴	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T01:32:30.000Z	1472741668243845122	Also why in this day and age do women still have one measurement sized pants?! I need a bigger size waist yes, but I have no ass or hips. And why did I go shopping when I was already in a bad mood?! now I’m MISERABLE. because the fashion industry refuses to understand plus size.	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T00:56:37.000Z	1472732637030666241	If the Catholic Church had any young handsome priests, I might go back to church just to get some in the corner 💀💀💀 	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T00:30:25.000Z	1472726043366723586	  what do y’all kenya fans be talking about. it was an actual fake wedding the girls threw for her. he wasn’t being shady.	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T23:15:00.000Z	1473431840241426440	A financial advisor is like your colorist. You try them out, get lots of compliments and keep going back until eventually you are so loyal and comfortable with them that you would invite them to your wedding.	{'place_id': '8b351eeb91372dc7'}
2021-12-21T22:42:02.000Z	1473423544793145352	LMAO yall elected a cop welcome to the party, pal 	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T22:15:28.000Z	1473416860280541191	So I did a thing. 😁 Something new and fun for the new year. 💜 Swipe for my before and after. 😂 @ Park Jun Korean Hair Salon Straight Perm Color Wedding 	{'coordinates': {'type': 'Point', 'coordinates': [-88.12338359, 41.79828536]}, 'place_id': '3227bcceb76b6a37'}
2021-12-21T21:25:09.000Z	1473404195948617729	I can’t wait until I pop baby c out and start going to the gym 😭	{'place_id': '99700cd6fc455c13'}
2021-12-21T19:57:14.000Z	1473382070416203783	 Wait, are you on your way to a wedding??	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T19:41:18.000Z	1473378063270428675	I'm seeing 'The Matrix: Reloaded' Chateau fight scene while also seeing Miranda, Charlotte & Samantha escorting Carrie up the stairs of the library turned wedding venue. 	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T19:23:48.000Z	1473373659104481280	On my way out to the gym, have you tried  	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T14:46:36.000Z	1473303898555301899	  Welcome to the party my brotha 	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T06:24:34.000Z	1473177558078394369	I literally don’t want a boat or yacht or lambo. I want freedom, a house, a wedding.	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T03:35:06.000Z	1473134910349221889	My dad is so damn rude. My cousin called him to tell him he’s getting divorced—my dad interrupted him and was like “you have to pay me back for what I spent at your wedding, the flight, the clothes I bought, everything. Why did you get married then? Why?” 😂🤯🤷🏽‍♀️	{'place_id': '1d9a5370a355ab0c'}
