236373858	2020-05-25T23:50:24.000Z	1265067725363257344	I go back to work next week. I got y’all on coffee if y’all wanna visit me ☺️☺️☺️.	{'place_id': '9fdc3d1edf51a0a0'}
36898720	2020-05-25T23:45:21.000Z	1265066456682770434	I am available now in Schaumburg Illinois, United States! To contact me, visit 	{'place_id': '918c943e88cc3e5d'}
879341987861852160	2020-05-25T22:58:23.000Z	1265054635586445313	lmk why i wanna go to cali just to visit him, man i miss you corey 	{'place_id': '1d9a5370a355ab0c'}
374775423	2020-05-25T22:17:10.000Z	1265044261747273735	 I’ve been on a trip with me and 0 other girls and that was fine but there were still disagreements on where to go and what to eat lol. Can’t imagine it being more ppl. It just isn’t for me lol	{'place_id': '1d9a5370a355ab0c'}
391411526	2020-05-25T21:58:07.000Z	1265039468811165698	Honored to have spent my  working on a story at the  cemetery in Elwood,  Families didn’t let  ruin plans to visit loved ones like Private Joshua Anderson and Jesse Patton Sr. Story on  	{'place_id': '1d9a5370a355ab0c'}
47653371	2020-05-25T21:35:13.000Z	1265033706407936001	So this is something I have been wrestling with for awhile, if SCI does happen I will be passing on it. With the population I work with, and how much health problems some of my people have, I don’t think it is a good idea to travel to be in pretty much large groups all weekend.	{'place_id': '4c46121d44b7ce9e'}
333601092	2020-05-25T21:08:13.000Z	1265026912876924933	No bbq, no gatherings, no traveling for me today, and I’m still enjoying the Holiday! We especially remember the ultimate sacrifice of those fallen soldiers of color, who died fighting for a Country that has never fought for them! Happy  	{'place_id': '1d9a5370a355ab0c'}
27514420	2020-05-25T21:02:09.000Z	1265025383897890817	 Emily and I are coming to visit.	{'place_id': '1d9a5370a355ab0c'}
941538966871912448	2020-05-25T17:35:11.000Z	1264973300234682368	 Good point!  Makes me angry I couldn’t even visit my fathers grave today but yet he kept us waiting and you know he doesn’t give a damn!	{'place_id': '1d9a5370a355ab0c'}
26414118	2020-05-25T17:16:06.000Z	1264968495902621702	Breaking: Hooked up the seventies hi-fi to a little Bluetooth adapter. I can now travel through time.	{'place_id': '1d9a5370a355ab0c'}
339154395	2020-05-25T16:58:06.000Z	1264963966196781066	🌸 We will open May 0th by appointment only. Please visit our website at  or text us at 0-0-0 for an appointment.Restrictions will apply to keep you and our staff safe and healthy.🌺… 	{'coordinates': {'type': 'Point', 'coordinates': [-88.06774, 41.87668]}, 'place_id': 'd77ed7c9521c898d'}
2790428207	2020-05-25T16:32:28.000Z	1264957517332975616	It Is Well Travel Tumbler – The Daily Grace Co. 	{'place_id': '530c22e82c7a2868'}
929486707233304576	2020-05-25T16:27:22.000Z	1264956232869261315	‼️NEW POST‼️    	{'place_id': '1d9a5370a355ab0c'}
186722916	2020-05-25T16:08:38.000Z	1264951520560373763	Going to go visit my granny today 🥰👼🏽	{'place_id': '1d9a5370a355ab0c'}
2388492578	2020-05-25T16:07:29.000Z	1264951228053827585	In conclusion, you should visit Osgoode Hall during a future Doors Open Toronto. Thank you for attending my lecture.     	{'place_id': '1d9a5370a355ab0c'}
256759509	2020-05-25T15:48:54.000Z	1264946554152026112	Amazing feeling when somebody say I been knowing you’d be doing stuff like that whenever I tell them about my events or traveling. I been dope for a long time and I’m thankful.	{'place_id': '1d9a5370a355ab0c'}
2762557654	2020-05-25T14:53:15.000Z	1264932546401513472	 Hate I didn’t get to see you before you left! Hugs!!!! ....but as soon as  outside open up again, (and you are settled), I gotta come visit you!!!	{'place_id': '1d9a5370a355ab0c'}
