771555547191533568	2021-02-22T23:31:19.000Z	1363994810714116103	       What a great surprise for our student to have this special delivery and visit! Thank you  and 	{'place_id': '222efb7ee8b98c58'}
1086798883232145408	2021-02-22T22:17:54.000Z	1363976336721600512	IM TAKING PRESS ON NAIL ORDERS AGAIN! Visit  FOR DETAILS ! LINK IS IN MY BIO 💕💕 @ Chicago Downtown 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62614846, 41.88046793]}}
2484096209	2021-02-22T21:39:04.000Z	1363966564064722954	0/0 recommend traveling on your own 	{'place_id': '1d9a5370a355ab0c'}
255283993	2021-02-22T19:12:07.000Z	1363929580973797381	 I’m just laughing at the presidential visit tbh	{'place_id': '1d9a5370a355ab0c'}
61537047	2021-02-22T18:18:20.000Z	1363916048517496833	 oh im sure. i have this archived as a travel guide in case up i end up at a DTLA club	{'place_id': '1d9a5370a355ab0c'}
39893651	2021-02-22T17:52:59.000Z	1363909665457909761	Let’s roll through this week! Jerk chicken egg rolls for the win ☀️☀️            @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
5743202	2021-02-22T17:18:55.000Z	1363901095962161157	Glad my first ever visit to Northerly Island had it lookin’ like a winter wonderland. Made it before this week’s big thaw! 	{'place_id': '1d9a5370a355ab0c'}
708550851699191808	2021-02-22T17:18:29.000Z	1363900985060581377	Offering brokers $0 referral fee! Visit  	{'place_id': '1d9a5370a355ab0c'}
48650395	2021-02-22T16:53:41.000Z	1363894745412624384	“The fact that I, mediocre white woman on your TV screen only because of my father and no other reputable accomplishment can’t get a vaccine yet to visit Napa with my besties is appalling” - Meghan McCain 	{'place_id': '1d9a5370a355ab0c'}
869793987787444224	2021-02-22T16:45:18.000Z	1363892632477433861	It’s Monday so you know we got a new episode for ya’ thinking about traveling after covid? Well me and  talk with our homie Ella who works with the japanese consulate about traveling to Japan! 	{'place_id': '1d9a5370a355ab0c'}
21030624	2021-02-22T15:58:05.000Z	1363880750869790727	Africa, Antarctica and Israel offer glimmers of hope for travel industry  via 	{'place_id': '1d9a5370a355ab0c'}
87188071	2021-02-22T15:15:02.000Z	1363869916663853057	  -&gt;  Hi, I am looking to carpool from my residence to the workplace ( I am a neat well maintained passenger and looking to travel for all the business days.    	{'place_id': 'f04813ea26f51186', 'coordinates': {'type': 'Point', 'coordinates': [-87.8556976, 42.057383]}}
45878667	2021-02-22T15:06:58.000Z	1363867889384656900	Beautiful petite set  For the salon call (0) 0-0 Visit  for supplies or DM us. 😎        	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6270218, 41.9010201]}}
480859160	2021-02-22T14:55:42.000Z	1363865053573881863	This fall JC tried out for our friends at  & made a travel roster. On Saturday at  we took a moment after OWLS Select Training to celebrate his journey with  you know what we mean! Keep it up Juan-Carlos!  	{'place_id': '07d9da919a482000'}
827865011427143680	2021-02-22T14:19:08.000Z	1363855850662674436	Not sure I’ve ever seen this much snow piled up in one place (mostly relocated from downtown  and other parts of the Village.) This is 0 of at least 0 storage areas in town. How long til it melts?  crews are back at it this AM. Icy out there...travel slowly. 	{'place_id': '07d9d25052481001'}
809264616	2021-02-22T14:16:30.000Z	1363855186704429058	Happy Monday everyone! Please join us for this week’s  events. For more details on each event and to register visit:     	{'place_id': '1d9a5370a355ab0c'}
176353765	2021-02-22T13:57:26.000Z	1363850387023888386	I really miss being able to travel 😭 This throwback from a helicopter ride over Chicago was a total vibe! 🚁 ⚠️*VOLUME WARNING*⚠️ 	{'place_id': '1d9a5370a355ab0c'}
703013105807151104	2021-02-22T11:44:35.000Z	1363816956579766272	The Wall Street Journal: Travel’s Covid-0 Blues Are Likely Here to Stay—‘People Will Go Out of Business’.via 	{'place_id': '1d9a5370a355ab0c'}
62541859	2021-02-22T06:51:23.000Z	1363743171281379330	putting makeup on before i sleep so the ghosts that visit me every night will never catch me lackin ! 	{'place_id': '1d9a5370a355ab0c'}
1042635493	2021-02-22T06:35:42.000Z	1363739225179496450	  Well you can visit us anytime once we do😉	{'place_id': '1d9a5370a355ab0c'}
736164150	2021-02-22T06:30:19.000Z	1363737868057853953		{'place_id': '1d9a5370a355ab0c'}
33357518	2021-02-22T05:36:03.000Z	1363724212096159744	  They are all garbage.  I wish Mexico would have denied him entry, just for spite and I hope that seditionist florist Cudd can’t travel after all.	{'place_id': '1d9a5370a355ab0c'}
1237149610369523716	2021-02-22T05:35:36.000Z	1363724096815652865	A bit of compassion, thoughtfulness & dignity would forevermore retain Scientology Members who has Stockholm Syndrome, Abused Personalities. When someone already donated thousands & millions, don't ask for more.  When someone looses an eye, let him visit dying Mother.	{'place_id': '1d9a5370a355ab0c'}
90266659	2021-02-22T05:16:08.000Z	1363719198342606850	🦕 // 0.0.0.....         en Field Museum 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.61713624, 41.86622681]}}
90266659	2021-02-22T05:13:14.000Z	1363718471171866624	🐿 // 0.0.0.....       en Shedd Aquarium 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.61425887, 41.86756865]}}
90266659	2021-02-22T05:10:06.000Z	1363717681308831752	👥 // 0.0.0.....       en Lake Michigan By Northerly Island 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.60791445, 41.86673906]}}
2278142599	2021-02-22T05:02:39.000Z	1363715808137015296	 He and Nelson Cruz visit together	{'place_id': '1d9a5370a355ab0c'}
955891912346624001	2021-02-22T03:54:38.000Z	1363698690494324738	A weekend visit to the amazing  (and Ella’s 👶🏼 first visit to an art 🖼 museum)! A great reminder that eventually, culture and the human spirit always win. And we will, together, overcome this pandemic 😷🦠 	{'place_id': '1d9a5370a355ab0c'}
1253477692017647616	2021-02-22T02:47:30.000Z	1363681796119023617	         Can’t imagine why the President might not have wanted to burden the state with the security and infrastructure demands of a presidential visit...at least he was working instead of hightailing it to the beach.	{'place_id': '1d9a5370a355ab0c'}
27870868	2021-02-22T02:04:48.000Z	1363671050563833859	 Hmmm heteronormative standards re: monogamy aren’t really my thing, but low key very down for the idea of you officiating a day where I force all my family and friends to travel to Chicago and pay attention to me	{'place_id': '1d9a5370a355ab0c'}
256833348	2021-02-22T02:04:26.000Z	1363670957009813505	 That’s great as long as they don’t have to travel any further than their walkway I guess... ¯\_(ツ)_/¯	{'place_id': '1d9a5370a355ab0c'}
2391832531	2021-02-22T02:01:26.000Z	1363670203234672640	 Not traveling and no live music are 0 things I miss the most.	{'place_id': '1d9a5370a355ab0c'}
9116332	2021-02-22T01:39:21.000Z	1363664643164667904	  I would actually pay to visit this	{'place_id': '1d9a5370a355ab0c'}
