199100312	2021-05-17T23:35:40.000Z	1394436488843218944	It’s time to get back out there!   🇺🇸        @ Defy Bags 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.67359, 41.96418]}}
1143789940951715842	2021-05-17T23:03:07.000Z	1394428296755126272	    Hope you enjoyed the visit! We’d love to have you join the fam!	{'place_id': '1d9a5370a355ab0c'}
1377397972313407492	2021-05-17T22:53:56.000Z	1394425984301010949	Don't miss out on getting your FREE COVID-0 vaccines right in your neighborhood! Check the graphic to find your nearest mobile vaccination site⏰💉🚍Want more info? Visit  for multilingual resources about the  vaccine in LA  	{'place_id': '07d9e9686ac86001'}
1208431496442339328	2021-05-17T22:22:30.000Z	1394418072581201922	I’ve always wanted to visit the Egypt Pyramids😅😏 	{'place_id': '8b351eeb91372dc7'}
934373196312338433	2021-05-17T21:22:34.000Z	1394402989884981248	So, first cardiologist visit COPAY will be $0Fondly craving lousy British food and the NHS and humming Oh Canada 🇨🇦 healthcare and dreaming of  swearing me in as nouveau citoyen nu	{'place_id': '58d824d197abba8e'}
725486118884368384	2021-05-17T20:48:14.000Z	1394394352458285056	Is this the part of the pandemic where I show that my laptop is ready to travel? I added in new stickers since the last time I entered an airplane. I think I'm ready for travel, but my laptop is for SURE ready. Pretty happy about this lot 'o' stickers!  	{'place_id': '20c885d40cb26f0f'}
1546781359	2021-05-17T20:15:16.000Z	1394386055462277121	Travel shows should be covering handicap accessible travel, including mobility, transportation, accommodations, visual descriptions and where to find sign language interpreters. This is a starting point  	{'place_id': '8b351eeb91372dc7'}
1378918998516064262	2021-05-17T18:52:25.000Z	1394365205925203972	We travel to face Resurrection this afternoon in a recently added game to our schedule. Kickoff slated for 0 p.m.  	{'place_id': '0fc294fe8614d000'}
2423097732	2021-05-17T17:32:15.000Z	1394345031499190272	Book that TRIP!!! TRAVEL... your money will return. Your time won’t!!	{'place_id': '1d9a5370a355ab0c'}
34069028	2021-05-17T14:59:23.000Z	1394306559111479297	Damn I have spent so much on traveling this year it’s crazy.	{'place_id': '1d9a5370a355ab0c'}
1143789940951715842	2021-05-17T14:45:28.000Z	1394303057681342466	 0 All-State lineman and  Showcase standout Liam Becher has earned scholarship offer  from NSIC heavyweight  Hope the visit was fun, Liam! Congrats and keep up the hard work.  	{'place_id': '1d9a5370a355ab0c'}
256833348	2021-05-17T13:58:42.000Z	1394291288279855106	. As a constituent, I urge you to co-sponsor HB 0. The state should cover 0% of the cost of infrastructure for people walking and biking when it's needed on state roads, just as it does travel lanes for cars and trucks.	{'place_id': '1d9a5370a355ab0c'}
360188566	2021-05-17T13:43:38.000Z	1394287497924972546	"  Then the visit talking about, ""Man, I didn't  know it was this nice. I thought..."" Yeah, exactly. You ""thought."""	{'place_id': '1d9a5370a355ab0c'}
2775379082	2021-05-17T12:46:59.000Z	1394273238650429441	. As a constituent, I urge you to co-sponsor HB 0. The state should cover 0% of the cost of infrastructure for people walking and biking when it's needed on state roads, just as it does travel lanes for cars and trucks.	{'place_id': '7ca9cc3e813b1534'}
21030624	2021-05-17T11:05:58.000Z	1394247816919277570	Travel adventures 0 continue! Missed my flight because  canceled my reservation minutes before pick up and I couldn't find another ride in time😩 	{'place_id': '1d9a5370a355ab0c'}
93312030	2021-05-17T04:29:05.000Z	1394147938755129351	As much as I wanna travel, after that flight and the after I don’t wanna see another plane or airport 😭	{'place_id': '1d9a5370a355ab0c'}
2308619559	2021-05-17T03:24:51.000Z	1394131776461758467	  When you coming to visit Chicago 🥺🙏 please	{'place_id': 'da64cd6b4a6e157c'}
66378090	2021-05-17T03:07:47.000Z	1394127479858778113	 Like you’re gonna let a spider make you not want to visit an entire country?! 	{'place_id': '1d9a5370a355ab0c'}
4157971899	2021-05-17T02:41:39.000Z	1394120904045641730	We are almost half way to our matching funds goal. Will you help us reach our goal and beyond? There is still time to request your Letter ID and make a donation. Visit   	{'place_id': 'cdf74b55fc0d4600'}
74338592	2021-05-17T02:02:53.000Z	1394111145892630531	Students, faculty, staff shared how these conditions have affected their families and limited access to food, health services, education, basic necessities, travel, etc. Those stories shook me 0/?	{'place_id': '1d9a5370a355ab0c'}
1139991436085121027	2021-05-17T01:11:02.000Z	1394098100747264012	Life’s a struggle so I ain’t searching for perfectnessAll I need in a person isSomeone that’s down to listen.An open mind that is comforting when I visit ♾	{'place_id': '1d9a5370a355ab0c'}
