1225134621261750275	2021-05-31T23:39:36.000Z	1399510905348669442	 Chicago needs a visit😍😍😍	{'place_id': '07d9ddfa8fc87001'}
21624490	2021-05-31T22:24:02.000Z	1399491888969707521	We went to go visit Mamita 🥰 @ Maryhill Cemetery & Mausoleum 	{'coordinates': {'type': 'Point', 'coordinates': [-87.82551754, 42.03456139]}, 'place_id': '653aabd8c2d3e4d2'}
1394436966490558465	2021-05-31T21:00:09.000Z	1399470781768376334	Today we start our journey here on Twitter.  We will give you details of every step until the “take off” of this promising project.  🚀✈️     	{'place_id': '1d9a5370a355ab0c'}
861614733752979456	2021-05-31T20:34:48.000Z	1399464398402564103	The final hours of our Memorial Day Sale are winding down. ⏲ Visit our team shops by midnight to take advantage of the deals. 🔴⚪️🔵 	{'place_id': '1d9a5370a355ab0c'}
3087023385	2021-05-31T20:02:59.000Z	1399456394852589574	In lieu of a Memorial Day parade, took a moment to visit Glenview’s Freedom Memorial and honor those who made the ultimate sacrifice in defense of this nation.   	{'place_id': 'ed888f00de07aa3a'}
1221519228420755456	2021-05-31T19:50:10.000Z	1399453167079788549	Memorial Day weekend trip to Chicago. Great to be to be traveling again  	{'place_id': '1d9a5370a355ab0c'}
758747329767714819	2021-05-31T19:07:31.000Z	1399442434493456387	Remembering our fallen soldiers on  Need a list of Veteran cemeteries to visit? The VA has offered this  list - 	{'place_id': '1d9a5370a355ab0c'}
113558332	2021-05-31T19:01:43.000Z	1399440974854692865	 is trying to visit with Fearless, but Flash and Fiona make it difficult.      @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
269062860	2021-05-31T17:28:37.000Z	1399417543815839748	 needs to start letting TV/radio people travel.   Broadcasts are much better when announcers are on site.	{'place_id': '1d9a5370a355ab0c'}
1245097070	2021-05-31T16:54:53.000Z	1399409057677643781	Our company IT guy is forever traveling with his wife! That’s goals!	{'place_id': '6b745382f2cdbb67'}
2649430386	2021-05-31T15:16:20.000Z	1399384257324326913	               Golf is much more enjoyable when not keeping score and an occasional visit to the beer cart.	{'place_id': '1d9a5370a355ab0c'}
2717925002	2021-05-31T12:47:32.000Z	1399346808900497411	My parents used to call today Decoration Day, and we would go around to the cemeteries of my aunts, uncles and grandparents . Today, this Decoration Day, I will be going to the gravesites of my parents. If your parents are still alive, visit them if possible as often as possible	{'place_id': '1d9a5370a355ab0c'}
61333845	2021-05-31T03:18:00.000Z	1399203482737971202	"   RDJ is in his mid 0's, how much longer was he gonna play the character? Besides, with a multiverse and time travel established,  no one is ever truly ""dead"". His sacrifice felt right. His arc was done. Any actor should be so lucky to have an arc like that."	{'place_id': '8256704a124fd428'}
949738506162667522	2021-05-31T01:39:10.000Z	1399178610574086145	I really wanna travel everywhere	{'place_id': '1d9a5370a355ab0c'}
30252520	2021-05-31T00:53:56.000Z	1399167224779264002	As a neighbor pointed out, the lake levels have dropped this year, exposing more sand. And this area was formerly used by the military.Could be a while before the area is safe to visit again. 😔	{'place_id': '1d9a5370a355ab0c'}
