433142243	2021-10-04T23:58:48.000Z	1445176610978770949	ooooo I’m gonna do this when I travel to Europe ✍🏼 	{'place_id': '4b3758bc32868265'}
22639336	2021-10-04T23:45:19.000Z	1445173215450517511	  How on earth have I not read her content before?! Worth the visit!	{'place_id': '1d9a5370a355ab0c'}
735563812720508929	2021-10-04T23:10:31.000Z	1445164460608532484	0/ make me more anxious as they are basically saying that I might have to wait until the day before the event that me and 0 others are flying all the way from Chicago to Las Vegas for the sole purpose of attending to get the tix I bought. I explain to the rep that the travel	{'place_id': '1d9a5370a355ab0c'}
329314944	2021-10-04T23:06:57.000Z	1445163560712163331	 One day soon I’ll come visit 😈	{'place_id': '1d9a5370a355ab0c'}
933826424007512065	2021-10-04T21:35:02.000Z	1445140429347999762	 Must have been a tough year and a half for you travel wise. It’s Good things seem to be getting back on track.	{'place_id': 'e214bb64bf8aa04d'}
1376214128734396417	2021-10-04T21:28:34.000Z	1445138803992182797	Chicago residents are fighting to save Navy Pier's Crystal Gardens, one of the city's only indoor green spaces  via 	{'place_id': '1d9a5370a355ab0c'}
3318333569	2021-10-04T21:23:43.000Z	1445137583542050824	Brave of him to visit chicago when he knows its my life goal to k**l him 	{'place_id': '1d9a5370a355ab0c'}
408044273	2021-10-04T21:19:03.000Z	1445136409187205128	Just sharing my work ♥️Located in Chicago/South Suburb (traveling lash tech/MUA) area ! DM me inquiries or click the link in my bio to book  ✨✨JSU Homecoming Oct. 0-0th 	{'place_id': '08695e38fe9e7edf'}
2544903272	2021-10-04T20:40:40.000Z	1445126749663244292	   Lol, enjoy that trip to Cancun. You deserve it. Not even kidding about that. Go on a trip. Or not. It’s up to you. That’s the beauty sometime about having a choice. Not saying all choices are equal & equally right.	{'place_id': 'ed888f00de07aa3a'}
14328397	2021-10-04T20:31:30.000Z	1445124440212320256	In case you weren’t able to make it to the opening night reception for my photo exhibition, “Uplift”, it runs through 0/0. Visit the Andersonville Galleria (0 N. Clark) any day from 0am-0pm. A portion of proceeds benefits  	{'place_id': '1d9a5370a355ab0c'}
1029793559363416068	2021-10-04T19:58:43.000Z	1445116192214159367	 Extra Pack of Peanuts for travel is great 🙌	{'place_id': '1d9a5370a355ab0c'}
933826424007512065	2021-10-04T18:07:07.000Z	1445088104696721409	 I’m sure you look beautiful! Sounds so interesting! Being a nurse I don’t really get the opportunity to travel much…	{'place_id': 'e214bb64bf8aa04d'}
1138242131783495681	2021-10-04T17:30:27.000Z	1445078878058389507	I hate when I have to turn down families that wanted me as their nanny, but, I have to do what's best for me, winter is approaching and I have no vehicle so going out my way to travel to Southside I just can't do ESPECIALLY when I'm about to move to Roger's Park, that's crazy!!!	{'place_id': '1d9a5370a355ab0c'}
36114488	2021-10-04T17:07:22.000Z	1445073067298938885	Check out my visit to Arby's 	{'place_id': '088c56ad174b8e80'}
1032375935910260742	2021-10-04T16:34:40.000Z	1445064841279025154	Come visit us at La Grange for the best deals for new and existing customers!   	{'place_id': '07d9c9fbd8888002'}
125799259	2021-10-04T16:18:48.000Z	1445060846527426563	Be Sure to Visit My Closet ✨  I Have a 0% off Sale Going On. Follow My IG For More.   	{'place_id': '1d9a5370a355ab0c'}
3401388063	2021-10-04T16:10:13.000Z	1445058685860995073	Pour one out for my favorite travel mug that fell off the top of my car where I left it and got run over. No caffeine, just pain	{'place_id': '8b351eeb91372dc7'}
1336445268246622213	2021-10-04T16:09:54.000Z	1445058606236327937	My friend Gina’s bridal shower.      	{'place_id': '1d9a5370a355ab0c'}
2568384055	2021-10-04T16:06:33.000Z	1445057762166247451	Y’all make all this fucking money traveling and then gravel for more. Come on y’all.	{'place_id': '1d9a5370a355ab0c'}
2568384055	2021-10-04T16:05:16.000Z	1445057442493173768	Y’all travel/(some) landscape photogs are some of the most elitist stuck up entitled creators in the space. And it sucks to say.	{'place_id': '1d9a5370a355ab0c'}
197811616	2021-10-04T15:54:56.000Z	1445054841320005640	  Well I hope they all get home safely.  Not guaranteed for space travel in general and Blue Origin in particular	{'place_id': '1d9a5370a355ab0c'}
1171999349280333824	2021-10-04T15:52:22.000Z	1445054193480474630	i had such a great time at my visit at Pitt this past friday. a huge thank you to   and  for the hospitality and all the fun! it was incredible! 	{'place_id': '1cf51d4fa867b58a'}
