906428404844650496	2021-10-18T23:26:28.000Z	1450241901286862853	Had a quick bite after the doctor visit! Walking home, now! (at  in Chicago, IL) 	{'coordinates': {'type': 'Point', 'coordinates': [-87.71822669, 41.9535451]}, 'place_id': '1d9a5370a355ab0c'}
3317428649	2021-10-18T23:13:52.000Z	1450238731596832769	As a parent of a travel basketball player, pay special attention to the tournaments that you are playing in and just observe!! That will tell you a lot!!	{'place_id': '1d9a5370a355ab0c'}
30585301	2021-10-18T22:49:24.000Z	1450232574337601539	 Baby’s first ER visit.	{'place_id': 'c8b021ffd0c94ffc'}
130510962	2021-10-18T21:59:40.000Z	1450220058052108292	I still don’t know what my game plan is for cons in 0, but I hope I get to go to a few. I miss friends, and I absolutely miss meeting new people. Photography has been a means of meeting lots of really cool and sweet people, and a good excuse for traveling	{'place_id': 'f48e110211eee6ef'}
834692690	2021-10-18T21:32:19.000Z	1450213174687510532	At this point I wish my parents never even came back to visit…they’re literally causing more unnecessary stress and anxiety to my life on top of the trauma they’ve already caused.	{'place_id': '1d9a5370a355ab0c'}
15281728	2021-10-18T21:06:19.000Z	1450206634026934283	 Holy schnikes, she is beyond cute!  What's her name? Also, thank you for this.  Traveling w luggage from ORD via CTA & in Das Boot is painful like whoa(not just to my sad ankle), I needed this midday goodness. 💜	{'place_id': '1d9a5370a355ab0c'}
14288934	2021-10-18T20:55:55.000Z	1450204015845838858	Off we go. I’ll be updating on          @ Chicago O'Hare International Airport 	{'coordinates': {'type': 'Point', 'coordinates': [-87.90120921, 41.97655691]}, 'place_id': '1d9a5370a355ab0c'}
2388492578	2021-10-18T20:50:22.000Z	1450202617095901184	Stopped for my second lunch of the day at the Pittsfield Cafe. Travel is hard work! 	{'place_id': '1d9a5370a355ab0c'}
186340537	2021-10-18T20:48:04.000Z	1450202038273445891	  Def gotta go pay you a visit.	{'place_id': '1d9a5370a355ab0c'}
380573728	2021-10-18T20:39:50.000Z	1450199969382731780	I miss traveling like I used to.	{'place_id': '1d9a5370a355ab0c'}
264395036	2021-10-18T20:34:38.000Z	1450198659430293511	   Yes. Saturday I found tears coming out for no reason. I did have a stressful week prior. But Iam not a crier. I had to get up NUMEROUS times during Saturday and Sunday night to visit john...unusual. Arm is still sore. It is what it is. I am glad I did it.	{'place_id': '1d9a5370a355ab0c'}
218589945	2021-10-18T20:28:44.000Z	1450197175653314569	One of my favorite memories as a first year   was our Worcester Art Museum visit with Dr. Andrew Singer and    	{'place_id': '1d9a5370a355ab0c'}
941538966871912448	2021-10-18T19:28:23.000Z	1450181986316955655	The Niigata Geigi: Japan's 'other' geishas  via   This whole Geisha culture fascinates me.  I don’t pretend to understand it and how it still exists but nevertheless🤷‍♀️	{'place_id': '98a64980f963518d'}
1044284325762670593	2021-10-18T19:03:52.000Z	1450175817456177152	The power of the future rides on innovation and  a Chicago based company that specializes in shared alternative transportation, has connected innovation with sustainability creating a new way to travel. Our director Eric VandeVoorde got to stop in for a visit! 	{'place_id': '1d9a5370a355ab0c'}
292059783	2021-10-18T19:00:51.000Z	1450175058308214786	This quick lil Chicago visit has been lovely but daddy is READY to get back to nyc tonight	{'place_id': '1d9a5370a355ab0c'}
19286551	2021-10-18T18:32:42.000Z	1450167973050789896	I’m continuing to look into possibly hitting up Las Vegas for All In next year.  Would be nice to go on a trip finally and partake in some buffet shenanigans.	{'place_id': '4b3758bc32868265'}
14288934	2021-10-18T18:26:38.000Z	1450166446542237702	On the road. First international trip since the pandemic hit. Felt odd at first but got back into rhythm pretty quick. Services at US airports are skeletal to say the least, hoping it’s better at my destination.  	{'coordinates': {'type': 'Point', 'coordinates': [-87.90120921, 41.97655691]}, 'place_id': '1d9a5370a355ab0c'}
1109593682	2021-10-18T18:14:12.000Z	1450163316333158408	Don't wait till it's too late for holiday shipping. Visit any of the Prinaj locations to send your items today.  0-0-0-PRINAJ (0-0), +0-0-0-0, +0-0-0-0, +0-0-0-0 | info |     	{'place_id': 'f1dfa58974449052'}
810597348162334720	2021-10-18T18:11:41.000Z	1450162685245632526	Had a amazing game day visit   thanks for the opportunity      and thanks for the tour around the facility 	{'place_id': '48f2609344f0c3f7'}
448252519	2021-10-18T17:11:02.000Z	1450147421070282756	There are over 0 collection site locations throughout the Chicagoland/Northwest Indiana region led by fantastic law enforcement & prevention partners like    many others. To find a collection site near you, visit  	{'place_id': '1d9a5370a355ab0c'}
408965169	2021-10-18T16:52:39.000Z	1450142797651136523	0 in 0 women will develop invasive Breast Cancer in their lifetime. In recognization of  Breast Cancer Awareness Month,  will donate $0 for every vehicle sold to the Susan G Komen Foundation 💕 visit  to learn more 	{'place_id': '6af99a29bfae42a2'}
216242374	2021-10-18T16:17:08.000Z	1450133855638228992	I need to visit here next time I go there 	{'place_id': '1d9a5370a355ab0c'}
17368360	2021-10-18T16:02:15.000Z	1450130113870405632	 staff are excited to connect with you at   Visit us at Booth 0 and get your free … shirt, while supplies last. 	{'place_id': '1d9a5370a355ab0c'}
47090195	2021-10-18T15:58:57.000Z	1450129281196204036	 Plan to visit NYC and him in December	{'place_id': '1d9a5370a355ab0c'}
2563031431	2021-10-18T15:58:37.000Z	1450129195753934858	This pouring thru   and  is taking a LOT longer than I originally budgeted. It’s   AND  combined gets me throwing a F.I.T.  Gonna need a two full days. Plus, some are still traveling. So it’s not all even posted yet…	{'place_id': 'c567a00616152df6'}
867071344353083392	2021-10-18T15:48:03.000Z	1450126537806815232	The Burbank Fire Department paid us a visit today.🚒 We learned about fire safety and how they use the jaws of life!     	{'place_id': '48f2609344f0c3f7'}
1418412711386435585	2021-10-18T15:01:56.000Z	1450114933555859469	 TRAVEL	{'place_id': '8b351eeb91372dc7'}
1377383549876199433	2021-10-18T14:56:28.000Z	1450113557329289220	Was so inspiring to visit  yesterday where I also met  . Thanks for sharing your stories and for all of the solid advice. 	{'place_id': '1d9a5370a355ab0c'}
181252363	2021-10-18T14:31:07.000Z	1450107175687315456	happy birthday to one of my best friends. i’m so grateful to have you in my life. my travel buddy for boybands, forever. i love you so much ❤️ 	{'place_id': '13d0994d4df436f8'}
2305477914	2021-10-18T14:12:22.000Z	1450102460186513413	 you are now down to 0 trains to OHare an HOUR at the high of morning commute. Chronic problem. Beware Chicago. Add 0 minutes more to your travel time.	{'place_id': '1d9a5370a355ab0c'}
1244066844501331968	2021-10-18T14:03:17.000Z	1450100174756384771	 Thank you. My birthday was in July but I just went to visit them about 0 weeks ago. My daughter’s is in August so we exchanged gifts in person ☺️	{'place_id': '5e4243758a966b81'}
85644676	2021-10-18T13:51:26.000Z	1450097189263454212	And we're off!   Visit   to watch the live stream. These next 0 days will be full of learning opportunities for the water sector   	{'place_id': '0d8519ccc356e001'}
