373366362	2021-12-27T23:12:01.000Z	1475605418374307847	Starting to feel like a prisoner in the country I fought for. What is happening to freedom? 	{'place_id': '9f3d755fe1a081a4'}
488143925	2021-12-27T22:25:30.000Z	1475593710243090435	I really went from not being able to leave Carbondale to traveling consistently for two years straight now ✨✨✨✨	{'place_id': '1d9a5370a355ab0c'}
847714411	2021-12-27T22:22:15.000Z	1475592892211253256	  Really get ahead of this thing by ramping up masks and tests and putting an FAA travel requirement for vaccine and masking.Biden Administration: how about no?	{'place_id': '5b217454f4bd5f04'}
1004469472399429637	2021-12-27T22:15:47.000Z	1475591266037600265	We are looking to fill two games this week. Currently on an overnight layover in Chicago.Willing to play either in the Chicagoland area or can travel out to Baltimore/DC area. DM or contact JohnsonT  	{'place_id': 'f48e110211eee6ef'}
1322664602	2021-12-27T22:14:09.000Z	1475590853716553730	no more music festivals for me, this year we are only traveling to new places 😌	{'place_id': '5a483763a916e21d'}
1136373342007697413	2021-12-27T21:44:23.000Z	1475583363314589709	Because let me tell you. I went to visit KC and she had me in a 0 step skin care routine with aloe Vera socks on by 0pm 😭	{'place_id': '1d9a5370a355ab0c'}
1371907073680752643	2021-12-27T21:34:40.000Z	1475580917599162378	Here is a preview of some items (in stock) & other that I will have in stock 🔜 ! If you visit my website  you will get 0% off of your 0st purchase. 😊 I hope you enjoy this video, if you do, please share. Thank you & Happy Shopping! 📣on! 	{'place_id': '1d9a5370a355ab0c'}
814297483677433856	2021-12-27T19:35:27.000Z	1475550916707336193	 has finals said it out loud what all us  have been thinking: it’s time to start thinking of allowing only fully  to fly domestically. We can’t keep playing games. The  just don’t care. Screw em. 	{'place_id': '1d9a5370a355ab0c'}
146613692	2021-12-27T17:06:03.000Z	1475513317967937540	Did you forget to check your list twice and miss some Christmas gifts? We’ve got you covered! Visit  and send your friends & family a Streeter’s gift card via email!       	{'place_id': '1d9a5370a355ab0c'}
1125032548764196865	2021-12-27T16:12:21.000Z	1475499806097350660	 I’m furious that NO LEADER in this country is doing what really needs to be done. It’s so bad that any difference between what the GOP would have done if in power instead is meaningless. No fucking mandates for air travel?? No free tests and paid leave for people? We’re fucked.	{'place_id': '1d9a5370a355ab0c'}
3004167455	2021-12-27T16:04:39.000Z	1475497865116012551	 If the ribbon closes we will post on social media and our website. For ticket information please visit 	{'place_id': '1d9a5370a355ab0c'}
