590677938	2021-10-11T23:11:19.000Z	1447701373617721344	Kyle Shanahan going out like Mike Singletary switching Troy Smith and Alex Smith lol	{'place_id': '19d41c6eff11e9d6'}
1332856081479942146	2021-10-11T22:56:42.000Z	1447697696672792577	my roomates are in the same sorority and I’m not and I also have no money or friends and they go out pretty much everyday together sigh couldn’t feel like more of a loser if I tried	{'place_id': '3b77caf94bfc81fe'}
24769041	2021-10-11T22:35:19.000Z	1447692316303527936	Tony Gonsolin said he learned from starting  games last year to “attack guys and go out there and seize the day.”   	{'place_id': '3b77caf94bfc81fe'}
1289504969381384193	2021-10-11T21:58:58.000Z	1447683167696027652	I am not built to go out everyday, I need a couple days to recharge 😭	{'place_id': '3b77caf94bfc81fe'}
1147521739997376512	2021-10-11T21:47:52.000Z	1447680376277590017	My brother got me a whole ass battery and wax for my bday 😭❤️ he said ‘ youre going out tn hu? Heres your gift ‘ like bro wtf ???!	{'place_id': '4d1d90faa5484b1c'}
894242242755514372	2021-10-11T21:21:03.000Z	1447673625742491648	what’s worse: your electricity going out or water cut off?	{'place_id': '3b77caf94bfc81fe'}
1033979025473994754	2021-10-11T20:56:54.000Z	1447667548116246534	I want to be around my man 0/0… like can I just go to work with you?	{'place_id': '3b77caf94bfc81fe'}
981312745084612610	2021-10-11T20:41:59.000Z	1447663794944036867	 last year as a steeler and he had to go out like that, man it breaks my heart pls  sign juju when it’s time. Wishing you a speedy recovery. 	{'place_id': '67571a7baaa5906b'}
1272211886377844739	2021-10-11T20:26:36.000Z	1447659923806982144	Okay that’s it I’m done going out lmao	{'place_id': '0706a21788cadb8d'}
111119989	2021-10-11T20:18:53.000Z	1447657978903941120	I stay to my fucking self. I don’t even be going out like that.	{'place_id': '3b77caf94bfc81fe'}
949868642509864960	2021-10-11T19:26:36.000Z	1447644823117123586	today I pushed myself to get out of bed and to go out with my family. Feeling the sun on my skin makes me realize everything will be okay	{'place_id': '3b77caf94bfc81fe'}
104888115	2021-10-11T19:05:45.000Z	1447639576458059778	 Yuuup!!! Ima take them out of school early to go out 🤣	{'place_id': '853e23ffbf7f0201'}
1216224085014745088	2021-10-11T19:00:58.000Z	1447638373603045377	I been coming to my moms house the past few days and today she asked me to do a lil too much. So now tomorrow I’m going back home after I drop off my lil one to school.	{'place_id': '3b77caf94bfc81fe'}
306305148	2021-10-11T18:25:20.000Z	1447629406843793413	I always wanna go out to eat	{'place_id': '3b77caf94bfc81fe'}
1009473027636105217	2021-10-11T18:02:36.000Z	1447623685943140354	  If I understand correctly, Reagan used to go out for a drink after work with a friend from the Democrat party. A different time.	{'place_id': '3b77caf94bfc81fe'}
1535621694	2021-10-11T17:13:03.000Z	1447611213307793416	This how i sit naked on bed tryna really convince myself that i wanna go out😂 	{'place_id': '3b77caf94bfc81fe'}
2318450040	2021-10-11T16:22:35.000Z	1447598514658103298	Had a dream where I had a sword sleeve of tattoos on my arm, I told people to use whatever pronouns they want for me, and I went back to college.	{'place_id': '3b77caf94bfc81fe'}
1425100670408003587	2021-10-11T16:07:00.000Z	1447594593835360260	I built a Internet communications hub called  I can not go out tonight clubs now and I have hurt my spine so  is officially up for sale. It's an entertainment communications service for to the music industry.  	{'place_id': 'b0b79caecef59fb5'}
182299947	2021-10-11T15:57:39.000Z	1447592239329275909	So this is how it feels on Monday's when you don't go out hehehe good morning 	{'place_id': '01c060cf466c6ce3'}
17551561	2021-10-11T15:27:08.000Z	1447584561118941191	My coworkers are saying non English speaking countries are less educated. Like bitch you didn't even go to college	{'place_id': '20ba6fb3b1ee82da'}
1918393410	2021-10-11T14:26:29.000Z	1447569298206048256	Got home to see my baby sister leave to school and she dripped out in Burberry lmaoo like???	{'place_id': '0c2e6999105f8070'}
1123516540274364421	2021-10-11T06:30:50.000Z	1447449596888694784	Going out for the last time this year cause LA Nightlife is for the crackheads & coke whores	{'place_id': '3b77caf94bfc81fe'}
145352479	2021-10-11T06:27:49.000Z	1447448837837111300	I don’t have much desire to go out anymore.	{'place_id': '3b77caf94bfc81fe'}
1341182014859464705	2021-10-11T04:37:13.000Z	1447421001386500097	  If we were homosexual I would go out with John	{'place_id': '3b77caf94bfc81fe'}
43392430	2021-10-11T04:32:22.000Z	1447419784165945344	My friends have pressured me to go out tonight 😪 lol let me get dressed lol	{'place_id': '3b77caf94bfc81fe'}
794282586440749056	2021-10-11T04:01:24.000Z	1447411987978153987	I do not want to go to work tomorrow	{'place_id': '1193edda55d6fa3d'}
417354391	2021-10-11T03:42:14.000Z	1447407165380050944	quickly reminded how taylor sabrina and i can’t go out to the movie theaters because we can’t shut the fuck up during movies	{'place_id': '3b77caf94bfc81fe'}
1606845560	2021-10-11T03:41:04.000Z	1447406872256909313	I think I’m bringing my working girl weekend to a close LOL learning when to go out and when to have a night at home before I burn myself out. Feeling very blessed for all the bookings and fun this past week though 💖💖	{'place_id': 'b0b79caecef59fb5'}
135684192	2021-10-11T03:37:27.000Z	1447405962386546689	 I love them. My mom made the best egg salad sandwiches. When she was making them, I would run home from school at lunchtime…eat 0…then run back to school. I’ve never come close to tasting any others that were as good, but I keep hoping.	{'place_id': 'c1e1a49e92ce1ba0'}
29642467	2021-10-11T03:25:45.000Z	1447403018299736065	 Congratulations on all your new friends! Where are you going to school?	{'place_id': '3b77caf94bfc81fe'}
409709438	2021-10-11T02:56:44.000Z	1447395717392191492	Debating on should I go out or not? 🤔	{'place_id': '3b77caf94bfc81fe'}
611699366	2021-10-11T02:17:24.000Z	1447385814699175936	tell me why i always want to go out any day besides friday/saturday it makes no sense	{'place_id': '07dccb89e8f25a8f'}
2892359942	2021-10-11T01:55:40.000Z	1447380347822358529	If you’ve never had Peruvian food I’m begging you to go out and have lomo saltado and an inca cola like I’m pleading…	{'place_id': '0c2e6999105f8070'}
1303038650511364096	2021-10-11T00:55:40.000Z	1447365249468825603	 WOW😯. Don’t be including me and that shit. You  if you getting yo shit keyed Playa…… do need to take you to school 📚 	{'place_id': '3b77caf94bfc81fe'}
4721613151	2021-10-11T00:43:25.000Z	1447362164126203907	I wanna dress up and go out 😊	{'place_id': '3b77caf94bfc81fe'}
