339794231	2021-12-06T23:50:26.000Z	1468004939502800903	 is seriously going out with a bang, wow.  	{'place_id': '7d2aec133a24b554'}
1153747374683983873	2021-12-06T22:55:31.000Z	1467991119724122115	Sometimes you just gotta go out by yourself	{'place_id': '3b77caf94bfc81fe'}
178314403	2021-12-06T22:35:07.000Z	1467985984746754050	I feel like I learned in hs to stop going out to eat with large groups of people I was like oh this is fuckin stupid and wrote it off splitting the bill 0 ways???? I’ll kms	{'place_id': '59612bd882018c51'}
4458491232	2021-12-06T22:20:10.000Z	1467982224842657797	Working and going to school full time in addition to my waxing business and yet I still manage to make time for the people I care about the most	{'place_id': '7a615ec218d177f6'}
2436079226	2021-12-06T21:50:16.000Z	1467974697375526912	  No one was complaining about the vaccine mandates required to, say, go to school —until the trumps weaponized Q level stupidity.	{'place_id': '3b77caf94bfc81fe'}
996198530661408768	2021-12-06T21:42:11.000Z	1467972663658393603	going back to college to get more knowledge 📚 	{'place_id': '3b77caf94bfc81fe'}
257320280	2021-12-06T20:35:30.000Z	1467955882591801344	0/0 Pumped to announce our 0th Annual San Gabriel Valley “Get to College” Free Youth Clinic!We will have some of the best youth, travel, high school, college & pro coaches instructing as well as current Minor & Major League Baseball players!Free t-shirts and tons of raffle prizes 	{'place_id': '1193edda55d6fa3d'}
2681048384	2021-12-06T20:16:38.000Z	1467951134123954186	 0/ so take Bob out along with his wealthy owners who spend millions on hundreds of horses each year. Which 0 or 0 breeders will go out of business? And then the vultures- The people who want horse racing banned (not safer- banned)will pick their next victim	{'place_id': '10de09f288b1665c'}
278352354	2021-12-06T18:47:35.000Z	1467928725559803904	Everyone going everywhere maskless and I’m over here scared to go out not double masked .	{'place_id': '7b2a70199c4d7b6d'}
2151161472	2021-12-06T18:10:38.000Z	1467919424552202240	Remember that feeling you use to get when you didn't go out you felt like you missed out on something .....  I haven't felt that shit in years lmao	{'place_id': '3b77caf94bfc81fe'}
1938717446	2021-12-06T18:04:35.000Z	1467917904226045953	honestly makes the decision of going out 0x easier 	{'place_id': '3b77caf94bfc81fe'}
15221527	2021-12-06T18:02:04.000Z	1467917269724327936	" Like "" who tf going out there ?"""	{'place_id': '3b77caf94bfc81fe'}
881997335504408576	2021-12-06T17:08:35.000Z	1467903812539060226	 I don't know how much has changed since I went to school, so I wouldn't know... My method of handling it (internalizing, etc.) probably wasn't the healthiest either.	{'place_id': '0706a21788cadb8d'}
130613383	2021-12-06T16:40:54.000Z	1467896845292621825	mmm do I have to go to work today or can I just binge watch survivor with Jaxson instead	{'place_id': '2feb76248fd9c581'}
716872353309794305	2021-12-06T16:35:07.000Z	1467895387826520066	Now, maybe a half hour gone on, I’m hearing that some of the stalkers (guys) are guys from sober living homes, which would be typical, and I commonly also hear that these types of guys end up being the ones in tents, as they escape from home in order to go out and smoke crystal	{'place_id': '1927193c57f35d51'}
45058929	2021-12-06T16:30:28.000Z	1467894219414986753	i woke up to take the kids to school and wanted orange juice so bad. so i stopped at McDonalds to get one & a hash brown 😰😰 major ragrets 💩💩💩🚽	{'place_id': 'c2ad98c80a97adde'}
233785442	2021-12-06T16:22:51.000Z	1467892302114799616	Everyday I wake up thinking...Fuck I wish Soup Plantation didn't go out of business. That was the spot!	{'place_id': '20ba6fb3b1ee82da'}
1011474166254526465	2021-12-06T15:54:21.000Z	1467885128336621574	I really be going out with baggy sweats and a big hoodie looking like somebody’s son. But somehow manage to still get catcalled by men.	{'place_id': '3b77caf94bfc81fe'}
279042526	2021-12-06T14:20:42.000Z	1467861562723430406	 I agree. 0%. PK is one of those boosters that really cares about the school and sports. And it proves that by him being pissed and pulling the extension AND offering that kind of extension. He believes Oregon is elite as do I so I have no doubt he'll go out and get a top HC	{'place_id': '3b77caf94bfc81fe'}
1073159002580606976	2021-12-06T13:12:20.000Z	1467844357277372419	The fact that I gotta get up and go to work . I hate it here	{'place_id': 'f2b1ac6c9d15503f'}
18742875	2021-12-06T08:48:04.000Z	1467777852661633024	  Depends where you are located, but we are a bit behind on orders since we were at conventions this week. All orders will go out Monday.	{'place_id': '3b77caf94bfc81fe'}
1133205143325777921	2021-12-06T06:55:01.000Z	1467749403469303808	Idk how yall work full shifts everyday and go to school lol, last week i worked half shifts everyday and was so tired of it	{'place_id': '9e42709040fafdb7'}
2488639729	2021-12-06T06:54:17.000Z	1467749218865410055	  Fair. Actually my house to LAx may be pretty safe but sucks I can't bike my kids to school 0 Mins away.	{'place_id': '3b77caf94bfc81fe'}
456077330	2021-12-06T06:43:21.000Z	1467746466579947528	I was invited to go out for drinks at 0pm and I had to say no cuz I didn't wanna drive that far or be up past midnight lol	{'place_id': '3b77caf94bfc81fe'}
2331431912	2021-12-06T05:14:46.000Z	1467724171836682252	Idk if I should be mad or proud dat my lil sis be taking my hollowsquad hoodies to school without telling me....	{'place_id': '7b2a70199c4d7b6d'}
2914160527	2021-12-06T05:00:06.000Z	1467720483307069446	Cruz will go out in the 0th or by decision he’s sloppy but so strong	{'place_id': '10de09f288b1665c'}
12516692	2021-12-06T04:10:35.000Z	1467708019701997570	Officially said no to the family christmas oarty where my cousins aggressively try to get omicron in every post they go out.	{'place_id': '20ba6fb3b1ee82da'}
155400595	2021-12-06T03:41:18.000Z	1467700650158944256	how i wanna go out. 	{'place_id': '0c2e6999105f8070'}
480505404	2021-12-06T03:25:18.000Z	1467696623278981126	Sent the backerkit smoke test out (should go out to 0 backers)I'm soo terrified I messed something up	{'place_id': '3b77caf94bfc81fe'}
23279141	2021-12-06T03:23:34.000Z	1467696186798710786	i, too, have ‘going out’ titties 	{'place_id': '3b77caf94bfc81fe'}
55164262	2021-12-06T02:36:05.000Z	1467684237281169408	Asking me if I need money anytime I go out is some BDE AND ME AND MY PUSSY HERE FOR IIIIIT🥵	{'place_id': '5e68ca240e32025a'}
198420647	2021-12-06T02:18:52.000Z	1467679905722765321	So you going out to get it all tomorrow right?  	{'place_id': '3b77caf94bfc81fe'}
846776052	2021-12-06T01:35:21.000Z	1467668954130780166	 😂😭 I know I’m old because I didn’t even go out in Vegas. 😅 Might head down to go get them, haven’t decided.	{'place_id': '3b77caf94bfc81fe'}
39178988	2021-12-06T01:19:36.000Z	1467664992124035072	why does everyone like prefer night drinking and going out at night? where are my DAY drinkers  like it’s soooo much better tbh	{'place_id': '1927193c57f35d51'}
262841011	2021-12-06T01:12:46.000Z	1467663271247310848	My internet would of course go out right before the fight. I hate you forever, 	{'place_id': '01c060cf466c6ce3'}
198420647	2021-12-06T00:58:03.000Z	1467659569321050115	This is why I like to go out to eat alone. Y’all are stupid.	{'place_id': '3b77caf94bfc81fe'}
2222005818	2021-12-06T00:33:32.000Z	1467653400212881409	Nah wtf… i was suppose to go out for lunch an hour ago but everyone decides to come at the same time 😭😭😭 where we’re yall all morning???	{'place_id': '3b77caf94bfc81fe'}
1319429764558458881	2021-12-06T00:31:52.000Z	1467652978966294533	I slept all day just for me to get up and go to work again 🙃	{'place_id': '3b77caf94bfc81fe'}
22528167	2021-12-06T00:16:29.000Z	1467649106407419904	I get really excited for the holidays until I have to go out into society once during the holiday season. It's incredible how much more rude and entitled everybody gets this time of year	{'place_id': 'cf2d9d01f16e9bd4'}
211720117	2021-12-07T21:41:53.000Z	1468334977230139392	You want me to go to work?! The thing that killed the spirit of every living American??	{'place_id': '01c060cf466c6ce3'}
70239762	2021-12-07T21:23:41.000Z	1468330397998014471	Going to college remote is a gift and curse. Can’t wait until June 🎓	{'place_id': '3b77caf94bfc81fe'}
3138178405	2021-12-07T18:59:57.000Z	1468294225389187073	  I agree. They’re been very opaque about what is actually going out on the street daily. Anecdotally the cancels are high and they’re nowhere near hiring and training enough operators.	{'place_id': '10de09f288b1665c'}
2446437602	2021-12-07T18:47:36.000Z	1468291116839555074	Im not smokin before I go to work nomore cuz I will fuc around n not go.	{'place_id': '3b77caf94bfc81fe'}
2509233220	2021-12-07T18:43:44.000Z	1468290144998289409	My prayers go out to you and your family  🙏🏻	{'place_id': '70707114a9202b98'}
265457384	2021-12-07T18:08:58.000Z	1468281396036718592	my condolences go out to my boy  and his family🙏🏽	{'place_id': '3b77caf94bfc81fe'}
39374640	2021-12-07T17:27:52.000Z	1468271053143097345	One of my favorite things of photography is getting to go out and explore the world. When getting out and seeing the world and meeting many new people I realized there are so many good people in this world and so many beautiful places to see. Spread love ❤️ model  	{'place_id': '3b77caf94bfc81fe'}
98696748	2021-12-07T16:48:20.000Z	1468261102102335491	Every time I make my morning coffee instead of going out and getting a $0 latte 	{'place_id': '2008b1cea656f14b'}
1075854852175978497	2021-12-07T16:29:03.000Z	1468256250525732867	I definitely regret going out for some drinks last night 🤮😴	{'place_id': '6f24e28976abe656'}
1011474166254526465	2021-12-07T16:19:09.000Z	1468253759104970753	It’s between going to work or going to the gym 😩	{'place_id': '3b77caf94bfc81fe'}
1463220678929178626	2021-12-07T16:09:46.000Z	1468251398668120066	Why do I gotta go to work this is ghetto	{'place_id': '59105f0e84773bdd'}
43275342	2021-12-07T16:06:56.000Z	1468250682109009924	🤣🤣🤣 this used to be me leaving my apartment to fight Manchester traffic to take Bryson to school 🥴 	{'place_id': '3b77caf94bfc81fe'}
2565923694	2021-12-07T15:49:56.000Z	1468246405496066058	Happy Trust the Process Tuesday’s I feel amazing, I feel great 👍🏿 What’s on your agenda today ?? My schedule is full per usual I go out each day with a plan 📝 & make sure I execute each taskMake sure you utilize the whole day for your task. All gas no  breaks  	{'place_id': '56909099a1d44057'}
449269944	2021-12-07T15:30:14.000Z	1468241446490755093	 I just had to go out and move my car but I am staying inside today lol cause I don’t either	{'place_id': '3b77caf94bfc81fe'}
2849975857	2021-12-07T14:48:49.000Z	1468231023775334410	I’m high as shit going to work 😮‍💨	{'place_id': '3b77caf94bfc81fe'}
227681950	2021-12-07T12:03:26.000Z	1468189404753711112	All the pep boys in Cali are going out of business I’m not sure other states advance auto will be replacing all of the stores next year @ Garden Grove, California 	{'coordinates': {'type': 'Point', 'coordinates': [-117.938, 33.7741]}, 'place_id': '70707114a9202b98'}
70319747	2021-12-07T07:15:52.000Z	1468117034789527555	  Mayweather got a beard transplant and has been talking reckless ever since 🤣.  He did take canelo to school!	{'place_id': '3b77caf94bfc81fe'}
352168464	2021-12-07T06:14:58.000Z	1468101708878270464	Apparently bruh I used to go to school with was Swamp Storiez again 😂😂😂. Crazy some folks get turnt out AFTER high school.	{'place_id': '2feb76248fd9c581'}
274728566	2021-12-07T04:43:51.000Z	1468078778475692033	Oh, so you can go out for drinks. But I can't even get a phone call???  😒 	{'place_id': '67571a7baaa5906b'}
471525064	2021-12-07T04:37:44.000Z	1468077242391531521	 THATS IT WERE GOING OUT, u know my shit	{'place_id': '3b77caf94bfc81fe'}
748446122	2021-12-07T04:24:13.000Z	1468073841595281408	  There’s a reason we drafted Mac Jones and benched Jared stidham. Y’all are really not football intellectuals. Not anyone can go out theres#	{'place_id': '3b77caf94bfc81fe'}
2459876658	2021-12-07T04:09:43.000Z	1468070190680186881	Can’t believe I leave to Michoacán on Thursday!!! Already finished packing today, nails & eyebrows are done, now just to go to work 0 more days and primero Dios we leave on Thursday!🇲🇽😱🙈	{'place_id': '3b77caf94bfc81fe'}
1461419680543899649	2021-12-07T03:59:30.000Z	1468067620087754753	 Yea but I gotta really equal like you if not it’s not going to work .	{'place_id': '3b77caf94bfc81fe'}
39100425	2021-12-07T02:19:12.000Z	1468042380095868932	0: Go to college or you'll be flipping burgers!0: What do you mean you can't find a job, is flipping burgers too good for you?0: You want $0/hr for flipping burgers?! Millennials are so entitled.0: Why does no one want to flip burgers anymore?	{'place_id': '59612bd882018c51'}
1262501568718401536	2021-12-07T01:32:08.000Z	1468030533598789635	Apart from this medication keeping me asleep all weekend, hello world. Lol I wish I could go to work 😂	{'place_id': '3b77caf94bfc81fe'}
20660296	2021-12-07T01:23:18.000Z	1468028310881849349	Who wants to fly to LA and go out to eat with me?	{'place_id': '3b77caf94bfc81fe'}
707067214659096576	2021-12-07T00:44:45.000Z	1468018607233765380	I love going out for dinner 😌🥂 	{'place_id': '11ca44609054e000'}
1048672747	2021-12-08T23:25:43.000Z	1468723494397440004	If you don’t know this then you clearly didn’t go to school 	{'place_id': '1927193c57f35d51'}
1271963900993572865	2021-12-08T22:55:54.000Z	1468715989982334977	LA!! Anyone wanna go out and do street photography this afternoon?	{'place_id': '38ea9782c8d83a4b'}
400122993	2021-12-08T22:26:37.000Z	1468708624142790658	I wanna go out of town for my birthday, maybe Florida I haven’t been there yet. 🤔	{'place_id': '27f5da73dd83395c'}
7386662	2021-12-08T20:20:37.000Z	1468676912817979396	 Nice ! KSBA is full of private jets.. recently we dropped my daughter off to college flying KEMT-KWVI flying through all sorts of military and civilian space in a Cirrus-SR0 - boy that was fun.. any tips for a beginner? Just finished my first slow flight 😅	{'place_id': '174309ec90de94d0'}
101938270	2021-12-08T19:58:10.000Z	1468671262012497921	People/ old coworkers used to comment and be like you go out a lot and i would be like…. “Do you want me to come to work”	{'place_id': 'e1e35d357ceefa52'}
1336347117829419008	2021-12-08T19:16:31.000Z	1468660781600231434	A beautiful day to go out shopping. 	{'place_id': '3134f9d2892d2685'}
177755633	2021-12-08T17:56:34.000Z	1468640662794817536	or the massively destructive  cost our greedy & unnecessary consumption is continuing to cause. Literally  yesterday I was hearing about how so many 0 cars are “going out of style” before they can be sold because of the lack of semiconductor chips WHO CARES	{'place_id': '3b77caf94bfc81fe'}
2614127882	2021-12-08T17:46:16.000Z	1468638067829346304	The city so sad it’s like every other week someone you grew up with or went to school with dying.	{'place_id': '3b77caf94bfc81fe'}
42609921	2021-12-08T17:34:18.000Z	1468635058122596353	 My wish list is simply going to more wrestling shows. It's been so long and next year I'm going to go out and have fun.	{'place_id': '3b77caf94bfc81fe'}
38570974	2021-12-08T17:04:10.000Z	1468627473399050241	 okay but what about liking tweets? Y’all really think someone’s gonna go out of their way to look at your likes to find the girl you’re talking to?	{'place_id': 'b2fda7385aa963dd'}
982016287	2021-12-08T16:52:14.000Z	1468624471686713350	  all points bulletin going out, still looking for the classic Teenage Mutant Ninja Turtles van. If anyone has a spare a comes across one please hit me up. Trying to get one in time for Christmas for the kids. Thanks all!	{'place_id': '9e42709040fafdb7'}
3306501121	2021-12-08T15:24:06.000Z	1468602291301191680	   Trump would have to go to work in the morning everyday. Not gonna happen.	{'place_id': '712ece9c3ad485de'}
2400960728	2021-12-08T07:28:36.000Z	1468482627971600384	cleaning my closet and shoes made me realize i frs don’t go out lmao	{'place_id': '3b77caf94bfc81fe'}
996695382	2021-12-08T06:40:27.000Z	1468470512233840640	Prayers go out to friends of friends who have just transitioned.🙏🏼	{'place_id': '3b77caf94bfc81fe'}
1025883473821630465	2021-12-08T05:48:43.000Z	1468457493248438275	Boston Celtics players, there is a great nightlife here in LA… go out and live your best life. Don’t worry about the game tomorrow lol	{'place_id': '3b77caf94bfc81fe'}
2614832958	2021-12-08T05:46:04.000Z	1468456824433045506	i gotta be up early tomorrow and leave at 0am to get to school and now im suppose to walk all the way to the corner of my street to get to my car?! UPSET	{'place_id': '3b77caf94bfc81fe'}
48963531	2021-12-08T05:22:03.000Z	1468450783402160130	 I just wanna know who told her to go out like this they are not her friends	{'place_id': 'fb76b3aa366004c9'}
1103794192373829632	2021-12-08T04:17:08.000Z	1468434445845811201	Had to go out with a bang 💥😝⚡️💇🏼‍♀️Thank you  and  for an incredible night 💙. And thank you  for dressing me in a whole lotta sparkle ✨ @ Los Angeles, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}}
865692344	2021-12-08T03:11:10.000Z	1468417845184761856	Finally going back to school in January 😭😭😭😭😭	{'place_id': '1193edda55d6fa3d'}
637300443	2021-12-08T02:38:48.000Z	1468409697459851272	Boss let me know that my bday request off has been denied but he promised me I could open but I still have to go to work the day after 🥺	{'place_id': '1927193c57f35d51'}
42479525	2021-12-08T01:41:41.000Z	1468395323672305666	Worked 0 hours, made dinner, going to work out. Gonna try to make it to 0pm open mic	{'place_id': '01c060cf466c6ce3'}
1617205116	2021-12-08T01:21:02.000Z	1468390129580470275	Why did I agree to go out with my sister it's cold I wanna go home n put my onesie on :(	{'place_id': '07dccb89e8f25a8f'}
70319747	2021-12-08T01:01:43.000Z	1468385266146500612	  For everyone saying prime canelo beats prime Floyd, I highly doubt it. No shade to Canelo, he's one of the best ever, but Floyd was almost 0 and took him to school. Canelo was 0/0 & out weighed Floyd on fight night. Instead of bashing, Show respect Floyd was just that good 🤷🏾‍♂️	{'place_id': '3b77caf94bfc81fe'}
1333522504401309696	2021-12-08T00:13:53.000Z	1468373228934479874	going to work on hermes now 🥰🥰 	{'place_id': '3b77caf94bfc81fe'}
1198384784315240448	2021-12-09T23:40:58.000Z	1469089720995098631	If you coming to my parents house you see instead of me going out to have fun they made me put up the drywall instead of having fun while in high school and somebody just remind  took a picture in there just to say Jeremy Man's cave when he didn't do shit but paint	{'place_id': '3b77caf94bfc81fe'}
855632683082203137	2021-12-09T23:38:35.000Z	1469089119556890624	     is 0% right. They may still be going out but they won't be hanging out at the beach or the park.	{'place_id': '01c060cf466c6ce3'}
