2021-01-11T23:46:25.000Z	1348778320599543808	if he doesn’t ask me on a date on valentine’s day. he’s getting cut.	{'place_id': '9f151172bfd5aa1d'}
2021-01-11T22:47:48.000Z	1348763568204746754	 Nah it’s open we can go shopping but we can’t go out to eat 🤣🤣🦠	{'place_id': 'b0b79caecef59fb5'}
2021-01-11T22:14:33.000Z	1348755201868529665	I read the DMs ... I’d still go on a date with  probably my last date but a date still ⚰️	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T21:57:28.000Z	1348750901444440064	Not me starting to plan venue tours for our wedding 🙃🙃🙃🙃 stress	{'place_id': '5e68ca240e32025a'}
2021-01-11T21:19:41.000Z	1348741394131652610	If I see one more post about gay wedding cakes... Social media isn’t discriminating against a certain group. They are removing people who violate their terms (incitement of violence, etc.). Also, in case you forgot discrimination is bad. Don’t use it to justify what’s happening.	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T21:05:39.000Z	1348737861751771139	 I WASNT INVITED TO THE WEDDING IM OFFENDED	{'place_id': '0c2e6999105f8070'}
2021-01-11T20:44:30.000Z	1348732540597673984	 Wedding are expensive 😅	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T20:28:32.000Z	1348728523649806337	If you hadn’t bought that $0 pair of shoes, or drop money on eating out, you’d be rich by now. Fucking failure 	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T20:16:14.000Z	1348725425216876545	Had an awesome day today with my boyfriend and his son! Went to church and then to Sierra Madre. 💙💙💙 @ Torrance, California 	{'place_id': 'c1e1a49e92ce1ba0', 'coordinates': {'type': 'Point', 'coordinates': [-118.350552, 33.833741]}}
2021-01-11T19:27:26.000Z	1348713146605731840	not exactly the most body positive person when it comes to myself. but  after 0 years of eating out w/my gf so often, I thought I'd have got ALOT bigger... Still not happy with it tho... So! this year is back to getting healthy again! Reduced portions and increase activity :) 	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T18:52:35.000Z	1348704374999011328	"🌈 Yup! 🏳️‍🌈""Twitter is a Christian bakery & Trump is the gay wedding cake."" "	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T18:51:42.000Z	1348704154491895809	One of my New Year resolutions was to step up my cooking/grilling skills but no my fatass keeps eating out 🙄	{'place_id': '67571a7baaa5906b'}
2021-01-11T18:43:20.000Z	1348702047458058240	 Omggggg😭😭😭😭😭😭Well sis if you tryna go shopping for home stuff that’s my favorite thing to do, so just throwing it out there 🤪🤣	{'place_id': '2feb76248fd9c581'}
