2021-08-02T23:55:52.000Z	1422345434392010810	I should probs go to the gym to get my mind off things	{'place_id': '05b5c83b6407aaac'}
2021-08-02T23:38:02.000Z	1422340949720526849	I do not want to go to the gym today	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T23:09:12.000Z	1422333692580569096	My gf and I realized we had both been on a date with the same other Jewish lesbian and that’s a summary of how being both gay and Jewish goes.	{'place_id': 'b0b79caecef59fb5'}
2021-08-02T21:52:20.000Z	1422314348035207168	I was having trouble finding motivation to go to the gym today, but Shadow of Intent released a new single so I guess I have to get some pumps in listening that	{'place_id': '771f8196d3598fe8'}
2021-08-02T21:34:38.000Z	1422309893671952389	 I want to send this to every relative and every person I met at a party ad every guy I’ve ever gone on a date with who heard what I did and said “oh, I have an idea for a show!”	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T20:23:20.000Z	1422291951764664321	Got scammed into paying more for a dress that was originally on last act. But I need it for a wedding so I’m hoping I can get a price match bc there’s no way	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T20:17:35.000Z	1422290502834139141	Open my trunk to see a centerpiece from a wedding all over the place, thanks  😒😒😒	{'place_id': 'c1e1a49e92ce1ba0'}
2021-08-02T20:10:03.000Z	1422288606001958923	I need to take my ass to the gym today	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T19:58:58.000Z	1422285820107530240	can’t wait to require all the guests at my wedding to wear white and then serve them a big, sloppy spaghetti dinner 😋	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T19:30:15.000Z	1422278589676851215	Sets a were awesome! But the highlight of my weekend is when  asked me to be a groomsman in his wedding 🥺🥰	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T19:10:40.000Z	1422273664318263301	   This. Or they shouldn’t be going to high risk places without severe precautions until enough people have had the vaccine and things under control. Does she really want to be risking her own life just for a drink?	{'place_id': 'c1e1a49e92ce1ba0'}
2021-08-02T19:01:30.000Z	1422271356725448720	i literally can’t go to the mall without spending money wen i shouldn’t b AT ALL😭	{'place_id': '1193edda55d6fa3d'}
2021-08-02T18:44:02.000Z	1422266959362609169	Lemme take my lazy ass to the gym 😩	{'place_id': 'd563cf7307e4ba95'}
2021-08-02T18:42:31.000Z	1422266577907437602	Wearing Joggers to a bar	{'place_id': '20ba6fb3b1ee82da'}
2021-08-02T18:32:30.000Z	1422264059961876483	Haven’t gone to the gym in two weeks. My skin is loving me again. The maskne is finally going away. And right in time bc I have a wedding soon.	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T17:59:12.000Z	1422255679188865026	I’m attending my cousin’s wedding this weekend and you bet I’ll be pulling out the crocs during cocktail hour. A great conversation starter if you ask me. Stay tuned.	{'place_id': '741e9df4d2522275'}
2021-08-02T17:51:11.000Z	1422253662508765191	Me on a date:“So are are a Julie or a Julia?” 	{'place_id': '5e68ca240e32025a'}
2021-08-02T17:17:18.000Z	1422245135165759501	   Huh?  Have you been to a European Mass?  There are 0 people, all gray haired.  No one in Europe even goes to Church any more, let alone observe other Catholic Teachings.	{'place_id': '0c2e6999105f8070'}
2021-08-02T16:34:47.000Z	1422234433818595329	0 years or service to church and community and their legacy of family Pastor's Fernando and Liz Villacana  @ RBanquet 	{'coordinates': {'type': 'Point', 'coordinates': [-117.95380668, 33.93946266]}, 'place_id': '7a615ec218d177f6'}
2021-08-02T14:26:07.000Z	1422202054710153216	 Dirty Harry. I was 0 and my Uncle John took me to the movies. Good times	{'place_id': '59612bd882018c51'}
2021-08-02T13:36:43.000Z	1422189620532367362	I’ll take my gun to church idc	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T07:32:45.000Z	1422098026886172672	 😂 also a good point. But then again, why is she wearing earbuds on a date? 	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T07:30:12.000Z	1422097385744846855	Went to a wedding tonight and it really opened my eyes on what I want in a relationship. Making sure I’m going down the right path is my main motive at this point ❤️	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T06:51:10.000Z	1422087563246915589	damn got swept. not. fun. but what was fun, was  wedding. cheers brotha.	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T06:32:03.000Z	1422082749771354113	I can’t wait to wear out to a bar or club 🤪	{'place_id': '1100db27cd9d364c'}
2021-08-02T05:27:53.000Z	1422066604364361732	Feeling moody to go shopping today!!🤪🛍🛍😁🙌🏼🥳❤️😍😎👍🏼🤩👕☀️😎⛱🌊🌴🌴🌴😃✨ 	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T05:19:32.000Z	1422064502313418752	I would appreciate if all the hot fit dudes would cease coming to the gym at the same time as me. Your cooperation is greatly appreciated.	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T05:06:15.000Z	1422061160459689987	Went to the mall to try on and buy clothes w my post pregnancy size. Productive but damn im reminded of how old I am whenever I go.	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T04:31:59.000Z	1422052536698118145	If you went on a date with someone and you can tell they weren't super into you, how do you message them saying as much?I don't want him to feel obligated to talk to me since he seems nice enough to not say anything. lol	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T04:09:45.000Z	1422046939000889347	Gonna take myself out on a date one of these days since no one else will	{'place_id': 'd71cc91cb651e322'}
2021-08-02T04:03:40.000Z	1422045408562405376	We went to a wedding!    @ Los Angeles, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}, 'place_id': '3b77caf94bfc81fe'}
2021-08-02T02:09:35.000Z	1422016700422127617	Racism stopped her from trying on a wedding dress. Seventy years later, her dream came true	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T01:52:20.000Z	1422012356884787200	If Faye & Teddys wedding isnt televised I stg	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T01:46:31.000Z	1422010893068509184	Who wants to buy me dinner cause I can’t eat out unless it’s on somebody else tab???	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T01:25:18.000Z	1422005555556589572	Late to the party.        	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T23:54:02.000Z	1422707360645095428	Okay the cute barista at Starbucks remembered me and my drink from the one other time I ordered from him sooooo I’m thinking a winter wedding???	{'place_id': '10de09f288b1665c'}
2021-08-03T23:52:09.000Z	1422706886948769794	“Gimme da cash, fuck a wedding ring! Put some ice on my neck, cash money, watch it BLING BLING!” 	{'place_id': '01c060cf466c6ce3'}
2021-08-03T23:28:43.000Z	1422700989400817664	Flights to Virginia for  ‘s wedding and Myrtle Beach for  and  ‘s bachelorette party booked! Still need a flight home but scrounging for deals :)	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T23:18:49.000Z	1422698501708783616	Wedding location fasho! 🥰 	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T22:55:17.000Z	1422692576918859779	 You’re invited to the wedding 🥰	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T22:48:30.000Z	1422690868603932672	I have no idea what to wear to the concert. 😭	{'place_id': '59105f0e84773bdd'}
2021-08-03T22:34:46.000Z	1422687416364634112	I want to wear this dress at my wedding reception 	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T22:26:29.000Z	1422685329467740160	don’t hate me but, i’m unstanning ateez. being on here and stanning them is so time consuming. i have a life i need to live. i do not have enough time for my plans. i’m sorry but i’m leaving. being here doesn’t give me enough time to plan my wedding with Seonghwa 😔	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T22:22:34.000Z	1422684344330584067	 i invited them to my wedding and they sent me the address of the school. i’ll NEVER forget	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T21:48:48.000Z	1422675847404691456	So glad I got off my first shift early Bc I came to the gym 🥰	{'place_id': '2feb76248fd9c581'}
2021-08-03T21:46:28.000Z	1422675257354194944	 This man harassed me for weeks to go on a date him my freshman year in college. I finally said yes cos I needed to eat and he wasn’t bad looking lmao halfway through dinner his phone rings he passes it to me??? it’s his mom, she says “is this my future son-in-law Christian?” 🥲😵‍💫	{'place_id': 'd563cf7307e4ba95'}
