501282356	2021-10-18T23:42:07.000Z	1450245841311055874	Only went to the gym today so I could eat yesterdays leftover lil ceasars pizza if we bein real 	{'place_id': '4d1d90faa5484b1c'}
1118558630649876480	2021-10-18T23:09:33.000Z	1450237647578755073	“Iv never met someone more triflin’ than bitches that go to church” LOOOOLLLLL	{'place_id': '0c2e6999105f8070'}
19478994	2021-10-18T22:26:38.000Z	1450226844498731011	Workout ✅ 🤸🏻‍♀️It was hard for me to get to the gym today but I pushed myself to do it and I’m so glad I did.	{'place_id': '3b77caf94bfc81fe'}
1363283340447473665	2021-10-18T22:24:05.000Z	1450226205446209540	Excited for my first Axie meetup with  	{'place_id': '3b77caf94bfc81fe'}
1372322346636242945	2021-10-18T21:07:15.000Z	1450206869050454016	Gay world is toooooo small this my petition to make everyone gay so I don’t have to see my crush go on a date with my other crush thx	{'place_id': '59612bd882018c51'}
19609623	2021-10-18T20:50:38.000Z	1450202684326170625	"Nearly 0M people have died from covid.It's not a hoax. It's not over.But, sure, go to concerts and movies. Eat out. If you get it, it's ""no big deal"".Ugh."	{'place_id': 'b0b79caecef59fb5'}
768539157203447808	2021-10-18T20:36:10.000Z	1450199045620658180	send my girl to church with some drug money 😵‍💫	{'place_id': '3b77caf94bfc81fe'}
1199145102	2021-10-18T20:30:28.000Z	1450197612066328576	 if I finish my final assignment before 0pm today, do you wanna go to the gym with me? 🥺🥺🥺🥺 👉🏼👈🏼❤️❤️❤️❤️	{'place_id': '3b77caf94bfc81fe'}
2916069018	2021-10-18T20:23:22.000Z	1450195825431244800	 $J0H0LIFE can you bless me today I’ve been following you for a while getting married soon I’ll Inv you to the wedding good food good people good music you won’t be disappointed notifications always on :)	{'place_id': '2feb76248fd9c581'}
411812602	2021-10-18T20:18:18.000Z	1450194550702559232	BITCHHHHHHHHHH!! But fr like damn you ain’t gone lemme take you on a date first? No scrimmages just GAME TIME huh?  	{'place_id': 'c1e1a49e92ce1ba0'}
1163193154079612928	2021-10-18T20:15:16.000Z	1450193787486048257	How my day is going:My fridge magnets came in today. I ordered them to help spice up my kitchen by hanging post cards and wedding invitations. 🌶Update: My fridge isn’t magnetic. Day is going great.	{'place_id': '1927193c57f35d51'}
456077330	2021-10-18T19:56:25.000Z	1450189039999410176	Last night I went on a date with this guy.. then I found out he's a scorpio too.. and then I found out we have the same birthday lmfao	{'place_id': '0d9a7f9b8f0baf12'}
1909101961	2021-10-18T19:39:14.000Z	1450184718578638850	It's a power move to go to a wedding solo. 	{'place_id': '3b77caf94bfc81fe'}
4020743112	2021-10-18T18:53:22.000Z	1450173173648044035	Convince me to go to the gym after class	{'place_id': '3b77caf94bfc81fe'}
48927206	2021-10-18T18:22:25.000Z	1450165388084350977	Wedding Reception closing ceremonies was a success 💘	{'place_id': '3b77caf94bfc81fe'}
233350673	2021-10-18T18:18:56.000Z	1450164510677889027	I CAN NOT WAIT FOR THE WEDDING LOOKS 	{'place_id': '3b77caf94bfc81fe'}
64592116	2021-10-18T18:06:31.000Z	1450161383614476289	 wanna go on a date or something	{'place_id': '59612bd882018c51'}
19630672	2021-10-18T17:49:37.000Z	1450157131861094406	 I wore my puffy to the gym this morning!!! I’m such a Californian. 😂	{'place_id': '3b77caf94bfc81fe'}
233905686	2021-10-18T17:23:53.000Z	1450150654077390850	still can't get over this show at our friend's wedding.it's like seeing nick cannon in drumline 	{'place_id': '3b77caf94bfc81fe'}
770454349	2021-10-18T16:57:35.000Z	1450144036455522309	  i'll be there with my wedding party Saturday- see you there	{'place_id': '741e9df4d2522275'}
1347586382726787072	2021-10-18T16:52:12.000Z	1450142683226202114	back to the gym I go... 🏋🏾‍♀️🍑	{'place_id': '3b77caf94bfc81fe'}
1361832963541897218	2021-10-18T16:46:44.000Z	1450141308501200902	“Get in loser, we’re going shopping.” 	{'place_id': '3b77caf94bfc81fe'}
163306858	2021-10-18T15:53:28.000Z	1450127903123902466	 NOOOOO! I need to go shopping before I come visit….	{'place_id': '3b77caf94bfc81fe'}
2579363216	2021-10-18T14:42:47.000Z	1450110112773722114	i was supposed to go to the gym today but my alarm didn’t go off ☹️	{'place_id': '3b77caf94bfc81fe'}
4000288334	2021-10-18T13:10:38.000Z	1450086924396339216	i just want to go shopping again!! can we just skip to 0am 😩😩	{'place_id': '3b77caf94bfc81fe'}
83458108	2021-10-18T12:57:29.000Z	1450083613416968197	I saw so many wedding engagements, baby showers, & wedding on social media this weekend. Life is moving fast.	{'place_id': '3b77caf94bfc81fe'}
263411510	2021-10-18T12:54:33.000Z	1450082875806666756	 Definitely finna be one of my wedding songs dawg on everything lol	{'place_id': '3b77caf94bfc81fe'}
1356117067691266056	2021-10-18T12:52:49.000Z	1450082438655340545	Only crazy people come to the gym before 0am 🙄	{'place_id': '07d9e3e867080001'}
1711449457	2021-10-18T07:21:04.000Z	1449998953039032329	I unfortunately got no video of the 0 minute guitar solo I played at my friend's wedding but it was fucking rad	{'place_id': '0706a21788cadb8d'}
868869841	2021-10-18T07:11:47.000Z	1449996613825413120	And a wedding reception too?!?! Who are we??? ig: @ caken_baked 	{'place_id': '3b77caf94bfc81fe'}
749645978	2021-10-18T06:01:31.000Z	1449978932518735872	I want to be invited to a Palestinian wedding so bad. They look so lit	{'place_id': '1193edda55d6fa3d'}
210514288	2021-10-18T05:35:11.000Z	1449972305455681538	My wedding date  We cute ☺️ 	{'place_id': '07d9c99a30c88000'}
1159223484	2021-10-18T05:29:41.000Z	1449970920420896768	Who tryna go to the gym with me rn I’m bored af Crunch fitness northridge	{'place_id': '3b77caf94bfc81fe'}
1197769004	2021-10-18T04:59:57.000Z	1449963437887418369	Just an FYI we all married  and beat wedding EVER!! ♥️	{'place_id': '3b77caf94bfc81fe'}
21066850	2021-10-18T04:38:53.000Z	1449958137805500417	 On Wednesdays I go shopping and have buttered scones for teaHe cuts down trees, he eat his lunchHe goes to the lavatoryOn Wednesdays he goes shopping and has buttered scones for teaI'm a lumberjack and I'm OKI sleep all night and I work all day	{'place_id': '97e336e1e3ed9e1e'}
164120417	2021-10-18T04:05:42.000Z	1449949785759240195	 “Game of Thrones” The Red Wedding	{'place_id': 'b0b79caecef59fb5'}
29849771	2021-10-18T03:46:58.000Z	1449945072007409665	 Saw the trailer when I went to the movies but don't exactly remember anything about it except Matt Damon was in it.	{'place_id': '3b77caf94bfc81fe'}
21194291	2021-10-18T03:32:02.000Z	1449941313160241157	Really struggling to get thru  season 0 opener. Not that it isn’t as great as usual, just that it’s been so long since I’ve watched Kendall being so achingly, cringe inducing. Like going back to the gym after months of being away, it’s very painful.	{'place_id': '3b77caf94bfc81fe'}
241739744	2021-10-18T03:03:08.000Z	1449934042539847681	 see u @ the wedding 💅🏾	{'place_id': '3b77caf94bfc81fe'}
42451556	2021-10-18T02:43:31.000Z	1449929102626938881	  They really are. When we were dating, hubs saw me dump an entire box of milk duds into the popcorn the first time we went to the movies. He looked at me like I was a sociopath then tried it. That was when he realized what a genius I was.	{'place_id': 'ef74afb7ccba74d6'}
