2021-12-13T23:39:12.000Z	1470538829576556547	Philadelphia groom robbed after stepping outside during wedding reception  	{'place_id': '0d9a7f9b8f0baf12'}
2021-12-13T23:25:55.000Z	1470535485328027649	out of all the cool shirts I wear to the gym the one that says frijolero was the one that got me the most daps. Bean lovers unite!!	{'place_id': '01c060cf466c6ce3'}
2021-12-13T23:24:52.000Z	1470535220919037952	dying @ how the dj at the wedding said “can i have all the latinos come to the dance floor” and all of us beaners RAN for the payaso de rodeo💀	{'place_id': '771f8196d3598fe8'}
2021-12-13T22:55:58.000Z	1470527947178086404	I wish Shiv could go back in time and give a different wedding speech knowing what she knows now	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T22:44:09.000Z	1470524974121336838	I’m late to the party but I’m officially on TikTok  @ Valley Village 	{'coordinates': {'type': 'Point', 'coordinates': [-118.397376, 34.163257]}, 'place_id': '3b77caf94bfc81fe'}
2021-12-13T22:32:57.000Z	1470522155662131202	Why do I do this every year?! I miss all the REAL deals because I waited to late to go shopping 😩😩😩	{'place_id': 'c1e1a49e92ce1ba0'}
2021-12-13T21:24:12.000Z	1470504855529824262	WHY are box office numbers continually reported on as an indicator of a movie’s success?! Haven’t we determined that they mean nothing especially since people don’t go to the movies like they used to…	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T21:17:23.000Z	1470503137912012803	Did Fucken Greg have 0 dates for the wedding 🤔🤔   	{'place_id': '48acdded0b77e66f'}
2021-12-13T21:09:19.000Z	1470501108393164810	If you got nothing better to do on a Monday go to the gym this is your sign  	{'place_id': 'e9b2c8beb5442ec5'}
2021-12-13T20:42:38.000Z	1470494393010372619	I know it’s your wedding but damnnn lmaooo isn’t your family there and his??? 	{'place_id': 'fa424f169eef946e'}
2021-12-13T20:33:12.000Z	1470492020565233672	 This looks like an episode of p-valley. Did they have their wedding at the Pynk 😂😭 	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T20:21:30.000Z	1470489073798238208	ok fine i’m actually gonna start going to the gym 🥲🥲🥲🥲🥲🥲	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T20:01:07.000Z	1470483946857287680	The macho douchebags who used to wear these useless things to the  are the same ones now refuse to wear a thin piece of cloth to protect others because they “can’t breathe.” 	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T19:41:58.000Z	1470479125408362497	I showed up to the gym at 0 today cuz like…. Sleep. And it’s so much more crowded than at 0am and I hate it here	{'place_id': 'a5655a07276e4caf'}
2021-12-13T19:10:03.000Z	1470471092150042631	not sure many wedding showers will top this 🤩 	{'place_id': '65eb9ee22cdeb7a8'}
2021-12-13T19:08:38.000Z	1470470739266473985	" Me too! Had the DJ play ""Here and Now"" for the first dance at our wedding. 😊"	{'place_id': 'e1e35d357ceefa52'}
2021-12-13T19:04:42.000Z	1470469748932501507	so last weekend i went to a wedding and met trey from green day. introduced myself and he goes “i use your product and i love it but i hate the name” and proceeds to show me a list of 0 names he came up with for my startup.	{'place_id': '1927193c57f35d51'}
2021-12-13T18:02:03.000Z	1470453979666472965	 yk the wedding boutta be lit wen they play this song	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T17:52:39.000Z	1470451615027003394	 Congrats I hope the  bring you the best wedding gift this year..A  CHAMPIONSHIP!	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T16:10:27.000Z	1470425895579971587	After taking 0 off to stay socially distanced, you might be a little out of practice when it comes to hosting a holiday party. But a festive get-together doesn’t have to be a stress-inducing event.	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T16:09:31.000Z	1470425662062170112	I thought I’d be too nervous to eat since my wedding is a week away but I’m stress eating instead🙃 lol forgot to factor in grad school	{'place_id': '641cdaa7992c949e'}
2021-12-13T16:00:29.000Z	1470423389634379778	 Not as a child but now it’s my wedding video	{'place_id': '01c060cf466c6ce3'}
