109900347	2020-11-02T23:38:59.000Z	1323409301583507456	 Or take a time travel and go back to Nazi Germany!	{'place_id': 'efdc0bd6b3e2a8fb'}
239952652	2020-11-02T23:36:41.000Z	1323408722136199173	 Amari Cooper to invent a flux capacitor, time travel back to last night and score more than 0 point	{'place_id': '3b77caf94bfc81fe'}
15950185	2020-11-02T23:24:22.000Z	1323405623002755073	Its how we receive our wages, legally co-habitat and travel. Voting can make a difference. It won’t be perfect, but we have to keep working at it. Working toward a more perfect union and freedom for ALL! We can keep chipping away and making it happen.👇🏽🇺🇸🗳👇🏽🇺🇸🗳👇🏽	{'place_id': '3b77caf94bfc81fe'}
170492152	2020-11-02T23:16:17.000Z	1323403587548897280	 Can't wait to visit  again. 💙	{'place_id': '59612bd882018c51'}
113390942	2020-11-02T23:08:40.000Z	1323401672018722817	Hey peeps, there are only a couple ways to get to fly 0st class;  A. Pay for it , B. Use Miles to upgrade, or C have Silver Gold or Platinum status with the carrier. But this is a funny story anyways 😂	{'place_id': '3b77caf94bfc81fe'}
122173961	2020-11-02T23:00:18.000Z	1323399565513420800	The force is with us, LA! Together we’ve shattered voting records with 0.0 MILLION votes already cast!If you haven’t cast your ballot yet, don’t fret! You can still drop it off or vote in person! Visit  to learn more.   	{'place_id': '3b77caf94bfc81fe'}
890978709905080320	2020-11-02T22:03:40.000Z	1323385313784377347	A   visit today in Los Feliz - Lovell Health House 	{'place_id': '07d9f5fe50883001'}
919737506	2020-11-02T21:59:15.000Z	1323384202465669120	Have you voted yet? Visit  for resources on how to vote in person, by mail, or through an  official Ballot Drop Box near you, LA! Support your friends, neighbors, family, community & make sure your voices are heard this election.  🌱🌳 	{'place_id': '3b77caf94bfc81fe'}
834942218221707264	2020-11-02T21:43:18.000Z	1323380188739117056	Don’t even hafto ask where this is, damn I needa go visit everyone says visiting Tokyo Japan is like entering the future 	{'place_id': '3b77caf94bfc81fe'}
276132440	2020-11-02T21:43:18.000Z	1323380187061313537	I CAME 0 VISIT BECAUSE U SEE ME LIKE A UFO	{'place_id': '3b77caf94bfc81fe'}
3301837479	2020-11-02T21:26:23.000Z	1323375928437698560	On Election Day,  is offering 0% off rides to the polls up to $0 off. We invite you to visit the  website, check your status, and catch a ride with This election matters.  Graphic created by Vox Pop Branding 	{'place_id': '01c060cf466c6ce3'}
121332106	2020-11-02T21:23:17.000Z	1323375150520242176	A little visit to the   to do a house call for a celebrity client a beautiful day  for it @ Los Angeles, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}, 'place_id': '3b77caf94bfc81fe'}
179221217	2020-11-02T21:20:34.000Z	1323374465649053696	 People working at certain Whole Foods Markets are so controlling and clueless, especially the managers. Feels like a visit to Gestapppvo (sic) headquarters!! Bad for Amazon image and earnings.	{'place_id': '10de09f288b1665c'}
1212519476576444418	2020-11-02T21:08:22.000Z	1323371396282507266	  I want that to be my fat ass you fuck when I visit Italy 😍	{'place_id': '3b77caf94bfc81fe'}
42487663	2020-11-02T21:07:38.000Z	1323371210504245250	 The world to reopen so I can go out and travel 🧳	{'place_id': '3b77caf94bfc81fe'}
870326615800033280	2020-11-02T21:06:52.000Z	1323371020347084800	Thank you every0 who came out to support/visit us at every event last week! Even tho we've had setbacks, we've been fortunate to have genuine people help us thru thick & thin! 🐼.We're officially in the  so let's finish  w/ a bang! 	{'place_id': '07d9ee802e086001'}
1289327600939102208	2020-11-02T20:54:05.000Z	1323367803357900800	  I need you to use me like this when I visit Manchester 😍😍😍😍 	{'place_id': '3b77caf94bfc81fe'}
24062598	2020-11-02T20:30:09.000Z	1323361780274499584	Thinking of the ones we've lost...hope they know they're missed and stopped by first a visit this weekend.  @ Long Beach, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.1938, 33.7692]}, 'place_id': '01c060cf466c6ce3'}
369814270	2020-11-02T19:32:40.000Z	1323347312119148544	Gonna go visit Aaron later 😇💚	{'place_id': '67571a7baaa5906b'}
490031902	2020-11-02T19:13:40.000Z	1323342530537119744	"  Former ""Starbucks VP"" starts Airport Testing Future of Travel! "	{'place_id': '01c060cf466c6ce3'}
981920849337892865	2020-11-02T19:02:39.000Z	1323339759842807811	tomorrow i will be tabling for 0 straight hours and definitely not drinking white claw out of a travel coffee cup the second the sun goes down	{'place_id': '3b77caf94bfc81fe'}
22809707	2020-11-02T19:01:32.000Z	1323339476458852352	 This  Island ( Is the Ideal Dream Getaway—And You Can Rent the Entire Place for $0,0 a Day  — vinaka,  🇫🇯🏝 cc:     	{'place_id': '3b77caf94bfc81fe'}
1546830572	2020-11-02T18:50:24.000Z	1323336675896913921	  0. He cut taxes, but he did not cut spending. In fact increased it. 0. He gave everyone free health care. You can now visit emergency rooms or get diagnosed with cancer, then sign up without penalty. No mandate.0. He gave Chinese a tax cut with corp cut. They pay no gains.	{'place_id': '3b77caf94bfc81fe'}
4889485954	2020-11-02T18:38:40.000Z	1323333723744473088	And we’re back!   travel safe and stop by for pizza pie specials all week! 🍕  	{'place_id': '3b77caf94bfc81fe'}
490031902	2020-11-02T18:04:08.000Z	1323325031011606528	  Xprescheck ✔️ Xspa Testing is the future for travel 🤘 Be safe ❤️	{'place_id': '01c060cf466c6ce3'}
315729950	2020-11-02T18:00:57.000Z	1323324231032057857	For my nyc fans, someone is pretending to be me in there using my photos in an escort ad, thats fake i m not stupid to travel and post ads during a worldwide pandemic! So be aware! Love u all😘	{'place_id': '1927193c57f35d51'}
578397615	2020-11-02T17:43:41.000Z	1323319885783470080	Thank you  Great show today!   Love chatting with  &  	{'place_id': '3b77caf94bfc81fe'}
1022646600659693569	2020-11-02T17:37:15.000Z	1323318266031349760	   When I visit your city last year flying non-stop on British Airlines to Heathrow staying in London. I spent money all in London. Still have my Oyster card. The underground is great. Planning to return may be in 0 or 0. I'm from California.	{'place_id': '3134f9d2892d2685'}
3745630453	2020-11-02T17:27:01.000Z	1323315692855156742	“ come visit me lol “ hahaha I hate everyone	{'place_id': '3b77caf94bfc81fe'}
2710115136	2020-11-02T17:24:23.000Z	1323315027105869824	My beautiful mom last year came to visit me at the hospital. This year when she was in the hospital all I could do is FaceTime, call and text. I wish we could have been at by your side just like you were with us. I  cause she can’t. Covid took my mommy 0/0/0 	{'place_id': '3b77caf94bfc81fe'}
821181272219234304	2020-11-02T17:20:13.000Z	1323313978055909377	For a full look at the segment, visit: 	{'place_id': '3b77caf94bfc81fe'}
172554987	2020-11-02T17:04:16.000Z	1323309967043043328	If I started a travel agency would y’all fuck with it?	{'place_id': '3134f9d2892d2685'}
1317523728134066176	2020-11-02T16:57:38.000Z	1323308298523811841	We are officially open Carson! Come check out what we have to offer. Visit us and experience the best service in town. Open daily from 0am-0pm. @ Carson, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.26, 33.8397]}, 'place_id': '56909099a1d44057'}
105943861	2020-11-02T16:38:01.000Z	1323303361286938632	Ofrenda is up! Not mourning; remembering.  Day of the dead is a day for loved ones to visit. Missing a photo of Pops..       @ Pasadena, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.1488, 34.1467]}, 'place_id': '10de09f288b1665c'}
