4432655654	2021-06-28T23:49:18.000Z	1409660207152517123	First time in Westfield Century City and I really recommend it if you visit Los Angeles. 	{'place_id': '07d9e39617884000'}
4287806719	2021-06-28T23:48:17.000Z	1409659952424050695	Not me enjoying my pan from 0° remembering how a year ago I was stuck at home fighting off a covid case hoping I'd one day get to travel again.Side note: Daiso and 0° is all I need to be happy in life. Thanks for coming to my Ted talk.	{'place_id': '47dbb2e661aa176c'}
754632865061572608	2021-06-28T23:35:44.000Z	1409656792364109825	 It’s time travel! Nobody has it right yet! I just suspend my disbelief because we get Biff’s Pleasure Paradise 	{'place_id': '3b77caf94bfc81fe'}
27397381	2021-06-28T23:21:53.000Z	1409653309380521991	THEE USC SCOOP❕Who  Will Get, Could Get & Won't Get (Part I) 🔥THE ULTIMATE USC June Official Visit Weekend Analysis + THE LATEST 👀 It's detailed, packed with insight, information and a perspective only we can offer 💫 via  ✌🏼	{'place_id': '3b77caf94bfc81fe'}
1206391445914972162	2021-06-28T23:15:11.000Z	1409651622041448448	 I love California 💖💖Come visit princessGod always looking out for me	{'place_id': '47dbb2e661aa176c'}
18916646	2021-06-28T23:10:17.000Z	1409650389696143361	 Impossible not to visit all the time when they’re so close	{'place_id': '3b77caf94bfc81fe'}
956266072440635392	2021-06-28T22:48:07.000Z	1409644808860094464	Douglas Park is a hard place to visit. This is where Molly and Makena filmed their videos, just a few weeks before the accident. I look around at all the familiar spots and think, we were just here. She was just rolling down that hill, laughing with her friend.	{'place_id': '59612bd882018c51'}
2754743944	2021-06-28T22:32:40.000Z	1409640920723558400	Had to make a pit stop and visit SoFi. Fins Up! 🐬🙌🏼 	{'place_id': '104d29266e96e000'}
66797738	2021-06-28T22:23:38.000Z	1409638648937549831	Needa visit the  crib	{'place_id': '3b77caf94bfc81fe'}
743544720	2021-06-28T22:21:42.000Z	1409638164243697670	Besides all the travel drama getting home, still had the best trip of my life 🥳 thank you  ❤️🥰❤️	{'place_id': '3b77caf94bfc81fe'}
21029361	2021-06-28T22:18:27.000Z	1409637343217127434	On my way up to the Bay Area to visit home and hang for the 0th. Moving my remote office poolside for the week	{'place_id': 'b0b79caecef59fb5'}
27397381	2021-06-28T22:05:27.000Z	1409634071857098755	Big-Time 0-Star Las Vegas (NV) Safety ZION BRANCH On His  Official Visit Last Weekend❕ ✌🏼 	{'place_id': '3b77caf94bfc81fe'}
1078497336857219072	2021-06-28T21:25:16.000Z	1409623959683825665	 Hahahahahaha yessss I need a Disneyland visit 😂😂😂	{'place_id': '7183cae332544afd'}
889252916711837699	2021-06-28T21:22:07.000Z	1409623167035854857	I hope my next visit I can see Avengers Campus at sunrise and sunset!! 	{'place_id': '35fea2c31d822962'}
1382465258544001025	2021-06-28T21:02:08.000Z	1409618137369104408	Interested in saving up to 0% on your electricity bill? Find out if you qualify for ’s FREE Solar Program by calling (0) 0-0 or visit  for more information. ☀️⚡️     	{'place_id': '6dbb177222b3e5ad'}
1266753222062092288	2021-06-28T20:40:03.000Z	1409612582332231689	pls don’t invite me to travel with you if you ain’t on time 😭 no way we said 0pm meetup and its 0:0 and y’all still ain’t ready.	{'place_id': '3b77caf94bfc81fe'}
837393175341748224	2021-06-28T20:07:12.000Z	1409604316294389761	"The Only KOJO ANTWI  Official Visit Update You'll Find❕""Man, oh they blew it out of the water! From start to finish....What they do at  is very different than the other schools I've visited."" via  ✌🏼️"	{'place_id': '3b77caf94bfc81fe'}
30736157	2021-06-28T19:25:12.000Z	1409593746392457219	 Stef is coming to visit soon so I’ll likely make some cocktails for her. But also some shots will be had	{'place_id': '3b77caf94bfc81fe'}
745104897851305992	2021-06-28T19:16:14.000Z	1409591486975406080	 is always amazing to visit, Definitely my second favorite city.	{'place_id': '19d41c6eff11e9d6'}
978302932620906496	2021-06-28T19:04:24.000Z	1409588509057290245	So thankful that  had an early room for me. This is why I exclusively stay with them when I travel. Also, shoutout to  for yet another great flight.	{'place_id': '07d9db0b91c81003'}
897503915440087041	2021-06-28T18:59:20.000Z	1409587237625339943	There are still a few days left this month to visit the  vaccination clinic. Please visit  to find out more! 	{'place_id': '3b77caf94bfc81fe'}
20252627	2021-06-28T18:58:10.000Z	1409586941314560002	 Sisi my calendar is open for you whenever you want to come visit :)	{'place_id': '3b77caf94bfc81fe'}
156106652	2021-06-28T18:43:26.000Z	1409583234166366243	My friend came to visit from Chicago and I’m so happy, It’s sooo good to see her 😭💕	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-06-28T18:07:15.000Z	1409574127833255941	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-06-28T18:05:51.000Z	1409573777415938073	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
209211439	2021-06-28T17:57:21.000Z	1409571638224457730	If I went on a Oregon Visit as a commit, I’d definitely put together a fire uniform combo for the pics 🤣 🔥🔥	{'place_id': '4d1d90faa5484b1c'}
251692859	2021-06-28T17:45:07.000Z	1409568558615437323	The pandemic is over, now what?I’d be honest with you, the work and travel lifestyle is amazing. Like you no longer have to deal with office politics or wait for your “annual leave” to travel... Read the full post here: 	{'place_id': '3b77caf94bfc81fe'}
1370223869273853955	2021-06-28T16:32:32.000Z	1409550290685104130	I’m really just trying to travel the world and eat bomb ass food.   🤟	{'place_id': '3b77caf94bfc81fe'}
913912367007784962	2021-06-28T16:29:43.000Z	1409549583567319041	"Join the experts from the  Center and LA Compost on June 0th at 0:0 PM. They will show you how to take your green ""waste"" and transform your yard's dirt into rich soil.Please visit the following link to RSVP and learn more information:  "	{'place_id': 'b0b79caecef59fb5'}
98192693	2021-06-28T16:27:19.000Z	1409548980162203650	 Tough travel for the Cubs after Sunday night game too	{'place_id': 'e6fc035b8939bd3b'}
534911560	2021-06-28T16:18:24.000Z	1409546736448663552	I FINALLY get to visit my family in Texas tomorrow for the first time in almost two years 😭✈️	{'place_id': '3b77caf94bfc81fe'}
279311509	2021-06-28T15:26:32.000Z	1409533682780569601	  Any chance one can visit your town?	{'place_id': '3b77caf94bfc81fe'}
1978272162	2021-06-28T15:06:54.000Z	1409528741856833542	 hello, was actually very swift - not a lot of people on the flight so security went very smoothly, just asked some reasons for travelling questions etc	{'place_id': '3b77caf94bfc81fe'}
902359445652439040	2021-06-28T14:08:51.000Z	1409514132710182913	So ready for The Book! This pin is back in stock, visit  to get one!   	{'place_id': '3b77caf94bfc81fe'}
1169995865492115458	2021-06-28T08:09:00.000Z	1409423574503366656	I literally fly to Guatemala on Friday yall for a momth	{'place_id': '2da132a7bfebfc0c'}
1169486378368765952	2021-06-28T07:20:24.000Z	1409411342130323458	Moving a heavy safeFor more info visit:  	{'place_id': '3b77caf94bfc81fe'}
27412149	2021-06-28T06:32:46.000Z	1409399357376405504	With travel starting once again, please be aware: you’re at greater risk of being scammed. Amy K' S  bipartisan Protecting Consumers from Travel Fraud Act will help protect consumers from travel scams and prevent fraudulent behavior in the travel and tourism industry moving	{'place_id': '3b77caf94bfc81fe'}
1146245949200617472	2021-06-28T05:15:25.000Z	1409379891255013390	I really enjoyed my visit at my grandparents’ house and my grandmother taught me some hair-caring tips for my new red-dyed hairdo. New tricks, I mean!✌️😉 💆🏾‍♀️ Additionally, Grandma bought me a personal curl-iron wand for my hair which was sweet of her. 🥰 	{'place_id': '5e68ca240e32025a'}
1199174472	2021-06-28T04:56:53.000Z	1409375227847401475	 That  time travel .   Umm the ManDalorian..	{'place_id': '3b77caf94bfc81fe'}
767967641273298944	2021-06-28T04:39:14.000Z	1409370785429344262	I can’t wait to travel the world	{'place_id': '2da132a7bfebfc0c'}
33569742	2021-06-28T03:04:01.000Z	1409346821952983042	Kawhi Leonard won’t travel with Clippers to Phoenix. Translated into realism: He has played his las game in a  uniform.	{'place_id': 'f2f180b090191151'}
189721149	2021-06-28T02:26:25.000Z	1409337358105812992	 Hopefully some day. One of my dreams is to travel the world especially Asia for a food trip lol	{'place_id': 'a077793faceeda6f'}
188859617	2021-06-28T02:18:00.000Z	1409335242947584002	Fast and the Furious Prediction:  Fast 0 crosses over with Jurassic Park.  Dons kids go visit the island, predictably things go wrong, who do they call to drive a ‘0 Jeep to save the park…Daddy Dom.   	{'place_id': '3b77caf94bfc81fe'}
270451667	2021-06-28T02:07:28.000Z	1409332589102473217	me: i’m excited for you to paint the cabinetsapril: oh im not doing that until you come down to visitme: OH SO YOU WANT ME TO DO IT IS WHAT YOU TELLING ME april: 😂😂😂	{'place_id': '3b77caf94bfc81fe'}
1164900451977793536	2021-06-28T02:06:29.000Z	1409332341579730945	 One of my favorite places to go when I visit. :)	{'place_id': '10de09f288b1665c'}
760719668093022208	2021-06-28T01:22:34.000Z	1409321293506236422	 Why would you only focus on this one aspect!  MAW just grated a wish for my neighbor!  All she asked for was a new playroom in the family’s garage!  Not everything revolves around air travel!!!  You should be ashamed of yourself for being so negative!  I have witnessed goodness!	{'place_id': 'eb1bb64775708bc1'}
320383966	2021-06-28T00:54:33.000Z	1409314240578482181	i’m not getting in a relationship until I travel out of the country	{'place_id': '3b77caf94bfc81fe'}
1020126185370468352	2021-06-28T00:47:45.000Z	1409312529021431808	We’re giving away ANOTHER  MF0 as part of our  giveaway. The perfect light for a 0’ x 0’ grow area, and a welcome addition to any sized grow space! Visit our deals & discounts page on  to enter! - Grower Love 	{'place_id': '3b77caf94bfc81fe'}
1108003534170140673	2021-06-28T00:03:44.000Z	1409301454037340162	Palm Springs was an absolute VIBE🌴🌴🌴🌴🌴🌴 Los Angeles what’s up 👀👀👀       @ Los Angeles, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}}
877714628721102849	2021-06-29T23:55:47.000Z	1410024228628406274	Who's ready for Sunday? We're here to help! Visit us today through Sunday to get all your gear and beer for the 0th! We're open until 0pm tonight! @ Lincoln Beer Company 	{'coordinates': {'type': 'Point', 'coordinates': [-118.34687785, 34.20607554]}, 'place_id': 'b0b79caecef59fb5'}
1377397972313407492	2021-06-29T23:52:03.000Z	1410023287766323203	Don't miss out on getting your FREE  vaccines right in your neighborhood! Check the graphic to find your nearest mobile vaccination site & come say hi! ⏰💉🚍 Want more info? Visit our 🔗  in bio for multilingual resources about the vaccine in LA  	{'place_id': '3b77caf94bfc81fe'}
391606225	2021-06-29T23:30:09.000Z	1410017774856933376	 To Funny…I like to be comfortable when I travel as well! ✔️ 	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-06-29T23:19:20.000Z	1410015053869326336	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-06-29T23:19:12.000Z	1410015019677339648	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
2216945533	2021-06-29T23:11:16.000Z	1410013024614760448	Let’s show support in the workplace!!! Visit:  for up-to-date information about the IATSE’s largest film and television agreement. @ Local 0 IATSE Make Up Artists & Hair Stylists Guild 	{'coordinates': {'type': 'Point', 'coordinates': [-118.34551, 34.16553]}, 'place_id': 'b0b79caecef59fb5'}
997127675687981060	2021-06-29T23:08:08.000Z	1410012235926097920	It’s finally that time, friends. I need to make a visit to the Los Angeles DMV. 😬 What recommendations/tips & tricks/advice can you provide? Thank you in advance! ☺️	{'place_id': '3b77caf94bfc81fe'}
416584017	2021-06-29T22:50:02.000Z	1410007679557271552	 So let me get this straight. You call up Peters and make him fly to NY…….for ONE GAME……and he DIDN’T SO MUCH AS EVEN PICK UP A BALL…….Wow. Now THERE’S a WASTE of the fans’ $…….tell me- what’s next? Bringing up Adell and sitting him on the bench for one game? 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️	{'place_id': '70707114a9202b98'}
