2020-01-06T23:47:26.000Z	1214332677668712448	Everyone is so happy that they’re going back to school then there’s me...  mad asl	{'place_id': '789a596e07b40baf'}
2020-01-06T23:41:24.000Z	1214331159645216769	Lmaoo imma need to get some names for when I decide to go out 🤣🤣 	{'place_id': '00c55f041e27dc51'}
2020-01-06T23:29:51.000Z	1214328255903387656	   Seeee!!!! That’s what I’m saying, I’m tryna go out dripppn	{'place_id': '011add077f4d2da3'}
2020-01-06T23:18:31.000Z	1214325401977274369	Damn going to school out of state makes home really nostalgic it be hitting different	{'place_id': '86fc60f26e1639cc'}
2020-01-06T23:16:12.000Z	1214324820445454336	 Because we went to school w him smfh	{'place_id': '00c39537733fa112'}
2020-01-06T23:12:58.000Z	1214324003713822720	This literally means nothing lmfao. Going out in public? Niggas will be out with u in a public and probably still tell other girls “that’s my ex” lol 	{'place_id': 'bceb8153865c4a49'}
2020-01-06T23:00:33.000Z	1214320880953806848	The handle of the kettle has been loosened, so I bought this tube bending tool from Amazon. I will let you guys know if it’s going to work, or not. @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2020-01-06T22:58:34.000Z	1214320381034663936	Idk why my whoré family is making me go to college when I could just vibe at home	{'place_id': '011add077f4d2da3'}
2020-01-06T22:56:37.000Z	1214319891379032064	Am I doing anything tomorrow on my actual birthday other than going to work lol of course not 😕	{'place_id': '002e24c6736f069d'}
2020-01-06T21:46:05.000Z	1214302138953863168	And furthermore, what if going out to Olive Garden is a treat for some people. And????Life is hard. People don’t have it so if they’re excited about that, let them be excited.	{'place_id': '01a9a39529b27f36'}
2020-01-06T21:29:05.000Z	1214297863297089536	Not to be prestigious but I went to college with this guy who works for a broadway news outlet but never goes to see shows and I don’t understand	{'place_id': '2f0edd19e78cfadf'}
2020-01-06T21:26:29.000Z	1214297208419471362	But now it’s older dudes, who wanna go out and actually make the time for me and wow. Good fa ha	{'place_id': '01a9a39529b27f36'}
2020-01-06T20:47:58.000Z	1214287512564318208	FORGET HIS MOMMA. IF HE HAS KIDS NOW HES SUPPOSE TO SHIT ON HIS KIDS MOTHER FOR YOU. WORK LESS BUT HAVE MONEY TO PAY FOR EVERYTHING EVERY TIME YA GO OUT. YA NOT EVEN BEING REALISTIC.	{'place_id': '011add077f4d2da3'}
2020-01-06T20:46:40.000Z	1214287188109774848	My coworker just informed me she was let go and I just gave her my first Pep talk of 0. I told her life goes on and to go out tonight and do something ratchet wake up and regroup and refocus also to learn something from this! 	{'place_id': '011add077f4d2da3'}
2020-01-06T19:55:30.000Z	1214274311399317504	 Right man people acting Kyle was dropping 0 last year. He came into the season hurt, and he’s not starting. People talking bout they need sharpshooter, like the can’t go out sign JR for 0.0 mil and just keep Kuzma. Bogdan alone ain’t it	{'place_id': 'fa3435044b52ecc7'}
2020-01-06T19:50:35.000Z	1214273074037694471	Can our parents just take a stand. If you tell your dad you are going out, do you need to tell your mum as well and vice versa or one is equal to two ?	{'place_id': '002e24c6736f069d'}
2020-01-06T19:29:58.000Z	1214267887214575618	Lol niggas go out to be bent & broke ! We are not the same ..	{'place_id': '00c39537733fa112'}
