2020-01-20T23:48:04.000Z	1219406266755354625	It's kinda weird not going back to school not gonna lie.	{'place_id': '48b5e9defad76941'}
2020-01-20T23:36:53.000Z	1219403455028236288	back to work tomorrow, back to school on wednesday 🤕 definitely not ready	{'place_id': 'b8d145028b2571ac'}
2020-01-20T23:26:15.000Z	1219400779544637441	"     Also, numerous members of her generation of her family attest to having grown up receiving the same information about their family history. So this is clearly not a case of her deciding one day, ""Ooh, I'm going to go out and pretend I have Indigenius ancestors!"""	{'place_id': '01a9a39529b27f36'}
2020-01-20T23:15:51.000Z	1219398158968676358	You could go out and do whatever. Those summer nights are undefeated. 	{'place_id': '002e24c6736f069d'}
2020-01-20T22:59:18.000Z	1219393997665337344	  Yall be gassing me and then i go out into the world and make a fool of myself 😭	{'place_id': '01a9a39529b27f36'}
2020-01-20T22:24:24.000Z	1219385213119356928	 I used to live in an area with a ton of coyotes. They're generally only around at night and won't approach people. If you keep your pets in at night and go out with them or keep them on a lead at night you'll almost definitely  be just fine	{'place_id': '01a9a39529b27f36'}
2020-01-20T22:08:26.000Z	1219381195575844864	Can’t wait to get home, get on CoD, mute everyone & go to work 😈😂	{'place_id': '011add077f4d2da3'}
2020-01-20T22:05:40.000Z	1219380499854057472	BBC News - Third of world's poorest girls denied access to school     	{'place_id': '01a9a39529b27f36'}
2020-01-20T21:18:25.000Z	1219368607307763715	Very excited to go to work tomorrow 😍 	{'place_id': '002e24c6736f069d'}
2020-01-20T20:48:39.000Z	1219361117526536194	Just an Individual Azurite Black Metallic with Caramel Leather BMW M0 Competition going out. Nothing to see here. 👀 ...        … 	{'coordinates': {'type': 'Point', 'coordinates': [-73.55797026, 40.77927508]}, 'place_id': '0ce818c9ae7cf154'}
2020-01-20T20:28:35.000Z	1219356066724700161	I feel sorry for you. I really really do. You must have a pitiful, terrible, and sad life to want to go out and ruin peoples days/experiences. I feel really sorry for you 	{'place_id': '24661d47b426cdac'}
2020-01-20T20:21:54.000Z	1219354384968179715	The thought of going back to school is making my stomach hurt but we gone push through the semester!	{'place_id': '789a596e07b40baf'}
2020-01-20T19:57:37.000Z	1219348274047586310	I have got to get up and go to work but my cat has been sitting in my lap for three hours and my legs are dead asleep but ohh my gooddddd	{'place_id': '01a9a39529b27f36'}
2020-01-20T19:49:41.000Z	1219346278582308864	didn’t go out last night bc i felt ugly and missed the opportunity to meet frank ocean 	{'place_id': '00c39537733fa112'}
2020-01-20T19:46:56.000Z	1219345583112101889	My aunt’s nephew, another kid I went to school with, just suddenly lost his life and I’m just over all this devastation.	{'place_id': '01a9a39529b27f36'}
2020-01-20T19:18:25.000Z	1219338409875070980	Girls who go out in the cold AND look good are superior	{'place_id': '00c39537733fa112'}
2020-01-20T19:17:03.000Z	1219338063161241606	 I went to school in Columbia, and on the Capitol buildinf behind them are stars marking where the Union guns damaged it.	{'place_id': '00c39537733fa112'}
2020-01-20T19:09:55.000Z	1219336268661895170	0% of being a journalist for me is looking like a 0-year-old who was rushed to school by their mom after missing the bus bc of this 	{'place_id': '01a9a39529b27f36'}
2020-01-20T19:05:14.000Z	1219335088904818690	When the invoices go out and payments come in 🤑 	{'place_id': '011add077f4d2da3'}
2020-01-20T18:50:39.000Z	1219331419320782848	It fucking sucks that the majority of the Black men nominated for  obviously despise other Black men. They go out of their way to avoid any sexual contact with anyone darker than clean cotton ball.  😔 	{'place_id': '27485069891a7938'}
2020-01-20T18:49:49.000Z	1219331210146656262	Ya going out sad	{'place_id': '00c39537733fa112'}
2020-01-20T18:18:36.000Z	1219323356450885633	If I go out to any spots whether it be brunch, lounge, club etc I’m doing everything on my end & that includes dancing, smoking hookah, hyping my friends up, dancing with anybody that gives me good energy....I’m not going to be there like a fucking mannequin lol	{'place_id': '01a9a39529b27f36'}
2020-01-20T18:01:35.000Z	1219319074645254145	I wanna go out for lunch . Where are my friends	{'place_id': '002e24c6736f069d'}
2020-01-20T17:58:50.000Z	1219318381846941702	It starts with the littlest of things. Grabbing a coffee, going out to eat, thrifting etc. on your own. With time it gets easier and you’ll start to feel more and more secure in yourself, like hey! I can do things! I’m independent! And it will change your whole outlook on life :)	{'place_id': '011add077f4d2da3'}
2020-01-20T17:22:27.000Z	1219309223705792513	 They can keep their guns just lock them away from children & no AK0’s on the streets. Our kids & teachers & staff are afraid to go to school we have retired police officers in the schools now. What message does it send to our children.	{'place_id': '54719aecdeecbbe8'}
2020-01-20T17:17:22.000Z	1219307946489917440	Cleared: Construction on  from Staten Island Expressway to school Road	{'coordinates': {'type': 'Point', 'coordinates': [-74.065704, 40.603502]}, 'place_id': '00c55f041e27dc51'}
2020-01-20T17:15:05.000Z	1219307371111047168	I don’t if I’d be “pissed,” but I would wonder if it’s going to work and will he survive. Wasn’t he armed to the teeth? 	{'place_id': '01a9a39529b27f36'}
2020-01-20T17:02:26.000Z	1219304189194657793	Updated: Construction on  from Staten Island Expressway to school Road 	{'coordinates': {'type': 'Point', 'coordinates': [-74.065704, 40.603502]}, 'place_id': '00c55f041e27dc51'}
2020-01-20T16:36:59.000Z	1219297784693694471	Sorry all,  no stream today! But  is going back to college today  Save your Sparks! Be back tomorrow at 0eastern!	{'place_id': '0102611f55c5f14b'}
2020-01-20T16:32:23.000Z	1219296626583441408	Cleared: Construction on  NB from Major Avenue to School Road	{'coordinates': {'type': 'Point', 'coordinates': [-74.064888, 40.600852]}, 'place_id': '00c55f041e27dc51'}
2020-01-20T16:26:21.000Z	1219295105410093059	Thought about going out, but I’m way too cozy and it’s way too cold	{'place_id': '01a9a39529b27f36'}
2020-01-20T15:38:36.000Z	1219283091925151744	Punch me in the face if I ever go out on a Sunday again. @ everyone	{'place_id': 'b046074b1030a44d'}
2020-01-20T15:32:07.000Z	1219281457774039040	Started this thing , where every other day off, I must pick one (either and activity or new food to try) I’m excited 😆. This is big for me cause I literally never go out, if I don’t have to.  	{'place_id': '002e24c6736f069d'}
2020-01-20T15:12:52.000Z	1219276615433125890	Just finished applying to kindergarten for Luca. It has been too much like applying to college. In addition to the charter school we applied to earlier this year, we finally settled on 0 public schools and how to… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.81413056, 40.71113056]}, 'place_id': '00c39537733fa112'}
2020-01-20T15:12:16.000Z	1219276464157347846	I want my man to be able to enjoy his life and still be faithful. Go out, have fun, get lit, but respect me in my absence as well...	{'place_id': '002e24c6736f069d'}
2020-01-20T14:38:37.000Z	1219267994611863554	 Wizkid am so  disappointed in you u want to go out with ashawo Brenda biya thé girl that all Cameroon artist have gone out with 🇨🇲🇳🇬	{'place_id': '27485069891a7938'}
2020-01-20T14:29:20.000Z	1219265657927323654	 🥺🥺🥺 same and I have to go to work later. I’m miserable and in shambles	{'place_id': '002e24c6736f069d'}
2020-01-20T14:27:27.000Z	1219265182695862272	Our prayers go out to the family and friends of the  for their loss! This is a complete tragedy and my heart goes out to you guys!   	{'place_id': '00c39537733fa112'}
2020-01-20T14:23:30.000Z	1219264188805255168	And please do some homework! It’s what we’ve all done!  Look at current “epidemics”! Diseases are being spread in vaccinated kids! If u really want to protect children, there should be a law that recently vaccinated need to stay home for a couple days before returning to school! 	{'place_id': '5a700e3c73cbf9b9'}
2020-01-20T14:21:26.000Z	1219263672465395712	Construction on  NB from Major Avenue to School Road 	{'coordinates': {'type': 'Point', 'coordinates': [-74.064888, 40.600852]}, 'place_id': '00c55f041e27dc51'}
2020-01-20T13:57:02.000Z	1219257531916259328	 mom should have started to look for him the morning he didnt get to school and called police instead of going out that night to drink and have a steak dinner...they might have found him alive or recoverd him much sooner	{'place_id': '42333d5a509e9bc3'}
2020-01-20T13:55:56.000Z	1219257251925581829	Mlk really wouldn’t like that I’m going to work today.	{'place_id': '8479859139338fb7'}
2020-01-20T13:16:17.000Z	1219247276113256448	Go out and get it! You got this!   @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2020-01-20T13:15:27.000Z	1219247065903063041	Woke up in a panicked frenzy thinking I had to go to work, but then realized I had MLK day off! Winning! 😅🙏.Happy Monday peeps! 👍.In frame 📸, miss  .....=== … 	{'coordinates': {'type': 'Point', 'coordinates': [-73.94085288, 40.75423053]}, 'place_id': '00c39537733fa112'}
2020-01-20T12:27:04.000Z	1219234888873848832	Everyday I go out and shoot , Is always a good time 📸 	{'place_id': '2ab7a7d1f941d091'}
2020-01-20T12:26:59.000Z	1219234866858012673	          It is important that we take steps towards a Free CUNY that can’t be counteracted or voted no by the state legislature. Getting a tuition freeze is a step in the right direction. Many of our undergraduate students already go to school for free due to TAP . So it is imperative...	{'place_id': '011add077f4d2da3'}
2020-01-20T12:25:43.000Z	1219234549516861440	Crying in the car bf you go to work&gt;&gt;&gt;&gt;	{'place_id': '011add077f4d2da3'}
2020-01-20T07:37:54.000Z	1219162117519048705	forgot I am moving back to college tomorrow and i don’t have a single thing packed	{'place_id': '00c39537733fa112'}
2020-01-20T06:40:05.000Z	1219147566811680768	Mfs really a try play u like u dumb .... BITCH U Played ‼️.... we ain’t going out sad 😂	{'place_id': '23a06e5cc6d83009'}
2020-01-20T06:15:21.000Z	1219141341436923904	 Her Mother coaxed her into going out withHer Best Friend's Son...	{'place_id': '1e11d8be00564690'}
2020-01-20T05:58:34.000Z	1219137118850748416	First time my NIGGA cheat gone be the last time we be together.. Ain't no second chances HOE.. IM NOT GOING OUT LIKE THAT NOMO! First time I gotta check a bitch bout u I'm letting your monkey ass roll !!! CHEATING CAN NOT BE EXPLAINED!  PERIOD!!!! Being faithful ain't hard period	{'place_id': '53c4c0f31bd9e72b'}
2020-01-20T05:53:38.000Z	1219135879668695041	Every time it snows I pray it snows this bad so I don’t have to go to work/school 	{'place_id': 'd9da081322efe6e7'}
2020-01-20T05:40:12.000Z	1219132496790671360	My *sponsor* is coming up on 0 years sober and keeps having reoccurring dreams where she’s using and wakes up not knowing if it was real or not. 0 fcking years and it doesn’t stop. People with 0+ years go out. It’s insane how strong this shit is.	{'place_id': '01a9a39529b27f36'}
2020-01-20T05:37:48.000Z	1219131893247102977	I’m really not gonna like myself when I have to get up and go to work in the morning. FML! 😫😭😴	{'place_id': '002e24c6736f069d'}
2020-01-20T05:13:25.000Z	1219125759526211584	I’m so not ready to go back to school	{'place_id': '002e24c6736f069d'}
2020-01-20T05:04:40.000Z	1219123555042058241	It’s been a full 0 days... don’t you have work?!? A child to bring to school? Idk friends that can console you..., 	{'place_id': 'bf83670d90b7f0bc'}
2020-01-20T05:03:38.000Z	1219123293376204800	Gotta step up my going out game, I’ve been slacking : /	{'place_id': '00c55f041e27dc51'}
2020-01-20T04:50:26.000Z	1219119973722984448	I’m just now leaving my house to go out, who tf am I ?????	{'place_id': '002e24c6736f069d'}
2020-01-20T04:49:00.000Z	1219119611070832640	I DONT WANNA GO TO WORK TOMORROW HELP	{'place_id': '00c39537733fa112'}
2020-01-20T04:41:42.000Z	1219117776490635266	 Year0 Day0 in this alternate Earth.. it’s cold af was supposed to go out but the way mah body setup.. I might just die..Love ain’t love without Santino 🧸..   ..😘!       	{'place_id': '011add077f4d2da3'}
