14392973	2020-09-07T23:07:56.000Z	1303107766001848320	 Same to you. Back to school— we’ll home school for now— tomorrow. Weird feeling!	{'place_id': 'c2800db81ba22abc'}
30210665	2020-09-07T22:41:15.000Z	1303101048714866688	  As I understand it, a global warming dried up the forests in Africa and the fruitarian forest dwellers had to go out onto the Savannah. Not all survived.	{'place_id': '01a9a39529b27f36'}
446616496	2020-09-07T22:08:38.000Z	1303092844081577984	life has been a f*cking blur_ i get this money and i go to work_ that’s why my haters been silent New York City i come from Long Island-   @ Brooklyn, New York 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}}
7766032	2020-09-07T21:57:33.000Z	1303090054898823170	Mask adherence in Central Park is lower than I’ve seen it in months. Back to school is going to be fun.	{'place_id': '01a9a39529b27f36'}
85736442	2020-09-07T21:53:18.000Z	1303088984566923264	Sad how miserable y’all can be. Going out sad	{'place_id': '011add077f4d2da3'}
2570686217	2020-09-07T21:24:29.000Z	1303081731969495040	Poet  created the COVID-0 Fight Back Series:  I looked through to find one to discuss with my Ss coming back to school tomorrow and I landed on “We Were There.” Tomorrow’s Affirmation: I was there, and I’m still here to make a difference. ❤️📚	{'place_id': 'c76d79c902d9ffbd'}
30210665	2020-09-07T20:43:13.000Z	1303071345178271746	 Don't be fooled into going out and buying a gun. Staying indoors is an excellent defense.	{'place_id': '01a9a39529b27f36'}
368641799	2020-09-07T20:10:53.000Z	1303063209977556992	Loving this video.Don’t forget you’ll be back to school when pigs fly ! 	{'place_id': '6ecd80a684f06657'}
1102252163743522816	2020-09-07T19:57:54.000Z	1303059942132383744	We wanted to wish a Happy Labor Day to everyone today, especially all of the essential workers, first responders and front line workers who continue to go to work everyday to serve others and keep us safe during this… 	{'place_id': '002e24c6736f069d', 'coordinates': {'type': 'Point', 'coordinates': [-73.86717212, 40.89736073]}}
2514059604	2020-09-07T19:37:02.000Z	1303054689383088130	Nah son. Stoney fucked Nate old ass to get a check to send her lil brother to college and he was never going 😂	{'place_id': '00c39537733fa112'}
112889991	2020-09-07T19:09:51.000Z	1303047847722528768	i’m reading the universal declaration of human rights and it’s rlly depressing bc like i can count like 0 diff ways that my human rights are being infringed upon jst by waking up and going to work everyday.	{'place_id': '01a9a39529b27f36'}
294201642	2020-09-07T19:03:39.000Z	1303046290910195713	Quick and delicious Cauliflower Curry for lunch today! It’s been a long week-weekend and I wanted to use up a bunch of vegetables without having to go out shopping. Curries are excellent ways to utilize what you… 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.99905224, 40.76074541]}}
1405827127	2020-09-07T18:53:34.000Z	1303043751640739842	Mayor Bill de Blasio and Schools Chancellor Carranza: MORE Petition for a Full Remote Start to School Year - Sign the Petition!  via 	{'place_id': '011add077f4d2da3'}
1886507720	2020-09-07T18:35:13.000Z	1303039133435285505	Coronavirus: Five behaviour basics for back to school	{'place_id': '00c39537733fa112'}
2721348250	2020-09-07T18:13:39.000Z	1303033706785968128	Bruh how do people enjoy their last day of break, like all I’m thinking about is going back to school tomorrow and every time I try to relax I panic about it	{'place_id': '002e24c6736f069d'}
24409441	2020-09-07T17:38:13.000Z	1303024788126957570	The rest of the country goes back to school this week. Lordt.	{'place_id': '011add077f4d2da3'}
30329391	2020-09-07T17:34:25.000Z	1303023833528643584	It’s Labor Day. If you go out for lunch on your day off, and you don’t tip your server at LEAST 0 or 0 percent, you can f*ck right off.	{'place_id': '011add077f4d2da3'}
60197178	2020-09-07T17:32:59.000Z	1303023472491352068	 Dammit. I go out of my way to not feed Trump’s ego. Thanks, I had no idea.	{'place_id': '01a9a39529b27f36'}
62378379	2020-09-07T17:31:14.000Z	1303023032315908099	  You’re a fucking disgrace of a human being if you think nurses risk nothing going to work every day. Grow the fuck up. Moron.	{'place_id': '011add077f4d2da3'}
282798388	2020-09-07T17:21:59.000Z	1303020704267464707	Thinking of all the parents sending theirs kids back to school this week. Whether you chose virtual or hybrid you did what you felt was best for your children. I see you.	{'place_id': '00c39537733fa112'}
223608744	2020-09-07T17:19:05.000Z	1303019972990513155	Aren't people just going to work?!? 	{'place_id': 'b8d145028b2571ac'}
164143807	2020-09-07T17:18:42.000Z	1303019876420902912	I have a succulent you’d have to go out if your way to kill! DM me your address!! On the house! 💚💚🥳 	{'place_id': '011add077f4d2da3'}
2323156848	2020-09-07T17:01:35.000Z	1303015570615435265	  you have time and money go to school educate yourself a bit	{'place_id': '00c39537733fa112'}
176676382	2020-09-07T16:42:27.000Z	1303010754778599424	 bouta go out cali. wassup w it	{'place_id': '01a9a39529b27f36'}
4421381	2020-09-07T16:35:14.000Z	1303008939735420934	If you have to ask why I’m still not going out to restaurants in NYC, I hope this picture answers your questions @ East Village 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.980934, 40.725691]}}
520860939	2020-09-07T16:27:37.000Z	1303007021348933632	Me every time I go out! 😩 	{'place_id': '00c39537733fa112'}
1141348878085709825	2020-09-07T16:06:55.000Z	1303001813541625858	Nahhhhhhh son you ain’t going out bad 	{'place_id': 'fa3435044b52ecc7'}
739866990	2020-09-07T16:06:53.000Z	1303001804968521731	Na a 0 year old kid got shot in the leg at Jouvert last night, my cousin was shot at with her damn kid in broad daylight yesterday. Ya really out here doing the most in Brooklyn smfh. Yeah me and Kenya not going out there it’s clipped ‼️	{'place_id': '002e24c6736f069d'}
363083125	2020-09-07T15:43:02.000Z	1302995803800326144	I love my friends because we never have a problem when going out to eat... we literally share our appetizers. We all drink whatever we want and split the bill evenly.	{'place_id': 'fa3435044b52ecc7'}
363083125	2020-09-07T15:40:49.000Z	1302995244259192832	I can’t go out to eat with cheap people on God. That’s why I hate going out to eat with large groups of people for birthdays............ 0/0 I’m probably the one to put in more because I don’t do ghetto shit like not have enough money 😭😭😭😭😭	{'place_id': 'fa3435044b52ecc7'}
50179868	2020-09-07T15:33:26.000Z	1302993387830890496	I wonder if there were like a virtual back to school night to get parents prepared for some of these rules because I feel like maybe that’s what’s missing here.	{'place_id': '01a9a39529b27f36'}
745540429	2020-09-07T15:32:26.000Z	1302993135191162881	   I will listen. The idea that we shouldn’t be skeptical dismisses the reality that disproportionate panic, hysteria and fear are destroying lives. Parents are irrationally terrified their kids will get long Covid so not sending them to school. Real harm	{'place_id': '01a9a39529b27f36'}
805929686	2020-09-07T15:32:16.000Z	1302993091889070087	"A co-worker is messaging all of us in a group chat asking what to do while working from home and having the kids going to school from home cuz he's going crazy. I almost wrote ""go back in time and pull out"" 😹Sarcastic Arepa    "	{'place_id': '00c39537733fa112'}
22978903	2020-09-07T15:30:55.000Z	1302992753803001857	 I *loved* going to work with my MommyJo and DaddyJim, when I was little. When my own children were born, I knew it was important for them to understand where mommy goes everyday. Now, of course, they know where I’m going: right down the hall!	{'place_id': '01a9a39529b27f36'}
2740969319	2020-09-07T15:29:56.000Z	1302992506825703426	I would straight violate teachers as a parent... going to college now and seeing how unqualified one can be and still get a degree in education was mind blowing 	{'place_id': '00c39537733fa112'}
939021992	2020-09-07T15:01:22.000Z	1302985316559654918	0% of the NYC teachers I polled don’t  feel safe returning to school tomorrow. Happy Labor Day to us? 	{'place_id': '01a9a39529b27f36'}
180504506	2020-09-07T14:40:49.000Z	1302980145029042177	To all those returning to school tomorrow: In 0, when times were hard for me, I BLASTED (on my pink iPod mini with a metallic Coach case!) “Stronger” by Kanye West, “Move Bitch” by Ludacris and “Up In Here” by DMX. It worked.	{'place_id': '011add077f4d2da3'}
52626920	2020-09-07T14:31:27.000Z	1302977787041583105	  What do you think? I’m hopeful but I don’t think it’s going to work out.	{'place_id': '70f8f5f2ad7e0722'}
49076641	2020-09-07T14:11:53.000Z	1302972865965371393	Even tho today was an off day. I work up and did my normal routine as if i was going to work.	{'place_id': '011add077f4d2da3'}
29330450	2020-09-07T13:35:22.000Z	1302963675876163585	 I rather go to work	{'place_id': '00c39537733fa112'}
62971195	2020-09-07T13:34:38.000Z	1302963489544327177	One thing I can guarantee is that if you ever go out with me is that I’ll always create a story to remember. 😅	{'place_id': '01a9a39529b27f36'}
3108201208	2020-09-07T13:30:42.000Z	1302962498723893249	Yes press secretaries liar all the time they are given information to go out and tell the public, research Obama’s press secretary I use to say how can that guy lay his head down on his pillow at pm. My friend said “he’s told what to say”. 	{'place_id': '011add077f4d2da3'}
745540429	2020-09-07T13:25:49.000Z	1302961272506458117	 NYC is in a vastly different situation now. People like you and students who got Covid are no longer possible vectors for the virus. Flu season is coming, that’s more dangerous for kids than Covid, but they usually still go to school. Closing schools prevents NYC’s recovery	{'place_id': '01a9a39529b27f36'}
51595502	2020-09-07T13:09:57.000Z	1302957278845448192	I wanna go out for breakfast	{'place_id': '44453d2ae8e47fd5'}
23765446	2020-09-07T12:53:21.000Z	1302953099850547201	This past weekend, I took part in a 0 hour endurance challenge. And when I got asked to run with the squad, I knew the team. I knew we had some hard hitters on this team. I was running with a few guys that can go out and run 0 miles on a whim.	{'place_id': '002e24c6736f069d'}
468104363	2020-09-07T11:59:50.000Z	1302939631651094530	My second print paid for and going out to a happy client 🤗 	{'place_id': '011add077f4d2da3'}
1215376211343544320	2020-09-07T11:34:23.000Z	1302933227028578304	Gee I wonder if your daughter has seen a  video clip telling Democrats to go out & harass & attack & disrupt people lives who “disagree” with Democrats policies & beliefs! 	{'place_id': '684ceb6509d97b6c'}
3288147861	2020-09-07T11:26:14.000Z	1302931178064879616	Kelly Anne I thought you were going to work on your marriage because 	{'place_id': '01a9a39529b27f36'}
714819958962790401	2020-09-07T07:23:29.000Z	1302870088496939018	Tuesday is pamper day and I’m absolutely getting my lashes done but I think I’ll wait til before I go back to school to do it.	{'place_id': '00c55f041e27dc51'}
2460550055	2020-09-07T06:22:00.000Z	1302854615462010881	I had a great time, going out with rbaldinger0 last night! It felt good to go out, in this tough world we’re living in and just have some fun! Girl, What a great end, to the summer! I had so much fun the other… 	{'place_id': '1ed0698bc8262763', 'coordinates': {'type': 'Point', 'coordinates': [-73.65038152, 40.7048775]}}
22945186	2020-09-07T06:08:51.000Z	1302851304054837248	Thursday I went in to pick up some supplies for remote teaching and to leave my room ready for a post-COVID return to school.  The building was deserted.  It’s so weird to be saying… 	{'place_id': '00c55f041e27dc51', 'coordinates': {'type': 'Point', 'coordinates': [-74.1925, 40.52777778]}}
549682671	2020-09-07T05:08:35.000Z	1302836140089708545	 What you going to school for ?	{'place_id': '011add077f4d2da3'}
745540429	2020-09-07T04:49:11.000Z	1302831255537561601	Looks like NYC teachers do have to go to work and many are NOT HAPPY about it. “No safety reports released”I’ll help: You’re 0 years old and there’s almost no Covid in NYC. You’re safe. That’s it, there’s your report. The kids need you now more than ever. Thanks. 	{'place_id': '01a9a39529b27f36'}
66880873	2020-09-07T04:24:26.000Z	1302825026127880192	Me and my hubby every time we go out 	{'place_id': '011add077f4d2da3'}
