2164225647	2020-11-02T23:57:44.000Z	1323414018384666626	It’s so dark when I leave work 😩I rather be going to work when it’s dark	{'place_id': '96af18411a813391'}
915770178	2020-11-02T23:54:32.000Z	1323413214282076165	I can’t vote for him since I don’t live in his district but those that can should. He’ll advocate for you tirelessly to make your lives better. So go out there and vote for him!  	{'place_id': '011add077f4d2da3'}
918988532022218752	2020-11-02T23:50:21.000Z	1323412160689672195	Woman starts fundraiser to give laptops to Harlem students in need 	{'place_id': '01a9a39529b27f36'}
50201734	2020-11-02T23:48:19.000Z	1323411647705264132	Don’t know about you guys but I’m going out to get some emergency snacks  tomorrow. Then I’m staying home for the next 0 weeks.This is going to be a shit show and a news junkie’s OD.	{'place_id': '0fc2f21897542000'}
732383512037326848	2020-11-02T23:44:37.000Z	1323410715647090688	I was going to work on my novel tonight but instead I’ve been randomly sobbing and frantically cleaning	{'place_id': '011add077f4d2da3'}
389199788	2020-11-02T23:34:17.000Z	1323408116084543490	 Hell yeah bro, this shit dope and hard at the same time. We gotta put in the work so that the families we create don’t have to struggle the ways we did. That’s why when I went back to school I went for the jugular!	{'place_id': 'd5140ca0d08eadc7'}
1274437058531143681	2020-11-02T23:20:34.000Z	1323404663404797953	I’ll never understand how someone who was adopted would abandon their adoptive parents like a bad habit once finding their bio parents. A girl I went to school with was adopted from Colombia back in the late 0s, I believe, by two amazing parents not far from me.	{'place_id': 'a7cdc3f10586dc66'}
1258081238	2020-11-02T23:09:25.000Z	1323401860372418565	New single coming very soon! In the meantime, GO OUT AND  🤞🔊📍  	{'place_id': '01a9a39529b27f36'}
485352900	2020-11-02T22:56:56.000Z	1323398718507417600	The stimulus check is being dangled by Trump like a carrot on a stick so people (especially us minorities) can go out and vote for him. That same check that he said months ago you lot would receive. Be smarter. He doesn’t care about you.	{'place_id': 'a64b09ad02cb5c61'}
753150169617661952	2020-11-02T22:56:44.000Z	1323398667974397957	Hello Swifties I’m a first time voter I know there’s a lot of you who still can’t vote because of age, or not registered yet. but to those who can please go out & vote blue 💙 this is a very important election not only for the USA but for worldwide too 🙏🏻 we are in this together	{'place_id': '01a9a39529b27f36'}
753150169617661952	2020-11-02T22:45:18.000Z	1323395791839547396	I Just voted for the first time for this election so to those who can vote but haven’t done it yet. please go out & vote blue💙 because it’s very important let’s make a change for once! 🗳     	{'place_id': '01a9a39529b27f36'}
1096333013749825536	2020-11-02T22:43:46.000Z	1323395404386500608	I personally haven’t witnessed any creep or predator shit out there but I would say to ALL women going out there that if you can’t find your hotel or BNB on the map DONT stay there in fact don’t stay anywhere that ain’t on that main strip  	{'place_id': '011add077f4d2da3'}
929048826	2020-11-02T22:05:19.000Z	1323385729372852224	Who needs Godzilla and King Kong, when you can have Buff crab and UwU crab.   Also, go out and vote tomorrow!  	{'place_id': '011add077f4d2da3'}
137409999	2020-11-02T21:59:41.000Z	1323384309949124608	Go out and Vote please.	{'place_id': '00c39537733fa112'}
710048012756754436	2020-11-02T21:45:03.000Z	1323380627035533312	You better go out and vote cuz tomorrow's election day	{'place_id': '01476f41278c3cd7'}
95088762	2020-11-02T21:11:20.000Z	1323372143263055873	My boyfriend’s going out of town tomorrow. I don’t like it.   🥺👉🏾👈🏾	{'place_id': 'fa3435044b52ecc7'}
720432251956248576	2020-11-02T21:06:55.000Z	1323371031504015362	Another WIN for democracy.Now let’s go out and *use* it: & Help Someone Else Vote Too.   	{'place_id': '01a9a39529b27f36'}
455042710	2020-11-02T20:58:47.000Z	1323368986021646336	When you go out looking for Allah 🥴🥴 	{'place_id': '01a9a39529b27f36'}
29330450	2020-11-02T20:55:38.000Z	1323368190399959040	 I told u I agree to disagree,  im not here to school anyone, life is about choices make yours and as I do mines 	{'place_id': '011add077f4d2da3'}
242487271	2020-11-02T20:47:31.000Z	1323366147740368897	     Insane Cam! Then later he fakes going out ready to zip up field! These refs suck! Hope you’re feeling ok! Rest up! 	{'place_id': '00c55f041e27dc51'}
977775219258609666	2020-11-02T20:22:38.000Z	1323359885296361472	 I’m starting to get nervous about going to work tomorrow 😅	{'place_id': '011add077f4d2da3'}
325681236	2020-11-02T20:22:15.000Z	1323359791654330374	And this won’t happen unless you actually go out there and vote tomorrow.  	{'place_id': '011add077f4d2da3'}
403802910	2020-11-02T20:14:30.000Z	1323357840963227650	Lionel, what are you going to do when trump loses and he has to go jail?  Get a job?   Saw you at channel 0, that’s not going to work either 	{'place_id': 'c418b0c82daabc44'}
179393526	2020-11-02T20:08:16.000Z	1323356270548668416	The amount of rent leveling calls I’ve received today is insane! I truly feel bad for those who can’t afford their rent / have landlords are sooo inconsiderate during this pandemic. Please y’all go out and vote!	{'place_id': '23a06e5cc6d83009'}
20413128	2020-11-02T19:57:47.000Z	1323353632989917184	Store fronts are boarded up. my boss n clients are asking me how am I gettin home tomorrow. Every form of communication has bombarded me with go out and vote messages.  Tomorrow is going to be a hell of a day regardless of which side you are for . Stay safe and I love you all .	{'place_id': '01a9a39529b27f36'}
20693913	2020-11-02T19:46:27.000Z	1323350780322172930	And just like that, Pepper Watch 0 comes to an end. 👩🏻‍🌾🌶🌱 going out to check on our peppers (multiple times a day lol!) brought me a ridiculous amount of joy. I will miss it 😭 @ Madison, New Jersey 	{'coordinates': {'type': 'Point', 'coordinates': [-74.4161, 40.7588]}, 'place_id': '65b4760a2b411e11'}
3296734673	2020-11-02T19:46:27.000Z	1323350779386888197	Please go out and  if you haven’t already!! Every Vote Counts!! ... It’s time for a change! 👏🏾👏🏾🔥✊🏾  	{'place_id': '011add077f4d2da3'}
3479011	2020-11-02T19:32:00.000Z	1323347144930136072	I miss going out to the Public library 😿. Is like piece of heaven. 📜📚	{'coordinates': {'type': 'Point', 'coordinates': [-73.9681232, 40.8004425]}, 'place_id': '01a9a39529b27f36'}
53575107	2020-11-02T19:27:54.000Z	1323346112460238852	Today I been seeing hella shit being boarded up .-. Let’s hope things don’t go out of hand 😳	{'place_id': '23a06e5cc6d83009'}
802984614	2020-11-02T19:27:27.000Z	1323346001483149313	The power going out in your town in the middle of the workday, on a Monday, during quarantine, hits differently the day before  😫 	{'place_id': '1935ab8020a2553b'}
69431943	2020-11-02T19:26:05.000Z	1323345656153559040	 You going out to the protest	{'place_id': '011add077f4d2da3'}
210546068	2020-11-02T19:19:30.000Z	1323343998719807488	PLEASE PLEASE go out and vote tomorrow if you haven’t already! Make your voice heard!   I voted yesterday from the world’s most famous arena     if you have questions! 	{'place_id': '01a9a39529b27f36'}
216510837	2020-11-02T19:15:58.000Z	1323343109951049728	Do it 😈Drink some Wray & Nephew and go to work 	{'place_id': '00c55f041e27dc51'}
3273534031	2020-11-02T19:14:34.000Z	1323342758367678465	i never wanna go out again. i’ve partied enough for the entire year.	{'place_id': '01a9a39529b27f36'}
50179868	2020-11-02T18:15:08.000Z	1323327798530985985	Not that he cares, but I’m so turned off by Dave East now. Homophobia really disgusts me. To go out of your way to be that evil is just yuck!	{'place_id': '01a9a39529b27f36'}
1864191740	2020-11-02T17:39:19.000Z	1323318787572158466	If that mean I have to go to work everyday if my life or hit a stage or venue I will. 💰 I’m getting on my  ish .  said it’s time to “level up”!	{'place_id': '002e24c6736f069d'}
66858922	2020-11-02T17:33:15.000Z	1323317260568694790	My sincere condolences go out to the family and loved ones of Ernesto Guzman. We need to find the driver responsible for the death of Ernesto. 	{'place_id': '01a9a39529b27f36'}
91742463	2020-11-02T17:22:39.000Z	1323314591095492609	Be like Rebetzin Pelcovitz, go out and VOTE 🗳  	{'place_id': '011add077f4d2da3'}
2842977137	2020-11-02T17:04:00.000Z	1323309900416602112	Haven’t even read this yet but gonna go out on a limb and guess the answer is “divorce your husband.” 	{'place_id': '011add077f4d2da3'}
50179868	2020-11-02T16:54:46.000Z	1323307575786569728	I don’t want to deal with anyone who doesn’t have money to take me out. You’re no chef so keep your meals to yourself. Let’s go out!	{'place_id': '01a9a39529b27f36'}
2468094709	2020-11-02T16:32:18.000Z	1323301919968776194	Here are some of  interns telling you why voting is important to them 🗳 Please use your voice and go out and vote 🗳 make sure to subscribe to   channel ⌨️😊🗳🌎🔑 @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
17542812	2020-11-02T16:07:14.000Z	1323295612339687432	 Wow that would be earth-shattering if so. I do feel the Florida youth turnout is not being discussed, and that most pundits seem to go out of their way to avoid referencing how few of them predicted 0 results. Even so I can’t quite credit this map.	{'place_id': '011add077f4d2da3'}
2842326411	2020-11-02T15:29:04.000Z	1323286008700538880	I completely forgot that Instagram turned off the recent hashtag feature before the election. Our next post isn’t going out until after it’s over. 	{'place_id': '44453d2ae8e47fd5'}
905432715289403393	2020-11-02T15:26:50.000Z	1323285445854322688	Soo the world is ending this week, what’s the plans yoo I’m tryna go out with a bang	{'place_id': '011add077f4d2da3'}
942941207457562624	2020-11-02T15:07:41.000Z	1323280627983097861	 I wouldn’t say all that but it does seem like all these rappers are caring about is the tax hike. We don’t have any money yet we go out n buy the albums n fully support those we really enjoy. Some of us have spent the last dollar on merch. I honestly don’t care who they vote for,	{'place_id': '01a9a39529b27f36'}
119263067	2020-11-02T15:07:23.000Z	1323280553538424832	Yo this that wind that I used to have to walk backward for a few going to school	{'place_id': '888a254ab33a9e2e'}
216103914	2020-11-02T14:45:38.000Z	1323275078516248578	I should add that I've been writing about games for 0 years. That's 0 years of grinding for free before I became a professional. You don't get far in this industry or in life without putting in the work. Have a dream? Go out there and make it happen!	{'place_id': '00c39537733fa112'}
880866695447031808	2020-11-02T14:28:07.000Z	1323270671523287040	We’re starting your week off with love and kindness! Whether you’re working, going to school or conducting business from home.⁣ Remember there’s always time to carry out an act of kindness to a friend, family member or loved one. They would really appreciate it!⁣ 	{'place_id': '011add077f4d2da3'}
1289145814607175680	2020-11-02T14:25:35.000Z	1323270032240115714	Don’t forget to go out and VOTE! 🗳    	{'place_id': 'e9143a85705b4d40'}
1236123993511522304	2020-11-02T14:23:37.000Z	1323269536645349382	Like? Ughn ughn. Everything will go out the window I swear to jee oh dee. It will be clear what it takes to survive and it’s not niceness or morals.	{'place_id': '01a9a39529b27f36'}
791280369970577408	2020-11-02T14:11:36.000Z	1323266511931383808	This movement is so beautiful to see, i really believe we pull off a win tomorrow! This President deserves 0 more years, he’s fought for us & its time we fight for him! Go out & Vote for Donald J. Trump! 🇺🇸	{'place_id': '011add077f4d2da3'}
1107808312517640193	2020-11-02T13:34:36.000Z	1323257203630002177	Im about to go to work. Got to take care of my little princess.	{'place_id': 'fa3435044b52ecc7'}
58021331	2020-11-02T12:41:51.000Z	1323243927743434757	So much for going to work early but at least i will be on time	{'place_id': 'e4faa50d904ab815'}
22611722	2020-11-02T11:28:53.000Z	1323225565051105281	The President thinks people who didn't go to college are going to vote for him. You (yes YOU) can prove him wrong. Some people succeed in USA without formal school but nobody does it solo. This man is not your ally. He's only in politics for him. Greedy. Smug. Racist. Tax cheater	{'place_id': '01a9a39529b27f36'}
