2021-08-30T23:56:10.000Z	1432492371275513859	Going out to dinner with my mother  and my aunts  &  they all help raise me ❤   @ Pies'n'Thighs 	{'coordinates': {'type': 'Point', 'coordinates': [-73.96135, 40.71122]}, 'place_id': '011add077f4d2da3'}
2021-08-30T23:36:46.000Z	1432487489852383234	 families:Back to school forum with the Chancellor for Queens will be 0/0. See below for more information. 	{'place_id': '00c39537733fa112'}
2021-08-30T23:20:42.000Z	1432483445981261826	 I currently go to school, and the amount of whining about masks when the school reintroduced masks was crazy.A number of students stopped wearing them in common areas of the dorm. 🙄	{'place_id': '01a9a39529b27f36'}
2021-08-30T23:07:45.000Z	1432480187367755776	Going out with a bang!!!!!Don’t let summer slip away without a fight. 😂❤️🐭 let’s go!  Photo credit to  @ Dj mouse 	{'coordinates': {'type': 'Point', 'coordinates': [-73.8260219, 40.5814265]}, 'place_id': '00c39537733fa112'}
2021-08-30T23:06:49.000Z	1432479951584997378	When you go to work with mommy and gets a  w/the best  ❤️ 	{'place_id': '011add077f4d2da3'}
2021-08-30T22:58:38.000Z	1432477894509481984	He woulda looked so stupid if that didn't go out 	{'place_id': '002e24c6736f069d'}
2021-08-30T22:51:12.000Z	1432476024055504913	The scammers didn’t wait to target our new staffer with fake emails (purportedly from me), asking her to go out and buy gift cards with her own money and send them to a random email address —on her first day!😡😡😡😡😡 	{'place_id': '01a9a39529b27f36'}
2021-08-30T22:47:46.000Z	1432475160012013568	Wanna go out the country …	{'place_id': '27485069891a7938'}
2021-08-30T22:23:39.000Z	1432469090241761280	i remember this one teacher told my friend she will never make it to college & told the whole class that she was on the verge of failing her class… like????	{'place_id': '011add077f4d2da3'}
2021-08-30T20:38:02.000Z	1432442509792366593	In honor of those heading back to school, I salute you!    	{'place_id': '00c39537733fa112'}
2021-08-30T20:34:31.000Z	1432441623942664195	 What happened to the back to school protocols you promised by last Friday?	{'place_id': '4384fa1ce06e19ed'}
2021-08-30T20:20:20.000Z	1432438053944102915	I am not being critical but Gallo & Rizzo need to hit, if this Balanced Left/right line up is going to work	{'place_id': '002e24c6736f069d'}
