2020-11-30T22:44:49.000Z	1333542527392231432	This how imma be the next time I take my girl on a date and the waiter is taking too long 	{'place_id': '1e11d8be00564690'}
2020-11-30T22:13:11.000Z	1333534566808756232	My new goal is to simply go to the gym. Not even trying to commit to how long or how many days a week. Just setting a goal each day to show tf up.	{'place_id': '011add077f4d2da3'}
2020-11-30T21:52:59.000Z	1333529485677891595	The more I think about how the   Republican Party has responded to the election results each day pisses me off more and more that people whom are ELECT TO PROTECT THE AMERICA PEOPLE OPENLY WITH HIS/HER OWN WORDS THAT THEIR RESPONSIBILITY IS TO THE PARTY RATHER THAN THE	{'place_id': '002e24c6736f069d'}
2020-11-30T21:11:45.000Z	1333519105765371905	I forgot a bandana to the gym. My crazy Tarzan hair is flooding around like a flaccid dick on a hanging roller coaster 🎢 🍆	{'place_id': '00c39537733fa112'}
2020-11-30T21:03:46.000Z	1333517096857313288	Christmas, New Years and a wedding it’s looking Like an expensive year to start!	{'place_id': 'e9143a85705b4d40'}
2020-11-30T21:03:12.000Z	1333516957900017670	 Yeah, they are called wedding receptions. Been to too many of them. 😂😂😂😂	{'place_id': '998b55c100b38d3e'}
2020-11-30T21:03:08.000Z	1333516938773983232	This man want me to come to his wedding but I can’t look good or wear blue nor yellow.	{'place_id': '00c39537733fa112'}
2020-11-30T20:58:37.000Z	1333515804223168522	A LOT. Booking a flight to see my dad. Also booking 0 vacations for the upcoming months. Going to tip top for a drink. Traning and rolling with my friends. 	{'place_id': '011add077f4d2da3'}
2020-11-30T20:55:24.000Z	1333514990947594240	Can’t wait to go to the gym . Need to get back to my regular routine !!	{'place_id': 'b87b05856ab8dbd8'}
2020-11-30T20:47:49.000Z	1333513085269798914	 Wife Shares Wedding Video, Shoots D.C. Police Detective Husband to Death: Cops	{'place_id': '01a9a39529b27f36'}
2020-11-30T20:37:06.000Z	1333510385752793093	 i feel validmy bowls and plates are the only safe ones i can eat out of/on so i don’t want everyone using them	{'place_id': '011add077f4d2da3'}
2020-11-30T20:33:54.000Z	1333509582107389952	From the nuptials of Alan and Virginia, 0/0/0, via Zoom + chocolate mousse wedding cake... We were in the lobby of their building @ Upper West Side 	{'coordinates': {'type': 'Point', 'coordinates': [-73.976178, 40.787181]}, 'place_id': '01a9a39529b27f36'}
2020-11-30T20:31:23.000Z	1333508949061021702	I need to go back to the gym this week	{'place_id': 'fa3435044b52ecc7'}
2020-11-30T20:29:46.000Z	1333508544176549892	On my return from Virginia and Alan's Monday afternoon  Zoom wedding on West 0 Street... We toasted with wine in the lobby of their building.. more photos soon 0/0/0 @ Upper West Side 	{'coordinates': {'type': 'Point', 'coordinates': [-73.976178, 40.787181]}, 'place_id': '01a9a39529b27f36'}
2020-11-30T20:28:44.000Z	1333508280975577088	"  Only time it comes up that I can remember is when she ""prepares"" lane for her wedding night by telling her she only slept with Mr Kim once. Some lamentable writing in the reboot. The musical?? If you haven't gotten there yet fast forward"	{'place_id': '01a9a39529b27f36'}
2020-11-30T20:00:49.000Z	1333501254853685249	When they say ‘free admission’ to a party during a pandemic 	{'place_id': '00c39537733fa112'}
2020-11-30T19:48:29.000Z	1333498154713493504	I’m going to be real honest with Brittany; you do not have to lose weight to go to a wedding. That’s not part of the invitation.	{'place_id': '7c09539af94ab80b'}
2020-11-30T19:40:11.000Z	1333496062959636484	I love going shopping & spending other people money	{'place_id': '1935ab8020a2553b'}
2020-11-30T19:12:08.000Z	1333489006068326401	 No its facts. Don't rant about the black woman  not being respected then go to a restaurant, disrespect the establishment, then go off about how you were dealt with. You wouldn't stand on shit at your mama's house. You wouldn't tolerate folks standing on your furniture. Miss me	{'place_id': '011add077f4d2da3'}
2020-11-30T19:03:36.000Z	1333486858152665094	 Me going to the gym is completely different than people not washing their hands...	{'place_id': '00c39537733fa112'}
