2021-02-08T21:25:31.000Z	1358889721980719111	Sliders anyway you like it...            Www.cateringbrooklynny 0-0-0 	{'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}, 'place_id': '011add077f4d2da3'}
2021-02-08T21:19:56.000Z	1358888319325790213	 I just got an urge for Verona Village Inn wedding soup	{'place_id': '011add077f4d2da3'}
2021-02-08T21:04:32.000Z	1358884443243622405	I’m not saying I’m not the romantic. I feel like the best date is going to a bar, have some drinks, eating some wings, if they have karaoke, sing. And the see where the night goes from them. Gotta get a reminder that sometimes simple is very effective 🤷🏽‍♂️.	{'place_id': '3d3c56338b6a3b4a'}
2021-02-08T19:23:37.000Z	1358859044774162440	 Clearly this is now a contest for second place. Italian Wedding Soup already won first place. This is the only possible reason for its omission	{'place_id': '01a9a39529b27f36'}
2021-02-08T18:32:27.000Z	1358846168265072644	My barber sick and I gotta to a wedding this weekend so I gotta try a new dude. I feel like a hoe.	{'place_id': 'b046074b1030a44d'}
2021-02-08T18:24:38.000Z	1358844200171810819	New on  as  late to the party but ready to mingle 👍🏻	{'place_id': '00c39537733fa112'}
2021-02-08T18:05:03.000Z	1358839274452451328	How do people be going to the gym and workout the same god damn body parts every day?!?🤣🤣🤣	{'place_id': '002e24c6736f069d'}
2021-02-08T17:37:14.000Z	1358832274343624705	I would pay $0 to never have a man praise me for “actually ordering real food” on a date in real life. 	{'place_id': '01a9a39529b27f36'}
2021-02-08T16:58:00.000Z	1358822398380957696	  The dreaded “wedding industry” 😂 Are they the new Tobacco Companies?Yeah those evil photographers, musicians and florists really selfish only willing to shut their livelihoods down for one year.	{'place_id': '01a9a39529b27f36'}
2021-02-08T16:50:02.000Z	1358820395734994944	Taking myself on a date Friday when indoor dining reopens.	{'place_id': '011add077f4d2da3'}
2021-02-08T15:54:52.000Z	1358806511661768705	It’s my bday week ❤️ Besides my love towards Audrey and this music genre (yeah uhm invite to a restaurant with this music, me in my long box braids and little black dress sheesh lol), there’s a note to all creatives there: you never know who’s consuming your art!! Ty  	{'place_id': 'b046074b1030a44d'}
2021-02-08T15:15:40.000Z	1358796646218428416	 Then all of sudden Nick and Pri were engaged. I was like WHAT? How did that happened? I was shocked. I need to know everything about their love story. I loved their wedding photos. I loved there first time going to the Met Gala together. I became fan of  💋 ❤ 	{'place_id': '00c55f041e27dc51'}
2021-02-08T15:01:55.000Z	1358793186626461701	So today I decided to go to the gym and deal with a mask. I normally do fasted hiit cardio, and when I say I have the worst migraine and feel like I’m gonna pass out I’m not being dramatic. It’s been a year of this shit they obviously don’t work can we stop now?	{'place_id': 'b87b05856ab8dbd8'}
2021-02-08T14:56:23.000Z	1358791792074907648	 I started following Priyanka when I saw her at Megan & Harry's wedding. I did not know her or her career. I loved her outfits she was wearing at the wedding. I Goggled her & I was shocked. I said to myself why did not follow her sooner. Everything she stands for I stand for too. 	{'place_id': '00c55f041e27dc51'}
2021-02-08T14:38:49.000Z	1358787373182631937	Wake up and go shopping then pull-up on them stripper over there by Lyons Ave..	{'place_id': 'fa3435044b52ecc7'}
2021-02-08T14:23:47.000Z	1358783589626822661	I literally wake up 0am get to the gym, do my cardio+workout, come home do some yoga, shower, then start work, then finish work, then grocery shop if I need to and if not cook dinner, watch some TV and do some fun stuff before bed at 0pm	{'place_id': 'b74cebcb62a1a686'}
2021-02-08T09:26:55.000Z	1358708882005180416	I just wanna go shopping!!!	{'place_id': '002e24c6736f069d'}
2021-02-08T06:01:48.000Z	1358657262202585089	Updated: Construction on  Both directions from Bedford - Nostrand Avs to Church Av 	{'coordinates': {'type': 'Point', 'coordinates': [-73.953522, 40.689627]}, 'place_id': '011add077f4d2da3'}
2021-02-08T06:01:48.000Z	1358657260604555264	Updated: Construction on  Both directions from Bedford - Nostrand Avs to Church Av 	{'coordinates': {'type': 'Point', 'coordinates': [-73.953522, 40.689627]}, 'place_id': '011add077f4d2da3'}
2021-02-08T05:58:40.000Z	1358656473446891523	Cleared: Construction on  Both directions from Bedford - Nostrand Avs to Church Av	{'coordinates': {'type': 'Point', 'coordinates': [-73.953522, 40.689627]}, 'place_id': '011add077f4d2da3'}
