2021-03-08T23:57:57.000Z	1369074942675976203	Lol my lil cousins really be coming over just to go shopping in my closet 😂😂😂😂	{'place_id': '7329ff8dbdf5bc00'}
2021-03-08T22:25:07.000Z	1369051583221293059	Some dude’s brought a copy of Paglia’s “Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson” to the gym.	{'place_id': '01a9a39529b27f36'}
2021-03-08T22:18:41.000Z	1369049963246870533	Moment 0 Life  will def be playing at my wedding yup yup	{'place_id': '011add077f4d2da3'}
2021-03-08T22:01:09.000Z	1369045551635959809	 Congratulations!! Lmk if you need someone to play at the wedding 😉😁	{'place_id': '71177291f1601de3'}
2021-03-08T21:45:23.000Z	1369041582574407681	I got class at 0. Think that’s enough time to go to the gym. Part of me says go and log on and turn the camera off.	{'place_id': '011add077f4d2da3'}
2021-03-08T21:43:17.000Z	1369041055690162179	If I’m not pulling up to my wedding in this chariot, I don’t want to have a wedding. 	{'place_id': '4bfbb13bd35cf5e0'}
2021-03-08T21:20:19.000Z	1369035273628188682	 You are just gonna act like you didn’t just post a tweet that said I’m going on a date with a boy and you deleted it😳😭😂	{'place_id': 'b2739f396d871412'}
2021-03-08T20:59:04.000Z	1369029924972019713	NYC is back baby!! Going to the movies! Licking all the seats!! Eating all the popcorns!!  	{'place_id': '01a9a39529b27f36'}
2021-03-08T20:54:47.000Z	1369028848877248512	"i confess that during every office ""virtual happy hour"" i have participated in over the past year i have been drinking water. i go to the gym after i finish working and u can't do that w alcohol in your stomach. also i enjoy drinking so i would never do it in front of my computer"	{'place_id': '01a9a39529b27f36'}
2021-03-08T18:46:23.000Z	1368996536835862530	if I’m vaccinated by June I’m gonna hug the shit out of everyone at my weddingexcept for the MAGA aunts cause they refuse to get tested or get a vaccine smdh 	{'place_id': '01a9a39529b27f36'}
2021-03-08T18:44:56.000Z	1368996172577259531	Is it crazy to start eating out again in restaurants after being fully vaccinated? It’s been over a year, y’all 😅	{'place_id': '01a9a39529b27f36'}
2021-03-08T17:29:12.000Z	1368977112519049219	 What do you mean!? But unlike marriages of the time The Bridgertons was a love match! The last girl was born after the father died or there’d prolly be more! The mom says , that they had a hard time waiting for the wedding! 😋	{'place_id': '01a9a39529b27f36'}
2021-03-08T17:18:46.000Z	1368974485660041221	Back to the gym I go .	{'place_id': '01a9a39529b27f36'}
2021-03-08T17:13:33.000Z	1368973173207617540	[VIDEO] New York City Returns to the Movies  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.98900189, 40.75157429]}}
2021-03-08T16:45:25.000Z	1368966095105884164	 I’m late to the party but:Absolutely Excellent!Beautifully writtenPerfect cast and Execution  Blessed Queen Performance  	{'place_id': '011add077f4d2da3'}
2021-03-08T16:04:29.000Z	1368955792607633414	Last time i went to the gym my mask was soaking with sweat LMAOO	{'place_id': '01a9a39529b27f36'}
2021-03-08T16:02:56.000Z	1368955401539059721	 Me too! It was my wedding song. Husband is gone now but i still got my song.	{'place_id': '00c39537733fa112'}
2021-03-08T15:41:31.000Z	1368950013330591749	I’m ready to go to the movies	{'place_id': '00c39537733fa112'}
2021-03-08T14:48:15.000Z	1368936609186525190	my mom gasped when lord mountbatten got assassinated in the crown AS IF she didn’t used to go to a bar in the 0s that actively sent money to the IRA... babe, you funded that!	{'place_id': '00c39537733fa112'}
2021-03-08T14:45:03.000Z	1368935802344968194	What's the soup??  lentil,chicken noodle, Italian wedding, tomato bisque 	{'place_id': '01a9a39529b27f36'}
2021-03-08T14:42:17.000Z	1368935105394315264	One tux, 0 amazing and special occasions!  Congrats  on the wedding,  and  on the engagement celebrations! 	{'place_id': '002e24c6736f069d'}
2021-03-08T13:48:17.000Z	1368921515362820097	 I’ve seen majority telling her she IS the asshole. And it’s mad tacky. Who wants to be eating fast food subs at a wedding? 🙄 Acting like she did her a favor, when it was the parents money anyways!	{'place_id': '011add077f4d2da3'}
2021-03-08T13:33:24.000Z	1368917770755334145	  Apparently the ILs paid for the wedding!!	{'place_id': '011add077f4d2da3'}
2021-03-08T13:31:05.000Z	1368917188594241541	So many people glorified that wedding and I had to sit in that office knowing people were going to be garbageeeeee. And now look 👀👀👀	{'place_id': '01a9a39529b27f36'}
2021-03-08T08:24:27.000Z	1368840022372257793	 Girl took me on a date and then I saw a video of him getting slapped with the dick nahhhhhhh fuck that 😩😒he had to go and he just commented on my Facebook post like nigga bye🤦🏽‍♀️	{'place_id': '011add077f4d2da3'}
2021-03-08T07:30:55.000Z	1368826548258799617	If Megan really had the 0 flowers stitched on her wedding dress, shitting on black women for not accepting her really isn't the hill to climb and die on at this point	{'place_id': 'edd2aa964fa61ec9'}
2021-03-08T06:14:26.000Z	1368807303059759104	Vex money is the term we use for money that can help you leave a situation whenever you feel the need to... Example: you go on a date and you’re not feeling the vibe, you can easily get up and leave via bus or car with your vex money	{'place_id': '011add077f4d2da3'}
2021-03-08T05:41:26.000Z	1368798994969821184	My mans wedding was beautiful about to get married within the next few weeks now	{'place_id': '011add077f4d2da3'}
2021-03-08T04:20:03.000Z	1368778517085880320	If you go to the gym and don’t squat you’re wasting your time. And I mean REALLY squat.	{'place_id': '00c55f041e27dc51'}
2021-03-08T03:31:52.000Z	1368766391621455877	The wedding was good, right? 	{'place_id': '01a9a39529b27f36'}
2021-03-08T03:28:35.000Z	1368765563946827776	What’s yah favorite Adam Sandler movies?Mine are: The waterboy, The wedding singer, 0 first dates & The longest yard	{'place_id': '002e24c6736f069d'}
2021-03-08T03:26:47.000Z	1368765109510696961	I want Kartel to sing Ever Blessed at my wedding	{'place_id': '0427846a106c0bd9'}
2021-03-08T03:19:19.000Z	1368763233725784068	Remembering the time that as a British schoolchild I received a gift for Charles and Diana’s wedding	{'place_id': '011add077f4d2da3'}
2021-03-08T03:12:56.000Z	1368761626791456770	 to watching coverage of the  wedding on my phone at an Irish bar (that is sadly no more) before they begrudgingly put it on the big screen for me. 	{'place_id': '011add077f4d2da3'}
2021-03-08T03:06:57.000Z	1368760119417311235	 Her father had a heart attack and she did not postpone the wedding to go and be with him?	{'place_id': '01a9a39529b27f36'}
2021-03-08T03:04:40.000Z	1368759545661652996	Late to the party but I finally started watching Grace and Frankie. My conservative Cajun grandmother that desperately wants to seem like a WASP would be real conflicted on how much Grace reminds me of her. Love you, MeMe...	{'place_id': '011add077f4d2da3'}
2021-03-08T03:03:53.000Z	1368759347472392194	It's tawdry and sad. Remember how great and inclusive Meghan and Harry's wedding was?	{'place_id': '01a9a39529b27f36'}
2021-03-08T02:43:09.000Z	1368754128357326849	Going to the movies period! LOL😂	{'place_id': '01a9a39529b27f36'}
2021-03-08T02:34:59.000Z	1368752072909336585	Can someone remind me why Meghan’s dad was not invited to the wedding? 	{'place_id': '01a9a39529b27f36'}
2021-03-08T02:29:42.000Z	1368750744850038785	  ...also many of the stations exits skirt the Chaos above ground; you can go directly to the mall, directly to the Barclays center etc. Doesn’t justify the terrible street design, but the station does as well as it can.	{'place_id': '011add077f4d2da3'}
2021-03-08T01:49:23.000Z	1368740600284147713	 There’s been a cottage industry of tabloid stories about Meghan making Kate cry over the bridesmaid dress Charlotte was going to wear—but Meghan said Kate actually made her cry 	{'place_id': '01a9a39529b27f36'}
2021-03-08T01:35:34.000Z	1368737122656653313	 I once went to a wedding in Denver and rode the train round trip from Harrford, CT	{'place_id': '011add077f4d2da3'}
2021-03-08T01:18:49.000Z	1368732906584178703	Nobody gets to make you cry at or about your wedding. Booooooooooo. 	{'place_id': '011add077f4d2da3'}
