2021-03-15T23:43:54.000Z	1371608125191639040	Wedding venue capacity increases in NY starting today  	{'place_id': 'cbafaaf6455dea32'}
2021-03-15T23:19:55.000Z	1371602087902023680	 Thinking of eating out?	{'place_id': 'b87b05856ab8dbd8'}
2021-03-15T23:06:18.000Z	1371598662191697920	I know I’m late to the party and all but Kacey Musgraves is so fucking good😭😭🥺🥺	{'place_id': '01a9a39529b27f36'}
2021-03-15T22:56:22.000Z	1371596161581264897	Proud of myself for getting to the gym today	{'place_id': '01a9a39529b27f36'}
2021-03-15T22:41:00.000Z	1371592294705594369	don't! go! shopping! if! you! have! a! close! covid! contact!how hard is it to order online and get it delivered????	{'place_id': 'd005216d96068a62'}
2021-03-15T22:10:48.000Z	1371584692030439429	I’m gone just go to the gym chile 😤	{'place_id': '01a9a39529b27f36'}
2021-03-15T21:54:22.000Z	1371580556887134213	"And so it begins:The mainstreaming of reporting your parents to authorities for ""treatment"" if they refuse accepting liberal order & narrative.Next, parents will be charged with child abuse for taking kids to church.We truly are in the last days."	{'place_id': 'a227c629b631eea2'}
2021-03-15T21:19:04.000Z	1371571676857651203	Telling my parents that I don’t want a big wedding 😭😭	{'place_id': '011add077f4d2da3'}
2021-03-15T20:51:16.000Z	1371564680481738760	Dear Rabbi Taub,My wife always tells me not to take neggel vasser cup as a wedding keepsake. Can you please explain to her that it's normal. I've been doing it for years!- Chevremon 	{'place_id': '011add077f4d2da3'}
2021-03-15T20:20:56.000Z	1371557044642271234	Did NeNe not go to Cynthia’s wedding?	{'place_id': '002e24c6736f069d'}
2021-03-15T20:17:13.000Z	1371556107777421315	.  welcome to the party. 🎉GIVE MY GUY A FOLLOW FOR GREAT CONTENT 🎥 	{'place_id': 'c5e2e95296cb121d'}
2021-03-15T20:03:08.000Z	1371552566912323587	  Yeah but he did it in public at a wedding with a whole crowd around all drinking and celebrating 🥳 How dare he 😂😂😂😂	{'place_id': '011add077f4d2da3'}
2021-03-15T19:49:00.000Z	1371549009618288644	Tuesday, March 0: The Behavioral Economics NYC Meetup presents Positive money – applying psychology to individual finances with Kim Stephenson        	{'place_id': '01a9a39529b27f36'}
2021-03-15T19:30:13.000Z	1371544282318917635	“How come you stopped going to church, George?”How much time do you have? 	{'place_id': '01a9a39529b27f36'}
2021-03-15T18:55:51.000Z	1371535632355430413	The time I went on a date with a guy I really liked and went on a full 0 min tangent about how god doesn’t exist and religion is a cancer on the world and then he was like “I’m an ordained minister” 	{'place_id': '011add077f4d2da3'}
2021-03-15T18:03:41.000Z	1371522506708897793	Hey  the only  we need we got at our big  🌈  surrounded by ❤️    and  in a  🇵🇭 That was the best blessing of all.  💍💍  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.98566, 40.73852]}}
2021-03-15T17:48:35.000Z	1371518705784475654	 the problem is that she didn',t play the game of the royal family and they got rid of her. They basically threw her to the dogs and told her to get lost. The scary part is that they also  threw prince harry away too	{'place_id': '011add077f4d2da3'}
2021-03-15T17:37:16.000Z	1371515856300179456	my mom is on a date at the Met Museum with her handyman and I guess I should stop calling him her handyman cause they been goin on since Christmas 🥴🥴🥴	{'place_id': '011add077f4d2da3'}
2021-03-15T17:04:25.000Z	1371507588324593665	One of my friends need to talk me on a date. .. don’t all speak at once LOL	{'place_id': '011add077f4d2da3'}
2021-03-15T16:57:06.000Z	1371505750577713156	idk about anyone else but I’m so ready to be able to go to a concert	{'place_id': 'bceb8153865c4a49'}
2021-03-15T15:12:00.000Z	1371479301045026819	New Blog Post: When you love your dogs like family, how could they not be a part of your special day?🦴🐾🐶         	{'place_id': '27485069891a7938'}
2021-03-15T15:10:37.000Z	1371478952670343172	“Wanna go to target?” - me asking you on a date..	{'place_id': '01a9a39529b27f36'}
2021-03-15T14:49:19.000Z	1371473590609186817	    We gotta get a  meetup w  as our special guest! He’ll fit right in w the jersey! ❤️	{'place_id': '01a9a39529b27f36'}
2021-03-15T14:34:25.000Z	1371469841564119042	Cynthia wanted this wedding so bad that she really thought this was necessary	{'place_id': '01a9a39529b27f36'}
2021-03-15T14:25:34.000Z	1371467612799000580	just started last night’s RHOA and... ok Cynthia i get why you ordered food but... Papa John’s for a wedding rehearsal dinner?! EL COLMO	{'place_id': '002e24c6736f069d'}
2021-03-15T13:39:10.000Z	1371455938910126082	  Yeah but let’s crucify Governor Cuomo who Saved 0s of lives because he touched a woman’s face at a wedding in full view of everyone 😩😩😩😩😩😩😩😩😩😩	{'place_id': '011add077f4d2da3'}
2021-03-15T12:40:54.000Z	1371441274507694082	Why have a party on a Sunday when there’s work on Monday 😫😫😫😫😫😫😫😫😫😫?	{'place_id': '011add077f4d2da3'}
2021-03-15T06:04:46.000Z	1371341585678528513	 A wedding dress	{'place_id': '01a9a39529b27f36'}
2021-03-15T05:24:51.000Z	1371331536956518403	I wanna go on a date soon I forgot what that feels like / don’t really know what’s it’s like	{'place_id': '00c39537733fa112'}
2021-03-15T04:59:28.000Z	1371325150206029824	Still Not Over This 🤯 The Way That Porsha Had Slayed This Look At Cynthia’s Wedding Is Definitely An Top Tier Moment Of The Season 🖤  	{'place_id': '23a06e5cc6d83009'}
2021-03-15T04:49:17.000Z	1371322589684064257	The couples on  live in two bedroom apartments with three kids, no kitchen island, and one bathroom but are like.... the wedding tho 👀	{'place_id': '01a9a39529b27f36'}
2021-03-15T04:42:14.000Z	1371320814075846656	Cynthia and this wedding ... SMH 	{'place_id': '00c39537733fa112'}
2021-03-15T03:44:36.000Z	1371306308528390145	Of course Electric Circus era Common went on a date with Lynn. 	{'place_id': '01a9a39529b27f36'}
2021-03-15T02:17:20.000Z	1371284346749980672	Bruh I tried cracking an egg with my bicep challenge that shit went nowhere lmao. Back to the gym I go	{'place_id': '00c39537733fa112'}
2021-03-15T02:09:05.000Z	1371282272930914306	This was the best  yet!! So many different and complex suspects! I can’t believe I got at least one suspect! But it wasn’t easy! Can’t wait until the next one! And especially the Wedding! 	{'place_id': '002e24c6736f069d'}
2021-03-15T02:01:47.000Z	1371280436413005825	 I believe that AP actually was a wedding singer before he was discovered 	{'place_id': '011add077f4d2da3'}
2021-03-15T01:45:16.000Z	1371276278314188803	The thot dress with the tights in case you need to go to church. I see the vision.	{'place_id': '01a9a39529b27f36'}
2021-03-15T01:38:37.000Z	1371274602811437057	Oooohhhh nooooo!! Poor Natalie! ☹️ I think she had a feeling deep down that the wedding wasn’t going to go on... what bride asks her groom the night before “is it going to happen?” And he REALLY never answered... 🤔 💔  	{'place_id': '00c39537733fa112'}
2021-03-15T01:25:31.000Z	1371271306705051652	Every year I say the same thing.  Bruno Mars would be best wedding band ever	{'place_id': '01a9a39529b27f36'}
2021-03-15T01:12:32.000Z	1371268041334489094	 you lock Florida down your going to ruin my sisters wedding !. You need to go now !.	{'place_id': '7c09539af94ab80b'}
2021-03-15T01:11:16.000Z	1371267721334251525	 you lock Florida down your gonna ruin my sisters wedding you need to go biden !. I didn't know that you were gonna sell Americans out	{'place_id': '7c09539af94ab80b'}
