2021-05-31T23:52:28.000Z	1399514143858872325	Of COURSEEEE my mom brought home this wedding table center piece literally how could she not 	{'place_id': '42333d5a509e9bc3'}
2021-05-31T22:45:18.000Z	1399497241094676482	I swear to god every memorial day I take preworkout and try to go to the gym and they’re CLOSED	{'place_id': '01a9a39529b27f36'}
2021-05-31T22:39:52.000Z	1399495872854073347	 is forcing me go to a bar with her just like she did when she came to london 😟 ONE nigerian asks if i’m available and i’m getting on the first train home	{'place_id': '002e24c6736f069d'}
2021-05-31T22:38:57.000Z	1399495644621029379	I wanna get dressed up in heels and go on a date 😍	{'place_id': '002e24c6736f069d'}
2021-05-31T21:36:54.000Z	1399480027578785792	  Y’all need to play at THE WEDDING	{'place_id': 'cbafaaf6455dea32'}
2021-05-31T18:55:38.000Z	1399439442885046272	Go to church 	{'place_id': '01a9a39529b27f36'}
2021-05-31T18:54:25.000Z	1399439137925648385	I got home at 0am, woke up at 0pm, and finally having coffee on my way to the gym at 0pm. Don’t text, don’t call	{'place_id': '01a9a39529b27f36'}
2021-05-31T18:19:53.000Z	1399430447961186307	Me in front of the 0” of cabinetry we made and mounted into steel studded masonry. 💪🏻💪🏻I hurt my neck doing that and mounting a tv so we have to go shopping for handles instead of building more today. 	{'place_id': '01a9a39529b27f36'}
2021-05-31T18:14:26.000Z	1399429076285198341	ok don’t hate me, but B/W & B0/W0 are some of my least favorite mainline games. They almost made me quit playing altogether back in the day. I was sexually assaulted during a meetup, but that’s another story…I know lots of ppl like gen 0, but they bring up bad memories for me. 	{'place_id': '01a9a39529b27f36'}
2021-05-31T18:12:55.000Z	1399428695891267587	 My fav was at a wedding when this girl called me her spirit animal. Me. An animal.	{'place_id': '011add077f4d2da3'}
2021-05-31T17:48:34.000Z	1399422565710503942	This time tomorrow we will be in Utah to kick off our wedding week! 👰🏼🤵🏻❤️	{'place_id': '01a9a39529b27f36'}
2021-05-31T17:45:43.000Z	1399421849583378437	 Everyone to the movies than $AMC	{'place_id': '011add077f4d2da3'}
2021-05-31T17:38:48.000Z	1399420107135270914	Niggas will be like “you don’t even like me” when you ask them for just sex and nothing else meanwhile they never even took you on a date. I thought that was the type we was on big dog	{'place_id': '7356b662670b2c31'}
2021-05-31T17:11:13.000Z	1399413166132576257	 Lol I just seen them wedding shows they be big in that shit lol. But yeah most people I know paid their own weddings	{'place_id': 'fa3435044b52ecc7'}
2021-05-31T16:57:13.000Z	1399409643651276801	Should’ve gotten up early, so that I could’ve made it to the gym.	{'place_id': '01a9a39529b27f36'}
2021-05-31T16:38:18.000Z	1399404881337851908	So glad I went with this dress 👗👠✨No amount of rain was able to stop us from a beautiful celebration.     @ Hempstead House 	{'place_id': '1f28a7801b4bfca3', 'coordinates': {'type': 'Point', 'coordinates': [-73.69638889, 40.85944444]}}
2021-05-31T15:40:02.000Z	1399390220882268162	Word to I wanna have a wedding like jim and Pam via the office if you know you know	{'place_id': '002e24c6736f069d'}
2021-05-31T15:27:25.000Z	1399387046041591809	 Isnt that a tradition though? The father of the bride funds the wedding?	{'place_id': 'fa3435044b52ecc7'}
2021-05-31T15:01:13.000Z	1399380449709993985	 Normal presidents don't go to biker rallies. He went to church and his veterans sons grave .  Saying you're a slime bag is being kind.	{'place_id': '876ed0bcf9594134'}
2021-05-31T14:52:20.000Z	1399378216125710342	Cruella Was a Dope ass flick. I’ve been twice already. Might hit repeat again today. Disney Plus which I love wants 0.0$ for me to view on a subscription I already pay for. I’m super Good. Dobby Walks Humbly to the movies.	{'place_id': '00c39537733fa112'}
2021-05-31T14:43:26.000Z	1399375975700434954	Bro just go to the gym 	{'place_id': '00c39537733fa112'}
2021-05-31T14:25:51.000Z	1399371553025015810	Going on a date with myself today I’m so excited!! &lt;0	{'place_id': '00c39537733fa112'}
2021-05-31T14:21:50.000Z	1399370541656592388	One of my favorite scenes we filmed was Papi & Angel’s Wedding! If you watched this weeks episode you saw how beautiful was this moment.      	{'place_id': '002e24c6736f069d'}
2021-05-31T13:12:57.000Z	1399353206052896778	The way  had me bawling last night is not ok😭💍 wedding feverrrrrr	{'place_id': '858cec499f8adba6'}
2021-05-31T12:34:46.000Z	1399343597896585218	My Original  Wedding Photo  From 0 much luv of livingFrom Hope  fear set free,We thx w brief thanxgivinWhatever Gods maybe no man lives forever The dead men rise up neverThat even weariest river Winds somewhere safe 0 seas Swinburn	{'place_id': '01a9a39529b27f36'}
2021-05-31T12:34:33.000Z	1399343539549528068	Had an amazing wedding week last week. Celebrating my friends Jody and David’s nuptials! @ La Pulperia Hell's Kitchen 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.95241, 40.77665]}}
2021-05-31T12:20:16.000Z	1399339945958035458	Next time some Catholic priest says  can’t marry ask why Boris Johnson who doesn’t even acknowledge how many kids he has warranted a cathedral for wedding   	{'place_id': '01a9a39529b27f36'}
2021-05-31T10:56:43.000Z	1399318921019277314	There's a line to the gym but I thought we were at full capacity? 	{'place_id': '01a9a39529b27f36'}
2021-05-31T10:20:24.000Z	1399309782490681345	Thinking of my Dad today on this  as I often do, his Naval service to his country enabled him to then get an education and provide for his family. 0 days ago would have been his 0th wedding anniversary. Mom and I miss you Dad, and your only grandchild is doing great. 	{'place_id': '01a9a39529b27f36'}
