32661259	2021-09-06T23:44:59.000Z	1435026273718480898	Seas the moment 🛥🥂Congrats Eric and Hillary on a buoy-tiful wedding      @ Brooklyn Bridge 	{'place_id': '94965b2c45386f87', 'coordinates': {'type': 'Point', 'coordinates': [-73.9967072, 40.7059675]}}
278685001	2021-09-06T21:56:51.000Z	1434999060868616193	 so you’re gonna dj our wedding?	{'place_id': '01a9a39529b27f36'}
2313564932	2021-09-06T21:38:54.000Z	1434994544400076802	Took myself on a date to the Buffalo Wild Wings at JFK airport ❤️ 	{'place_id': '00c39537733fa112'}
90769327	2021-09-06T21:22:20.000Z	1434990372170706946	i always heard white too, and i def just wore red to my friends wedding 😅 	{'place_id': '011add077f4d2da3'}
1251987348	2021-09-06T20:36:09.000Z	1434978749301338114	Ah...the  Mets lost....welcome to the party pal!!!	{'place_id': '44453d2ae8e47fd5'}
4875430433	2021-09-06T20:05:56.000Z	1434971145686724614	Early Pre-K Dual Language class meetup on this  Happy to meet some of Genevieve's classmates & their parents prior to school's start date. We're excited to begin the year        	{'place_id': '00c39537733fa112'}
273242765	2021-09-06T19:52:42.000Z	1434967817007288324	I’ll go shopping for real life shit to organize my life and be like “ok first I need to see what action figures they have”	{'place_id': '011add077f4d2da3'}
1320551055843799040	2021-09-06T19:35:06.000Z	1434963388204036100	Protesters against the mandatory shot gather at Battery Park in NYC and have a party and sing and party !   	{'place_id': '01a9a39529b27f36'}
161383275	2021-09-06T18:40:27.000Z	1434949632266850308	Cont-  your sales associate said that there was no proof that they were Tiffany’s since they’ve been restrung so many times. This is a piece of family history & it’s been worn in every family wedding. I hope that was just 0 negative associate & you could help	{'place_id': '01a9a39529b27f36'}
1328513843371368450	2021-09-06T18:32:45.000Z	1434947696574484480	 I stayed in touch w the principal over the years, he actually came to my wedding, 0 years later.. my father told me he had arrived but the bad news was he wanted his desk back. had a good sense of humor. Still does. It has stayed with me forever. an embarrassing but great memory	{'place_id': '00c39537733fa112'}
384929695	2021-09-06T18:18:13.000Z	1434944039510499328	Ladies and GentlemenPolls are UpLet me take you to Church	{'place_id': '01a9a39529b27f36'}
29826189	2021-09-06T18:16:25.000Z	1434943586391445506	My wedding theme 	{'place_id': '011add077f4d2da3'}
29826189	2021-09-06T17:30:59.000Z	1434932152924262409	Ready to chase this paper. My wedding countdown is so near..	{'place_id': '011add077f4d2da3'}
937879054623084545	2021-09-06T17:02:42.000Z	1434925035903389699	Aii, lemme go to the gym	{'place_id': '01a9a39529b27f36'}
51595502	2021-09-06T16:43:35.000Z	1434920224378298377	Hit her then she going shopping	{'place_id': 'b87b05856ab8dbd8'}
282741717	2021-09-06T16:41:51.000Z	1434919786908114954	 Take a man on a date month	{'place_id': '7329ff8dbdf5bc00'}
1349590064	2021-09-06T16:33:58.000Z	1434917803631517696	Perks about my job? Hand delivering suits to guys for their wedding day and hanging with the bride	{'place_id': '01a9a39529b27f36'}
353856970	2021-09-06T16:30:02.000Z	1434916815428276231	Wedding cake tasting. So much sigar but sooo good. The cake will be delicious.  	{'place_id': '0f6d9c748d8af8b4'}
1136021292321316864	2021-09-06T15:56:35.000Z	1434908393660092424	I took my little brother to the mall for some one on one time and decided to get him right with a Sox hat, now he don’t know how to act 😂😪 	{'place_id': 'b046074b1030a44d'}
394946692	2021-09-06T15:49:18.000Z	1434906561357492227	  I'm late to the party but happy belated bday H. 🎉✨	{'place_id': '858cec499f8adba6'}
66232333	2021-09-06T15:42:22.000Z	1434904819546742785	Breakfast for champions then off to the gym 	{'place_id': '011add077f4d2da3'}
211409886	2021-09-06T15:34:33.000Z	1434902852879585280	  at Saturday's Colombian-Mexican-American  of Vincent & Carolina.     @ MyMoon Restaurant & Event Venue 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95517, 40.7189]}}
211409886	2021-09-06T15:29:10.000Z	1434901497125523458	  at Saturday's Colombian-Mexican-American  of Vincent & Carolina.     @ MyMoon Restaurant & Event Venue 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95517, 40.7189]}}
211409886	2021-09-06T15:22:14.000Z	1434899752915668997	  at Saturday's Colombian-Mexican-American  of Vincent & Carolina.     @ MyMoon Restaurant & Event Venue 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95517, 40.7189]}}
211409886	2021-09-06T15:18:18.000Z	1434898762728710144	 at Saturday's Colombian-Mexican-American  of Vincent & Carolina.     @ MyMoon Restaurant & Event Venue 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95517, 40.7189]}}
225705413	2021-09-06T15:04:58.000Z	1434895406706667528	Thinking about the time I watched My big Fat Greek Wedding and put Windex all over my acne	{'place_id': '00c39537733fa112'}
428624416	2021-09-06T14:18:32.000Z	1434883720868204544	can someone please get married and invite me to the wedding. i want to party.	{'place_id': '011add077f4d2da3'}
357705745	2021-09-06T14:08:55.000Z	1434881300251521029	Let me go to the gym so I don’t feel bad for eating pizza	{'place_id': '01a9a39529b27f36'}
407169841	2021-09-06T13:37:52.000Z	1434873484765642753	Beautiful wedding cake we made  @ Above Staten Island 	{'place_id': '00c55f041e27dc51', 'coordinates': {'type': 'Point', 'coordinates': [-74.1770438, 40.6152369]}}
20617829	2021-09-06T13:22:06.000Z	1434869516874371084	Someone went all out for their wedding.          @ St. Mark's Church in-the-Bowery 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.98693833, 40.73017779]}}
24992782	2021-09-06T12:48:58.000Z	1434861182217768967	Macy will be the flower kitty at our wedding 	{'place_id': '01a9a39529b27f36'}
339666877	2021-09-06T12:40:41.000Z	1434859096205926404	Woke up and came to church 	{'place_id': '011add077f4d2da3'}
34762979	2021-09-06T12:35:31.000Z	1434857797376741377	 I don’t even look at wedding dresses like that. But this 👏🏾👏🏾🔥🔥	{'place_id': '27485069891a7938'}
1434809513794752518	2021-09-06T10:31:30.000Z	1434826587862708225	It’s still wedding season‼️‼️ 	{'place_id': '011add077f4d2da3'}
740565867365339136	2021-09-06T10:03:48.000Z	1434819613590704133	  Dress. She wore it to a party. There’s a pic somewhere. But was surprised to hear it is still around and was curious about the “paper” description. Might have been Tyvek? Looks like it was commercially available 0 so it’s possible.	{'place_id': '3be6e3e32603c621'}
1244355075386064898	2021-09-06T08:05:59.000Z	1434789966974967811	omg imagine marrying somebody corny & they don’t sing along to real love at your wedding i would die	{'place_id': '002e24c6736f069d'}
717000529688281088	2021-09-06T06:47:43.000Z	1434770268031946754	BUY NOW           	{'place_id': '00c39537733fa112'}
1090359742516596736	2021-09-06T06:18:37.000Z	1434762946253631491	Congrats to  &  on their six year wedding anniversary I wish you all the best and I'm hoping that we forgave each other one day	{'place_id': '00c39537733fa112'}
1405269667510358020	2021-09-06T04:59:03.000Z	1434742922335956994	 I hope so...I can go to the gym for my body I can't make my dick grow. Damn little dick tops get no love 🤣😆😆😆🤣	{'place_id': 'fa3435044b52ecc7'}
1244355075386064898	2021-09-06T04:53:35.000Z	1434741547157893122	 love on top definitely getting played at the wedding	{'place_id': '002e24c6736f069d'}
964722526084653057	2021-09-06T04:22:18.000Z	1434733673560125440	When you feel like going to a bar but all ur friends are asleep 🙃	{'place_id': '01a9a39529b27f36'}
1066789424648921090	2021-09-06T04:07:18.000Z	1434729899462434820	  NYC is full on vaxcity, you can’t go to the gym, can’t dine inside, go to bars etc..	{'place_id': '00c39537733fa112'}
418301296	2021-09-06T03:53:46.000Z	1434726492383203328	Is it Jewish wedding season ?	{'place_id': '00c39537733fa112'}
3602747957	2021-09-06T03:21:53.000Z	1434718470059565065	A beautiful wedding, a stunning bride, a handsome groom and my girls. Last night was beautiful. We love you and wish you a lifetime of happiness, Gina & John! @ Middletown, New Jersey 	{'place_id': '0102611f55c5f14b', 'coordinates': {'type': 'Point', 'coordinates': [-74.1172, 40.394]}}
1398815098723082240	2021-09-06T02:56:34.000Z	1434712099767336966	You never realize how inappropriate you dance until you’re at wedding	{'place_id': '011add077f4d2da3'}
4617829947	2021-09-06T02:10:57.000Z	1434700617566588941	Wedding Party Goals 	{'place_id': '01a9a39529b27f36'}
36690784	2021-09-06T02:01:34.000Z	1434698257876271110	Italian wedding soup implies the existence of Italian divorce soup	{'place_id': '01a9a39529b27f36'}
14731601	2021-09-06T01:30:45.000Z	1434690500787949571	So quick Q to everyone: Have you ever gotten patted down when you've gone to a bar?If so, what kind of place was it?	{'place_id': '7356b662670b2c31'}
30209049	2021-09-06T01:26:04.000Z	1434689322658193408	Going to see if i have a stress fracture in my foot tomorrow and if “three marathon and a wedding” season just all felt apart in front of me	{'place_id': '00c39537733fa112'}
