2021-07-12T23:54:44.000Z	1414735007659159565	Hello NYC 🗽      en Eataly NYC Flatiron 	{'coordinates': {'type': 'Point', 'coordinates': [-73.98958921, 40.74219559]}, 'place_id': '01a9a39529b27f36'}
2021-07-12T23:39:49.000Z	1414731251915833344	Visit to my family complete, I return home to prepare our return to the BioCAT beamline  T-minus 0 days!  	{'place_id': '07d9c92f74885000'}
2021-07-12T23:04:34.000Z	1414722380434481156	  Quite literally: the lines didn't connect. The competing systems created a bunch of lines with no actual transit hubs, so it was difficult to use it for a lot of travel unless it all fell along a specific line.	{'place_id': '011add077f4d2da3'}
2021-07-12T22:48:06.000Z	1414718238148157443	not me knowing to ask my friend if his ass was sore after his visit to ATL lol	{'place_id': '011add077f4d2da3'}
2021-07-12T22:13:09.000Z	1414709441648279556	A severe thunderstorm warning has been issued for  For outages, visit  	{'place_id': '14f1788d10aaf5bc'}
2021-07-12T22:12:41.000Z	1414709325537415173	Art installation visit today. @ Absurd Conclave 	{'coordinates': {'type': 'Point', 'coordinates': [-73.92489, 40.70555]}, 'place_id': '011add077f4d2da3'}
2021-07-12T22:01:02.000Z	1414706393601527816	PLEASE END THE TRAVEL BAN. 	{'place_id': '01a9a39529b27f36'}
2021-07-12T21:48:11.000Z	1414703158501253128	It's not too late  to take an little trip to space🚀👩‍🚀🛰️!        	{'place_id': '27485069891a7938'}
2021-07-12T21:09:48.000Z	1414693498171895810	 so my favorite world travel. You nailed it with the advice for Paris. What advice do you have for a trip to Italy. We’re flying into Rome. That’s all that’s booked (but it’s the whole family this time around).	{'place_id': '01a9a39529b27f36'}
2021-07-12T21:08:48.000Z	1414693246152986627	 Your city has a higher crime rate than NYC.  I guess I should be nervous to visit and stay at a hotel.	{'place_id': '01a9a39529b27f36'}
2021-07-12T20:32:52.000Z	1414684204579921930	Hi  Flying LGA-ORD & my carry-on backpack was flagged and searched because I had $0,0 in cash. The agents said they had to verify the amount because you can't travel domestically with more than $0,0 in cash. Is that accurate?PS - You must be busy @ LAS!	{'place_id': '07d9e390b5c82002'}
2021-07-12T20:31:26.000Z	1414683842770841600	 i took a walk to visit her (her family is traveling) and she dropped these gems and told me to get em	{'place_id': '011add077f4d2da3'}
2021-07-12T20:20:05.000Z	1414680987414507533	Summer travel is crazy with delays all over. Pack some extra patience in your carry on. We appreciate you, Jackie at the  JFK Just Ask desk!	{'place_id': '00c39537733fa112'}
2021-07-12T19:37:37.000Z	1414670301036752911	 Ahhhh!!!! I want to visit !	{'place_id': '01a9a39529b27f36'}
2021-07-12T19:35:12.000Z	1414669692330037250	I wanna travel the world, so I could see something new and different things I haven’t see “ but that’s coming real soon I’m just being patient 😌	{'place_id': '002e24c6736f069d'}
2021-07-12T19:15:58.000Z	1414664850786160656	Domestic air travel in 🇺🇸 on a legacy carrier is just awful. No other way to say it.	{'place_id': '00c39537733fa112'}
2021-07-12T19:02:51.000Z	1414661549181087744	 Would happily visit it again!	{'place_id': '01a9a39529b27f36'}
2021-07-12T18:36:17.000Z	1414654865796747264	Finally got to visit the  Firehouse.I was so sweaty and exhausted by the time we reached it, but it was worth it. 🤩🤩 	{'place_id': '07d9d7e416486002'}
2021-07-12T18:31:46.000Z	1414653727466795008	Loved my first outdoor dining experience and visit to Sanctuary on  Now I hope they add some of those birds I spied to the menu! 🐦          	{'place_id': '01a9a39529b27f36'}
2021-07-12T18:26:35.000Z	1414652421876326400	I don’t travel much but I sure do take trips 	{'place_id': '011add077f4d2da3'}
2021-07-12T18:08:45.000Z	1414647934633791489	“space tourism” = spending $0m to sit in a plane for a total of 0 minutes of space travelyou rich people are so bored and stupid: pay your taxes	{'place_id': '00c39537733fa112'}
2021-07-12T18:06:39.000Z	1414647408227667974	     I agree but only for family travel and business/medical reasons.	{'place_id': '364a45c10832ed51'}
2021-07-12T18:03:53.000Z	1414646711499296771	  He doesn’t have to travel weekly to CT and only has to travel to NFL game site on Friday then home late Sunday	{'place_id': '0a0a7f97d9e6791d'}
2021-07-12T17:50:15.000Z	1414643278427869186	Our laurels for the Zoom Shorts episode “Long Distance Runaround” from the Tagore International Film Festival! Best Web and New Media, Best Short Film, Best Travel Film, Best Romantic Short, Best Actor (Ken Holmes), and Best Actress (Karima El Badaoui)! 	{'place_id': '011add077f4d2da3'}
2021-07-12T17:46:38.000Z	1414642368951820288	Need car insurance or rental insurance? Contact Travel insurance. They have the best rates by far!!	{'place_id': '002e24c6736f069d'}
2021-07-12T17:35:42.000Z	1414639619178696710	Had a great visit to  Loved the campus. Thank you   	{'place_id': '01a9a39529b27f36'}
2021-07-12T17:33:27.000Z	1414639050946924550	I need both with & without children travel experiences. I’d love to hire a nanny while I’m traveling so I can have some solo days but I only trust my mom so there goes that 🙂	{'place_id': '00c55f041e27dc51'}
2021-07-12T17:31:30.000Z	1414638559705931788	When your barber been in DR for the last 0 weeks. So you gotta travel to the BX to get one 😩	{'place_id': '002e24c6736f069d'}
