2021-09-13T23:26:07.000Z	1437558239651143686	Times Square 🗽…       en Times Square 	{'coordinates': {'type': 'Point', 'coordinates': [-73.98529571, 40.75766195]}, 'place_id': '01a9a39529b27f36'}
2021-09-13T23:14:27.000Z	1437555304103829512	This is my reason to travel, what is yours? 	{'place_id': '07d9daff91482002'}
2021-09-13T23:10:47.000Z	1437554380589436933	Related to travel, our trip last month to London was 0% run on Apple Pay, seamless local travel/transit is so so much easier, no Oyster cards to fill, no zones to remember, actually use buses without worry, etc. Real seamless travel is so so close…	{'place_id': '00c39537733fa112'}
2021-09-13T23:02:02.000Z	1437552180442148866	This won’t happen in America without a civil war, much like mandatory vaccine passports didn’t happen nationwide, but should happen. Dr Fauci supports vaccinated-only air passengers. 	{'place_id': '00c39537733fa112'}
2021-09-13T22:55:57.000Z	1437550648699015170	Thank you   for choosing to visit  for  We really enjoyed our time and conversations with you about social and emotional learning and can’t wait for you to visit again soon!   	{'place_id': '00c55f041e27dc51'}
2021-09-13T22:45:18.000Z	1437547967850897410	FedEx Ground is now hiring essential workers here in Carteret! They pay up to $0/hour. To apply, please visit  or text FXGflyer to 0 and receive a text/email interview.	{'place_id': '71177291f1601de3'}
2021-09-13T22:26:16.000Z	1437543176823361541	when was the last time, if ever, that your elected officials took advantage of their right to visit rikers?this is a simple way electeds can wield power and expose the violence of the carceral state—if they’re willing to 	{'place_id': '00c39537733fa112'}
2021-09-13T22:21:49.000Z	1437542057409667074	Oh also I remember a particularly awful visit to the parking lot of SEA WORLD 	{'place_id': '011add077f4d2da3'}
2021-09-13T22:14:26.000Z	1437540201635663874	We were blessed to visit  and see my mother in law.  Unfortunately,  maintains the policy preventing fully vaccinated  EU residents from visiting the US although people can visit from other countries w higher infection & lower immunization rates  	{'place_id': 'b046074b1030a44d'}
2021-09-13T21:54:29.000Z	1437535180055584771	    do you want me (0) nude too? only if you come visit me in nyc tho	{'place_id': '01a9a39529b27f36'}
2021-09-13T21:50:18.000Z	1437534128463822850	 Travel safe!!	{'place_id': 'fa9e955670752b3c'}
2021-09-13T21:32:20.000Z	1437529606370832386	JC is excited to welcome NJ RELAY & CAP TEL -ACCESSIBLE TELECOMMUNICATIONS ( to the Women's Lifestyle Expo 0 - JC event on January 0, 0!  More details visit:     	{'place_id': 'bceb8153865c4a49'}
2021-09-13T21:17:55.000Z	1437525977245048837	Ending our Bronx tour in District 0 at   Amazing to visit Principal Arbolino and administration team!     	{'place_id': '002e24c6736f069d'}
2021-09-13T21:07:18.000Z	1437523304559136773	It’s Grow Time    Great to visit with Principal Gardner! Homecoming 0!  	{'place_id': '002e24c6736f069d'}
2021-09-13T21:05:03.000Z	1437522738437054464	  If flu cases are down I would presume it’s because this year more people are wearing masks, working from home, social distancing, staying off public trans, washing and sterilizing their hands more frequently, eschewing travel…	{'place_id': '011add077f4d2da3'}
2021-09-13T20:59:18.000Z	1437521289816821760	I travel more in one month than the average person does all year	{'place_id': '00c39537733fa112'}
2021-09-13T20:57:45.000Z	1437520901793357829	 I didn’t live in a sports stadium to do it… but I did travel really far	{'place_id': '71177291f1601de3'}
2021-09-13T20:53:19.000Z	1437519785651326976	travel plans this weekNYC &gt; MIA &gt; DEN &gt; MIA	{'place_id': '00c39537733fa112'}
2021-09-13T20:51:00.000Z	1437519204568141833	Cruising on the  ferry. It was my 0st time!⛴                    	{'place_id': '01a9a39529b27f36'}
2021-09-13T20:42:26.000Z	1437517046628200453	  I haven’t been to Romania yet! Maybe I’ll visit soon!	{'place_id': '011add077f4d2da3'}
2021-09-13T20:24:48.000Z	1437512611202015234	Great to visit  PS 0 with Principal Perez and administrative team! Homecoming 0!   	{'place_id': '002e24c6736f069d'}
2021-09-13T20:16:08.000Z	1437510428205228040	I appreciate everything that  is doing … now just imagine as mayor  	{'place_id': '00c39537733fa112'}
2021-09-13T20:12:28.000Z	1437509506796343308	Go  — FYI the Jedi have paid more towards the  than any other blogger, newscaster or journalist in Las Vegas. The Jedi live in hotels.   	{'place_id': '01a9a39529b27f36'}
2021-09-13T20:01:48.000Z	1437506823599366150	So happy to announce the Zoom Shorts episode “The Voice Over Artist” is in the competition for Film of the Month on  Please visit and vote for it by clicking the like button under the video. Thank you!  	{'place_id': '011add077f4d2da3'}
2021-09-13T20:01:03.000Z	1437506631194009604	 Woof…sorry to see that.Hope the medical portion of the visit went smoothly enough, anyway.	{'place_id': '01a9a39529b27f36'}
2021-09-13T19:59:11.000Z	1437506160995840002	We will absolutely go here when we can travel. Dan Creek keeps hearing the same question from the first-time patrons with odd accents who drop by The Prince’s Head in southwest London: Is this the Ted Lasso pub?  via 	{'place_id': '00c55f041e27dc51'}
2021-09-13T19:52:16.000Z	1437504423752781826	So excited to lead the growth of  🖤upcoming travel plans: ✈️ 0/0-0/0 Little Rock, AR ✈️ 0/0-0/0 Cleveland, OH✈️ 0/0-0/0 MIA/West Palm, FLLMK if you’re around / send recommendations!	{'place_id': '01a9a39529b27f36'}
2021-09-13T19:01:41.000Z	1437491691322318848	 No I've just had to travel for the past few days and chose trains as the way to go lol	{'place_id': '01a9a39529b27f36'}
2021-09-13T18:45:50.000Z	1437487703520579584	A FREE annual membership for all New Yorkers at  facilities. Join by Dec 0. Don’t miss this incredible opportunity. Visit NYC PARK & REC website for membership information.      	{'place_id': '01a9a39529b27f36'}
2021-09-13T18:41:55.000Z	1437486716814831617	My wife's friends came a visit us, aren't they nice? 	{'place_id': 'bda900177f5d9f42'}
2021-09-13T18:17:38.000Z	1437480608817614853	Help support Da Peoples Assembly NY by donating or RTing … we need $0 to fund an action to stop Sb0. Funding would cover our travel & housing expenses for us to attend the peaceful protest w/  &  on 0/0 in Austin Tx 	{'place_id': '002e24c6736f069d'}
2021-09-13T18:04:39.000Z	1437477340536311815	These buttery Palmiers with cinnamon got us wishing that we were in Paris right now.Where would you like to go once it feels safe to travel again? 📸:  	{'place_id': '01a9a39529b27f36'}
2021-09-13T18:02:14.000Z	1437476732412567558	 Ima come find you when I visit	{'place_id': '01a9a39529b27f36'}
2021-09-13T17:41:07.000Z	1437471416736178178	Well, NYC you have been amazing. I can’t believe it took me so long to visit.This will mostly likely end up being my final trip while living in the US and it’s certainly lived up to the hype! 	{'place_id': '01a9a39529b27f36'}
2021-09-13T17:17:11.000Z	1437465396500643842	Was in this part of town and decided to visit my old stomping grounds. The Open never looked better. 	{'place_id': '07d9de4611885001'}
2021-09-13T17:15:12.000Z	1437464894853591045	Yeah a lot of anti-vaxxers travel internationally too...this is why I tell y'all Twitter is not real life😕 	{'place_id': '011add077f4d2da3'}
2021-09-13T17:03:20.000Z	1437461910698532866	   Unfortunately many of our parents live in Florida, and even though we hate it there, we still love them and want to see them. 0 was the first time in 0 years that I didn’t go visit for the week between Christmas/New Year.	{'place_id': '01a9a39529b27f36'}
2021-09-13T16:56:20.000Z	1437460145781592071	He needs to visit Club Heezey!! Cc:  	{'place_id': '01a9a39529b27f36'}
2021-09-13T16:28:36.000Z	1437453167265034244	Great to visit  and Principal Coviello at PS 0! Homecoming in the Bronx! Welcome back to school! 	{'place_id': '002e24c6736f069d'}
2021-09-13T16:27:56.000Z	1437452998813364225	There are some roads men  just don't travel.. 🤪 	{'place_id': '96ddfc4bf2f1a80c'}
2021-09-13T16:16:55.000Z	1437450225904459781	 You can come visit when I move :)	{'place_id': '011add077f4d2da3'}
2021-09-13T16:15:00.000Z	1437449745425997835	Vaccine clinic Thursday, 0/0, from 0 - 0:0 p.m. has been moved back to the Rec. Ctr. on Koelle Blvd. Visit   	{'place_id': 'c5e2e95296cb121d'}
2021-09-13T15:34:36.000Z	1437439577808121868	President Trump, fly to California today for    	{'place_id': '00c55f041e27dc51'}
2021-09-13T15:30:04.000Z	1437438436516974594	Just a quick lil visit to NYC while visiting fam in CT. ❤ @ New York City, N.Y. 	{'coordinates': {'type': 'Point', 'coordinates': [-74.00589108, 40.71270142]}, 'place_id': '01a9a39529b27f36'}
2021-09-13T15:30:01.000Z	1437438424282243074	I am available now in Manhattan, New York, United States! To get in touch, visit me on  	{'place_id': '01a9a39529b27f36'}
2021-09-13T15:13:15.000Z	1437434205668003847	Luxury transportation between   and  0ur knowledgeable team of professionals can coordinate your travel itinerary effortlessly and for your convenience we except advance payment over  ☎️ 0•0•0•0 MGMT  	{'place_id': '0fcb8f9086955000'}
2021-09-13T15:10:16.000Z	1437433454073892868	Also, I bought a drone for my last 0 weeks in Cali & my cross country road trip back home. More excited to travel than ever now haha.	{'place_id': '011add077f4d2da3'}
2021-09-13T15:06:42.000Z	1437432555851091974	 Hey guys, how are you? I live in Hell's Kitchen and usually looking for hot fuck , groups. regular playmates would be cool. I can host on 0/0 or travel.  Where are you located? 😜	{'place_id': '01a9a39529b27f36'}
2021-09-13T14:59:22.000Z	1437430713637289984	 Go visit bring treats show the elder lots of love groom fix blanket make her happy❤️	{'place_id': '998b55c100b38d3e'}
