1087266986	2020-06-15T23:03:44.000Z	1272666128125497346	Unexpected drive to college station 😔	{'place_id': '54614bf2dabf5a43'}
3488537661	2020-06-15T23:00:19.000Z	1272665267437477889	i can’t go out sad on the internet bout a nigga ! especially one that’s gone come through regardless	{'place_id': '1c69a67ad480e1b1'}
4076031373	2020-06-15T22:32:02.000Z	1272658150701895681	hey guys I was at the hospital today and doctors were saying that two Houston hospitals are full due to corona and eventually there will be no space for regular patients that it’s getting really bad and people shouldn’t be going out regularly y’all stay safe !! it’s not done yet	{'place_id': 'eabe7b6fd4504fff'}
577405694	2020-06-15T22:24:53.000Z	1272656352343662593	  me when we go out	{'place_id': '1c69a67ad480e1b1'}
24433488	2020-06-15T21:48:23.000Z	1272647167069556737	   I am going to work my butt off to get both TX senators outta here. Embarrassing relics.	{'place_id': 'cf3b45e29c2c319b'}
417482666	2020-06-15T21:48:19.000Z	1272647146572038146	When we were on lockdown I didn’t know anybody who had it. Now I personally know 0 people who have it & 0 of those 0 know they got it from being out on Washington. These bars are infested with corona & aren’t shutting down. Stop going out	{'place_id': '1c69a67ad480e1b1'}
298234839	2020-06-15T21:26:24.000Z	1272641634929381377	Idk who needs to hear this but please stop going out like it’s not a pandemic. I know like four ppl with corona now. Personally! Shit is real.	{'place_id': '1c69a67ad480e1b1'}
586836514	2020-06-15T21:16:54.000Z	1272639242775101440	Sale is still going on! Orders are going out! Shop  for $0 0d mink lashes! @ Houston, Texas 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}}
77569012	2020-06-15T20:59:43.000Z	1272634916401012736	just waking up again. lira better not ask me to go out no more 😭	{'place_id': '1c69a67ad480e1b1'}
109773873	2020-06-15T19:39:40.000Z	1272614771821629441	Y’all wanted to go out sooo bad... now look at you, caught the sickness. This isn’t saying I don’t have sympathy and hope y’all feel better but you did this to yourself. The virus didn’t disappear overnight. Lesson learned, the hard way and hopefully doesn’t cost you ur lives.	{'place_id': '1c69a67ad480e1b1'}
344850624	2020-06-15T19:19:10.000Z	1272609614136303619	Chemistry is simply a connection going out to eat it’s cool it’s fun ..but you don’t know if a person really got your back how their temperament is ..their triggers none of that from eating popcorn with a bih at the movie plus ppl ain’t really then until you at least 0 months in 	{'place_id': '1c69a67ad480e1b1'}
876119032126111746	2020-06-15T19:12:42.000Z	1272607986876178432	ain’t even read the tweet i just seen the picture im over here thinking “i could never go out like that “ shid I’ll feel naked asf 	{'place_id': '70651817971f9cb8'}
