1155677277478359041	2020-10-06T23:23:10.000Z	1313620847232520193	Having a blast on our first day back to school 😀  	{'place_id': '0fc34d5c5994f000'}
985592925538009088	2020-10-06T20:08:00.000Z	1313571730716327937	I love going out with my daddy, we have the best time💗💗	{'place_id': '7543692056063d2f'}
90481482	2020-10-06T19:31:22.000Z	1313562513808723968	 No i hardly ever. I don’t usually go out alone either and I did this Saturday too it was just a me day I guess :)	{'place_id': '1c69a67ad480e1b1'}
2172226273	2020-10-06T19:23:44.000Z	1313560593002094592	I’m such of going to work 🙄	{'place_id': '1c69a67ad480e1b1'}
847072507312132097	2020-10-06T18:29:28.000Z	1313546933865271297	What a sweet return to school for the 0th graders. Learning all about the Lunar phases.    	{'place_id': '1c69a67ad480e1b1'}
90481482	2020-10-06T18:22:06.000Z	1313545083246055424	  No sir as long as am paying the bills he had a curfew now he literally does what he wants he is 0 goes to college, had his own car and works  😤 I had to teach him discipline!	{'place_id': '1c69a67ad480e1b1'}
1120372524271927296	2020-10-06T18:12:57.000Z	1313542776953475072	"""I GOT IN MR BRUCE, I'M GOING TO COLLEGE""... Those were his words when he dropped by on a day that he wasn't scheduled for my class. First generation to attend college in his family.  Super proud of him.   "	{'place_id': '07d9dc81a5483000'}
3168935522	2020-10-06T16:45:33.000Z	1313520782325231623	I wonder if  would rather be in his science lab mixing up samples or analyzing data, but because America politicized a pandemic now he has to be a thought leader saying statements like this when he did NOT go to school for this or get degree in inspirational speeches 	{'place_id': '1c69a67ad480e1b1'}
798152570120323072	2020-10-06T16:24:49.000Z	1313515567492542465	I really want the hoodie... but i live in Texas and that ain’t going to work 	{'place_id': '6dd590c61801b09c'}
2722569080	2020-10-06T14:53:45.000Z	1313492648989274113	YOU STILL NEED TO GO OUT AND VOTE!!! Polls don’t elect the president. 	{'place_id': '1c69a67ad480e1b1'}
775039420441370624	2020-10-06T14:05:55.000Z	1313480609231241219	 Jerk. We don’t have enough staff shrinks to go out on every violence call. Unrealistic to say the least.	{'place_id': 'bcb210d6cf34438a'}
81367147	2020-10-06T13:25:55.000Z	1313470543434313742	I’m so glad I’ve made that transition in my life where drinking is not a priority or neither is going out !!	{'place_id': '1c69a67ad480e1b1'}
