1282016987355414534	2021-08-23T23:56:01.000Z	1429955620170616840	Back to school with the bestie! Yay! First day down! 💜     	{'place_id': '7a41192a2879ee24'}
1563558158	2021-08-23T23:46:30.000Z	1429953225914994688	The other back-to-school shot.  a child who hasn’t gone to sleep earlier than midnight in two straight months knocked out cold by 0. Sweet sweet silence, they’re all down 	{'place_id': '1c69a67ad480e1b1'}
1046019801968234496	2021-08-23T22:19:05.000Z	1429931225007992842	Back to school cookies for my awesome teachers!  🍪🍪🍪 	{'place_id': '1c69a67ad480e1b1'}
3044989142	2021-08-23T21:16:04.000Z	1429915366126403585	My kiddos had a great first day back to school! Thank you    for providing a safe return to  	{'place_id': '1c69a67ad480e1b1'}
1363544111177822208	2021-08-23T20:53:28.000Z	1429909676645363717	 Go to school bey	{'place_id': '1c69a67ad480e1b1'}
788550433396535296	2021-08-23T20:00:26.000Z	1429896330487476231	my little sister went to college today. isn’t that crazy?	{'place_id': 'bc39561011b12bc6'}
922498905027334144	2021-08-23T19:42:32.000Z	1429891827138809864	After sitting on the computer for 0 hours doing school work…I wanna go out:(	{'place_id': '1eac21aedfcc3668'}
18499012	2021-08-23T19:40:31.000Z	1429891319690891264	Watching little kids go back to school this morning put me into a bit of a funk, missing all those first days of school when our girls were young. Then our Chicago daughter surprised us with this! Yes, I’m crying big, happy mama tears.  	{'place_id': '1c69a67ad480e1b1'}
182193032	2021-08-23T19:26:46.000Z	1429887858693844999	Umm idk about y’all but I’m about tired is spending $0 every time I just want to go out in  by myself at that 😂😂😂😂😂😂😂n chill on sum chill shiiii	{'place_id': '1c69a67ad480e1b1'}
257711307	2021-08-23T19:17:17.000Z	1429885472780820487	My feathers were ruffled yesterday when I first hand experienced a white women tell me that she didn’t go to school for architecture but she is working at a firm doing XYZ NO DEGREE!!!!	{'place_id': '1c69a67ad480e1b1'}
722612099906539520	2021-08-23T18:30:35.000Z	1429873721003626498	i can’t wait to go back to school 🥲	{'place_id': '1c69a67ad480e1b1'}
3289028582	2021-08-23T17:50:23.000Z	1429863604367642634	I actually missed physically going to school 🥺	{'place_id': '1c69a67ad480e1b1'}
19139878	2021-08-23T17:34:22.000Z	1429859575595950088	 My kids were masked up going to school, Told them even if their friends aren't wearing one to keep it on. My brother in-law (vacinated) got a postive a couple of weeks ago and got extremely ill because they were at a party without masks on and some showed up knowing they had it.	{'place_id': '1c69a67ad480e1b1'}
715011572188336128	2021-08-23T17:25:51.000Z	1429857429412581385	I didn’t end up going to college but I am so proud of my close friends who are working their butts off !!🥲	{'place_id': '54614bf2dabf5a43'}
15986973	2021-08-23T16:50:22.000Z	1429848500188106755	New York City, The Country's Largest School System, Mandates Teacher Vaccinations 	{'place_id': '1c69a67ad480e1b1'}
33707806	2021-08-23T15:14:39.000Z	1429824412182777858	loving all the back to school pics 😭	{'place_id': '1c69a67ad480e1b1'}
236633830	2021-08-23T14:47:56.000Z	1429817688235417603	Well mfs it’s back to school	{'place_id': '1c69a67ad480e1b1'}
