2289149383	2021-11-15T21:59:57.000Z	1460366990548389891	Nigga really get up and go to work everyday son.. shit weak asf	{'place_id': '343ecdd7da8dfae0'}
309404684	2021-11-15T21:34:22.000Z	1460360551981363200	Rip Danny 😢😢😢 smh My heart is going out to ya brothers 	{'place_id': '1c69a67ad480e1b1'}
1296542549956530176	2021-11-15T21:06:19.000Z	1460353492288262155	I went out last night and realized why I don’t go out anymore 😭	{'place_id': '1c69a67ad480e1b1'}
41299006	2021-11-15T19:41:14.000Z	1460332081096056837	Wow. These ignorant, dumb bitches are hellbent on future generations to be completely ignorant of American History. Another attempt of intimidation against educators and an example of those that did not go to college. The GQP continues to devolve into the Taliban. 	{'place_id': 'bcb210d6cf34438a'}
3269523823	2021-11-15T19:31:50.000Z	1460329717580857344	This week start Generation Texase in my school district. Showing the students they can go to college if they want to. Today I had to show my college colors.    	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
53856473	2021-11-15T19:21:57.000Z	1460327227103408131	i could never stress or go out sad about no hoe	{'place_id': '1c69a67ad480e1b1'}
916657151103455232	2021-11-15T17:16:45.000Z	1460295722746716171	DaBaby going out sad for that lol	{'place_id': '7543692056063d2f'}
1335817709225914369	2021-11-15T15:58:37.000Z	1460276056569614336	Nah bro going out sad rn idk the context but he running to his phone making both them look bad 🤦🏾‍♂️ 	{'place_id': '1c69a67ad480e1b1'}
24795233	2021-11-15T15:43:43.000Z	1460272309705527297	 Go to work	{'place_id': '2614e03cea364877'}
1341539599005454349	2021-11-15T15:37:30.000Z	1460270744508813321	Nah she needs to be accountable fasho 💀 she’s going out sad 	{'place_id': '1c69a67ad480e1b1'}
1248428091870978048	2021-11-15T15:21:38.000Z	1460266752168841223	Dani going out so sad smh	{'place_id': '1c69a67ad480e1b1'}
2190281814	2021-11-15T13:55:04.000Z	1460244964538040326	My daughters was so mad i had to drive them to school this morning lol they love taking the bus	{'place_id': '1c69a67ad480e1b1'}
969336637095325696	2021-11-15T13:28:37.000Z	1460238310228598786	November Farm to School:Kale🥬 	{'place_id': '1c69a67ad480e1b1'}
1287821415685685248	2021-11-15T13:01:39.000Z	1460231522020167683	I’m really going to  and y’all still got shit to say smh be a adult and say it to my face or fuck off 	{'place_id': '7543692056063d2f'}
27591089	2021-11-15T12:34:45.000Z	1460224754116345860	Do I really want to go to work?	{'place_id': '1c69a67ad480e1b1'}
127630012	2021-11-15T09:08:02.000Z	1460172731123736580	Hey everyone Go out and watch the new   Co written by the Incredible  who also Co-wrote  Keep an eye out for him, everything he writes is hilarious.Big shout out from  & my  to the Cast, Crew & Producers 	{'place_id': '1c69a67ad480e1b1'}
396080624	2021-11-15T06:43:41.000Z	1460136403086495744	I'm raising money for Leveling up goals. Click to Donate:      Family and friends I'm leveling up and pushing all my talents to its max I'm a single mother of three who works and go to school just ask for more support I thank u	{'place_id': '1c69a67ad480e1b1'}
181866650	2021-11-15T06:07:32.000Z	1460127305506996226	Going Out Sad Records .	{'place_id': '1c69a67ad480e1b1'}
21836962	2021-11-15T05:33:06.000Z	1460118643023532032	Wish-takers remain at home and continue to wish. Risk-takers go to work to excel.- paraphrase from 	{'place_id': '1c69a67ad480e1b1'}
