74866680	2020-02-24T23:26:50.000Z	1232084501314052096	      The two maps have different meetup spots.	{'place_id': '610a668f55d64af2'}
52843570	2020-02-24T23:23:19.000Z	1232083617020510209	   Who tf invited this asshole to the party	{'place_id': '1c69a67ad480e1b1'}
846100668	2020-02-24T23:14:40.000Z	1232081436842299392	I’m taking myself on a date this weekend 🤷🏽‍♀️	{'place_id': '1c69a67ad480e1b1'}
4551461822	2020-02-24T22:32:56.000Z	1232070934724587520	    What people do on their free time atheist or otherwise is none of my business. I know Christians who don’t don’t go to church. If you got a point make it.	{'place_id': 'cf3b45e29c2c319b'}
1076418317831847936	2020-02-24T21:09:26.000Z	1232049921311879169	When you get invited to go Mexican homie wedding 	{'place_id': '1c69a67ad480e1b1'}
1017119921740877824	2020-02-24T21:01:47.000Z	1232047997330087941	BABY WELCOME TO THE PARTY	{'place_id': '1c69a67ad480e1b1'}
50549993	2020-02-24T20:58:58.000Z	1232047288102608899	 Yes lol as if my wedding ring, last name and his initial tattooed on my finger wasn’t enough 😂	{'place_id': '1c69a67ad480e1b1'}
390122616	2020-02-24T20:58:25.000Z	1232047151783579648	Might go to the movies by myself today	{'place_id': '1c69a67ad480e1b1'}
994160815	2020-02-24T20:55:14.000Z	1232046348956045317	When are we going to the gym 	{'place_id': '1c69a67ad480e1b1'}
2996175338	2020-02-24T20:40:06.000Z	1232042541685624833	i want wedding pictures on the beach	{'place_id': '1c69a67ad480e1b1'}
1099055082	2020-02-24T19:54:21.000Z	1232031027129774080	Is it really worth it going to the gym at 0am to start off the day before work?	{'place_id': '1c69a67ad480e1b1'}
25522599	2020-02-24T18:59:57.000Z	1232017336615473153	“I won’t get to tell my baby girl how beautiful she looks on her wedding day” A wreck. 😭	{'place_id': '1c69a67ad480e1b1'}
930025537	2020-02-24T18:57:12.000Z	1232016645759086593	“I won’t be able to tell her how gorgeous she looks on her wedding day...” I’m balling, just balling	{'place_id': '1c69a67ad480e1b1'}
122500969	2020-02-24T18:47:57.000Z	1232014318193061893	 Get lil bro to take you to the gym with him	{'place_id': '1c69a67ad480e1b1'}
3196489111	2020-02-24T18:38:58.000Z	1232012056972361735	Tender moments ..                	{'place_id': '1c69a67ad480e1b1'}
1151166460389134336	2020-02-24T18:27:49.000Z	1232009248520966145	Recently Engaged? Let  Help Plan Your Dream Wedding! 💗💐 Call to Schedule a Consultation or Come by and See Us Today! 0.0.0  @ Spring, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.387, 30.0541]}, 'place_id': '343ecdd7da8dfae0'}
1935084824	2020-02-24T18:25:46.000Z	1232008735033307137	If you can’t afford to go eat out, then don’t. Stay at home and cook something you already have there. This man sitting here at the TACO STAND arguing that tacos are $0.0 and not just $0.0.... and he only ordered 0... like come on bro. Go home lol	{'place_id': '1c69a67ad480e1b1'}
1032808548886085632	2020-02-24T18:24:39.000Z	1232008453419339779	Y’all I’m going shopping for new skin care products and I’m so excitedddd	{'place_id': '1c69a67ad480e1b1'}
15448461	2020-02-24T18:15:43.000Z	1232006205184315393	 If you’re scared. Go to church!	{'place_id': '1c69a67ad480e1b1'}
862398235	2020-02-24T18:03:33.000Z	1232003142201565186	I have to go shopping for outfits for the rodeo 😥	{'place_id': '1c69a67ad480e1b1'}
329992956	2020-02-24T17:35:02.000Z	1231995965399339011	I really need to go shopping . I spent like $0 the other day on some lounge stuff and a few shirts . I need more outfits and jeans / shoes ☹️ I just need a free band or 0 😕	{'place_id': '1c69a67ad480e1b1'}
12991842	2020-02-24T16:48:33.000Z	1231984269565812739	This truly is Peak Guardian - although I thought you weren’t really supposed to call gay men “effervescent” these days...  	{'place_id': '1c69a67ad480e1b1'}
119100938	2020-02-24T16:45:08.000Z	1231983408726839299	My favorite detail from last nights’ wedding at  It was a pleasure to serve y’all! @ Rainbow Lodge 	{'coordinates': {'type': 'Point', 'coordinates': [-95.42962, 29.80451]}, 'place_id': '1c69a67ad480e1b1'}
36024495	2020-02-24T16:45:02.000Z	1231983385628889088	to go to the gym or not... question existing...	{'place_id': '1c69a67ad480e1b1'}
1645504488	2020-02-24T16:41:57.000Z	1231982607610662912	Results of listening to church music driving in the rain 😩🤦🏾‍♂️ 😂I accidentally cried! I felt the every word of this damn song 😩 use me God use me God! Remember You just have to let go and live through whatever you going through everybody struggle and nobody is perfect! 	{'place_id': '1c69a67ad480e1b1'}
384227397	2020-02-24T16:20:45.000Z	1231977272669802496	Such a perfect ending for this wedding from past Saturday! ✨ 	{'place_id': 'a4df4270b86f43b3'}
711428426	2020-02-24T15:30:35.000Z	1231964647152144390	I just wanna go to the gym already man	{'place_id': '3e82edc94d5c5ce1'}
1188547514	2020-02-24T14:58:58.000Z	1231956692423905280	Went to Zales yesterday to shop for wedding bands and to consider possibly getting my ring resized. Y’all, I’ve lost so much weight since I got engaged. I went down a whole ring size!	{'place_id': '798522f39f66d411'}
378651921	2020-02-24T14:44:42.000Z	1231953099268468736	It was an amazing wedding reception in Houston, Texas.🥳🥳So glad to be here and to be majorly involved!!🔥🔥God Is Doing A Great Work!!  	{'place_id': '10c27a30c2d79000'}
730746097	2020-02-24T14:30:29.000Z	1231949523863457792	sometimes I wish I already had a wedding ring on my finger so guys would just leave me alone , sorry I’m just trying to get some breakfast not a date	{'place_id': '1c69a67ad480e1b1'}
35222762	2020-02-24T13:18:43.000Z	1231931460891893760	Waking up to practice flower arrangements for my daughter's wedding all over my table on my wedding anniversary has me in my feels this morning. 😭🥰	{'place_id': '1c69a67ad480e1b1'}
3171525198	2020-02-24T11:53:45.000Z	1231910079269670912	I'm not going shopping	{'place_id': '1c69a67ad480e1b1'}
248064029	2020-02-24T11:20:07.000Z	1231901614442676225	Wedding entrance song ✅🤫	{'place_id': '7a41192a2879ee24'}
731865039242559489	2020-02-24T07:23:08.000Z	1231841978297573378	When you and the homies pull up to the party and see it’s lame 	{'place_id': '1c69a67ad480e1b1'}
314155038	2020-02-24T07:01:28.000Z	1231836524699934722	I need a woman i can constantly eat out 	{'place_id': '343ecdd7da8dfae0'}
2167953740	2020-02-24T06:44:26.000Z	1231832238767136769	I think I found the most perfect wedding ring 	{'place_id': '35e409cdfaf2527a'}
164421881	2020-02-24T05:41:32.000Z	1231816410126528512	Sunday checklist ✅-Wake up early -Set weekly goals for the company-Go to church -Take a walk in the park - Listen to audible for 0 hour Like Confucius said“Success depends upon previous preparation, and without such preparation there is sure to be failure” 	{'place_id': '1c69a67ad480e1b1'}
26623611	2020-02-24T05:33:25.000Z	1231814364455489537	Ice cream and year-old wedding cake to celebrate our first anniversary. ❤️❤️	{'place_id': '1c69a67ad480e1b1'}
174931129	2020-02-24T04:25:34.000Z	1231797289783570432	When u married to the gym nothing else matters ‼️🏋🏾☺️ 	{'place_id': '1c69a67ad480e1b1'}
2204316505	2020-02-24T04:07:57.000Z	1231792859403227137	Going to the gym tomorrow morning cause this week was annoying and I didn’t go at all 😒	{'place_id': '1c69a67ad480e1b1'}
157751178	2020-02-24T04:01:34.000Z	1231791251172794374	came to the gym and my AirPods are dead 	{'place_id': '1c69a67ad480e1b1'}
4657070228	2020-02-24T03:25:22.000Z	1231782139856904193	I can’t wait to start going to the gym	{'place_id': '1c69a67ad480e1b1'}
79860545	2020-02-24T02:26:46.000Z	1231767394277842944	Check Instagram.. it’s a   dancing at a wedding to  and 🧠😳 	{'place_id': '068b4c1c10716fd5'}
3754374436	2020-02-24T02:02:40.000Z	1231761327447793668	My dumbass would make jinx sing at his own wedding with his whole family assuming like he would sing some dumb metal song but bitch fuck you hes singing hallelujah.	{'place_id': '1c69a67ad480e1b1'}
3299632856	2020-02-24T01:42:13.000Z	1231756182332825601	This how we coming at my wedding. Nothing less will be accepted 	{'place_id': '1c69a67ad480e1b1'}
47710654	2020-02-24T01:36:52.000Z	1231754835520839680	 Lol. But anyways, did you even have a party in elementary school without Big Red?	{'place_id': '1c69a67ad480e1b1'}
952032685018505216	2020-02-24T01:18:06.000Z	1231750113971843073	  I don’t eat out much here but I will say I am thicker lol. I just work out more than I did in Chicago	{'place_id': '1c69a67ad480e1b1'}
1609618068	2020-02-24T00:54:35.000Z	1231744196538662913	Should’ve worn my crocs to church 	{'place_id': '3e82edc94d5c5ce1'}
712735973910585344	2020-02-24T00:41:42.000Z	1231740952299163654	if u go to a concert w me & see me disappear just kno im at the front already 💀	{'place_id': '1c69a67ad480e1b1'}
