706712534124900352	2020-07-27T23:52:47.000Z	1287898761130315778	Where should I go shopping for a birthday outfit	{'place_id': '00a488ec567255f3'}
1833469099	2020-07-27T21:11:28.000Z	1287858163182718976	Don’t understand ppl who eat out everyday I ate out all weekend & I look like I’m 0 months pregnant 😩😩 my poor stomach 💔	{'place_id': '1c69a67ad480e1b1'}
1151166460389134336	2020-07-27T20:19:21.000Z	1287845051645779969	Scheduling or Rescheduling Your Wedding? Let Us Help Make Your Special Day All You’ve Ever Dreamed of! Call Today at 0.0.0 @ Spring, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.387, 30.0541]}, 'place_id': '343ecdd7da8dfae0'}
602052570	2020-07-27T20:11:32.000Z	1287843082516475907	Look I get it. Everyone wants to get out of their houses. Don’t come to the mall with a shitty attitude because you gotta wear a mask. Or the fact that you have to wait to get inside the store	{'place_id': '1c69a67ad480e1b1'}
363497113	2020-07-27T20:02:00.000Z	1287840681998856200	This was on Saturday. Saturday y’all. I know people who went to a wedding 0 weeks ago or so and EVERYONE there got sick with COVID. Every. Single. Person. Sigh 🤦🏻‍♀️ 	{'place_id': '1c69a67ad480e1b1'}
4717995806	2020-07-27T19:50:24.000Z	1287837763883212802	    I agree. That wedding was hell or they prolly eloped.	{'place_id': '1c69a67ad480e1b1'}
1229429437495742465	2020-07-27T19:40:49.000Z	1287835351478939649	I’ll sing at my own wedding tbh 	{'place_id': '1c69a67ad480e1b1'}
839544505669943296	2020-07-27T19:08:01.000Z	1287827096568582149	I deadass get my gym bag ready like I’m gonna go to the gym but in reality I’m only going to my garage to workout LMAOOO just so it feels a little better 😔	{'place_id': '1c69a67ad480e1b1'}
715287251115085824	2020-07-27T18:38:27.000Z	1287819655634137089	Wedding cake og never again.	{'place_id': '1c69a67ad480e1b1'}
1152457022	2020-07-27T17:15:15.000Z	1287798718218096640	I want to walk around in my wedding dress again	{'place_id': '1c69a67ad480e1b1'}
44482012	2020-07-27T17:14:46.000Z	1287798598818770946	 June is it for me! CJ’s 0st birthday & my wedding🙌🏾	{'place_id': '1c69a67ad480e1b1'}
