700474423	2020-08-31T23:20:32.000Z	1300574222641704964	 lol go to the gym, that’ll wake u up 😂	{'place_id': 'c81acc12d1ef4c58'}
1631248904	2020-08-31T23:08:31.000Z	1300571197751652352	Happy 0th Anniversary to my ride or die!  Without his unwavering support Mystini would not exist. Cheers to us and many many more year! 🥂🍾🎉💕💕     .........… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.56404977, 29.56304729]}, 'place_id': '798522f39f66d411'}
2220710176	2020-08-31T23:08:19.000Z	1300571147084402692	y’all ever zone out and think about what your wedding would look like and what type of dress/suit you would wear on that day cuz i do :o	{'place_id': '1c69a67ad480e1b1'}
236440601	2020-08-31T22:41:25.000Z	1300564377226149898	 Working on a date for it now 😈	{'place_id': '1c69a67ad480e1b1'}
439237626	2020-08-31T22:40:17.000Z	1300564093477302280	Wedding Cake 💨👏	{'place_id': '1c69a67ad480e1b1'}
3153457531	2020-08-31T22:38:12.000Z	1300563566454599681	M told me to wake him at 0 so we can go shopping before the game at 0... it’s now almost 0 and he’s still asleep. I’m just gonna take his card and leave him behind 😈	{'place_id': '1c69a67ad480e1b1'}
341916040	2020-08-31T22:06:31.000Z	1300555593384591362	Just picked up my wedding ring. I’m stuntin 😂	{'place_id': '1c69a67ad480e1b1'}
2775378595	2020-08-31T21:05:30.000Z	1300540238687858688	I don’t eat out during the weekdays but cfa is screaming my name right now	{'place_id': '1c69a67ad480e1b1'}
3022998384	2020-08-31T20:35:03.000Z	1300532575828676612	i miss going to the movies😢	{'place_id': '01e74c422dab6107'}
48067884	2020-08-31T20:16:29.000Z	1300527903042686977	I can’t wait to have a fairytale wedding, honeymoon and a ring I can be proud of.	{'place_id': '1c69a67ad480e1b1'}
112340897	2020-08-31T19:37:29.000Z	1300518089369550848	 Aww !! Girl that’s gonna be one hell of a trip. My poor cousin was planning to have her destination wedding there but then covid :/ I pray y’all get to go ASAP it’s gorgeous	{'place_id': '1c69a67ad480e1b1'}
