54112441	2020-09-30T23:58:42.000Z	1311455461355524097	lmaooooo the restaurant thought i got stood up on a date so they bought me a drink.	{'place_id': '11072b98f1150000'}
3196858502	2020-09-30T22:11:37.000Z	1311428515787689984	i told olivia to come to the gym and she said “no i already did my work out a month ago”	{'place_id': 'c3bf7e4412fa281d'}
1265477966173274115	2020-09-30T21:59:37.000Z	1311425494550827008	I'm so bored I think I'm finna go to the mall.	{'place_id': '1c69a67ad480e1b1'}
500154111	2020-09-30T21:36:20.000Z	1311419634734845952	My new coworker and I were born on the literal exact same day and we have everything in common and she’s so cute!! I’m planning our wedding	{'place_id': '1c69a67ad480e1b1'}
1219274602989465600	2020-09-30T19:56:07.000Z	1311394414825218048	I miss going to church. Am I the only one? I mean yes I get to see the virtual teaching & worship, but it just doesn’t feel the same. I miss standing with complete strangers and raising our hands together while gospel music is playing. Getting to write notes into my bible.	{'place_id': '54614bf2dabf5a43'}
341916040	2020-09-30T19:43:14.000Z	1311391173265760256	Man I was so clean for my wedding 😩😎	{'place_id': '1c69a67ad480e1b1'}
162992000	2020-09-30T18:06:14.000Z	1311366759874781184	  I’m not Jesus. You need to stop assuming you have no idea. Just because I eat out now doesn’t mean a got damn thing.	{'place_id': '35e409cdfaf2527a'}
1171694696944558080	2020-09-30T17:31:55.000Z	1311358124658438146	Why come to the gym if you’re literally just going to be on your phone and take up space 😡?	{'place_id': '1c69a67ad480e1b1'}
44215262	2020-09-30T17:18:20.000Z	1311354707894587392	Imagine my wife being the baddest at the wedding cause ion see nobody but her & SHE the one getting married 🌚 	{'place_id': '1c69a67ad480e1b1'}
1608523999	2020-09-30T16:43:38.000Z	1311345973789184002	   Ours is under friend of the show  page! 	{'place_id': '1c69a67ad480e1b1'}
3641471658	2020-09-30T15:33:20.000Z	1311328280415535104	Wedding at  	{'place_id': '1c69a67ad480e1b1'}
341916040	2020-09-30T13:50:33.000Z	1311302417896669186	Our final edits came in from the wedding... 🔥🔥🔥🔥🔥🔥	{'place_id': '1c69a67ad480e1b1'}
1043561539	2020-09-30T13:33:37.000Z	1311298153275154433	My weight has been consistent the past several months. Mainly due to the fact I wasn’t eating out or drinking. 	{'place_id': '1c69a67ad480e1b1'}
2229100362	2020-09-30T04:40:57.000Z	1311164104913154050	 So, Kellyanne... you people seem to be trying to argue that Joe Biden was president from 0 to 0 and therefore he's to blame for everything from disco to yoga pants.And yet, no one's buying it. Weird.	{'place_id': 'bcb210d6cf34438a'}
553890238	2020-09-30T04:10:00.000Z	1311156316661047296	Cory and I are gonna get married but keep it small. When the trach is removed and healed then we will have a extended family and friend wedding to invite	{'place_id': 'cc480e2388809012'}
70867821	2020-09-30T03:36:54.000Z	1311147986764918784	I'm gonna discreetly smack everyone I know who voted for trump they'll never know when it's coming could be today could be on their wedding day they'll never know	{'place_id': '1c69a67ad480e1b1'}
1070156120541417472	2020-09-30T03:24:06.000Z	1311144765292007424	Not me heading to the gym right now instead of curling up in bed 	{'place_id': '1c69a67ad480e1b1'}
399837789	2020-09-30T00:50:27.000Z	1311106096115978240	If you’re gonna come to the gym with your boys to workout, you better workout instead of standing their talking around equipment.	{'place_id': '1c69a67ad480e1b1'}
1289694145737453568	2020-09-30T00:49:47.000Z	1311105931531476992	In 0, folks criticized our African-inspired Wedding...because they said we were American.Well... 0andMe says they should have minded their own business!👇  	{'place_id': '1c69a67ad480e1b1'}
19252684	2020-09-30T00:47:40.000Z	1311105399160963072	OKAY OKAY OKAYYYYYYY! At the age of 0, I think I’m finally ready to start dating. Yes. I’m tardy to the party. I might just be lonely but, hey. Who single 😏 😈 💦 😘 lmaooooo	{'place_id': '1c69a67ad480e1b1'}
38949137	2020-09-30T00:37:37.000Z	1311102866841579520	It’s not your wedding! The Church is the Bride of Christ. - 	{'place_id': '1c69a67ad480e1b1'}
4798475927	2020-09-30T00:26:31.000Z	1311100074886344704	I was on the road so I wasn’t able to see the game but big win by the Astros!! Can never count this team out!	{'place_id': 'bcb210d6cf34438a'}
2701790030	2020-10-01T23:33:39.000Z	1311811547048685568	im going grocery shopping tomorrow so this my last time carelessly eating out whats it gonna be	{'place_id': '1c69a67ad480e1b1'}
288093048	2020-10-01T20:44:40.000Z	1311769021449207809	This is me every single time I go shopping!! I'm only 0 feet tall so I can barely even reach stuff in my own house! 🤣 	{'place_id': '3e70c2559af5245b'}
3237650285	2020-10-01T20:26:01.000Z	1311764325774786560	Wish I had someone to go eat with whenever cus I love eating out lol	{'place_id': '1c69a67ad480e1b1'}
2579717024	2020-10-01T19:05:10.000Z	1311743981064257537	 Christianity, I am from Texas & even though I grew up in an atheist/agnostic household,I rebelled by going to Church every Sunday& Wednesday by myself or with friends.But I started do intensive research into the big major religions and after 0years of study,realized it’s all BS!	{'place_id': '343ecdd7da8dfae0'}
932858715325255680	2020-10-01T18:26:55.000Z	1311734353446219776	I wanna go on a date.	{'place_id': '1c69a67ad480e1b1'}
817188223281664000	2020-10-01T18:24:31.000Z	1311733751249068034	 Tweet about Pour Minds and say you feel like going shopping	{'place_id': '1c69a67ad480e1b1'}
1194619155107979265	2020-10-01T18:14:47.000Z	1311731302043914240	Your parents must’ve made u go to church instead of go get candy 😂 	{'place_id': '1c69a67ad480e1b1'}
3908408864	2020-10-01T17:30:49.000Z	1311720236585017345	So excited that our company  was able to pull off this surprise for a well-deserving couple ❤️❤️My Dream Wedding: Season 0 Episode 0  via 	{'place_id': '1c69a67ad480e1b1'}
1118581413564092416	2020-10-01T17:13:53.000Z	1311715976547794944	Area code 0 is the state of Oregon...My cousin owns plenty of protection as an avid hunter there... Rides over, there is no clearing your name or your Hawaii wedding ambitions... Oh, and you’ve definitely got the wrong family 😱  	{'place_id': '1c69a67ad480e1b1'}
301047214	2020-10-01T16:39:37.000Z	1311707349091078145	 that eating out number tho 😭 	{'place_id': '1c69a67ad480e1b1'}
961308357738065920	2020-10-01T15:59:24.000Z	1311697229250531328	Paying for your album instead of going shopping &lt;&lt;🥺😩🥴	{'place_id': '1c69a67ad480e1b1'}
396723591	2020-10-01T14:29:41.000Z	1311674651819610112	 let me do this in your wedding lol 	{'place_id': 'c7b527911412a784'}
1194619155107979265	2020-10-01T14:23:25.000Z	1311673076036313093	I honestly don’t think imma have kids at my wedding because i know how imma act and children don’t need to be there lol 	{'place_id': '1c69a67ad480e1b1'}
768515403647623168	2020-10-01T14:19:15.000Z	1311672027384811521	Open House Link :                           	{'place_id': '1c69a67ad480e1b1'}
1159658351837483009	2020-10-01T14:13:58.000Z	1311670698369310723	it’s the first day of october who’s taking me on a date to a pumpkin patch	{'place_id': 'c484d6c5cd72beb0'}
1851490580	2020-10-01T13:51:11.000Z	1311664962197020685	I wonder if Gucci mane really tried to book Beyoncé for his wedding day	{'place_id': '1c69a67ad480e1b1'}
2508728576	2020-10-01T11:20:03.000Z	1311626931222216704	Woooow didn’t know wedding cake flavor was only a thing in New Orleans ... learn something new everyday	{'place_id': '1c69a67ad480e1b1'}
421275478	2020-10-01T10:26:23.000Z	1311613425668235265	I don't wanna go to the gym when I get off but ik if I don't I won't go at all	{'place_id': 'c484d6c5cd72beb0'}
634200282	2020-10-01T06:04:58.000Z	1311547637993279489	 getting drunk and doing this at my wedding fooooo shoooowww!!!🤣👏🏻 	{'place_id': '1c69a67ad480e1b1'}
99409339	2020-10-01T05:57:06.000Z	1311545657069576192	I really need to go to church	{'place_id': '1c69a67ad480e1b1'}
2556132578	2020-10-01T03:34:18.000Z	1311509718435676160	Wanna go to the movies 😭	{'place_id': '1c69a67ad480e1b1'}
2679629114	2020-10-01T03:12:02.000Z	1311504114673618945	My mom always told me that leading up to your wedding one of your bridesmaids will switch up on you. Watching this episode of girlfriends and seeing Joan get jealous I’m wondering which one of my friends it’ll be 👁👁	{'place_id': '1c69a67ad480e1b1'}
1042779801172488192	2020-10-01T02:55:07.000Z	1311499856867815429	Wear your jersey to the gym and become friends w the gym manager &gt;&gt;&gt;	{'place_id': '1c69a67ad480e1b1'}
316891949	2020-10-01T02:40:49.000Z	1311496260692705281	I was told I have to wait until after the actual wedding 🙄 	{'place_id': '1c69a67ad480e1b1'}
1288598350514749442	2020-10-01T02:19:19.000Z	1311490847486226434	I can’t wait to go back to the gym. I was doing so good and this car accident messed up everything and my back smh.	{'place_id': '1c69a67ad480e1b1'}
313475569	2020-10-01T00:56:28.000Z	1311469998704152577	Why do y’all make fucking a requirement for everything lol ? Wanna go on a date ? We gotta fuck. Wanna vacation ?? Gotta fuck. Wanna visit someone/fly someone out ? Pls we r fuck.	{'place_id': '1c69a67ad480e1b1'}
601491283	2020-10-01T00:31:27.000Z	1311463701900406785	I should head to the gym now. Bai	{'place_id': '1c69a67ad480e1b1'}
1611306163	2020-10-02T23:54:30.000Z	1312179180948267008	i went shopping for a dress for a wedding and ended up leaving with an $0 bed for my dog	{'place_id': '1c69a67ad480e1b1'}
794510691071717376	2020-10-02T23:52:49.000Z	1312178755809415171	Tbh what I'm really excited for after having Baby G is going shopping for bras! 😭😭😭	{'place_id': '1c69a67ad480e1b1'}
1624434804	2020-10-02T22:11:35.000Z	1312153281771175936	i need to go to church PHYSICALLY	{'place_id': '38d0e797745f4c5d'}
123366741	2020-10-02T21:55:59.000Z	1312149354791067648	 Yea RT me and baby going shopping 💀	{'place_id': '011f5b2126127c09'}
344447768	2020-10-02T21:40:56.000Z	1312145567208808448	i’m a wedding photographer not planner.	{'place_id': '1c69a67ad480e1b1'}
3344608648	2020-10-02T19:56:25.000Z	1312119265030356992	i be doing so much shit by myself. go shopping by myself, get food by myself, ride around by myself. it really just be me	{'place_id': 'bcb210d6cf34438a'}
636796484	2020-10-02T19:14:26.000Z	1312108698932670464	Tomorrow is wedding day. 💕	{'place_id': '00b50e784d19b32f'}
22848313	2020-10-02T19:14:18.000Z	1312108666611351553	I was today years old when I found out Tyga name stands for (Thank You God Always). Is this a joke or am I late to the party??	{'place_id': '1c69a67ad480e1b1'}
306508269	2020-10-02T18:18:30.000Z	1312094622802468864	 Shit ... I wish lol 😂 I rather eat out especially with my work schedule and grad school schedule. I don’t have time to cook or I rather say feel like it	{'place_id': '1c69a67ad480e1b1'}
238833869	2020-10-02T18:15:32.000Z	1312093875729825793	I gotta haircut I’m tryna go on a date or sum .... or who tryna go eat 🤣	{'place_id': '1c69a67ad480e1b1'}
935468167	2020-10-02T17:54:41.000Z	1312088628219334659	 That bitch made me feel like I need to aspire to a yellow Porsche and goth Barbie wedding okay 😩😭	{'place_id': 'bcb210d6cf34438a'}
