243048524	2020-10-19T23:55:42.000Z	1318340075453898752	went to the gym today and had a good work out I fr missed it :,)	{'place_id': 'cddb718d9306e2f9'}
1230261586901770252	2020-10-19T23:53:25.000Z	1318339501291393024	onnat wedding pie it got me geeked	{'place_id': '1c69a67ad480e1b1'}
47444377	2020-10-19T23:33:59.000Z	1318334610246348802	I cannot eat out in Houston this week and I’m holding myself to it ! Me to me: It’s food at the house! 😂	{'place_id': '1c69a67ad480e1b1'}
857977680637157377	2020-10-19T23:19:23.000Z	1318330938821136392	I love going to the movies, idc if I’ve already seen the movie, I wanna go!	{'place_id': 'c484d6c5cd72beb0'}
2713321712	2020-10-19T20:19:11.000Z	1318285587300929537	I haven’t gone to the movies in so long, I miss it 🥺	{'place_id': '3e82edc94d5c5ce1'}
1266935601082896384	2020-10-19T19:14:29.000Z	1318269305956536321	Pinky ring til i get a wedding ring	{'place_id': 'bcb210d6cf34438a'}
346162718	2020-10-19T18:27:26.000Z	1318257466380046336	Try not to eat out this week 🌚	{'place_id': '38d0e797745f4c5d'}
3964512558	2020-10-19T18:20:56.000Z	1318255829401960450	I really caught the bouquet at my sisters wedding 😭🥴	{'place_id': '54614bf2dabf5a43'}
1267853015664529408	2020-10-19T18:18:54.000Z	1318255319047376896	If y’all never talked about fucking why you taking her out on a date expecting pussy? 	{'place_id': '1c69a67ad480e1b1'}
1267853015664529408	2020-10-19T18:14:56.000Z	1318254318705905666	Like never go on a date expecting pussy bro. Enjoy the lady company. Don’t waste your money if that’s your motivation. We literally have women who exchange sexual favors for money. Less of a hassle	{'place_id': '1c69a67ad480e1b1'}
329992956	2020-10-19T15:28:29.000Z	1318212431827578881	I think I’m finna start going to the gym twice a day	{'place_id': '1c69a67ad480e1b1'}
710279928244248580	2020-10-19T15:13:42.000Z	1318208712801136646	I have a buddy coming in town this weekend, and told him that I’m taking my parents on a date Friday. He caught an attitude and told me “enjoy, don’t worry about me. I’ll figure out stuff to do.” Baby, that’s all I needed to see/hear. No one should feel a way about my parents. 	{'place_id': '1c69a67ad480e1b1'}
153077015	2020-10-19T15:02:16.000Z	1318205831771545606	Oh my god, I don’t feel like going to the gym 🥴	{'place_id': '1c69a67ad480e1b1'}
1286095632546103298	2020-10-19T14:42:21.000Z	1318200823114027011	I haven’t been to the gym in a week 🥵 today ima die	{'place_id': '1c69a67ad480e1b1'}
216168890	2020-10-19T14:33:55.000Z	1318198700896849920	i wanna go shopping	{'place_id': '1c69a67ad480e1b1'}
240541733	2020-10-19T13:58:12.000Z	1318189709873565697	Before COVID this would definitely be a date.Now this is just eating out 🤷‍♂️ 	{'place_id': '1c69a67ad480e1b1'}
32617636	2020-10-19T13:42:33.000Z	1318185772546183171	Malcolm keep goin to the gym wit out me. Ion like dat 🙄	{'place_id': '822f7a173519a8dd'}
70446862	2020-10-19T13:24:26.000Z	1318181213006430208	When I use to be brainwashed and go to church I use to wake up tweeting shit like “Thank you Lord for the day God has made” 😂😂😂😂😂 most confusing years of my fucking life 	{'place_id': '1c69a67ad480e1b1'}
