2782832947	2021-08-23T23:57:44.000Z	1429956052255191044	I would travel to Savannah just to watch the  play then come right back home	{'place_id': '010edcb7655caac2'}
3312958470	2021-08-23T23:20:25.000Z	1429946660818407430	Was a great day visiting a number of our  HS campuses. Music classrooms were busy all around today. Can’t wait to visit more of you these next couple of days.  	{'place_id': '1c69a67ad480e1b1'}
178141580	2021-08-23T23:16:09.000Z	1429945587189882882	My birthday weekend line up is wild Durk & Lil baby show in Houston fly to LA the next day for the Gates show ! Come back to Houston and bring in my mf’n bday 🔥🔥🔥	{'place_id': '1c69a67ad480e1b1'}
53329978	2021-08-23T23:01:16.000Z	1429941838685818882	 Don’t rush him into decision! He needs time and experts to think about it, like he’s been doing for the past 0 months for the travel ban.   	{'place_id': '1c69a67ad480e1b1'}
155606316	2021-08-23T22:03:10.000Z	1429927219045052425	Next time I visit upstate, I’m going to visit MA where I was born. As well, look at UMass Lowell.	{'place_id': '1c69a67ad480e1b1'}
1928683886	2021-08-23T22:00:44.000Z	1429926608610156548	can’t wait to visit home next week n see all my friends n family 🥺 ♥️	{'place_id': '1c69a67ad480e1b1'}
459669757	2021-08-23T20:09:31.000Z	1429898617981214721	Join me Saturday, September 0th as we continue our  event. We need your help and donations to help serve 0 individuals & families. For more info visit  	{'place_id': '1c69a67ad480e1b1'}
479265341	2021-08-23T19:50:37.000Z	1429893860667310083	 Damn. Cobos only got one visit... 	{'place_id': '1c69a67ad480e1b1'}
114006434	2021-08-23T19:30:32.000Z	1429888808611373065	🤗Visit our store, and find something special for someone special.🎁         @ Houston, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
273167974	2021-08-23T18:04:48.000Z	1429867234260930567	I miss Portillos! I need a good Italian beef in my life. I might travel back to Chicago mid September. I always gotta place to stay in the Chi.	{'place_id': '1c69a67ad480e1b1'}
1162690540758081537	2021-08-23T17:54:18.000Z	1429864591358668809	I want to visit Cancun so bad 😪	{'place_id': '1c69a67ad480e1b1'}
3045220308	2021-08-23T16:28:31.000Z	1429843000822218756	 When he was begging for help from travel nurses I said they should blackball him. “I can’t when due to  being incompetent!”	{'place_id': 'bcb210d6cf34438a'}
38502938	2021-08-23T15:03:56.000Z	1429821715350265862	Vacation Season is in FULL EFFECT!!🏝☀️Where do you want to travel to next ?🛫🌎Let me book your trip ? 	{'place_id': '7543692056063d2f'}
53329978	2021-08-23T14:55:21.000Z	1429819555405303816	 Hopefully he will talk about the travel ban. 0+ months of separation with our families and 0 months of total silence of the Biden administration. Enough!! 	{'place_id': '1c69a67ad480e1b1'}
2582517278	2021-08-23T14:52:49.000Z	1429818917371981828	Need assistance with enrollment or finishing a transfer?  Come visit the Office of School Choice this week at Delmar Stadium, right next to HISD headquarters at 0 W. 0th St., Houston, TX 0  	{'place_id': '07d9f74212c82000'}
133716374	2021-08-23T13:31:41.000Z	1429798500024344578	Doing the crate challenge I see people trynna sprint through em ... fools the shit is not steady so what you think gonna happen? Just schedule your next hospital visit because people are morons ... “ohh it’s just for fun it’s not that serious” yeah and you’re also a moron 😂	{'place_id': '1c69a67ad480e1b1'}
48440043	2021-08-23T12:30:50.000Z	1429783186993778692	…🍷… Hill Country harvests No. 0 ranking among American wine regions  via 	{'place_id': '1c69a67ad480e1b1'}
17409360	2021-08-23T11:46:34.000Z	1429772047736004609	What’s the farthest in each direction you’ve ever been?North: Vancouver, Canada 🇨🇦 East: Salzburg, Austria 🇦🇹 South: Miami, Florida 🦩West: Gunsan, South Korea 🇰🇷  	{'place_id': '70651817971f9cb8'}
