826597942270238721	2021-11-01T23:31:20.000Z	1455316557161287681	Great way to start the day with a story and fun songs!!! 👏👏👏Thank you for your visit officers!  	{'place_id': '0fc34ce316547000'}
15226582	2021-11-01T23:24:42.000Z	1455314888390230020	 Travel! TV!!! 🙄	{'place_id': '1c69a67ad480e1b1'}
28601277	2021-11-01T21:39:02.000Z	1455288295437578242	Now that my kid can get vaccinated unvaccinated family is coming out of the woodwork trying to get us to come visit and honestly I am just two angry and I don’t know when that’s going to go away	{'place_id': '1c69a67ad480e1b1'}
1365587117439606786	2021-11-01T21:04:12.000Z	1455279529904283659	 Not too harsh. Snows a little bit every 0 or 0 years. I just walked Susie. Shorts and no shirt. Houston is good, if like a big city. Try to visit Austin if you can.	{'place_id': '1c69a67ad480e1b1'}
118572699	2021-11-01T20:56:35.000Z	1455277615531560960	 I go visit my Dad’s resting place in Pawnee monthly and would enjoy using those beautiful tennis courts. Why are they locked to the public though? 🎾	{'place_id': 'bcb210d6cf34438a'}
32476683	2021-11-01T20:35:51.000Z	1455272394319405065	 Wow! just wasted 0 minutes of my life watching you  make a jack A of yourself again. You are spewing lies, conspiracy theories and hog wash about travel.  But of course you were on the   comedy channel Fox and  	{'place_id': 'cf3b45e29c2c319b'}
1179585619665784834	2021-11-01T20:08:31.000Z	1455265516134797322	Head over to our INSTAGRAM to enter GIVEAWAY!‼️Link on Bio‼️🔁 Retweet to enter Giveaway Via Twitter  - TopoChico t-shirt (M)- TopoChico Kozie- TopoChico Tote Bag - $0  Credit - Michelada Mix - Travel Size Rim Paste Keychain  FLAVORS: 🍉/ 🍍/🌶 	{'place_id': '1c69a67ad480e1b1'}
1096585301642874880	2021-11-01T20:05:47.000Z	1455264828377927685	Sir there aren’t any I’m 0 everyone in my age bracket are set in their ways and so am I at this point I’ll gladly stay single and travel  	{'place_id': '1c69a67ad480e1b1'}
3488566873	2021-11-01T19:46:23.000Z	1455259946866692099	Airplane mode always on ✈️.       	{'place_id': '07d9dafb0d885000'}
1152050574	2021-11-01T17:27:46.000Z	1455225061242253321	Winner Winner!!  Visit FABC Facebook page for more information. Thank you Athletic supporters.     	{'place_id': '010edcb7655caac2'}
3672232153	2021-11-01T15:45:46.000Z	1455199392361746446	🏐GAMEDAY🏐 Bulldogs travel to   to finish their season! 📅 Nov 0, 0⏰ JV 0:0pm⏰ Varsity 0:0pm📍  🐾 	{'place_id': '1c69a67ad480e1b1'}
1189628443106992128	2021-11-01T15:37:27.000Z	1455197302700785669	I need some advice from SWs… So I’ve already been doing SW for a few yrs but I’ve just decided during COVID last year that I’ll be more open & i get a lot of messages asking me to travel & I want to but..how do you guys schedule your travel touring?? I’ve never done it before	{'place_id': '1c69a67ad480e1b1'}
1376623690616602626	2021-11-01T15:24:13.000Z	1455193972750655491	I need some advice from fellow SWs… I’ve already been doing SW for 0/0 yrs but I’ve just decided during COVID that I’ll be more open and not as discreet, I get a lot of messages asking me to travel …how do you guys schedule your travel touring?? I’ve never done it before	{'place_id': '1c69a67ad480e1b1'}
1149237931	2021-11-01T15:03:25.000Z	1455188736195670020	Hearsay On The Green will be closed today due to private event. Visit us at our Market Square location 😋🍔🍸...   	{'place_id': '1c69a67ad480e1b1'}
86596738	2021-11-01T14:26:58.000Z	1455179563026329608	“Pure and undefiled religion before God and the Father is this: to visit orphans and widows in their affliction, to keep oneself unspotted from the world (James 0:0  ”Some of us (myself included!) are not as religious as we ought to be; vs. 0 couples this with	{'place_id': '01e74c422dab6107'}
1296434231724453889	2021-11-01T14:08:13.000Z	1455174843813482504	"""Patty Pumpkin"" came to visit for our 0 days of school!!     "	{'place_id': 'cc480e2388809012'}
2837050700	2021-11-01T13:11:09.000Z	1455160483347116034	  My father suffers from degenerative disc disease like I do. He's usually at home because it hurts for him to travel. And of course, because of covid, he doesn't like to have people over anymore. I don't get to see him enough these days. I terribly miss seeing him.	{'place_id': '1c69a67ad480e1b1'}
2536236102	2021-11-01T13:11:02.000Z	1455160455492771844	Visit  to apply!	{'place_id': '1c69a67ad480e1b1'}
929849073229852672	2021-11-01T10:22:24.000Z	1455118018128842754	If I come home to visit soon who’s down for a blunt & brunch? Lol	{'place_id': '1c69a67ad480e1b1'}
1003637273777274880	2021-11-01T04:55:51.000Z	1455035837096267776	It’s Time!! To reveal the project I been working on for a while inspired by the cod zombies map Mob of the dead this story takes place at the infamous Alcatraz island where Sam and 0 others visit just to fall into chaos!! Sam is ready to fight🧟‍♂️ Welcome to 🧟‍♂️ 	{'place_id': '3e82edc94d5c5ce1'}
183259312	2021-11-01T03:07:45.000Z	1455008631976513538	Unofficial Brent Strom mound visit transcript: “Listen if you screw this thing up this much Im going to not only kick your ass but everybody will feel my wrath.” Ok maybe that’s loose in translation….:just a tad 	{'place_id': 'cf3b45e29c2c319b'}
1266935601082896384	2021-11-01T03:04:17.000Z	1455007761138388994	Ima want problems if you don’t come back and visit 😡 	{'place_id': 'bcb210d6cf34438a'}
32270247	2021-11-01T00:09:24.000Z	1454963750906236933	Gives you a place to visit 	{'place_id': '1c69a67ad480e1b1'}
377646679	2021-11-02T23:50:45.000Z	1455683830006927360	Houston friends, y’all need to come visit me and drink all this before I do.	{'place_id': 'bcb210d6cf34438a'}
760587092967559168	2021-11-02T23:46:33.000Z	1455682773662973955	Congratulations to Alasia for being accepted to Continue to submit your applications and be sure to check your email. Visit the CCC for assistance.      	{'place_id': '1c69a67ad480e1b1'}
901227398959681537	2021-11-02T22:27:09.000Z	1455662793978490881	I'm glad I did not travel downtown today. 	{'place_id': '1c69a67ad480e1b1'}
575846926	2021-11-02T22:00:10.000Z	1455656001508712457	I’d rather fly to Chicago. 	{'place_id': '1c69a67ad480e1b1'}
967459460	2021-11-02T20:44:56.000Z	1455637068063911937	0’0 Wesley Yates (0/G) will be taking an official visit to Washington this weekend.   	{'place_id': '1c69a67ad480e1b1'}
1274777759471013888	2021-11-02T20:44:20.000Z	1455636917253464065	 Nobody cares about UIW.  When they travel it’s common for them to bring 0-0 travelers. Most parents of players. Never met a UIW ALUMNI at a SFA vs UIW event.	{'place_id': '1c69a67ad480e1b1'}
