29553664	2021-12-13T22:44:48.000Z	1470525138600796161	Thank you  Wind Ensemble for your visit!   	{'place_id': '7543692056063d2f'}
320600860	2021-12-13T22:27:31.000Z	1470520787484487688	An exhilarating weekend at the Islamic Arts Festival , great come back after the pandemic in person. Had some very interesting conversations with experts in the field, met some amazing people and new fans and appreciate all those who came to visit and loved my work. 	{'place_id': '1c69a67ad480e1b1'}
1732332631	2021-12-13T22:02:48.000Z	1470514569500143616	 I just finished my space law exam, does  have any open positions for law clerks? I’d be willing to go to space if travel is necessary	{'place_id': '1c69a67ad480e1b1'}
14073855	2021-12-13T21:49:18.000Z	1470511171132350470	 Fine! I’ll fly to Spain and teach you the ways. Least I can do	{'place_id': '1c69a67ad480e1b1'}
3045220308	2021-12-13T21:36:03.000Z	1470507836639784966	When one of your besties knows you love and your family history is from  and brings you        	{'place_id': 'bcb210d6cf34438a'}
607622360	2021-12-13T21:10:46.000Z	1470501473012301841	 So I bought my cousin a ticket 0 fly 0 visit my family & I. this was his 0st time flying. Why the spirit gate lady made him pay for a bag he had with just one pair of shoes in the damn bag? He asked could he just put the shoes n his carry on & she said NO	{'place_id': '1c69a67ad480e1b1'}
28601277	2021-12-13T18:53:22.000Z	1470466897279963141	 “But you said you’d visit once 0yo got the vaccines” ☠️☠️☠️	{'place_id': '1c69a67ad480e1b1'}
28601277	2021-12-13T18:49:50.000Z	1470466006451691524	AITA for refusing to visit home until my mom gets the vaccine ✨holiday edition✨	{'place_id': '1c69a67ad480e1b1'}
733764469	2021-12-13T18:21:46.000Z	1470458941251497986	Went to  to visit some of the best motivators I know! They shower love on the staff and I'm here for it! Kiddos    my hats off! 	{'place_id': '1c69a67ad480e1b1'}
67320036	2021-12-13T18:10:03.000Z	1470455994048294919	Everytime I don't fly Delta there never ceases to be some BS that complicates the travel day.   😑	{'place_id': '07d9dafb0d885000'}
830992827764994048	2021-12-13T16:26:13.000Z	1470429864796827654	For more information, visit: 	{'place_id': 'bcb210d6cf34438a'}
51111402	2021-12-13T15:45:50.000Z	1470419702212182019	 💜  💜We hope you see this interview. You must know how much you are appreciated and loved. Thank you for being YOU. Come visit some time, will you? Doesn't matter if it's Facebook, Instagram, Twitter, Vlive or Weverse. We'll be here or there. 💜 	{'place_id': '1c69a67ad480e1b1'}
365155571	2021-12-13T14:25:56.000Z	1470399595251445767	I need to travel home to Tallahassee and I’m scared to fly.. or Drive because I am so unstable.	{'place_id': '1c69a67ad480e1b1'}
223339316	2021-12-13T14:13:51.000Z	1470396551147270146	On dec 0, 0 after Ohio State beat UsC, I convinced Joe burrow to visit LSU despite him wanting to go to unc. Look at all of us now.  	{'place_id': '1c69a67ad480e1b1'}
735593998413271040	2021-12-13T07:34:42.000Z	1470296103467855876	You don’t have to quit your job to have a side hustle Work your 0-0, live below your means,  & use your side hustle to pay your bills, travel, or assets	{'place_id': '1c69a67ad480e1b1'}
223339316	2021-12-13T03:55:20.000Z	1470240899137425416	Do you think Quinn met Pole Assassin on his official visit   	{'place_id': '1c69a67ad480e1b1'}
