26620434	2021-11-01T23:56:41.000Z	1455322939268767747	After 0 weeks, I finally made it to my office. @ California State University, Los Angeles 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.168395, 34.06769829]}}
360158790	2021-11-01T23:54:15.000Z	1455322326753370116	If I went to school with Timothy Champagne I would be so annoyed rn	{'place_id': '3b77caf94bfc81fe'}
760509590547030018	2021-11-01T20:45:03.000Z	1455274710283919366	Momo Meong-Kucing Faizy goes to school. 	{'place_id': 'dbd7fea9eedaecd0'}
123066394	2021-11-01T20:21:04.000Z	1455268673485099008	My boyfriend went back to college as a mature age student. Just overheard the teacher explain that CDs were ‘round discs where you could burn your own music albums’ HOLY SHIT.	{'place_id': '1927193c57f35d51'}
2655076560	2021-11-01T20:14:31.000Z	1455267028718145540	Oooo so glad I didn’t go out last night	{'place_id': '3b77caf94bfc81fe'}
899404385700073473	2021-11-01T19:58:37.000Z	1455263024504180738	 It's alright, just try again with someone else! Girls will occasionally hit on you if you go out to parties and nightclubs (only the bold ones), take one of them.	{'place_id': '3b77caf94bfc81fe'}
14330177	2021-11-01T19:49:57.000Z	1455260846553141248	       It’s like a group of us 0 family members all go out to dinner & are deciding what we want to eat & how we want to pay for it. Originally we all have picked all of our dishes that will satiate us. &     	{'place_id': 'ef74afb7ccba74d6'}
350745799	2021-11-01T19:44:00.000Z	1455259348163129345	Alright not going out for the rest of the year back to business 👌	{'place_id': '3b77caf94bfc81fe'}
118851968	2021-11-01T19:29:29.000Z	1455255695452823554	not an antivaxxer i went to school with taking a photo with katy perry while she was dressed up as a vaccine 	{'place_id': '3b77caf94bfc81fe'}
282734726	2021-11-01T18:51:37.000Z	1455246162907127810	Feels good to be going out again and not just work repeat	{'place_id': '3b77caf94bfc81fe'}
3729471432	2021-11-01T18:20:45.000Z	1455238395517497346	Im not going out anymore also let me just get this free academy ticket just in case🥴🥴	{'place_id': '3b77caf94bfc81fe'}
32150198	2021-11-01T17:51:28.000Z	1455231025676644354	 Why would I care I already went to school	{'place_id': '3b77caf94bfc81fe'}
14456685	2021-11-01T17:46:39.000Z	1455229813732478977	 yeah, i know more people who feel like you do about NYE than me. it’s a terrible nite to go out but a perfect nite for a houseparty. the holidays are really fun to me. and i watch my self curated list of xmas and xmas adjacent movies!	{'place_id': '3b77caf94bfc81fe'}
1364289492052545536	2021-11-01T17:29:51.000Z	1455225587803430916	We are speechless...This is just tragic. Our thoughts and prayers go out to his family and friends. 🙏🙏🙏 	{'place_id': 'd07feb9e5b1ce37c'}
1241091070085066753	2021-11-01T17:27:53.000Z	1455225093596934145	Tragic...just tragic. Our hearts go out to his family and friends. 	{'place_id': 'd07feb9e5b1ce37c'}
2826950510	2021-11-01T17:27:07.000Z	1455224900658946048	 Smells so bad... Reaches all the way to my office...	{'place_id': '56909099a1d44057'}
1066036156570038272	2021-11-01T17:03:19.000Z	1455218908558860295	feeling very glad that I did not go out last night 😌 a perfect Halloween	{'place_id': '01c060cf466c6ce3'}
1329208509204897795	2021-11-01T16:58:34.000Z	1455217715463942145	Excited for both teams to go out and compete this week against the league’s best during the  finals for cross country. Let’s go!!!🔥🔥🔥           	{'place_id': '7a615ec218d177f6'}
41960210	2021-11-01T16:17:53.000Z	1455207474902941703	Been in my car 0 min. I do not wanna get out and go to work smh	{'place_id': '3b77caf94bfc81fe'}
800032782722289665	2021-11-01T16:06:46.000Z	1455204677004369922	 This is suspicious. Why would they line up to go out sick? Don’t they usually just call out?	{'place_id': '01c060cf466c6ce3'}
842544282766639105	2021-11-01T15:57:04.000Z	1455202236703776775	Happy Monday if you’ve placed an order all orders will go out this week, If haven’t already been shipped. If you haven’t gotten tracking number hold tight it’s coming.📦 📬	{'place_id': '3b77caf94bfc81fe'}
43802582	2021-11-01T15:54:40.000Z	1455201634410135552	 No. I’m actually going to work 😂 lol Im not a quitter haha	{'place_id': '3b77caf94bfc81fe'}
336721689	2021-11-01T15:41:54.000Z	1455198419413180419	 Why would they be lined up to go out sick?	{'place_id': '4db990e393c2e28b'}
1659803232	2021-11-01T15:31:09.000Z	1455195715823554561	not going out this month only for cloonee 💯	{'place_id': '3e5f2219d3106113'}
991106028065341440	2021-11-01T15:25:03.000Z	1455194180976664579	no cuz why is a 0 year old trying to argue with me in my mentions… go to school	{'place_id': '3b77caf94bfc81fe'}
14278608	2021-11-01T14:26:30.000Z	1455179445694648322	Don’t accuse these vaccine refusers of lying though, for them “going out sick” is probably just a matter of time 	{'place_id': '714789cf3b7a50d0'}
872327773469241344	2021-11-01T13:55:09.000Z	1455171557060272141	I don’t want to go to work 😓	{'place_id': '3b77caf94bfc81fe'}
1338913031015837699	2021-11-01T11:53:16.000Z	1455140885516087299	I celebrated Halloween 0 nights in a row. Don’t ask me to go out for the next 0 weeks 😭	{'place_id': '3b77caf94bfc81fe'}
1338003035893673986	2021-11-01T10:58:22.000Z	1455127066387496960	It’s time to go to work ✌🏾✌🏾✌🏾	{'place_id': '3b77caf94bfc81fe'}
350745799	2021-11-01T10:05:06.000Z	1455113660490137600	After tonight I’m not going out until 0	{'place_id': '3b77caf94bfc81fe'}
359676547	2021-11-01T08:45:12.000Z	1455093552992514057	But like no, the sooner I realize there’s no correlation with going out and wanting attention the sooner I’ll be happy, because I honestly hate going out all the time but I loveeeee getting all ready and snapping pictures before.	{'place_id': '3b77caf94bfc81fe'}
217649627	2021-11-01T07:15:20.000Z	1455070938358108162	How i didn’t go out and still getting home at midnight 🧐	{'place_id': '10de09f288b1665c'}
239647363	2021-11-01T06:53:02.000Z	1455065328958857234	  The same way you going out your way to hate on him?	{'place_id': '3b77caf94bfc81fe'}
336820293	2021-11-01T06:35:30.000Z	1455060916660178947	Sitting in a dark park. “Bro, what if we just got murdered to ‘Brooklyn’ right now?”“Honestly, I would be fine with it. Let me go out on something funky.”	{'place_id': 'eb1bb64775708bc1'}
350745799	2021-11-01T05:26:37.000Z	1455043580737642501	Should I go out tonight or no someone decide for me	{'place_id': '3b77caf94bfc81fe'}
111119989	2021-11-01T05:26:13.000Z	1455043478811918347	Someone go out with me tonight	{'place_id': '3b77caf94bfc81fe'}
80136483	2021-11-01T05:17:41.000Z	1455041332162928644	  If you hear the real story tho he ain’t go out like the movie rich porter was taxing him but he still snitched	{'place_id': 'f2b1ac6c9d15503f'}
756651813135347713	2021-11-01T04:59:24.000Z	1455036730944331782	...maybe this a sign I shouldn’t go out but I look so cute ugh	{'place_id': '3b77caf94bfc81fe'}
596758460	2021-11-01T04:17:34.000Z	1455026204487028741	Debating on going out Tn🚶🏾‍♂️	{'place_id': '3b77caf94bfc81fe'}
2328702187	2021-11-01T03:53:50.000Z	1455020229860290568	 boots are my go to work boots. Will never buy anything other than Wolverine. There customer service is top notch. Had a pair that split on the souls and they sent me replacement pair no questions asked. TOP NOTCH	{'place_id': 'f8f8ee516109ee0e'}
20445088	2021-11-01T03:52:10.000Z	1455019812002746372	Do I have to go to work tomorrow? ☹️	{'place_id': '4baf4d09759d33e4'}
1041889477017231360	2021-11-01T03:35:17.000Z	1455015562384318466	I don’t wanna go to work but I have to go make this moneyyyyy😩😔	{'place_id': '3134f9d2892d2685'}
1039261681782677504	2021-11-01T03:15:01.000Z	1455010461137584134	Not me feeling like I have to shit right before going out😭😭😭 we boutta hold that shit back quite literally😭😭😭	{'place_id': '3b77caf94bfc81fe'}
611699366	2021-11-01T03:14:47.000Z	1455010404938104837	halloween is legit my favorite holiday & im not dressing up or going out cause i’m too depressed haha	{'place_id': '3b77caf94bfc81fe'}
836458492168826880	2021-11-01T03:09:59.000Z	1455009195359555584	adulting is packing your lunch & picking out your outfit for tmrs work day before you go out to drink 🥲 happy halloween!	{'place_id': 'd563cf7307e4ba95'}
2776943718	2021-11-01T02:58:49.000Z	1455006383754014720	Fuck going out I wanna go to the Mexicans party next door 😭 they lit af.. done heard thriller 0 times	{'place_id': '3b77caf94bfc81fe'}
2276977363	2021-11-01T02:44:26.000Z	1455002763830591495	My excuse to not going out tonight. RIP KING. 	{'place_id': '3153d677b795e293'}
1659246781	2021-11-01T02:11:35.000Z	1454994498832900098	I want to go out 😭	{'place_id': '3b77caf94bfc81fe'}
1559668682	2021-11-01T02:03:51.000Z	1454992550578720771	Every celeb was so turnt up last year in the prime time of COVID to go out for Halloween, yet I’m not seeing any fire looks this year 🤔	{'place_id': '3b77caf94bfc81fe'}
3255041	2021-11-01T01:59:02.000Z	1454991340673003520	If you are going out tonight, please be responsible. Do not drive or let OTHERS drive under the influence!Thank YOU!	{'place_id': '3134f9d2892d2685'}
1359570361600278528	2021-11-01T01:19:29.000Z	1454981385513435138	Damn, I really grew up to dumile spitting in my ear riding the city whales around 0am at 0 going to school, and that’s a bless	{'place_id': '0c2e6999105f8070'}
2941052208	2021-11-01T01:00:33.000Z	1454976622453407744	Alright tonight gone be my last night going out spending money but we lit tonight tap in!!	{'place_id': '3b77caf94bfc81fe'}
35112471	2021-11-01T00:39:34.000Z	1454971340138553346	Go out tonight and risk a shitty Monday orrrr behave..	{'place_id': '3b77caf94bfc81fe'}
32818078	2021-11-01T00:28:35.000Z	1454968576960450566	It is my kids turn to go out; in the form of trick or treating	{'place_id': '0fc6568d145d84ac'}
