2309776601	2021-04-26T23:52:59.000Z	1386830699349504001	U wear wedges on a date wit me, you payin ! And it’s not negotiable	{'place_id': '741e9df4d2522275'}
73042339	2021-04-26T23:52:33.000Z	1386830589517467648	I did start going back to the gym today... And hot light headed after 0 mins of aerobic activity.... Man I'm so out 0f fucking shape	{'place_id': 'fcd177d5a0545c9c'}
1304101925197996033	2021-04-26T22:49:12.000Z	1386814648683360258	 oh no if i can afford a big wedding like that im buying all the outfits lmao i could never expect that from my friends	{'place_id': '3b77caf94bfc81fe'}
795324464401555456	2021-04-26T21:36:36.000Z	1386796376764289024	Finally got my depressed ass to the gym. I feel greattt	{'place_id': '01c060cf466c6ce3'}
876324884518797312	2021-04-26T21:21:45.000Z	1386792640373346305	Nothing worst than someone who got their body done posting a “this is your motivation to go to the gym” post. EXCUSE the FUCK ME?! LMAO 	{'place_id': '01c060cf466c6ce3'}
1337693201268797440	2021-04-26T21:17:50.000Z	1386791653139091459	My gawd if you go to the gym please don’t hang onto your bf. That PDA isn’t necessary. Workout or go home and hug your dude.. lmao literally this girl stuck to her dude as he’s telling his friend how to have good form while benching.🤣🤣🤣	{'place_id': '7b2a70199c4d7b6d'}
3109302187	2021-04-26T21:16:39.000Z	1386791355129556993	i need to go to a concert asap	{'place_id': '6f24e28976abe656'}
109360451	2021-04-26T18:44:54.000Z	1386753168999022592	Y’all please remind me to say no next time someone asks me to be in their wedding. Idc how long we’ve been friends, the answer is no	{'place_id': '3b77caf94bfc81fe'}
388399875	2021-04-26T16:53:04.000Z	1386725025617629184	Going back to the gym after a long break is the WORSTTTTT	{'place_id': 'c1e1a49e92ce1ba0'}
3025428045	2021-04-26T16:43:46.000Z	1386722683216306179	“The Fish Bowl room “was magic ✨💫 We turned it to church 	{'place_id': '3b77caf94bfc81fe'}
1172704333	2021-04-26T16:43:08.000Z	1386722522830303234	 They are crazy expensive! My academic regalia Cost more than both of my wedding outfits combined. Cost more than my high and snowboarding gear I treated myself to at 0.  I freely loan it out to anyone who needs it though! That’s my little way of getting revenge...	{'place_id': '3b77caf94bfc81fe'}
916857827171241989	2021-04-26T16:34:12.000Z	1386720276235259913	If you go to the gym consistently you’re automatically my friend idc🥰	{'place_id': '0c2e6999105f8070'}
1317150935743778818	2021-04-26T16:28:39.000Z	1386718878202425351	I just wanna go shopping. I want new clothes	{'place_id': '3b77caf94bfc81fe'}
1296526866610823179	2021-04-26T16:02:39.000Z	1386712337583804417	Me and  went to the mall for sandals and planned to match OT 😭🤣 	{'place_id': '0c2e6999105f8070'}
198351390	2021-04-26T15:29:10.000Z	1386703911541637121	Back to the gym!! 	{'place_id': '3b77caf94bfc81fe'}
1337819707555020800	2021-04-26T13:47:31.000Z	1386678328527003656	He gon stay in to eat out out	{'place_id': '3b77caf94bfc81fe'}
1337819707555020800	2021-04-26T13:44:24.000Z	1386677542933786626	Say in and eat out	{'place_id': '3b77caf94bfc81fe'}
2235288840	2021-04-26T13:40:34.000Z	1386676578382336003	 These women end up single then go to their friend zoned friends wedding.. then when they’re 0 winder what happened as they are now the “old chick” in the club.  	{'place_id': '771f8196d3598fe8'}
1909482824	2021-04-26T07:14:12.000Z	1386579345859219458	I miss goin to the gym at this time	{'place_id': 'cf2d9d01f16e9bd4'}
14406450	2021-04-26T06:53:07.000Z	1386574043231363073	 Well looks like I need to go shopping then. Congrats! 👏🏻🙌🏻	{'place_id': '20ba6fb3b1ee82da'}
147723974	2021-04-26T04:51:41.000Z	1386543481095524355	 Invite me to the wedding, girl!!	{'place_id': '3b77caf94bfc81fe'}
168686684	2021-04-26T04:36:00.000Z	1386539537061478400	Given how so much emphasis is on going back to the movies and how “nobody has seen these movies” thr decision to A) not show clips from the nominees and B) not show manyyy movie commercials/trailers to get ppl excited to go back...is also just odd af 	{'place_id': '3b77caf94bfc81fe'}
1227666488217071616	2021-04-26T04:27:26.000Z	1386537379456897029	gonna attempt going back to yoga tomorrow morning after a week of (somewhat resting) my sprained ankle... i cant stand not being active!!!	{'place_id': '3b77caf94bfc81fe'}
300645969	2021-04-26T04:17:59.000Z	1386535002091913218	I guess you don’t mind if I text you during your wedding, while your child is being born or during a funeral if you think I’m gonna enjoy a work text from you during the weekend	{'place_id': '3b77caf94bfc81fe'}
948277603646849025	2021-04-26T04:08:55.000Z	1386532720130498574	If my man calls Chris brown to sing for us at our wedding I’m leaving with Chris Lmaooo 	{'place_id': '0fc6568d145d84ac'}
1251486219491373059	2021-04-26T04:05:11.000Z	1386531781973733381	Never been on a date ..😔 	{'place_id': '3b77caf94bfc81fe'}
38897169	2021-04-27T23:48:17.000Z	1387191903750299650	 let’s go shopping. i need new bottega shorts.	{'place_id': '07d9f64a95482000'}
2291943500	2021-04-27T23:00:22.000Z	1387179844056666113	I hate going shopping alone because I always get hit on and I get so scared lmao	{'place_id': '3b77caf94bfc81fe'}
14141281	2021-04-27T22:22:19.000Z	1387170271971340290	   Oh, that would *really* steam me. In fact, I can recall a friend posting images from his same-gender wedding a couple of years back, and Facebook and Twitter flagged the posts for deletion. Too many complaints, too. Jesus.	{'place_id': '3b77caf94bfc81fe'}
2309776601	2021-04-27T21:06:52.000Z	1387151280951369729	I told you I’m tryna eat out. So what we goin to dinner for?	{'place_id': '3b77caf94bfc81fe'}
538478694	2021-04-27T20:48:06.000Z	1387146560845221889	  Zarif and Kerry brought together by George Soros. Son of Zarif best man at Kerry daughter’s wedding. WTF w/ our IC?Obama?	{'place_id': '4e9de3f47ae939b5'}
909867405949550592	2021-04-27T20:40:23.000Z	1387144617338949635	Some cute wedding stuff from a week ago 💍💕💒 	{'place_id': '0706a21788cadb8d'}
1023200089	2021-04-27T20:25:21.000Z	1387140836761034752	I need to get myself back to the gym regularly	{'place_id': 'c84cc6061e2af8da'}
1049049672	2021-04-27T20:25:17.000Z	1387140819346345986	I wanna go on a date by the water, nice lil ocean view or sum 😍	{'place_id': '3b77caf94bfc81fe'}
