309938942	2021-05-17T23:58:05.000Z	1394442130177859584	Robot delivery service. ..          @ Santa Monica, California 	{'place_id': '59612bd882018c51', 'coordinates': {'type': 'Point', 'coordinates': [-118.49227, 34.01158]}}
725424811154018306	2021-05-17T23:46:41.000Z	1394439260690735109	My first museum visit in a long time. Felt wonderful to get out of my head for a few hours and wander around. Went for the Yoshitomo Nara exhibit - HIGHLY RECOMMEND. Had to grab a snap of this Do Ho Suh piece too. I love art. ✨ 	{'place_id': '3b77caf94bfc81fe'}
859498579705995264	2021-05-17T23:46:26.000Z	1394439198279491585	I had a visit from one of my  former students today. On his way to being a priest. So proud of him! 	{'place_id': '01c060cf466c6ce3'}
39173015	2021-05-17T23:29:31.000Z	1394434939215482882	Contemplating if I want a party for my 0th or travel to Greece 🤔	{'place_id': '3b77caf94bfc81fe'}
1219854449515978753	2021-05-17T23:00:41.000Z	1394427684692795397	 Idk about the agent part, but for your travel expenses maybe a gofundme.	{'place_id': '3b77caf94bfc81fe'}
1145185785366249472	2021-05-17T22:31:37.000Z	1394420367427395589	 I have never wanted to travel through the screen and make sure mayhem ensued	{'place_id': 'e1e35d357ceefa52'}
15334442	2021-05-17T22:30:52.000Z	1394420181397540867	LAX is a total zoo. Travel is back baby! ✈️	{'place_id': '3b77caf94bfc81fe'}
226870381	2021-05-17T22:23:30.000Z	1394418325367648256	im booking for summer y’all. few dates left in july, august pretty open. fly to la & work with me it’s very fun. i have a studio i rent as a add on filled with freaky props to make it seamless as hell. 0 looks - 0 looks- 0🌹	{'place_id': '3b77caf94bfc81fe'}
920731494485598208	2021-05-17T22:14:49.000Z	1394416139208335363	 ennis fucked it all up man i was so sad at the scene by the river 😞😞😞 & when he goes to visit jacks parents! & when ennis calls jacks wife. i feel like she knew there was a lil sum sum going on ugh. the whole movie is great	{'place_id': '59105f0e84773bdd'}
913912367007784962	2021-05-17T22:08:21.000Z	1394414512221024258	For information about the Fareless Transit Initiative, please visit:  and   The 0st opportunity for public comment will be theExecutive Management Committee Meeting on May 0th at 0:0 p.m. Watch online: 	{'place_id': 'b0b79caecef59fb5'}
249907444	2021-05-17T21:38:52.000Z	1394407091897397248	 My sissy’s coming to visit $kristenmcguinness	{'place_id': '3b77caf94bfc81fe'}
18747184	2021-05-17T21:34:47.000Z	1394406064267964424	Influencers promise foot traffic but really have no guarantee of that—esp when their pages are _purely positive_, which likely means they were paid to praise and, given the repetition, followers like the post but never actually visit a place. Point? Humans like HONESTY. 0/0	{'place_id': '01c060cf466c6ce3'}
2613571428	2021-05-17T21:33:28.000Z	1394405734083792900	every southern californian knows the best way to visit Tijuana is take the blue line to the border and walk on over. 	{'place_id': '3b77caf94bfc81fe'}
24005707	2021-05-17T21:23:07.000Z	1394403128288550914	I love working for the American Influencer Awards and hosting American Influencer Real Talk podcast. We are excited to announce the  will now include BEAUTY, FITNESS, FASHION and LIFESTYLE categories and awards. Visit  for more information. 	{'place_id': '27f5da73dd83395c'}
600174958	2021-05-17T21:09:50.000Z	1394399786736947207	 Need a lot more gas credit. Not all of us are shopping for ourselves while working orders.Need to allow more cars including older reliable cars deemed unsuitable for passenger travel.	{'place_id': 'ab707672074afdbf'}
2399335608	2021-05-17T20:39:18.000Z	1394392103971549184	I got a chance to visit my grandparents grave site. I miss them very much!! 	{'place_id': 'fb76b3aa366004c9'}
592384046	2021-05-17T19:55:59.000Z	1394381203491352576	Yes, the same people who hate undocumented immigrants are making fake vaccine documents so they can travel	{'place_id': '3b77caf94bfc81fe'}
2175160272	2021-05-17T19:40:03.000Z	1394377193774411779	Congratulations, Mary!  Can’t wait to visit!!! 	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-05-17T19:08:19.000Z	1394369207270187009	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-05-17T19:08:08.000Z	1394369157865435140	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
51855160	2021-05-17T18:56:30.000Z	1394366234263646208	Ok I need to find some  aupair in Sacramento or Elk Grove that we could travel around together and visit places like Sepulveda Dam. I just drove around and omg !!! I need to go back!! 🤌🏼😭 	{'place_id': '3b77caf94bfc81fe'}
1408889839	2021-05-17T18:40:41.000Z	1394362253378408449	I wanna take a trip to greece this year and visit Ibiza and Santorini who’s down	{'place_id': 'f8f8ee516109ee0e'}
