1029363224	2020-01-06T23:47:26.000Z	1214332677668712448	Everyone is so happy that they’re going back to school then there’s me...  mad asl	{'place_id': '789a596e07b40baf'}
537707533	2020-01-06T23:41:24.000Z	1214331159645216769	Lmaoo imma need to get some names for when I decide to go out 🤣🤣 	{'place_id': '00c55f041e27dc51'}
2425134484	2020-01-06T23:29:51.000Z	1214328255903387656	   Seeee!!!! That’s what I’m saying, I’m tryna go out dripppn	{'place_id': '011add077f4d2da3'}
2260959283	2020-01-06T23:18:31.000Z	1214325401977274369	Damn going to school out of state makes home really nostalgic it be hitting different	{'place_id': '86fc60f26e1639cc'}
62437160	2020-01-06T23:16:12.000Z	1214324820445454336	 Because we went to school w him smfh	{'place_id': '00c39537733fa112'}
956799439	2020-01-06T23:12:58.000Z	1214324003713822720	This literally means nothing lmfao. Going out in public? Niggas will be out with u in a public and probably still tell other girls “that’s my ex” lol 	{'place_id': 'bceb8153865c4a49'}
245928869	2020-01-06T23:00:33.000Z	1214320880953806848	The handle of the kettle has been loosened, so I bought this tube bending tool from Amazon. I will let you guys know if it’s going to work, or not. @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
1209974605135458309	2020-01-06T22:58:34.000Z	1214320381034663936	Idk why my whoré family is making me go to college when I could just vibe at home	{'place_id': '011add077f4d2da3'}
2719096396	2020-01-06T22:56:37.000Z	1214319891379032064	Am I doing anything tomorrow on my actual birthday other than going to work lol of course not 😕	{'place_id': '002e24c6736f069d'}
50179868	2020-01-06T21:46:05.000Z	1214302138953863168	And furthermore, what if going out to Olive Garden is a treat for some people. And????Life is hard. People don’t have it so if they’re excited about that, let them be excited.	{'place_id': '01a9a39529b27f36'}
38883960	2020-01-06T21:29:05.000Z	1214297863297089536	Not to be prestigious but I went to college with this guy who works for a broadway news outlet but never goes to see shows and I don’t understand	{'place_id': '2f0edd19e78cfadf'}
22990826	2020-01-06T21:26:29.000Z	1214297208419471362	But now it’s older dudes, who wanna go out and actually make the time for me and wow. Good fa ha	{'place_id': '01a9a39529b27f36'}
29225605	2020-01-06T20:47:58.000Z	1214287512564318208	FORGET HIS MOMMA. IF HE HAS KIDS NOW HES SUPPOSE TO SHIT ON HIS KIDS MOTHER FOR YOU. WORK LESS BUT HAVE MONEY TO PAY FOR EVERYTHING EVERY TIME YA GO OUT. YA NOT EVEN BEING REALISTIC.	{'place_id': '011add077f4d2da3'}
791315554531508224	2020-01-06T20:46:40.000Z	1214287188109774848	My coworker just informed me she was let go and I just gave her my first Pep talk of 0. I told her life goes on and to go out tonight and do something ratchet wake up and regroup and refocus also to learn something from this! 	{'place_id': '011add077f4d2da3'}
261355113	2020-01-06T19:55:30.000Z	1214274311399317504	 Right man people acting Kyle was dropping 0 last year. He came into the season hurt, and he’s not starting. People talking bout they need sharpshooter, like the can’t go out sign JR for 0.0 mil and just keep Kuzma. Bogdan alone ain’t it	{'place_id': 'fa3435044b52ecc7'}
582748534	2020-01-06T19:50:35.000Z	1214273074037694471	Can our parents just take a stand. If you tell your dad you are going out, do you need to tell your mum as well and vice versa or one is equal to two ?	{'place_id': '002e24c6736f069d'}
2733190377	2020-01-06T19:29:58.000Z	1214267887214575618	Lol niggas go out to be bent & broke ! We are not the same ..	{'place_id': '00c39537733fa112'}
384584511	2020-01-06T19:16:32.000Z	1214264502541266945	No lie, I can really be my own lawyer. Shoulda went to school for this shit man	{'place_id': '01a9a39529b27f36'}
706979910510899201	2020-01-06T19:12:37.000Z	1214263520549883904	If I meet Jay.. i’m going back to school four years paid & I would like an internship at Roc Nation. Please and thank you. 🙏🏾 	{'place_id': '00c39537733fa112'}
1400632075	2020-01-06T18:54:11.000Z	1214258878684241922	 Oh how I know that feeling when my daughter used to go back to college the long goodbye the wave the kiss by the window I used to cry watching her leave with her luggage bag beyond her but I knew I would see her on her bday feb 0 th ❤️you be ok ❤️😘	{'place_id': '011add077f4d2da3'}
846439530	2020-01-06T18:47:08.000Z	1214257104342671360	Going out to eat by yourself most of the time is more relaxing and enjoyable than going with multiple people 	{'place_id': '00c55f041e27dc51'}
1566036961	2020-01-06T18:22:19.000Z	1214250860525621248	 Waves form from the tide going out 😉	{'place_id': 'ea36c6003e42f3d0'}
1167891348	2020-01-06T18:07:47.000Z	1214247203151192071	My boyfriend leaving me today to go back to school 😢😢 ima miss u sm iluuuu keep making us proud big dawgggg 😘 the real dadaaaa lmao ❤️	{'place_id': '011add077f4d2da3'}
30371605	2020-01-06T18:05:19.000Z	1214246583174385664	My baby sister is going to college y’all!	{'place_id': '01a9a39529b27f36'}
325046824	2020-01-06T17:32:51.000Z	1214238410317144071	 minimum 0 hour wait to fill a prescription ... Why?? Do you need more staff?? If I didn't get my scripts filled here EVERY TWO WEEKS .. I'd switch in a heart beat. 0 hours? Guess I'm not going to work today since I can't go without my medication. Thanks CVS.	{'place_id': '94542c3c348faf28'}
5946952	2020-01-06T17:32:15.000Z	1214238261083811841	Bird no. 0 for the year:  Northern Cardinal, chipping away in a tree on the way to school this morning.	{'place_id': '01a9a39529b27f36'}
1013653937872883717	2020-01-06T17:24:27.000Z	1214236297482649601	 some of us are going to WORK.	{'place_id': '00c39537733fa112'}
3398717277	2020-01-06T17:07:49.000Z	1214232113077194760	i honestly can’t wait to go back to school to be an adult in my house upstate😭 i have a completely different life back in the city	{'place_id': '01a9a39529b27f36'}
2842326411	2020-01-06T17:04:04.000Z	1214231167102312448	He clearly was talking about the actors who barely went to school & not insulting Greta. There y’all go gaslighting & being wrong & strong again. Leave us alone!	{'place_id': '01a9a39529b27f36'}
1066109523759374336	2020-01-06T16:46:37.000Z	1214226777830285312	With  I know how it's going to work.  makes sense.But by letting voters decide w/ like Brexit style, that delays solving the fundamental problem Sometimes you need to take the opportunity + not waste time like w/  +  	{'place_id': '01a9a39529b27f36'}
26219347	2020-01-06T16:44:05.000Z	1214226137854988289	How was your first day back?     	{'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}, 'place_id': '01a9a39529b27f36'}
23126232	2020-01-06T16:00:23.000Z	1214215140536733697	This isn’t going to work there without a vibrant non-government delivery service too. Packages need to get to doorsteps, not pick up at post offices, that’s ridiculous. 	{'place_id': 'c4dab45ef7581417'}
1149267644224196608	2020-01-06T15:43:01.000Z	1214210770625552386	Back to school 😑 I want a longer winter break sigh....	{'place_id': '00c39537733fa112'}
1079221028046426112	2020-01-06T15:39:01.000Z	1214209763065634819	Goodnight loves, I’m gonna go to sleep tom first day back to school, so I need the most sleep I can get love u all and my girls   	{'place_id': '7ac0f9fcbc48d490'}
1013830178915651584	2020-01-06T15:36:16.000Z	1214209071647199234	Anyone wanna go out for a cup of coffee?	{'place_id': '3d3c56338b6a3b4a'}
20827188	2020-01-06T15:29:38.000Z	1214207402624593921	Since I go to work late I’ll be here to collect my Cartier package	{'place_id': '00c39537733fa112'}
60203175	2020-01-06T15:24:57.000Z	1214206224444645376	i probably carried a lunch box to school like twice in my life.	{'place_id': '01a9a39529b27f36'}
3384000135	2020-01-06T14:32:13.000Z	1214192955420028928	I really have to go to work 	{'place_id': '27485069891a7938'}
196922896	2020-01-06T14:20:16.000Z	1214189945377587202	Happy Monday everyone!!! Keep the FAITH!!! It’s all going to work out! Love y’all! @ Newark, New Jersey 	{'coordinates': {'type': 'Point', 'coordinates': [-74.1849, 40.7352]}, 'place_id': 'fa3435044b52ecc7'}
70210222	2020-01-06T14:12:58.000Z	1214188107823747072	Don’t feel like going to work today. Day going by slowly like this 	{'place_id': '002e24c6736f069d'}
2358436874	2020-01-06T14:12:52.000Z	1214188084499230721	The Art of Giving Flowers should never go out of style! Bring to a Hostess’ home, offer as a Seduction to a Lover and give to say I am thinking of you! This is my favorite color. 💃🏻...... 💃🏻… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.986111, 40.737778]}, 'place_id': '01a9a39529b27f36'}
270596775	2020-01-06T14:06:03.000Z	1214186370471727104	Don’t feel like going to work at all	{'place_id': '01a9a39529b27f36'}
379968878	2020-01-06T13:59:56.000Z	1214184829169930245	I was definitely supposed to go to the mechanic today, but I really don’t want to go out now	{'place_id': '559cf1d51980ff42'}
109466047	2020-01-06T13:43:14.000Z	1214180628737998848	These clients ask for assistance making appointments , I go out my way to make them & the day of I send out a reminder text & they tell me they decided days ago they weren’t going like when you was gonna tell me sis?!	{'place_id': '00c39537733fa112'}
296594204	2020-01-06T13:41:25.000Z	1214180170711609345	I haven’t been to my office in so long I can’t remember what floor I work on	{'place_id': '01a9a39529b27f36'}
