44683313	2021-08-30T23:56:10.000Z	1432492371275513859	Going out to dinner with my mother  and my aunts  &  they all help raise me ❤   @ Pies'n'Thighs 	{'coordinates': {'type': 'Point', 'coordinates': [-73.96135, 40.71122]}, 'place_id': '011add077f4d2da3'}
1060729388671606787	2021-08-30T23:36:46.000Z	1432487489852383234	 families:Back to school forum with the Chancellor for Queens will be 0/0. See below for more information. 	{'place_id': '00c39537733fa112'}
792620006	2021-08-30T23:20:42.000Z	1432483445981261826	 I currently go to school, and the amount of whining about masks when the school reintroduced masks was crazy.A number of students stopped wearing them in common areas of the dorm. 🙄	{'place_id': '01a9a39529b27f36'}
32835350	2021-08-30T23:07:45.000Z	1432480187367755776	Going out with a bang!!!!!Don’t let summer slip away without a fight. 😂❤️🐭 let’s go!  Photo credit to  @ Dj mouse 	{'coordinates': {'type': 'Point', 'coordinates': [-73.8260219, 40.5814265]}, 'place_id': '00c39537733fa112'}
32539868	2021-08-30T23:06:49.000Z	1432479951584997378	When you go to work with mommy and gets a  w/the best  ❤️ 	{'place_id': '011add077f4d2da3'}
25859209	2021-08-30T22:58:38.000Z	1432477894509481984	He woulda looked so stupid if that didn't go out 	{'place_id': '002e24c6736f069d'}
15379024	2021-08-30T22:51:12.000Z	1432476024055504913	The scammers didn’t wait to target our new staffer with fake emails (purportedly from me), asking her to go out and buy gift cards with her own money and send them to a random email address —on her first day!😡😡😡😡😡 	{'place_id': '01a9a39529b27f36'}
1182155076984623105	2021-08-30T22:47:46.000Z	1432475160012013568	Wanna go out the country …	{'place_id': '27485069891a7938'}
1009293117437169665	2021-08-30T22:23:39.000Z	1432469090241761280	i remember this one teacher told my friend she will never make it to college & told the whole class that she was on the verge of failing her class… like????	{'place_id': '011add077f4d2da3'}
26527648	2021-08-30T20:38:02.000Z	1432442509792366593	In honor of those heading back to school, I salute you!    	{'place_id': '00c39537733fa112'}
194789783	2021-08-30T20:34:31.000Z	1432441623942664195	 What happened to the back to school protocols you promised by last Friday?	{'place_id': '4384fa1ce06e19ed'}
1156302447620624384	2021-08-30T20:20:20.000Z	1432438053944102915	I am not being critical but Gallo & Rizzo need to hit, if this Balanced Left/right line up is going to work	{'place_id': '002e24c6736f069d'}
275693801	2021-08-30T20:19:41.000Z	1432437892492693510	August is National Immunization Awareness Month. Parents, be sure your kids are up to date with their vaccinations and routine check-ups before heading back to school. To learn more about our Pediatric services, visit  	{'place_id': '1013df82a0950000'}
68791976	2021-08-30T19:39:34.000Z	1432427797876723718	"Love our special back to school trips to these great food joints in NJ!  @ ""Steve's Burgers"" "	{'coordinates': {'type': 'Point', 'coordinates': [-74.10620301, 40.89299599]}, 'place_id': '86fc60f26e1639cc'}
1112441428230225920	2021-08-30T19:32:00.000Z	1432425890466697225	 imma major in journalism when I get to college as well bro I'm excited	{'place_id': '00c55f041e27dc51'}
122145335	2021-08-30T18:53:11.000Z	1432416121676877825	If you went to school to pursue the career you are in now don’t complain about what it comes with after you made your choice	{'place_id': '011add077f4d2da3'}
1190678006236418048	2021-08-30T18:03:50.000Z	1432403703152189445	that’s why I be sticking out like a sore thumb when I go out up there lmfao if niggas know me, they can spot my ass in the club off the walk in 😂 	{'place_id': '01a9a39529b27f36'}
283830150	2021-08-30T18:00:49.000Z	1432402944608063502	Think about the contradicting message here. An outdoor celebration is being cancelled due to legit Delta variant concerns, but NYC is providing inadequate flexibility to school families, particularly for kids not of vaccination age, who share the same legit Delta concerns. 	{'place_id': '011add077f4d2da3'}
1584592260	2021-08-30T16:42:25.000Z	1432383217068302343	   Wow!! He has no business going out into the field wasting resources and those resources can go towards people who actually need the help.	{'place_id': '00c39537733fa112'}
118942381	2021-08-30T16:32:03.000Z	1432380604042125324	If we go out & you can't find me ... chances are I'm taking drunk BR selfies 🥴 	{'place_id': '002e24c6736f069d'}
790933311858376704	2021-08-30T15:16:41.000Z	1432361638523506693	More than 0,0 participants at our Back-to-school drive! 📚 Special thanks to all our partners!       	{'place_id': '00c39537733fa112'}
39430945	2021-08-30T14:39:14.000Z	1432352213297508359	Yikes not going out dubbing yourself Mr. Anti-Vax...tragic 	{'place_id': '002e24c6736f069d'}
989287164763623425	2021-08-30T14:34:09.000Z	1432350936610004997	What do you stuff your pets natural longest lasting chew bones with?  is what we use👍A super easy long lasting chew for mental exercise for when you go back to work or the kids go back to school! 	{'coordinates': {'type': 'Point', 'coordinates': [-74.36061859, 40.54106925]}, 'place_id': '64be9b322be0df48'}
194346529	2021-08-30T13:46:42.000Z	1432338995212599298	 this is the adult version of being on crutches so you couldn’t take the bus to school	{'place_id': '01a9a39529b27f36'}
1224598324478652416	2021-08-30T13:26:56.000Z	1432334017928499200	  God bless you big guy..if I were say dating a nice girl I would be going out to eat..Empire, Raos, Nobu, bule, Danielle's, le Circ..even Bens...but I'm not  that good yet..I don't need the Passport...however..if im asked for mine..I want to see the entire staffs Vacinations .	{'place_id': '00c39537733fa112'}
85736442	2021-08-30T13:23:57.000Z	1432333268733644805	I don’t want to go to work LOL I wanna stay home wait for my packages and try on my new stuff	{'place_id': '011add077f4d2da3'}
60982404	2021-08-30T13:18:18.000Z	1432331849343320071	It's that time again....Back to school 0nd grade now @ East Harlem, Manhattan, NY 	{'coordinates': {'type': 'Point', 'coordinates': [-73.947201, 40.7907785]}, 'place_id': '01a9a39529b27f36'}
199198124	2021-08-30T13:11:23.000Z	1432330107616702469	Going out of the country in 0 days and I never pack finish 🥺🥺	{'place_id': 'fa3435044b52ecc7'}
717452572261539840	2021-08-30T13:05:46.000Z	1432328691439345667	  this why I can’t go out with y’all cause y’all be doing the most . 	{'place_id': '8748bd00732d9e89'}
745540429	2021-08-30T12:58:08.000Z	1432326771760844800	Fauci thinks kids who already had Covid should be forced to vaccinate for Covid, in order to simply attend schoolFauci doesn’t understand, or seem to care, that this would cause millions of kids not to go to school, because so many parents won’t complyHe’s not good at Covid 	{'place_id': '01a9a39529b27f36'}
57195520	2021-08-30T12:33:19.000Z	1432320526979158019	He like 0 years old and y’all couldn’t find one of them young bucks to go out and do this 	{'place_id': '0101ced056bbbe46'}
1281513073	2021-08-30T11:53:25.000Z	1432310486087999494	Damn the kids are going back to school already…seeing that creates conflicting emotions like damn I remember/miss those first new weeks of school but at the same time fuck school!!!	{'place_id': '011add077f4d2da3'}
1863903781	2021-08-30T11:48:19.000Z	1432309203239059456	First full week back to school and soon ready! GO CUNY SLU! 	{'place_id': '011add077f4d2da3'}
211743573	2021-08-30T11:23:17.000Z	1432302902127833090	Buddha left to school 🥺 first day of 0th grade. And the first year I don’t take him to school 🥺	{'place_id': '002e24c6736f069d'}
770282322	2021-08-30T11:03:30.000Z	1432297924927623168	Christians M0 getting some front end paint work before heading back to school              	{'coordinates': {'type': 'Point', 'coordinates': [-74.25624, 40.64408]}, 'place_id': 'b8d145028b2571ac'}
50217891	2021-08-30T10:42:05.000Z	1432292533950877700	     I live in NYC I would like to open my home to a family of Afghanistan Refugees, what can I do? I’m not financially secure to donate money but I have an apartment my kids are off to college and the Navy I have space.	{'place_id': '01a9a39529b27f36'}
1262190417405194245	2021-08-30T04:52:01.000Z	1432204437121118210	Just finished playing naraka and first game first dub! 😎 it’s pretty fun might stream it tmm morning before going to work 🧐 	{'place_id': '01a9a39529b27f36'}
124785553	2021-08-30T04:10:10.000Z	1432193906607808513	Woodley wasn’t tryna go out like Nate	{'place_id': '22bb8afe3a5531fd'}
2941219985	2021-08-30T03:26:57.000Z	1432183031083773954	I definitely will actively put even more effort to go out more and do things; even in NY. Try new activities, going to fun little events, museums, stores, probably pick up a new hobby too like cooking or swimming. I refuse to go back to just being a caveman in my house. Shit wack	{'place_id': '00c39537733fa112'}
3338142099	2021-08-30T03:23:49.000Z	1432182240491024386	 I mean maybe. But most black people don't go to college in the first place. Regardless the majority of black people.. which live in GOP controlled cities are doing well at any metric used to quality of life	{'place_id': '01476f41278c3cd7'}
1412771362091982848	2021-08-30T03:19:25.000Z	1432181132238458880	Its wild when everyone is still going out, I am omw home with  💖	{'place_id': '01a9a39529b27f36'}
2300578194	2021-08-30T02:54:00.000Z	1432174736545550341	Paid family and medical leave is on the back-to-school checklist! via  QUICK SIGNATURE: 	{'place_id': '01a9a39529b27f36'}
1016805366556971008	2021-08-30T02:34:49.000Z	1432169908402589696	My husband keeps calling me a nerd because it’s a weekend night and I’m excitedly telling him about things I’m reading in class (theory and math stuff) 😩 fine I guess I’ll go out to the clubs and party instead 😭😤	{'place_id': '01a9a39529b27f36'}
65544386	2021-08-30T02:22:58.000Z	1432166927988822018	JR Smiths going to college journey is amazing and honestly inspiring. 	{'place_id': '00c39537733fa112'}
398021376	2021-08-30T02:11:48.000Z	1432164116332957699	My  Royal Terns dropped in at Plumb Beach in Brooklyn this evening as the tide was going out, and more or less made up for the puncture I got at Floyd Bennett Field that meant I had to wheel my bike four and a half miles back to the subway 🤪  	{'place_id': '01a9a39529b27f36'}
